Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 21 Mar 1985,0,1007.0,16,31.2,18.2,46,13.23,180,8,303.7,343.4,306.2
12Z 21 Mar 1985,1,1000.0,78,31.0,19.0,49,14.03,180,8,304.1,346.2,306.7
12Z 21 Mar 1985,2,969.0,359,30.6,21.6,59,17.08,188,9,306.5,358.1,309.6
12Z 21 Mar 1985,3,850.0,1508,21.8,9.8,46,9.02,220,11,309.0,336.8,310.6
12Z 21 Mar 1985,4,738.0,2710,12.6,-9.4,21,2.55,256,17,311.7,320.1,312.1
12Z 21 Mar 1985,5,700.0,3149,10.0,-14.0,17,1.86,270,19,313.5,319.8,313.9
12Z 21 Mar 1985,6,654.0,3710,6.6,-18.4,15,1.38,270,21,315.8,320.6,316.1
12Z 21 Mar 1985,7,600.0,4411,2.6,NA,NA,NA,270,24,319.1,NA,319.1
12Z 21 Mar 1985,8,568.0,4852,0.0,NA,NA,NA,270,25,321.1,NA,321.1
12Z 21 Mar 1985,9,523.0,5507,-3.9,NA,NA,NA,270,28,324.0,NA,324.0
12Z 21 Mar 1985,10,500.0,5860,-6.9,NA,NA,NA,270,29,324.6,NA,324.6
12Z 21 Mar 1985,11,462.0,6471,-11.5,NA,NA,NA,NA,NA,326.2,NA,326.2
00Z 22 Mar 1985,0,1009.0,16,23.8,22.6,93,17.45,180,8,296.2,346.6,299.3
00Z 22 Mar 1985,1,1000.0,95,24.0,22.9,94,17.94,170,12,297.1,349.2,300.3
00Z 22 Mar 1985,2,967.0,387,24.4,23.0,92,18.69,182,12,300.4,355.5,303.8
00Z 22 Mar 1985,3,850.0,1500,19.4,15.2,77,12.94,230,13,306.4,345.6,308.8
00Z 22 Mar 1985,4,828.0,1724,18.2,13.6,75,11.96,231,16,307.5,343.9,309.7
00Z 22 Mar 1985,5,700.0,3145,13.0,8.0,72,9.71,240,33,316.9,347.7,318.7
00Z 22 Mar 1985,6,685.0,3327,12.6,7.6,72,9.65,NA,NA,318.4,349.2,320.2
12Z 22 Mar 1985,0,1005.0,16,31.2,18.2,46,13.26,360,0,303.9,343.6,306.3
12Z 22 Mar 1985,1,1000.0,60,30.9,18.2,47,13.33,NA,NA,304.1,344.0,306.5
12Z 22 Mar 1985,2,913.0,869,27.2,18.2,58,14.62,NA,NA,308.3,352.8,311.0
12Z 22 Mar 1985,3,802.0,1998,17.4,8.4,55,8.70,NA,NA,309.5,336.4,311.1
12Z 22 Mar 1985,4,636.0,3935,5.0,-8.0,38,3.31,NA,NA,316.5,327.5,317.2
