Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 11 Jan 1985,0,1013.0,16,8.0,7.6,97,6.50,360,0,280.1,298.0,281.2
00Z 11 Jan 1985,1,1000.0,124,10.4,6.0,74,5.90,15,6,283.6,300.1,284.6
00Z 11 Jan 1985,2,956.0,503,14.0,3.0,47,4.99,354,9,290.9,305.5,291.7
00Z 11 Jan 1985,3,850.0,1489,9.6,-8.4,27,2.40,300,17,296.2,303.7,296.6
00Z 11 Jan 1985,4,831.0,1676,9.0,-10.0,25,2.16,297,21,297.5,304.3,297.9
00Z 11 Jan 1985,5,768.0,2325,5.0,-4.0,52,3.72,284,36,299.9,311.4,300.6
00Z 11 Jan 1985,6,700.0,3079,3.0,-14.0,27,1.86,270,54,305.8,311.9,306.1
00Z 11 Jan 1985,7,685.0,3255,3.0,-16.0,23,1.61,270,54,307.7,313.1,308.0
00Z 11 Jan 1985,8,648.0,3702,0.0,-19.0,22,1.32,269,53,309.2,313.7,309.4
00Z 11 Jan 1985,9,600.0,4314,-4.1,-23.1,21,1.00,268,53,311.3,314.8,311.5
00Z 11 Jan 1985,10,590.0,4447,-4.9,-23.9,21,0.95,267,52,311.9,315.2,312.1
00Z 11 Jan 1985,11,500.0,5730,-12.7,NA,NA,NA,265,51,317.5,NA,317.5
00Z 11 Jan 1985,12,457.0,6410,-16.7,NA,NA,NA,265,56,320.8,NA,320.8
00Z 11 Jan 1985,13,410.0,7216,-20.3,NA,NA,NA,265,62,326.2,NA,326.2
00Z 11 Jan 1985,14,400.0,7400,-21.1,NA,NA,NA,265,60,327.5,NA,327.5
00Z 11 Jan 1985,15,366.0,8052,-23.7,NA,NA,NA,NA,NA,332.4,NA,332.4
00Z 12 Jan 1985,0,1012.0,16,9.4,9.0,97,7.16,360,0,281.6,301.4,282.8
00Z 12 Jan 1985,1,1000.0,117,10.2,8.2,87,6.86,80,0,283.4,302.5,284.5
00Z 12 Jan 1985,2,922.0,801,16.4,4.4,45,5.72,3,154,296.4,313.4,297.4
00Z 12 Jan 1985,3,850.0,1488,12.2,-2.8,35,3.68,285,309,298.9,310.2,299.6
00Z 12 Jan 1985,4,819.0,1760,10.0,-5.0,34,3.23,280,255,299.8,309.8,300.4
00Z 12 Jan 1985,5,750.0,2398,8.0,-13.0,21,1.88,269,127,305.2,311.4,305.6
00Z 12 Jan 1985,6,700.0,2895,6.4,-14.6,21,1.77,260,27,309.5,315.5,309.9
00Z 12 Jan 1985,7,683.0,3112,6.0,-15.0,21,1.76,260,29,311.3,317.2,311.6
00Z 12 Jan 1985,8,642.0,3655,3.4,-17.6,20,1.50,260,33,313.9,319.0,314.2
00Z 12 Jan 1985,9,600.0,4241,0.2,NA,NA,NA,260,38,316.3,NA,316.3
00Z 12 Jan 1985,10,597.0,4284,0.0,NA,NA,NA,260,38,316.5,NA,316.5
00Z 12 Jan 1985,11,551.0,4971,-3.3,NA,NA,NA,260,44,319.9,NA,319.9
00Z 12 Jan 1985,12,500.0,5790,-7.9,NA,NA,NA,260,51,323.3,NA,323.3
00Z 12 Jan 1985,13,462.0,6399,-11.7,NA,NA,NA,263,59,326.0,NA,326.0
00Z 12 Jan 1985,14,443.0,6719,-13.0,NA,NA,NA,265,64,328.3,NA,328.3
00Z 12 Jan 1985,15,414.0,7233,-15.1,NA,NA,NA,NA,NA,332.0,NA,332.0
12Z 12 Jan 1985,0,1013.0,16,23.8,19.5,77,14.29,360,0,295.9,337.1,298.4
12Z 12 Jan 1985,1,892.0,1116,17.4,3.4,39,5.51,NA,NA,300.2,316.9,301.2
12Z 12 Jan 1985,2,795.0,2083,9.0,-14.0,18,1.64,NA,NA,301.3,306.6,301.6
12Z 12 Jan 1985,3,646.0,3776,1.6,NA,NA,NA,NA,NA,311.3,NA,311.3
12Z 12 Jan 1985,4,624.0,4054,0.8,NA,NA,NA,NA,NA,313.5,NA,313.5
12Z 12 Jan 1985,5,600.0,4367,-1.9,NA,NA,NA,NA,NA,313.9,NA,313.9
12Z 12 Jan 1985,6,573.0,4731,-3.7,NA,NA,NA,NA,NA,315.9,NA,315.9
18Z 12 Jan 1985,0,1013.0,16,23.8,19.5,77,14.29,360,0,295.9,337.1,298.4
18Z 12 Jan 1985,1,979.8,304,22.1,15.3,65,11.27,310,9,297.0,329.9,299.0
18Z 12 Jan 1985,2,945.9,609,20.4,10.8,54,8.68,300,8,298.2,323.8,299.8
18Z 12 Jan 1985,3,913.1,914,18.6,6.4,45,6.62,290,4,299.4,319.3,300.6
