Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 04 Oct 1985,0,1005.0,16,30.6,26.4,78,22.16,360,0,303.3,369.7,307.3
12Z 04 Oct 1985,1,1000.0,59,30.4,26.1,78,21.87,345,6,303.6,369.1,307.5
12Z 04 Oct 1985,2,927.0,738,29.6,24.8,75,21.83,50,9,309.4,376.4,313.4
12Z 04 Oct 1985,3,850.0,1506,25.2,15.2,54,12.94,125,13,312.5,352.7,315.0
12Z 04 Oct 1985,4,714.0,3011,16.6,15.7,94,15.98,67,13,319.0,369.8,322.1
12Z 04 Oct 1985,5,700.0,3179,15.2,-3.8,27,4.14,60,13,319.3,333.0,320.1
12Z 04 Oct 1985,6,600.0,4460,5.8,-11.2,28,2.72,69,14,322.8,332.1,323.3
12Z 04 Oct 1985,7,591.0,4583,5.0,-11.0,30,2.81,70,14,323.2,332.9,323.8
12Z 04 Oct 1985,8,545.0,5238,0.0,-17.0,27,1.86,75,14,324.9,331.5,325.2
12Z 04 Oct 1985,9,500.0,5920,-5.1,-23.1,23,1.20,80,15,326.8,331.1,327.0
12Z 04 Oct 1985,10,403.0,7583,-13.9,NA,NA,NA,56,13,336.1,NA,336.1
12Z 04 Oct 1985,11,400.0,7640,-14.3,NA,NA,NA,55,13,336.3,NA,336.3
12Z 04 Oct 1985,12,325.0,9171,-28.1,NA,NA,NA,33,23,337.8,NA,337.8
12Z 04 Oct 1985,13,300.0,9740,-32.7,NA,NA,NA,25,27,339.2,NA,339.2
12Z 04 Oct 1985,14,250.0,11000,-42.3,NA,NA,NA,355,20,343.0,NA,343.0
12Z 04 Oct 1985,15,200.0,12480,-53.1,NA,NA,NA,335,18,348.5,NA,348.5
12Z 04 Oct 1985,16,171.0,13467,-60.3,NA,NA,NA,324,20,352.6,NA,352.6
12Z 04 Oct 1985,17,150.0,14270,-65.3,NA,NA,NA,315,21,357.4,NA,357.4
12Z 04 Oct 1985,18,137.0,14817,-68.5,NA,NA,NA,NA,NA,361.1,NA,361.1
12Z 04 Oct 1985,19,114.0,15906,-72.9,NA,NA,NA,NA,NA,372.4,NA,372.4
00Z 05 Oct 1985,0,1008.0,16,24.0,23.4,96,18.36,360,0,296.5,349.6,299.7
00Z 05 Oct 1985,1,1000.0,89,23.8,22.8,94,17.83,40,5,296.9,348.7,300.1
00Z 05 Oct 1985,2,955.0,491,23.0,18.4,75,14.15,56,5,300.1,341.7,302.6
00Z 05 Oct 1985,3,866.0,1337,19.4,15.0,76,12.53,89,6,304.8,342.5,307.1
00Z 05 Oct 1985,4,850.0,1497,18.6,11.6,64,10.19,95,6,305.6,336.5,307.5
00Z 05 Oct 1985,5,720.0,2901,11.4,-12.6,17,2.03,112,17,312.6,319.4,312.9
00Z 05 Oct 1985,6,700.0,3135,9.8,NA,NA,NA,115,19,313.3,NA,313.3
00Z 05 Oct 1985,7,623.0,4090,3.8,NA,NA,NA,112,24,317.0,NA,317.0
00Z 05 Oct 1985,8,600.0,4394,1.8,NA,NA,NA,110,25,318.2,NA,318.2
00Z 05 Oct 1985,9,576.0,4722,0.0,NA,NA,NA,109,27,319.8,NA,319.8
00Z 05 Oct 1985,10,500.0,5840,-6.5,NA,NA,NA,105,32,325.1,NA,325.1
00Z 05 Oct 1985,11,414.0,7290,-13.5,NA,NA,NA,88,35,334.1,NA,334.1
00Z 05 Oct 1985,12,400.0,7550,-15.9,NA,NA,NA,85,35,334.2,NA,334.2
00Z 05 Oct 1985,13,381.0,7915,-17.7,NA,NA,NA,NA,NA,336.5,NA,336.5
00Z 06 Oct 1985,0,1009.0,16,23.4,22.8,96,17.67,360,0,295.8,346.8,298.9
00Z 06 Oct 1985,1,1000.0,94,23.2,22.2,94,17.17,270,3,296.4,346.0,299.4
00Z 06 Oct 1985,2,941.0,626,22.4,17.6,74,13.64,206,6,300.7,341.0,303.2
00Z 06 Oct 1985,3,873.0,1275,18.6,5.6,42,6.57,128,10,303.3,323.3,304.5
00Z 06 Oct 1985,4,850.0,1503,17.4,4.4,42,6.20,100,11,304.4,323.4,305.5
00Z 06 Oct 1985,5,733.0,2757,11.0,-3.0,37,4.20,119,20,310.5,324.0,311.3
00Z 06 Oct 1985,6,700.0,3140,8.2,-7.8,31,3.05,125,23,311.5,321.5,312.1
00Z 06 Oct 1985,7,608.0,4285,0.4,-19.6,21,1.34,121,20,315.3,320.0,315.6
00Z 06 Oct 1985,8,600.0,4390,0.2,NA,NA,NA,120,20,316.3,NA,316.3
00Z 06 Oct 1985,9,575.0,4730,0.0,NA,NA,NA,119,19,319.9,NA,319.9
00Z 06 Oct 1985,10,542.0,5202,-0.5,NA,NA,NA,117,18,324.8,NA,324.8
00Z 06 Oct 1985,11,500.0,5840,-4.7,NA,NA,NA,115,17,327.2,NA,327.2
00Z 06 Oct 1985,12,455.0,6576,-9.3,NA,NA,NA,113,17,330.4,NA,330.4
00Z 06 Oct 1985,13,400.0,7560,-15.5,NA,NA,NA,110,18,334.8,NA,334.8
00Z 06 Oct 1985,14,373.0,8084,-18.5,NA,NA,NA,NA,NA,337.5,NA,337.5
12Z 07 Oct 1985,0,1005.0,16,29.0,24.0,74,19.11,360,6,301.7,358.4,305.2
12Z 07 Oct 1985,1,1000.0,58,28.8,23.8,74,18.98,15,8,301.9,358.3,305.4
12Z 07 Oct 1985,2,954.0,475,25.6,19.6,69,15.29,37,6,302.8,348.3,305.6
12Z 07 Oct 1985,3,850.0,1476,19.2,7.2,46,7.55,90,2,306.2,329.4,307.6
12Z 07 Oct 1985,4,813.0,1859,20.6,7.6,43,8.12,NA,NA,311.6,337.1,313.2
12Z 07 Oct 1985,5,796.0,2041,15.8,8.8,63,9.01,NA,NA,308.4,336.1,310.1
12Z 07 Oct 1985,6,704.0,3071,9.2,-8.8,27,2.81,NA,NA,312.1,321.4,312.7
