Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 03 Nov 1985,0,1013.0,16,18.2,17.9,98,12.90,NA,NA,290.3,326.7,292.5
00Z 03 Nov 1985,1,1000.0,135,18.4,16.8,90,12.18,NA,NA,291.6,326.1,293.7
00Z 03 Nov 1985,2,948.0,594,19.0,12.0,64,9.37,NA,NA,296.6,324.1,298.3
00Z 03 Nov 1985,3,850.0,1522,13.0,3.0,51,5.62,250,1,299.8,316.7,300.8
00Z 03 Nov 1985,4,764.0,2415,6.0,-10.0,31,2.35,305,8,301.5,309.0,301.9
00Z 03 Nov 1985,5,717.0,2931,-3.3,-24.3,18,0.75,338,12,296.8,299.3,296.9
00Z 03 Nov 1985,6,700.0,3124,2.6,NA,NA,NA,350,13,305.3,NA,305.3
00Z 03 Nov 1985,7,636.0,3898,-0.9,NA,NA,NA,330,17,309.8,NA,309.8
00Z 03 Nov 1985,8,633.0,3935,-0.7,NA,NA,NA,329,17,310.5,NA,310.5
00Z 03 Nov 1985,9,600.0,4363,-3.3,NA,NA,NA,318,19,312.2,NA,312.2
00Z 03 Nov 1985,10,500.0,5790,-11.3,NA,NA,NA,280,27,319.2,NA,319.2
00Z 03 Nov 1985,11,496.0,5852,-10.3,NA,NA,NA,280,27,321.1,NA,321.1
00Z 03 Nov 1985,12,441.0,6749,-19.1,NA,NA,NA,280,23,321.0,NA,321.0
00Z 03 Nov 1985,13,400.0,7460,-33.5,NA,NA,NA,280,19,311.4,NA,311.4
00Z 03 Nov 1985,14,366.0,8078,-37.1,NA,NA,NA,NA,NA,314.6,NA,314.6
00Z 01 Nov 1986,0,1010.0,16,22.2,21.2,94,15.97,80,5,294.5,340.3,297.3
00Z 01 Nov 1986,1,1000.0,102,22.1,20.7,92,15.66,79,5,295.2,340.3,298.0
00Z 01 Nov 1986,2,916.0,860,21.4,16.6,74,13.14,74,7,302.0,341.1,304.4
00Z 01 Nov 1986,3,763.0,2431,17.2,13.4,78,12.83,63,10,313.7,353.7,316.1
00Z 01 Nov 1986,4,600.0,4423,2.0,-17.0,23,1.69,48,14,318.4,324.2,318.7
00Z 01 Nov 1986,5,573.0,4792,0.8,-19.9,20,1.39,46,15,321.2,326.1,321.5
00Z 01 Nov 1986,6,569.0,4848,-0.3,-20.3,20,1.35,45,15,320.6,325.3,320.8
00Z 01 Nov 1986,7,444.0,6788,-10.1,-27.4,23,0.92,30,20,331.7,335.2,331.9
00Z 01 Nov 1986,8,384.0,7891,-15.5,-31.5,24,0.72,21,23,338.7,341.5,338.8
00Z 01 Nov 1986,9,331.0,8990,-23.5,-33.5,39,0.69,12,25,342.4,345.1,342.5
00Z 01 Nov 1986,10,292.0,9896,-27.5,-40.5,28,0.38,5,28,349.2,350.8,349.3
00Z 01 Nov 1986,11,197.0,12591,-49.5,NA,NA,NA,341,35,355.8,NA,355.8
00Z 01 Nov 1986,12,100.0,16782,-73.1,NA,NA,NA,300,47,386.2,NA,386.2
00Z 01 Nov 1986,13,70.0,18880,-69.9,NA,NA,NA,290,26,434.5,NA,434.5
00Z 01 Nov 1986,14,60.0,18880,-68.3,NA,NA,NA,292,26,457.6,NA,457.6
00Z 01 Nov 1986,15,50.0,18880,-60.3,NA,NA,NA,295,25,500.9,NA,500.9
12Z 01 Nov 1986,0,1007.0,16,29.6,23.6,70,18.61,360,0,302.1,357.4,305.5
12Z 01 Nov 1986,1,1000.0,76,29.4,23.4,70,18.51,205,4,302.6,357.6,305.9
12Z 01 Nov 1986,2,938.0,644,57.0,52.2,79,108.10,213,5,336.2,848.6,356.2
12Z 01 Nov 1986,3,850.0,1508,21.8,20.4,92,18.11,225,7,309.0,364.3,312.3
12Z 01 Nov 1986,4,824.0,1778,20.0,20.0,100,18.22,233,10,309.8,365.7,313.2
12Z 01 Nov 1986,5,700.0,3166,11.2,1.2,50,6.00,275,28,314.9,334.1,316.0
12Z 01 Nov 1986,6,689.0,3298,10.6,-1.4,43,5.04,276,29,315.6,331.9,316.6
12Z 01 Nov 1986,7,600.0,4435,3.6,-8.3,41,3.41,282,34,320.2,331.7,320.9
12Z 01 Nov 1986,8,580.0,4709,1.6,-10.1,42,3.09,283,35,321.0,331.5,321.6
12Z 01 Nov 1986,9,558.0,5019,0.0,-12.0,40,2.75,285,37,322.7,332.1,323.2
12Z 01 Nov 1986,10,500.0,5890,-5.1,-17.1,38,2.01,290,41,326.8,333.9,327.2
12Z 01 Nov 1986,11,465.0,6457,-8.3,-21.3,34,1.51,290,44,329.6,335.1,329.9
12Z 01 Nov 1986,12,422.0,7204,-13.5,-22.5,47,1.50,290,47,332.2,337.7,332.5
12Z 01 Nov 1986,13,400.0,7610,-16.1,-26.1,42,1.14,290,49,334.0,338.3,334.2
12Z 01 Nov 1986,14,348.0,8632,-25.1,-40.1,23,0.34,290,47,335.4,336.7,335.4
12Z 01 Nov 1986,15,300.0,9690,-30.1,NA,NA,NA,290,45,342.8,NA,342.8
12Z 01 Nov 1986,16,273.0,10354,-34.9,NA,NA,NA,293,39,345.2,NA,345.2
12Z 01 Nov 1986,17,250.0,10960,-40.5,NA,NA,NA,295,34,345.7,NA,345.7
12Z 01 Nov 1986,18,212.0,12061,-49.5,NA,NA,NA,288,32,348.4,NA,348.4
12Z 01 Nov 1986,19,200.0,12440,-53.1,NA,NA,NA,285,31,348.5,NA,348.5
12Z 01 Nov 1986,20,150.0,14230,-67.5,NA,NA,NA,290,35,353.6,NA,353.6
12Z 01 Nov 1986,21,142.0,14558,-70.1,NA,NA,NA,NA,NA,354.7,NA,354.7
12Z 01 Nov 1986,22,109.0,16107,-76.1,NA,NA,NA,NA,NA,371.2,NA,371.2
00Z 05 Nov 1986,0,1010.0,16,23.6,21.8,90,16.58,NA,NA,295.9,343.8,298.8
00Z 05 Nov 1986,1,1000.0,3,23.0,21.8,93,16.75,155,4,296.1,344.6,299.1
00Z 05 Nov 1986,2,850.0,1518,17.6,14.2,80,12.12,214,10,304.6,341.0,306.8
00Z 05 Nov 1986,3,700.0,3139,9.0,8.0,93,9.71,285,17,312.4,342.7,314.2
00Z 05 Nov 1986,4,95.0,17161,-74.9,NA,NA,NA,270,17,388.4,NA,388.4
00Z 05 Nov 1986,5,70.0,18950,-69.1,NA,NA,NA,260,20,436.2,NA,436.2
12Z 05 Nov 1986,0,1009.0,16,23.4,22.4,94,17.23,360,0,295.8,345.5,298.8
12Z 05 Nov 1986,1,1000.0,92,23.2,22.2,94,17.17,50,5,296.4,346.0,299.4
12Z 05 Nov 1986,2,920.0,824,21.4,19.8,91,16.07,341,9,301.6,349.2,304.6
12Z 05 Nov 1986,3,850.0,1510,17.0,15.4,90,13.11,275,13,303.9,343.2,306.3
