Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 16 Dec 1985,0,1014.0,16,13.8,13.4,97,9.61,NA,NA,285.8,312.6,287.5
00Z 16 Dec 1985,1,1000.0,135,15.4,13.0,86,9.49,160,3,288.6,315.3,290.2
00Z 16 Dec 1985,2,850.0,1525,15.0,4.0,48,6.03,340,12,301.9,320.2,302.9
00Z 16 Dec 1985,3,700.0,3157,9.6,-7.4,29,3.15,300,17,313.1,323.4,313.7
00Z 16 Dec 1985,4,500.0,5890,-4.5,-23.5,21,1.16,290,15,327.5,331.7,327.7
00Z 16 Dec 1985,5,400.0,7610,-15.9,NA,NA,NA,5,13,334.2,NA,334.2
00Z 16 Dec 1985,6,250.0,10970,-44.3,NA,NA,NA,305,21,340.1,NA,340.1
00Z 16 Dec 1985,7,200.0,12430,-56.3,NA,NA,NA,305,22,343.4,NA,343.4
00Z 16 Dec 1985,8,150.0,14190,-71.1,NA,NA,NA,295,13,347.4,NA,347.4
00Z 16 Dec 1985,9,100.0,16529,-81.3,NA,NA,NA,290,41,370.4,NA,370.4
12Z 17 Dec 1985,0,1010.0,16,22.0,18.8,82,13.71,360,0,294.3,333.7,296.7
12Z 17 Dec 1985,1,1000.0,101,21.6,18.2,81,13.33,354,1,294.8,333.1,297.1
12Z 17 Dec 1985,2,913.0,887,17.4,13.6,78,10.83,301,6,298.2,330.0,300.1
12Z 17 Dec 1985,3,850.0,1494,13.0,7.0,67,7.44,260,11,299.8,322.0,301.1
12Z 17 Dec 1985,4,835.0,1644,12.0,6.0,67,7.07,263,11,300.2,321.4,301.5
12Z 17 Dec 1985,5,760.0,2427,8.0,-5.0,39,3.48,280,12,304.1,315.1,304.7
12Z 17 Dec 1985,6,700.0,3102,5.4,-9.6,33,2.65,295,13,308.4,317.1,308.9
12Z 17 Dec 1985,7,635.0,3895,2.2,-14.8,27,1.92,288,16,313.5,320.0,313.9
12Z 17 Dec 1985,8,605.0,4284,0.0,-18.0,24,1.54,284,17,315.3,320.6,315.6
12Z 17 Dec 1985,9,600.0,4351,-0.5,-18.5,24,1.49,284,18,315.5,320.6,315.8
12Z 17 Dec 1985,10,543.0,5144,-4.5,-24.5,19,0.97,276,21,319.9,323.4,320.1
12Z 17 Dec 1985,11,500.0,5790,-7.7,NA,NA,NA,270,23,323.6,NA,323.6
12Z 17 Dec 1985,12,467.0,6318,-10.1,NA,NA,NA,265,27,327.0,NA,327.0
12Z 17 Dec 1985,13,400.0,7490,-19.1,NA,NA,NA,255,35,330.1,NA,330.1
12Z 17 Dec 1985,14,357.0,8322,-25.5,NA,NA,NA,255,41,332.4,NA,332.4
12Z 17 Dec 1985,15,304.0,9467,-32.5,NA,NA,NA,255,50,338.2,NA,338.2
12Z 17 Dec 1985,16,300.0,9560,-33.5,NA,NA,NA,255,51,338.0,NA,338.0
12Z 17 Dec 1985,17,250.0,10810,-44.1,NA,NA,NA,225,52,340.4,NA,340.4
12Z 17 Dec 1985,18,249.0,10837,-44.5,NA,NA,NA,NA,NA,340.2,NA,340.2
00Z 19 Dec 1985,0,1010.0,16,16.4,16.1,98,11.52,75,NA,288.7,321.1,290.7
00Z 19 Dec 1985,1,1000.0,105,19.0,16.6,86,12.02,71,NA,292.1,326.4,294.3
00Z 19 Dec 1985,2,972.0,352,22.4,17.6,74,13.20,59,NA,298.0,336.5,300.3
00Z 19 Dec 1985,3,862.0,1383,12.8,11.4,91,9.91,10,NA,298.3,327.5,300.1
00Z 19 Dec 1985,4,850.0,1501,12.2,10.2,88,9.27,4,NA,298.9,326.3,300.6
00Z 19 Dec 1985,5,700.0,3104,3.2,-6.8,48,3.30,285,25,306.0,316.5,306.6
00Z 19 Dec 1985,6,500.0,5760,-11.9,NA,NA,NA,285,57,318.5,NA,318.5
12Z 23 Dec 1985,0,1014.0,16,24.4,15.4,57,10.96,360,6,296.4,328.3,298.3
12Z 23 Dec 1985,1,1000.0,139,23.0,13.0,53,9.49,10,9,296.1,323.9,297.8
12Z 23 Dec 1985,2,968.0,422,23.6,12.6,50,9.55,1,9,299.5,327.8,301.2
12Z 23 Dec 1985,3,850.0,1537,14.2,9.2,72,8.66,325,7,301.0,326.9,302.6
12Z 23 Dec 1985,4,772.0,2340,8.2,4.6,78,6.93,280,8,302.9,324.0,304.2
12Z 23 Dec 1985,5,700.0,3140,4.0,-13.0,28,2.02,235,10,306.9,313.5,307.3
12Z 23 Dec 1985,6,678.0,3398,2.6,-18.4,20,1.33,240,10,308.1,312.6,308.4
12Z 23 Dec 1985,7,648.0,3762,0.0,NA,NA,NA,248,10,309.2,NA,309.2
12Z 23 Dec 1985,8,600.0,4372,-3.5,NA,NA,NA,260,10,312.0,NA,312.0
12Z 23 Dec 1985,9,560.0,4914,-5.5,NA,NA,NA,271,9,315.9,NA,315.9
12Z 23 Dec 1985,10,500.0,5790,-12.1,NA,NA,NA,290,9,318.2,NA,318.2
12Z 23 Dec 1985,11,400.0,7470,-24.1,NA,NA,NA,279,24,323.6,NA,323.6
12Z 23 Dec 1985,12,303.0,9442,-38.5,NA,NA,NA,265,42,330.1,NA,330.1
12Z 23 Dec 1985,13,300.0,9510,-39.1,NA,NA,NA,265,43,330.1,NA,330.1
12Z 23 Dec 1985,14,250.0,10740,-47.3,NA,NA,NA,270,58,335.6,NA,335.6
12Z 23 Dec 1985,15,241.0,10981,-48.7,NA,NA,NA,276,54,337.0,NA,337.0
12Z 23 Dec 1985,16,200.0,12190,-54.3,NA,NA,NA,305,35,346.6,NA,346.6
12Z 23 Dec 1985,17,184.0,12723,-56.7,NA,NA,NA,299,36,351.1,NA,351.1
12Z 23 Dec 1985,18,150.0,14000,-63.7,NA,NA,NA,285,39,360.1,NA,360.1
12Z 23 Dec 1985,19,123.0,15202,-69.3,NA,NA,NA,278,45,371.0,NA,371.0
12Z 23 Dec 1985,20,100.0,16420,-75.3,NA,NA,NA,270,51,382.0,NA,382.0
12Z 23 Dec 1985,21,89.0,17094,-75.7,NA,NA,NA,NA,NA,394.1,NA,394.1
12Z 27 Dec 1985,0,1012.0,16,22.6,15.6,65,11.13,NA,NA,294.7,326.9,296.7
12Z 27 Dec 1985,1,1000.0,119,22.1,14.9,64,10.75,NA,NA,295.2,326.4,297.2
12Z 27 Dec 1985,2,963.0,445,20.6,12.6,60,9.60,NA,NA,296.9,325.0,298.6
12Z 27 Dec 1985,3,878.0,1234,13.6,4.6,54,6.09,NA,NA,297.6,315.8,298.7
12Z 27 Dec 1985,4,761.0,2425,8.0,-14.0,19,1.71,NA,NA,304.0,309.6,304.3
12Z 27 Dec 1985,5,699.0,3119,2.6,-7.4,48,3.15,NA,NA,305.5,315.5,306.0
12Z 27 Dec 1985,6,650.0,3704,0.0,-14.0,34,2.00,NA,NA,308.9,315.6,309.3
12Z 27 Dec 1985,7,600.0,4340,-3.3,-21.3,23,1.17,NA,NA,312.2,316.3,312.5
12Z 27 Dec 1985,8,580.0,4608,-4.7,-23.7,21,0.98,NA,NA,313.7,317.1,313.8
12Z 27 Dec 1985,9,476.0,6130,-15.3,NA,NA,NA,NA,NA,318.8,NA,318.8
12Z 27 Dec 1985,10,399.0,7437,-25.1,NA,NA,NA,NA,NA,322.5,NA,322.5
12Z 27 Dec 1985,11,299.0,9455,-43.3,NA,NA,NA,NA,NA,324.5,NA,324.5
12Z 27 Dec 1985,12,221.0,11436,-55.1,NA,NA,NA,NA,NA,335.6,NA,335.6
12Z 27 Dec 1985,13,164.0,13311,-61.7,NA,NA,NA,NA,NA,354.4,NA,354.4
12Z 27 Dec 1985,14,131.0,14671,-71.1,NA,NA,NA,NA,NA,361.1,NA,361.1
12Z 31 Dec 1985,0,1011.0,16,18.8,12.8,68,9.26,50,6,291.0,317.5,292.7
12Z 31 Dec 1985,1,1000.0,111,18.2,12.2,68,9.00,50,6,291.4,317.1,292.9
12Z 31 Dec 1985,2,973.0,346,17.6,10.6,64,8.31,29,6,293.0,317.1,294.5
12Z 31 Dec 1985,3,899.0,1019,12.4,7.4,72,7.23,328,6,294.4,315.5,295.6
12Z 31 Dec 1985,4,850.0,1488,9.2,-8.8,27,2.32,285,6,295.8,303.0,296.2
12Z 31 Dec 1985,5,849.0,1497,9.0,-4.0,40,3.36,285,6,295.7,305.9,296.3
12Z 31 Dec 1985,6,752.0,2464,6.6,-16.4,18,1.42,279,13,303.5,308.2,303.8
12Z 31 Dec 1985,7,700.0,3032,7.0,NA,NA,NA,275,17,310.2,NA,310.2
12Z 31 Dec 1985,8,647.0,3691,7.4,NA,NA,NA,283,23,317.7,NA,317.7
12Z 31 Dec 1985,9,600.0,4321,5.2,NA,NA,NA,291,29,322.1,NA,322.1
12Z 31 Dec 1985,10,533.0,5299,1.4,NA,NA,NA,303,38,328.6,NA,328.6
12Z 31 Dec 1985,11,518.0,5533,0.0,NA,NA,NA,306,40,329.6,NA,329.6
12Z 31 Dec 1985,12,500.0,5820,-2.1,NA,NA,NA,310,43,330.4,NA,330.4
12Z 31 Dec 1985,13,400.0,7550,-14.1,NA,NA,NA,305,52,336.6,NA,336.6
12Z 31 Dec 1985,14,399.0,7569,-14.1,NA,NA,NA,304,53,336.8,NA,336.8
12Z 31 Dec 1985,15,378.0,7967,-17.2,NA,NA,NA,290,79,338.0,NA,338.0
12Z 31 Dec 1985,16,300.0,9670,-30.3,NA,NA,NA,295,85,342.6,NA,342.6
12Z 31 Dec 1985,17,288.0,9959,-33.5,NA,NA,NA,295,82,342.0,NA,342.0
12Z 31 Dec 1985,18,250.0,10940,-40.5,NA,NA,NA,295,70,345.7,NA,345.7
12Z 31 Dec 1985,19,200.0,12421,-52.7,NA,NA,NA,295,62,349.1,NA,349.1
12Z 31 Dec 1985,20,150.0,14230,-66.1,NA,NA,NA,285,46,356.0,NA,356.0
12Z 31 Dec 1985,21,129.0,15126,-72.3,NA,NA,NA,285,51,360.6,NA,360.6
12Z 31 Dec 1985,22,100.0,16610,-74.1,NA,NA,NA,295,54,384.3,NA,384.3
12Z 31 Dec 1985,23,92.0,17095,-74.7,NA,NA,NA,NA,NA,392.4,NA,392.4
12Z 02 Dec 1986,0,1013.0,16,23.0,18.2,74,13.15,360,0,295.1,333.0,297.4
12Z 02 Dec 1986,1,1000.0,123,22.4,16.4,69,11.87,360,0,295.6,329.9,297.7
12Z 02 Dec 1986,2,930.0,753,25.0,12.0,44,9.56,358,3,304.4,333.3,306.1
12Z 02 Dec 1986,3,903.0,1007,18.6,-8.4,15,2.26,357,4,300.4,307.6,300.8
12Z 02 Dec 1986,4,850.0,1518,16.6,NA,NA,NA,355,6,303.5,NA,303.5
12Z 02 Dec 1986,5,783.0,2207,14.0,NA,NA,NA,323,13,307.9,NA,307.9
12Z 02 Dec 1986,6,700.0,3140,11.8,NA,NA,NA,280,22,315.5,NA,315.5
12Z 02 Dec 1986,7,698.0,3164,11.6,NA,NA,NA,280,22,315.6,NA,315.6
12Z 02 Dec 1986,8,600.0,4406,2.4,NA,NA,NA,280,23,318.9,NA,318.9
12Z 02 Dec 1986,9,575.0,4748,0.0,NA,NA,NA,280,24,319.9,NA,319.9
12Z 02 Dec 1986,10,500.0,5850,-8.1,NA,NA,NA,280,25,323.1,NA,323.1
12Z 02 Dec 1986,11,413.0,7294,-18.1,NA,NA,NA,263,38,328.4,NA,328.4
12Z 02 Dec 1986,12,400.0,7530,-19.9,NA,NA,NA,260,40,329.0,NA,329.0
12Z 02 Dec 1986,13,300.0,9620,-32.7,NA,NA,NA,245,69,339.2,NA,339.2
