Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Feb 1985,0,1010.0,16,16.8,16.5,98,11.82,360,0,289.1,322.4,291.2
00Z 01 Feb 1985,1,1000.0,103,19.0,18.0,94,13.16,55,7,292.1,329.6,294.5
00Z 01 Feb 1985,2,930.0,728,20.0,17.2,84,13.45,341,12,299.3,338.8,301.7
00Z 01 Feb 1985,3,850.0,1501,17.4,13.8,79,11.80,250,18,304.4,339.8,306.5
00Z 01 Feb 1985,4,712.0,2997,10.0,5.4,73,7.96,250,23,312.0,336.9,313.5
00Z 01 Feb 1985,5,700.0,3138,8.8,4.8,76,7.76,250,23,312.2,336.6,313.7
00Z 01 Feb 1985,6,607.0,4300,0.0,-2.1,86,5.43,252,29,315.0,332.5,316.1
00Z 01 Feb 1985,7,600.0,4392,-0.9,-2.7,88,5.26,252,29,315.0,332.0,316.0
00Z 01 Feb 1985,8,504.0,5759,-10.5,-18.5,52,1.77,255,36,319.4,325.6,319.8
00Z 01 Feb 1985,9,500.0,5820,-11.1,-19.1,52,1.70,255,36,319.4,325.4,319.8
00Z 01 Feb 1985,10,400.0,7510,-21.1,-25.1,70,1.25,245,55,327.5,332.0,327.7
00Z 01 Feb 1985,11,310.0,9353,-30.3,-42.3,30,0.30,245,70,339.3,340.6,339.4
00Z 01 Feb 1985,12,300.0,9590,-31.5,-44.5,27,0.24,245,66,340.9,341.9,340.9
12Z 01 Feb 1985,0,1009.0,16,23.2,17.2,69,12.38,360,0,295.6,331.4,297.8
12Z 01 Feb 1985,1,1000.0,96,23.4,17.4,69,12.66,225,1,296.6,333.3,298.8
12Z 01 Feb 1985,2,950.0,544,25.2,20.2,74,15.96,236,2,302.8,350.2,305.6
12Z 01 Feb 1985,3,850.0,1510,20.8,14.8,69,12.61,260,4,307.9,346.3,310.2
12Z 01 Feb 1985,4,811.0,1914,11.8,4.8,62,6.69,259,7,302.5,322.8,303.8
12Z 01 Feb 1985,5,726.0,2851,12.2,-1.8,38,4.64,256,13,312.7,327.6,313.6
12Z 01 Feb 1985,6,700.0,3159,10.4,-3.6,37,4.21,255,15,314.0,327.6,314.8
12Z 01 Feb 1985,7,631.0,4015,5.6,-9.4,33,2.99,NA,NA,317.9,328.0,318.5
00Z 02 Feb 1985,0,1011.0,16,16.2,15.5,96,11.07,360,0,288.4,319.5,290.4
00Z 02 Feb 1985,1,1000.0,108,16.7,15.5,92,11.16,NA,NA,289.9,321.4,291.8
00Z 02 Feb 1985,2,956.0,492,18.8,15.3,80,11.56,NA,NA,295.7,329.2,297.8
00Z 02 Feb 1985,3,799.0,2003,7.6,-4.4,42,3.47,NA,NA,299.3,310.1,300.0
00Z 02 Feb 1985,4,710.0,2968,3.0,-5.0,56,3.73,NA,NA,304.5,316.3,305.2
00Z 02 Feb 1985,5,684.0,3268,0.0,-7.0,59,3.32,NA,NA,304.5,315.0,305.1
