Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Apr 1985,0,1010.0,16,24.8,24.2,96,19.25,360,0,297.1,353.0,300.5
00Z 01 Apr 1985,1,1000.0,107,24.8,22.6,88,17.61,155,8,297.9,349.3,301.1
00Z 01 Apr 1985,2,962.0,447,24.6,18.6,69,14.22,176,11,301.1,343.1,303.6
00Z 01 Apr 1985,3,884.0,1185,23.0,7.0,36,7.16,223,18,306.8,328.8,308.1
00Z 01 Apr 1985,4,850.0,1524,19.8,6.8,43,7.34,245,21,306.9,329.5,308.2
00Z 01 Apr 1985,5,805.0,1989,16.0,6.0,51,7.33,244,22,307.6,330.3,309.0
00Z 01 Apr 1985,6,755.0,2528,10.6,0.6,50,5.32,242,24,307.5,324.1,308.5
00Z 01 Apr 1985,7,700.0,3154,7.2,-1.8,53,4.81,240,26,310.4,325.7,311.3
00Z 01 Apr 1985,8,605.0,4338,0.0,-6.0,64,4.06,244,33,315.3,328.6,316.1
00Z 01 Apr 1985,9,600.0,4404,-0.3,-6.3,64,4.00,245,33,315.7,328.8,316.5
00Z 01 Apr 1985,10,533.0,5348,-2.3,-6.0,76,4.61,248,38,324.2,339.7,325.1
00Z 01 Apr 1985,11,500.0,5850,-8.5,-15.5,57,2.30,250,41,322.6,330.6,323.1
00Z 01 Apr 1985,12,438.0,6869,-12.5,-28.5,25,0.84,NA,NA,330.0,333.1,330.1
12Z 01 Apr 1985,0,1008.0,16,31.4,23.4,63,18.36,360,0,303.9,358.8,307.2
12Z 01 Apr 1985,1,1000.0,89,31.0,23.0,62,18.05,355,1,304.1,358.2,307.4
12Z 01 Apr 1985,2,946.0,585,25.8,21.0,75,16.86,317,4,303.7,354.1,306.8
12Z 01 Apr 1985,3,850.0,1520,19.0,8.0,49,7.98,245,12,306.0,330.4,307.5
12Z 01 Apr 1985,4,830.0,1724,17.4,5.4,45,6.82,247,13,306.4,327.5,307.7
12Z 01 Apr 1985,5,700.0,3150,6.0,-1.0,61,5.11,265,20,309.1,325.2,310.1
12Z 01 Apr 1985,6,500.0,5840,-8.1,-16.1,53,2.19,250,45,323.1,330.7,323.5
00Z 02 Apr 1985,0,1009.0,16,25.0,24.4,96,19.51,180,4,297.4,354.1,300.9
00Z 02 Apr 1985,1,1000.0,95,25.0,24.4,96,19.69,180,4,298.1,355.6,301.6
00Z 02 Apr 1985,2,850.0,1520,17.6,13.2,75,11.34,250,15,304.6,338.7,306.6
00Z 02 Apr 1985,3,732.0,2782,10.0,3.0,62,6.53,269,26,309.6,330.0,310.8
00Z 02 Apr 1985,4,700.0,3152,7.0,1.0,66,5.91,275,29,310.2,328.8,311.3
00Z 02 Apr 1985,5,670.0,3510,3.4,-1.6,70,5.11,270,32,310.1,326.2,311.0
00Z 02 Apr 1985,6,620.0,4136,0.0,-14.0,34,2.10,261,36,313.1,320.2,313.5
00Z 02 Apr 1985,7,500.0,5830,-9.1,-20.1,41,1.56,235,49,321.9,327.4,322.2
00Z 02 Apr 1985,8,400.0,7530,-18.5,-26.5,49,1.10,240,67,330.9,335.0,331.1
00Z 02 Apr 1985,9,300.0,9630,-32.7,-40.7,45,0.37,240,68,339.2,340.7,339.2
00Z 02 Apr 1985,10,290.0,NA,NA,NA,NA,NA,240,76
12Z 03 Apr 1985,0,1003.0,16,31.0,24.0,66,19.15,360,0,303.9,361.2,307.4
12Z 03 Apr 1985,1,1000.0,45,30.6,23.6,66,18.74,357,0,303.8,359.8,307.1
12Z 03 Apr 1985,2,950.0,502,28.2,22.2,70,18.10,309,7,305.8,360.4,309.1
12Z 03 Apr 1985,3,859.0,1386,22.0,18.6,81,15.97,215,20,308.2,356.9,311.2
