Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Jun 1985,0,1001.0,16,25.6,24.7,95,20.04,NA,NA,298.7,357.3,302.2
00Z 01 Jun 1985,1,1000.0,29,25.6,23.6,89,18.74,NA,NA,298.8,353.6,302.1
00Z 01 Jun 1985,2,959.0,396,24.2,24.2,100,20.31,NA,NA,300.9,360.9,304.6
00Z 01 Jun 1985,3,866.0,1284,21.4,19.6,89,16.88,NA,NA,306.9,358.0,310.0
00Z 01 Jun 1985,4,850.0,1445,20.2,16.9,81,14.46,200,NA,307.3,351.1,310.0
00Z 01 Jun 1985,5,737.0,2689,23.4,19.0,76,19.17,NA,NA,323.6,385.8,327.3
12Z 01 Jun 1985,0,1000.0,-5
12Z 01 Jun 1985,1,998.0,16,28.0,25.2,85,20.73,5,300,301.3,362.8,305.0
12Z 01 Jun 1985,2,924.0,697,23.0,-5.0,15,2.87,295,162,302.9,312.0,303.4
12Z 01 Jun 1985,3,850.0,1421,18.4,16.8,90,14.37,220,12,305.4,348.6,308.0
12Z 01 Jun 1985,4,825.0,1677,16.4,14.4,88,12.66,218,12,305.9,344.1,308.2
12Z 01 Jun 1985,5,717.0,2860,10.0,9.2,95,10.29,211,15,311.4,343.3,313.3
12Z 01 Jun 1985,6,700.0,3059,8.8,8.0,95,9.71,210,15,312.2,342.4,314.0
12Z 01 Jun 1985,7,608.0,4213,2.4,1.2,92,6.91,206,18,317.6,339.9,319.0
12Z 01 Jun 1985,8,500.0,5770,-5.3,-15.3,45,2.34,200,22,326.5,334.7,327.0
12Z 01 Jun 1985,9,400.0,7500,-14.5,NA,NA,NA,240,29,336.1,NA,336.1
12Z 01 Jun 1985,10,300.0,9630,-26.3,NA,NA,NA,255,39,348.2,NA,348.2
12Z 01 Jun 1985,11,250.0,10940,-33.9,NA,NA,NA,NA,NA,355.5,NA,355.5
00Z 01 Jun 1986,0,1005.0,16,26.2,25.1,94,20.46,NA,NA,298.9,358.9,302.6
00Z 01 Jun 1986,1,1000.0,64,26.2,25.0,93,20.44,250,9,299.4,359.4,303.0
00Z 01 Jun 1986,2,850.0,1488,20.0,17.4,85,14.94,255,8,307.1,352.3,309.8
00Z 01 Jun 1986,3,700.0,3136,10.2,-1.8,43,4.81,255,9,313.8,329.3,314.7
00Z 01 Jun 1986,4,500.0,5860,-2.7,-15.7,36,2.26,255,17,329.7,337.7,330.1
00Z 01 Jun 1986,5,400.0,7600,-11.9,NA,NA,NA,250,17,339.4,NA,339.4
00Z 01 Jun 1986,6,300.0,9750,-25.9,NA,NA,NA,250,23,348.8,NA,348.8
00Z 01 Jun 1986,7,250.0,11040,-34.9,NA,NA,NA,200,8,354.0,NA,354.0
00Z 01 Jun 1986,8,200.0,12560,-46.3,NA,NA,NA,210,10,359.3,NA,359.3
00Z 01 Jun 1986,9,150.0,14410,-61.1,NA,NA,NA,200,12,364.6,NA,364.6
12Z 01 Jun 1986,0,1003.0,16,33.6,23.6,56,18.68,360,0,306.5,363.0,309.9
12Z 01 Jun 1986,1,1000.0,44,33.4,23.4,56,18.51,357,0,306.6,362.6,309.9
12Z 01 Jun 1986,2,884.0,1148,25.4,22.4,83,19.74,230,5,309.2,369.7,312.9
12Z 01 Jun 1986,3,850.0,1493,22.6,19.0,80,16.56,190,6,309.8,360.5,312.9
12Z 01 Jun 1986,4,802.0,1997,18.6,14.6,78,13.20,202,10,310.7,351.4,313.2
12Z 01 Jun 1986,5,700.0,3150,11.8,-0.2,44,5.42,230,18,315.5,333.0,316.6
12Z 01 Jun 1986,6,691.0,3258,11.4,-1.6,40,4.95,229,18,316.2,332.3,317.2
12Z 01 Jun 1986,7,600.0,4423,5.0,-9.0,36,3.24,221,18,321.9,332.9,322.5
12Z 01 Jun 1986,8,527.0,5471,0.0,-17.0,27,1.93,213,19,328.0,334.9,328.4
12Z 01 Jun 1986,9,509.0,5748,-1.1,-20.1,22,1.53,211,19,329.9,335.5,330.2
12Z 01 Jun 1986,10,500.0,5890,-2.1,NA,NA,NA,210,19,330.4,NA,330.4
12Z 01 Jun 1986,11,400.0,7630,-12.1,NA,NA,NA,260,28,339.2,NA,339.2
12Z 01 Jun 1986,12,315.0,9423,-23.1,NA,NA,NA,281,15,347.8,NA,347.8
12Z 01 Jun 1986,13,300.0,9780,-25.5,NA,NA,NA,285,12,349.3,NA,349.3
12Z 01 Jun 1986,14,250.0,11080,-33.9,NA,NA,NA,265,16,355.5,NA,355.5
12Z 01 Jun 1986,15,200.0,12610,-43.7,NA,NA,NA,240,21,363.4,NA,363.4
12Z 01 Jun 1986,16,193.0,12847,-45.1,NA,NA,NA,239,21,364.9,NA,364.9
12Z 01 Jun 1986,17,150.0,14480,-56.1,NA,NA,NA,235,23,373.2,NA,373.2
12Z 01 Jun 1986,18,147.0,14608,-56.9,NA,NA,NA,235,23,374.0,NA,374.0
12Z 01 Jun 1986,19,100.0,16970,-68.9,NA,NA,NA,230,27,394.4,NA,394.4
12Z 01 Jun 1986,20,91.0,17528,-71.1,NA,NA,NA,230,24,400.8,NA,400.8
12Z 01 Jun 1986,21,70.0,19090,-66.7,NA,NA,NA,215,25,441.4,NA,441.4
00Z 02 Jun 1986,0,1004.0,16,27.8,25.4,87,20.86,180,10,300.6,362.2,304.3
00Z 02 Jun 1986,1,1000.0,49,27.6,24.6,84,19.94,180,10,300.8,359.6,304.3
00Z 02 Jun 1986,2,920.0,787,23.8,22.4,92,18.94,218,12,304.1,360.8,307.6
00Z 02 Jun 1986,3,850.0,1478,19.8,16.8,83,14.37,255,13,306.9,350.4,309.5
00Z 02 Jun 1986,4,718.0,2917,12.0,7.4,73,9.08,264,10,313.5,341.9,315.2
00Z 02 Jun 1986,5,700.0,3130,10.4,6.0,74,8.45,265,10,314.0,340.6,315.6
00Z 02 Jun 1986,6,600.0,4395,2.0,-3.0,69,5.14,263,16,318.4,335.2,319.4
00Z 02 Jun 1986,7,564.0,4893,0.0,-8.0,55,3.73,262,18,321.7,334.3,322.4
00Z 02 Jun 1986,8,500.0,5850,-3.9,-14.9,42,2.42,260,22,328.2,336.8,328.7
00Z 02 Jun 1986,9,460.0,6508,-6.5,-20.5,32,1.64,254,18,332.9,338.9,333.2
00Z 02 Jun 1986,10,424.0,7129,-20.9,-37.9,20,0.35,249,14,322.3,323.7,322.4
00Z 02 Jun 1986,11,400.0,7564,-18.1,NA,NA,NA,245,11,331.4,NA,331.4
00Z 02 Jun 1986,12,300.0,9710,-30.1,NA,NA,NA,240,29,342.8,NA,342.8
00Z 02 Jun 1986,13,250.0,10980,-39.5,NA,NA,NA,215,25,347.2,NA,347.2
00Z 02 Jun 1986,14,220.0,11842,-45.9,NA,NA,NA,209,25,350.2,NA,350.2
00Z 02 Jun 1986,15,200.0,12470,-49.9,NA,NA,NA,205,25,353.6,NA,353.6
00Z 02 Jun 1986,16,175.0,13332,-55.5,NA,NA,NA,NA,NA,358.1,NA,358.1
12Z 02 Jun 1986,0,1001.0,16,30.0,25.2,76,20.67,360,0,303.1,364.8,306.8
12Z 02 Jun 1986,1,1000.0,26,29.8,25.0,75,20.44,359,0,302.9,363.9,306.6
12Z 02 Jun 1986,2,929.0,683,26.6,20.6,70,16.74,280,8,306.1,356.7,309.2
12Z 02 Jun 1986,3,850.0,1463,21.0,16.0,73,13.64,185,17,308.1,349.7,310.6
12Z 02 Jun 1986,4,812.0,1858,18.0,13.8,76,12.36,207,14,309.0,346.8,311.3
12Z 02 Jun 1986,5,705.0,3052,9.0,3.0,66,6.78,277,6,311.8,333.1,313.1
12Z 02 Jun 1986,6,700.0,3111,8.6,2.6,66,6.64,280,6,312.0,332.9,313.2
12Z 02 Jun 1986,7,600.0,4369,2.0,-7.0,51,3.79,264,10,318.4,331.0,319.1
12Z 02 Jun 1986,8,579.0,4655,0.6,-9.4,47,3.26,260,11,320.0,331.0,320.6
12Z 02 Jun 1986,9,560.0,4923,0.0,-11.0,43,2.96,257,12,322.4,332.5,322.9
12Z 02 Jun 1986,10,500.0,5820,-5.1,-17.1,38,2.01,245,15,326.8,333.9,327.2
12Z 02 Jun 1986,11,474.0,6237,-7.3,-19.3,38,1.76,241,17,329.1,335.4,329.4
