Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 08 Jul 1985,0,1000.0
12Z 08 Jul 1985,1,997.0,16,25.4,24.8,96,20.25,180,8,298.8,358.1,302.4
12Z 08 Jul 1985,2,916.0,762,23.0,22.2,95,18.79,NA,NA,303.7,359.8,307.1
12Z 08 Jul 1985,3,621.0,4071,7.6,5.2,85,9.01,NA,NA,321.7,350.9,323.4
12Z 08 Jul 1985,4,600.0,4355,5.6,3.0,83,7.98,NA,NA,322.6,348.6,324.1
12Z 08 Jul 1985,5,544.0,5149,0.0,-2.5,83,5.89,NA,NA,325.1,344.7,326.2
12Z 08 Jul 1985,6,511.0,5648,-3.9,-6.1,85,4.77,NA,NA,326.2,342.3,327.1
12Z 08 Jul 1985,7,429.0,7014,-10.1,-15.1,67,2.77,NA,NA,335.0,344.9,335.6
12Z 08 Jul 1985,8,334.0,8900,-21.9,-26.3,67,1.35,NA,NA,343.7,348.9,344.0
12Z 08 Jul 1985,9,242.0,11187,-39.7,-50.7,30,0.15,NA,NA,350.1,350.8,350.2
12Z 08 Jul 1985,10,170.0,13491,-60.9,NA,NA,NA,NA,NA,352.1,NA,352.1
00Z 09 Jul 1985,0,1000.0,-12
00Z 09 Jul 1985,1,997.0,16,25.2,24.6,96,20.00,135,8,298.6,357.1,302.2
00Z 09 Jul 1985,2,872.0,1185,22.0,21.0,94,18.32,265,11,306.9,362.4,310.3
00Z 09 Jul 1985,3,850.0,1406,20.0,18.2,89,15.73,290,11,307.1,354.7,310.0
00Z 09 Jul 1985,4,759.0,2377,16.0,11.4,74,11.28,284,12,312.9,348.0,315.0
00Z 09 Jul 1985,5,700.0,3060,12.0,9.4,84,10.69,280,12,315.7,349.4,317.8
00Z 09 Jul 1985,6,677.0,3338,10.5,8.6,88,10.43,120,44,317.1,350.2,319.1
00Z 09 Jul 1985,7,632.0,3911,7.4,6.8,96,9.91,NA,NA,319.9,351.6,321.8
00Z 09 Jul 1985,8,623.0,4030,7.0,2.4,73,7.36,NA,NA,320.7,344.6,322.1
00Z 09 Jul 1985,9,600.0,4338,5.0,3.8,92,8.45,NA,NA,321.9,349.3,323.5
00Z 09 Jul 1985,10,482.0,6100,-4.1,-4.6,96,5.68,NA,NA,331.4,350.8,332.6
00Z 11 Jul 1985,0,1002.0,16,27.0,26.2,95,21.96,180,8,300.0,364.7,303.9
00Z 11 Jul 1985,1,1000.0,38,24.0,23.2,95,18.28,180,8,297.1,350.2,300.4
00Z 11 Jul 1985,2,912.0,848,27.0,26.2,95,24.20,251,10,308.1,382.3,312.6
00Z 11 Jul 1985,3,869.0,1271,20.6,20.6,100,17.93,288,11,305.8,359.8,309.1
00Z 11 Jul 1985,4,850.0,1461,19.4,19.4,100,16.99,305,11,306.4,357.8,309.6
00Z 11 Jul 1985,5,782.0,2189,15.0,14.8,99,13.72,245,10,309.1,351.1,311.7
00Z 11 Jul 1985,6,700.0,3105,-9.1,-10.1,92,2.55,165,9,292.4,300.1,292.8
00Z 11 Jul 1985,7,673.0,3419,7.0,4.2,82,7.74,NA,NA,313.7,338.1,315.2
00Z 11 Jul 1985,8,303.0,10251,30.3,-60.7,0,0.04,NA,NA,426.8,427.0,426.8
00Z 15 Jul 1985,0,1002.0,16,25.4,23.9,91,19.05,140,8,298.4,354.0,301.8
00Z 15 Jul 1985,1,1000.0,37,25.4,23.4,89,18.51,140,8,298.6,352.6,301.9
00Z 15 Jul 1985,2,936.0,642,22.4,21.4,94,17.48,158,12,301.2,352.8,304.3
00Z 15 Jul 1985,3,850.0,1452,-19.5,-22.1,80,0.77,185,19,265.7,267.9,265.8
00Z 15 Jul 1985,4,826.0,1684,18.6,15.5,82,13.59,181,19,308.1,349.5,310.6
00Z 15 Jul 1985,5,700.0,3101,10.4,6.8,78,8.93,160,21,314.0,342.1,315.7
00Z 15 Jul 1985,6,666.0,3515,7.8,4.6,80,8.05,153,19,315.6,341.1,317.1
00Z 15 Jul 1985,7,600.0,4373,4.0,0.2,76,6.51,137,15,320.7,342.0,322.0
00Z 15 Jul 1985,8,542.0,5196,0.0,-3.7,76,5.40,122,10,325.4,343.5,326.4
00Z 15 Jul 1985,9,500.0,5840,-3.5,-6.9,77,4.59,110,7,328.7,344.4,329.6
00Z 15 Jul 1985,10,450.0,6665,-8.1,-11.5,77,3.55,89,7,333.0,345.4,333.7
00Z 15 Jul 1985,11,400.0,7570,-13.3,-16.3,78,2.69,65,7,337.6,347.4,338.2
00Z 15 Jul 1985,12,353.0,8517,-18.3,-21.5,76,1.96,74,7,343.2,350.5,343.6
00Z 15 Jul 1985,13,300.0,9720,-25.3,-32.3,52,0.85,85,8,349.6,353.0,349.8
00Z 15 Jul 1985,14,298.0,9769,-25.3,-32.3,52,0.86,NA,NA,350.3,353.7,350.5
00Z 15 Jul 1985,15,259.0,10770,-33.5,-41.5,44,0.39,NA,NA,352.5,354.2,352.6
12Z 15 Jul 1985,0,1002.0,16,29.0,23.0,70,18.02,180,12,302.0,355.4,305.2
12Z 15 Jul 1985,1,1000.0,35,28.2,22.2,70,17.17,180,12,301.4,352.1,304.4
12Z 15 Jul 1985,2,928.0,692,23.8,22.2,91,18.54,175,15,303.4,358.7,306.7
12Z 15 Jul 1985,3,850.0,1453,19.4,17.8,90,15.33,170,19,306.4,352.8,309.3
12Z 15 Jul 1985,4,806.0,1907,16.6,15.0,90,13.48,197,19,308.2,349.2,310.7
12Z 15 Jul 1985,5,740.0,2629,13.6,12.0,90,12.05,241,19,312.5,349.9,314.8
12Z 15 Jul 1985,6,700.0,3095,13.0,12.4,96,13.10,270,19,316.9,358.2,319.3
12Z 15 Jul 1985,7,665.0,3526,13.0,13.0,100,14.37,252,17,321.5,367.7,324.3
12Z 15 Jul 1985,8,600.0,4382,7.8,5.8,87,9.73,215,13,325.1,357.0,327.0
12Z 15 Jul 1985,9,546.0,5151,3.4,-0.2,77,6.96,181,9,328.8,352.1,330.1
12Z 15 Jul 1985,10,500.0,5860,0.8,-1.7,83,6.81,150,6,333.9,357.3,335.3
12Z 15 Jul 1985,11,488.0,6055,0.0,-2.1,86,6.77,152,6,335.3,358.6,336.7
12Z 15 Jul 1985,12,457.0,6580,-1.9,-3.3,90,6.61,156,6,339.3,362.4,340.6
12Z 15 Jul 1985,13,350.0,8651,-15.5,-17.5,85,2.78,174,7,347.8,358.2,348.4
12Z 15 Jul 1985,14,300.0,9800,-21.9,-25.1,75,1.67,185,7,354.4,361.0,354.8
12Z 15 Jul 1985,15,283.0,10231,-24.3,-28.3,69,1.32,163,13,356.9,362.2,357.2
12Z 15 Jul 1985,16,250.0,11130,-31.3,-35.5,66,0.75,115,26,359.4,362.5,359.6
12Z 15 Jul 1985,17,236.0,11537,-34.5,-40.5,54,0.48,116,32,360.5,362.6,360.6
12Z 15 Jul 1985,18,213.0,12250,-39.5,-50.5,30,0.18,119,43,363.5,364.3,363.5
12Z 15 Jul 1985,19,200.0,12680,-42.1,NA,NA,NA,120,50,365.9,NA,365.9
12Z 15 Jul 1985,20,153.0,14434,-55.5,NA,NA,NA,120,80,372.1,NA,372.1
12Z 15 Jul 1985,21,150.0,14564,-56.5,NA,NA,NA,120,68,372.5,NA,372.5
12Z 15 Jul 1985,22,136.0,15171,-62.7,NA,NA,NA,120,67,372.1,NA,372.1
12Z 15 Jul 1985,23,100.0,17010,-70.9,NA,NA,NA,120,62,390.5,NA,390.5
12Z 15 Jul 1985,24,81.0,17010,-76.7,NA,NA,NA,NA,NA,402.8,NA,402.8
12Z 15 Jul 1985,25,80.0,17010,-76.1,NA,NA,NA,NA,NA,405.5,NA,405.5
12Z 15 Jul 1985,26,70.0,17010,-74.3,NA,NA,NA,NA,NA,425.1,NA,425.1
12Z 15 Jul 1985,27,51.0,18866,-70.9,NA,NA,NA,NA,NA,473.3,NA,473.3
12Z 15 Jul 1985,28,50.0,18983,-70.1,NA,NA,NA,NA,NA,477.9,NA,477.9
12Z 15 Jul 1985,29,44.0,19745,-64.9,NA,NA,NA,NA,NA,508.4,NA,508.4
12Z 15 Jul 1985,30,35.0,21136,-62.5,NA,NA,NA,NA,NA,549.0,NA,549.0
12Z 15 Jul 1985,31,30.0,22081,-60.9,NA,NA,NA,NA,NA,578.0,NA,578.0
12Z 16 Jul 1985,0,1003.0,16,28.8,23.8,74,18.92,180,8,301.7,357.8,305.1
12Z 16 Jul 1985,1,1000.0,47,28.6,23.6,74,18.74,180,8,301.8,357.3,305.1
12Z 16 Jul 1985,2,934.0,658,27.4,24.0,82,20.61,172,10,306.5,368.9,310.2
12Z 16 Jul 1985,3,850.0,1492,23.2,18.2,73,15.73,160,12,310.4,358.8,313.4
12Z 16 Jul 1985,4,801.0,2009,20.4,14.4,68,13.04,174,12,312.8,353.3,315.2
12Z 16 Jul 1985,5,700.0,3166,15.4,9.4,67,10.69,205,12,319.5,353.7,321.6
12Z 16 Jul 1985,6,666.0,3588,13.4,7.4,67,9.79,201,12,321.8,353.5,323.7
12Z 16 Jul 1985,7,600.0,4460,7.8,3.0,72,7.98,191,12,325.1,351.4,326.7
12Z 16 Jul 1985,8,518.0,5657,0.0,-2.3,84,6.28,178,13,329.6,350.9,330.9
12Z 16 Jul 1985,9,500.0,5940,-1.5,-4.7,79,5.43,175,13,331.1,349.7,332.2
12Z 16 Jul 1985,10,458.0,6635,-5.1,-10.1,68,3.90,NA,NA,335.1,348.8,335.8
00Z 18 Jul 1985,0,1004.0,16,24.2,23.3,95,18.32,180,6,297.0,350.2,300.3
00Z 18 Jul 1985,1,1000.0,49,24.4,23.2,93,18.28,180,6,297.6,350.7,300.8
00Z 18 Jul 1985,2,947.0,527,27.0,25.7,93,22.57,182,8,304.9,372.9,308.9
00Z 18 Jul 1985,3,850.0,1470,21.2,20.0,93,17.65,185,11,308.3,362.1,311.6
00Z 18 Jul 1985,4,823.0,1749,19.6,18.2,92,16.26,189,11,309.5,359.2,312.5
00Z 18 Jul 1985,5,722.0,2869,16.8,13.8,82,13.93,206,13,318.2,362.4,320.9
00Z 18 Jul 1985,6,700.0,3132,15.4,11.0,75,11.92,210,13,319.5,357.6,321.8
00Z 18 Jul 1985,7,678.0,3401,14.0,8.0,67,10.03,208,13,320.9,353.2,322.8
00Z 18 Jul 1985,8,600.0,4419,8.4,4.0,74,8.57,201,13,325.8,354.1,327.5
00Z 18 Jul 1985,9,572.0,4812,7.4,3.8,78,8.87,198,12,329.1,358.7,330.9
00Z 18 Jul 1985,10,504.0,5837,0.0,-6.0,64,4.88,190,12,332.2,349.1,333.2
00Z 18 Jul 1985,11,500.0,5900,-0.5,-6.5,64,4.73,190,12,332.4,348.7,333.3
00Z 18 Jul 1985,12,461.0,6548,-4.1,-11.1,58,3.57,177,11,335.7,348.4,336.4
00Z 18 Jul 1985,13,428.0,7133,-7.3,-20.3,35,1.79,166,10,338.8,345.5,339.2
00Z 18 Jul 1985,14,400.0,7660,-10.1,-23.1,34,1.50,155,9,341.8,347.5,342.1
00Z 18 Jul 1985,15,356.0,8516,-14.1,-27.1,32,1.17,135,17,348.0,352.6,348.2
00Z 18 Jul 1985,16,302.0,9693,-23.3,-28.3,64,1.24,106,28,351.8,356.7,352.0
00Z 18 Jul 1985,17,300.0,9740,-23.5,NA,NA,NA,105,28,352.1,NA,352.1
00Z 18 Jul 1985,18,250.0,11140,-35.3,NA,NA,NA,115,21,353.4,NA,353.4
00Z 18 Jul 1985,19,200.0,12650,-46.7,NA,NA,NA,10,22,358.7,NA,358.7
00Z 18 Jul 1985,20,150.0,14500,-60.7,NA,NA,NA,60,48,365.3,NA,365.3
00Z 18 Jul 1985,21,144.0,14757,-55.9,NA,NA,NA,NA,NA,377.9,NA,377.9
12Z 18 Jul 1985,0,1001.0,16,29.0,24.7,78,20.04,180,8,302.1,361.6,305.7
12Z 18 Jul 1985,1,1000.0,27,28.8,24.6,78,19.94,180,8,301.9,361.2,305.5
12Z 18 Jul 1985,2,929.0,677,24.8,17.8,65,14.00,194,9,304.3,346.2,306.8
12Z 18 Jul 1985,3,850.0,1448,20.8,10.8,53,9.66,210,10,307.9,337.5,309.7
12Z 18 Jul 1985,4,793.0,2045,17.6,7.6,52,8.32,NA,NA,310.7,336.6,312.2
12Z 18 Jul 1985,5,680.0,3340,9.0,0.0,53,5.66,NA,NA,315.0,333.2,316.1
12Z 18 Jul 1985,6,600.0,4366,3.4,-4.6,56,4.55,NA,NA,320.0,335.1,320.9
12Z 18 Jul 1985,7,587.0,4544,2.4,-5.6,56,4.31,NA,NA,320.9,335.2,321.7
12Z 18 Jul 1985,8,550.0,5068,0.0,-8.0,55,3.83,NA,NA,324.0,337.0,324.8
12Z 18 Jul 1985,9,417.0,7237,-11.9,-20.9,47,1.74,NA,NA,335.4,341.8,335.8
00Z 19 Jul 1985,0,1002.0,16,25.2,24.3,95,19.53,180,8,298.2,355.2,301.6
00Z 19 Jul 1985,1,1000.0,34,25.2,24.2,94,19.45,180,8,298.4,355.2,301.8
00Z 19 Jul 1985,2,928.0,688,24.0,22.4,91,18.78,187,14,303.6,359.6,307.0
00Z 19 Jul 1985,3,850.0,1449,20.6,16.8,79,14.37,195,21,307.7,351.4,310.4
00Z 19 Jul 1985,4,830.0,1654,19.6,15.2,76,13.26,198,19,308.8,349.2,311.2
00Z 19 Jul 1985,5,700.0,3103,13.0,7.0,67,9.06,220,5,316.9,345.7,318.6
00Z 19 Jul 1985,6,651.0,3709,10.4,4.4,66,8.12,197,5,320.6,346.8,322.1
00Z 19 Jul 1985,7,600.0,4381,5.8,-1.2,61,5.88,172,5,322.8,342.2,323.9
00Z 19 Jul 1985,8,588.0,4546,4.6,-2.4,60,5.49,166,5,323.3,341.5,324.3
00Z 19 Jul 1985,9,515.0,5614,0.0,-7.0,59,4.42,124,5,330.2,345.4,331.1
00Z 19 Jul 1985,10,500.0,5850,-1.1,-8.1,59,4.18,115,5,331.6,346.1,332.5
00Z 19 Jul 1985,11,472.0,6311,-3.1,-7.8,70,4.53,115,6,334.7,350.5,335.6
00Z 19 Jul 1985,12,400.0,7610,-10.9,-15.9,67,2.78,115,8,340.7,350.9,341.3
00Z 19 Jul 1985,13,370.0,8206,-14.5,-19.1,68,2.30,118,12,343.6,352.2,344.1
00Z 19 Jul 1985,14,302.0,9721,-23.5,-38.5,24,0.46,125,21,351.5,353.4,351.6
00Z 19 Jul 1985,15,300.0,9770,-23.9,NA,NA,NA,125,21,351.6,NA,351.6
00Z 19 Jul 1985,16,250.0,11070,-33.5,NA,NA,NA,115,18,356.1,NA,356.1
00Z 19 Jul 1985,17,246.0,11183,-34.5,NA,NA,NA,NA,NA,356.3,NA,356.3
12Z 20 Jul 1985,0,1000.0,16,29.6,23.6,70,18.74,180,8,302.8,358.6,306.1
12Z 20 Jul 1985,1,936.0,601,27.2,23.4,80,19.81,188,12,306.1,365.9,309.7
12Z 20 Jul 1985,2,850.0,1443,23.0,18.0,73,15.53,200,17,310.2,357.9,313.1
12Z 20 Jul 1985,3,700.0,3112,13.0,10.0,82,11.14,180,10,316.9,352.1,319.0
12Z 20 Jul 1985,4,692.0,3208,12.4,9.4,82,10.81,178,10,317.2,351.5,319.3
12Z 20 Jul 1985,5,614.0,4202,8.0,3.8,75,8.25,162,12,323.2,350.2,324.8
12Z 20 Jul 1985,6,500.0,5860,-2.3,-12.3,46,2.99,135,15,330.2,340.7,330.8
00Z 21 Jul 1985,0,1004.0,16,25.0,23.5,91,18.55,180,10,297.8,351.8,301.1
00Z 21 Jul 1985,1,1000.0,51,24.8,23.4,92,18.51,180,10,297.9,351.9,301.2
00Z 21 Jul 1985,2,929.0,693,20.4,20.4,100,16.53,194,16,299.8,348.3,302.8
00Z 21 Jul 1985,3,850.0,1456,17.0,9.0,59,8.54,210,23,303.9,329.8,305.5
00Z 21 Jul 1985,4,804.0,1929,14.2,10.6,79,10.08,NA,NA,305.8,336.4,307.7
00Z 21 Jul 1985,5,683.0,3295,8.6,6.4,86,8.90,NA,NA,314.2,342.2,315.9
00Z 21 Jul 1985,6,600.0,4358,3.2,-0.3,78,6.28,NA,NA,319.8,340.2,321.0
00Z 21 Jul 1985,7,592.0,4467,2.8,-0.1,81,6.46,NA,NA,320.5,341.6,321.8
00Z 21 Jul 1985,8,541.0,5194,0.0,-4.3,73,5.17,NA,NA,325.6,342.9,326.6
00Z 21 Jul 1985,9,519.0,5526,-0.7,-5.7,69,4.85,NA,NA,328.6,345.1,329.6
00Z 21 Jul 1985,10,417.0,7245,-10.1,-18.1,52,2.22,NA,NA,337.7,345.9,338.2
12Z 21 Jul 1985,0,1003.0,16,28.2,23.2,74,18.22,180,8,301.1,354.9,304.4
12Z 21 Jul 1985,1,1000.0,47,28.4,22.4,70,17.39,175,26,301.6,353.0,304.7
12Z 21 Jul 1985,2,929.0,700,26.6,21.9,75,18.17,186,25,306.1,361.0,309.4
12Z 21 Jul 1985,3,863.0,1347,22.8,15.8,65,13.26,198,24,308.7,349.1,311.1
12Z 21 Jul 1985,4,850.0,1479,22.2,14.2,60,12.12,200,24,309.4,346.6,311.6
12Z 21 Jul 1985,5,754.0,2509,17.0,8.0,55,9.00,191,15,314.5,342.9,316.2
12Z 21 Jul 1985,6,700.0,3137,14.0,3.0,47,6.83,185,10,318.0,340.0,319.3
12Z 21 Jul 1985,7,666.0,3540,12.2,-0.8,41,5.45,172,10,320.5,338.4,321.6
12Z 21 Jul 1985,8,600.0,4374,7.8,-2.2,49,5.46,144,9,325.1,343.4,326.2
12Z 21 Jul 1985,9,561.0,4905,5.0,-4.0,52,5.10,126,8,328.1,345.4,329.1
12Z 21 Jul 1985,10,503.0,5754,0.0,-10.0,47,3.58,97,7,332.4,344.9,333.1
12Z 21 Jul 1985,11,500.0,5800,-0.3,-10.3,47,3.51,95,7,332.6,344.9,333.3
12Z 21 Jul 1985,12,302.0,9780,-22.5,-36.5,27,0.56,100,23,352.9,355.2,353.0
12Z 21 Jul 1985,13,300.0,9830,-22.7,-36.7,27,0.55,100,23,353.3,355.6,353.4
12Z 21 Jul 1985,14,250.0,11050,-32.7,-44.7,29,0.29,85,29,357.3,358.6,357.4
12Z 21 Jul 1985,15,235.0,11483,-35.9,-46.9,31,0.24,78,28,358.8,359.9,358.9
12Z 21 Jul 1985,16,200.0,12580,-46.5,NA,NA,NA,60,26,359.0,NA,359.0
12Z 21 Jul 1985,17,182.0,13200,-52.7,NA,NA,NA,60,26,358.7,NA,358.7
12Z 21 Jul 1985,18,150.0,14420,-64.1,NA,NA,NA,60,27,359.5,NA,359.5
12Z 21 Jul 1985,19,142.0,14752,-67.7,NA,NA,NA,NA,NA,358.9,NA,358.9
00Z 22 Jul 1985,0,1006.0,16,23.2,22.9,98,17.83,180,7,295.8,347.3,299.0
00Z 22 Jul 1985,1,1000.0,67,23.0,22.4,96,17.39,190,6,296.1,346.4,299.2
00Z 22 Jul 1985,2,975.0,288,22.2,22.0,99,17.41,195,9,297.5,348.1,300.6
00Z 22 Jul 1985,3,880.0,1174,18.6,17.4,93,14.42,214,21,302.6,345.5,305.2
00Z 22 Jul 1985,4,850.0,1471,17.4,16.0,91,13.64,220,25,304.4,345.2,306.9
00Z 22 Jul 1985,5,771.0,2303,14.0,12.4,90,11.87,233,19,309.3,345.7,311.5
00Z 22 Jul 1985,6,700.0,3112,9.0,9.4,103,10.67,245,13,312.4,345.6,314.4
00Z 22 Jul 1985,7,696.0,3160,9.2,9.2,100,10.60,NA,NA,313.1,346.2,315.1
00Z 22 Jul 1985,8,602.0,4351,2.4,1.8,96,7.29,NA,NA,318.6,342.1,319.9
12Z 22 Jul 1985,0,1003.0,16,27.0,24.7,87,20.00,180,8,299.9,358.8,303.5
12Z 22 Jul 1985,1,1000.0,48,26.8,24.4,87,19.69,180,8,299.9,357.9,303.5
12Z 22 Jul 1985,2,956.0,444,25.6,24.0,91,20.12,181,14,302.6,362.5,306.2
12Z 22 Jul 1985,3,850.0,1466,20.6,18.4,87,15.93,185,31,307.7,356.1,310.6
12Z 22 Jul 1985,4,823.0,1744,19.6,17.0,85,15.04,187,33,309.5,355.5,312.3
12Z 22 Jul 1985,5,701.0,3107,13.4,10.3,82,11.35,200,41,317.2,353.1,319.3
12Z 22 Jul 1985,6,700.0,3119,13.4,10.2,81,11.29,200,41,317.3,353.1,319.4
12Z 22 Jul 1985,7,600.0,4410,6.2,3.2,81,8.09,131,34,323.2,349.7,324.8
12Z 22 Jul 1985,8,592.0,4520,5.6,3.5,86,8.38,125,33,323.8,351.2,325.4
12Z 22 Jul 1985,9,522.0,5550,1.4,-0.3,88,7.23,69,27,330.6,355.0,332.0
12Z 22 Jul 1985,10,508.0,5759,-26.3,-40.3,26,0.23,57,26,299.6,300.4,299.6
12Z 22 Jul 1985,11,500.0,5880,-0.7,-3.1,84,6.13,50,25,332.1,353.1,333.4
12Z 22 Jul 1985,12,400.0,7630,-10.3,-14.3,72,3.18,20,20,341.5,353.1,342.2
12Z 22 Jul 1985,13,300.0,9790,-23.5,-33.5,39,0.76,20,27,352.1,355.2,352.3
12Z 22 Jul 1985,14,250.0,11110,-32.9,NA,NA,NA,80,19,357.0,NA,357.0
12Z 22 Jul 1985,15,200.0,12630,-46.5,NA,NA,NA,105,23,359.0,NA,359.0
12Z 22 Jul 1985,16,150.0,14450,-63.3,NA,NA,NA,85,41,360.8,NA,360.8
00Z 23 Jul 1985,0,1006.0,16,24.6,23.4,93,18.40,180,8,297.2,350.7,300.5
