Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 02 Aug 1985,0,1002.0,16,29.0,25.0,79,20.40,180,12,302.0,362.6,305.6
12Z 02 Aug 1985,1,1000.0,36,29.0,25.0,79,20.44,180,12,302.1,362.9,305.8
12Z 02 Aug 1985,2,957.0,428,26.4,25.6,95,22.19,158,14,303.3,369.7,307.3
12Z 02 Aug 1985,3,850.0,1469,20.6,20.4,99,18.11,100,18,307.7,362.7,311.0
12Z 02 Aug 1985,4,700.0,3134,11.6,10.0,90,11.14,160,22,315.3,350.3,317.4
12Z 02 Aug 1985,5,698.0,3158,11.4,9.8,90,11.02,161,22,315.3,350.0,317.4
12Z 02 Aug 1985,6,600.0,4415,6.8,3.8,81,8.45,194,26,323.9,351.6,325.6
12Z 02 Aug 1985,7,522.0,5546,0.0,-3.5,77,5.69,225,30,328.9,348.2,330.0
12Z 02 Aug 1985,8,500.0,5890,-2.3,-6.1,75,4.88,235,31,330.2,346.9,331.1
12Z 02 Aug 1985,9,487.0,6100,-3.3,-7.3,74,4.57,236,32,331.4,347.2,332.4
12Z 02 Aug 1985,10,425.0,7171,-8.1,-12.3,72,3.52,239,35,338.5,351.1,339.2
12Z 02 Aug 1985,11,400.0,7640,-12.3,-19.3,56,2.09,240,37,338.9,346.6,339.3
12Z 02 Aug 1985,12,319.0,9329,-24.3,-35.3,35,0.60,NA,NA,344.9,347.3,345.0
12Z 03 Aug 1985,0,1001.0,16,28.8,25.1,80,20.54,360,0,301.9,362.9,305.6
12Z 03 Aug 1985,1,1000.0,25,28.6,25.2,82,20.69,1,0,301.8,363.2,305.5
12Z 03 Aug 1985,2,941.0,565,26.6,23.2,82,19.46,62,4,305.0,363.5,308.5
12Z 03 Aug 1985,3,850.0,1456,21.4,17.6,79,15.13,165,11,308.6,354.7,311.4
12Z 03 Aug 1985,4,700.0,3119,12.4,8.2,76,9.84,225,7,316.2,347.3,318.1
12Z 03 Aug 1985,5,699.0,3131,12.2,7.4,72,9.33,225,7,316.1,345.6,317.9
12Z 03 Aug 1985,6,634.0,3943,8.2,-0.8,53,5.73,257,6,320.5,339.3,321.6
12Z 03 Aug 1985,7,600.0,4396,5.2,-1.8,61,5.62,275,6,322.1,340.7,323.2
12Z 03 Aug 1985,8,541.0,5233,0.0,-5.0,69,4.90,309,5,325.6,342.1,326.5
12Z 03 Aug 1985,9,500.0,5860,-3.1,-8.1,68,4.18,335,4,329.2,343.6,330.0
12Z 03 Aug 1985,10,459.0,6537,-5.9,-10.9,68,3.65,42,4,333.8,346.7,334.6
12Z 03 Aug 1985,11,400.0,7610,-11.1,-20.1,47,1.95,150,5,340.5,347.7,340.9
12Z 03 Aug 1985,12,375.0,8103,-13.5,-23.5,43,1.54,NA,NA,343.6,349.5,343.9
00Z 04 Aug 1985,0,1003.0,16,-25.5,-35.5,39,0.19,360,0,247.4,248.0,247.5
00Z 04 Aug 1985,1,1000.0,43,25.4,24.4,94,19.69,357,0,298.6,356.1,302.1
00Z 04 Aug 1985,2,925.0,725,22.6,20.8,90,17.03,284,4,302.4,353.0,305.5
00Z 04 Aug 1985,3,850.0,1456,19.2,17.2,88,14.75,205,9,306.2,350.8,308.9
00Z 04 Aug 1985,4,821.0,1754,18.0,16.0,88,14.13,197,9,308.0,351.0,310.6
00Z 04 Aug 1985,5,700.0,3098,10.4,8.2,86,9.84,160,9,314.0,344.8,315.8
00Z 04 Aug 1985,6,500.0,5830,-2.9,-6.1,79,4.88,80,8,329.4,346.1,330.4
00Z 04 Aug 1985,7,400.0,7570,-11.7,-17.7,61,2.39,55,8,339.7,348.5,340.2
00Z 04 Aug 1985,8,300.0,9730,-24.3,-37.3,29,0.52,55,15,351.0,353.2,351.1
00Z 04 Aug 1985,9,250.0,11040,-33.7,NA,NA,NA,50,21,355.8,NA,355.8
00Z 04 Aug 1985,10,200.0,12570,-45.9,NA,NA,NA,35,28,359.9,NA,359.9
00Z 04 Aug 1985,11,150.0,14090,-60.9,NA,NA,NA,25,43,365.0,NA,365.0
12Z 04 Aug 1985,0,1000.0,6
12Z 04 Aug 1985,1,999.0,16,-31.5,-36.1,64,0.18,NA,NA,241.7,242.2,241.8
12Z 04 Aug 1985,2,926.0,664,29.2,26.4,85,24.11,NA,NA,309.1,383.2,313.5
12Z 04 Aug 1985,3,850.0,1472,23.4,21.4,89,19.29,155,9,310.6,370.0,314.2
12Z 04 Aug 1985,4,700.0,3132,10.2,6.6,78,8.81,126,9,313.8,341.4,315.4
12Z 04 Aug 1985,5,500.0,5850,-4.9,-14.9,45,2.42,75,10,327.0,335.5,327.5
00Z 06 Aug 1985,0,1000.0,-10
00Z 06 Aug 1985,1,999.0,16,24.6,23.8,95,18.99,135,8,297.8,353.2,301.2
00Z 06 Aug 1985,2,930.0,643,22.4,20.6,90,16.72,137,8,301.7,351.3,304.8
00Z 06 Aug 1985,3,850.0,1424,19.8,17.8,88,15.33,140,7,306.9,353.3,309.7
00Z 06 Aug 1985,4,799.0,1956,17.0,14.6,86,13.25,142,12,309.4,349.9,311.8
00Z 06 Aug 1985,5,700.0,3076,11.8,9.6,86,10.84,145,24,315.5,349.6,317.6
00Z 06 Aug 1985,6,633.0,3911,7.0,4.8,86,8.59,142,26,319.2,346.9,320.9
00Z 06 Aug 1985,7,600.0,4349,5.2,2.6,83,7.75,140,27,322.1,347.4,323.6
00Z 06 Aug 1985,8,517.0,5553,0.0,-3.5,77,5.75,136,30,329.8,349.3,330.9
00Z 06 Aug 1985,9,500.0,5820,-1.1,-4.7,77,5.43,135,31,331.6,350.2,332.7
00Z 06 Aug 1985,10,473.0,6265,-3.1,-6.9,75,4.85,137,26,334.5,351.4,335.4
00Z 06 Aug 1985,11,428.0,7054,-8.5,-16.5,52,2.47,142,16,337.3,346.3,337.8
00Z 06 Aug 1985,12,400.0,7580,-11.1,-19.1,52,2.12,145,10,340.5,348.4,340.9
00Z 06 Aug 1985,13,366.0,8262,-14.5,-28.5,29,1.00,139,11,344.7,348.6,344.9
00Z 06 Aug 1985,14,325.0,9153,-22.1,-37.1,24,0.49,131,11,346.1,348.1,346.2
00Z 06 Aug 1985,15,300.0,9740,-26.5,-37.1,36,0.53,125,12,347.9,350.1,348.0
00Z 06 Aug 1985,16,265.0,10622,-32.5,-37.1,63,0.60,118,11,351.7,354.2,351.8
00Z 06 Aug 1985,17,250.0,11030,-34.5,-37.1,77,0.64,115,11,354.6,357.3,354.8
00Z 06 Aug 1985,18,213.0,12118,-47.9,NA,NA,NA,111,9,350.4,NA,350.4
00Z 06 Aug 1985,19,200.0,12530,-52.1,NA,NA,NA,110,8,350.1,NA,350.1
00Z 06 Aug 1985,20,177.0,13304,-61.3,NA,NA,NA,NA,NA,347.4,NA,347.4
00Z 06 Aug 1985,21,154.0,14158,-65.7,NA,NA,NA,NA,NA,354.0,NA,354.0
12Z 06 Aug 1985,0,1000.0,0
12Z 06 Aug 1985,1,998.0,16,28.4,23.4,74,18.55,180,12,301.7,356.7,305.1
12Z 06 Aug 1985,2,920.0,740,24.4,22.8,91,19.42,162,15,304.7,363.0,308.2
12Z 06 Aug 1985,3,850.0,1433,20.0,18.4,91,15.93,145,17,307.1,355.3,310.0
12Z 06 Aug 1985,4,795.0,2009,16.4,15.8,96,14.41,155,20,309.2,353.2,311.8
12Z 06 Aug 1985,5,700.0,3089,11.8,8.8,82,10.26,175,26,315.5,347.9,317.5
12Z 06 Aug 1985,6,600.0,4367,5.4,1.6,76,7.21,180,NA,322.3,345.9,323.7
12Z 06 Aug 1985,7,522.0,5496,0.0,-4.7,71,5.20,184,NA,328.9,346.6,329.9
12Z 06 Aug 1985,8,500.0,5840,-1.5,-7.5,64,4.38,185,NA,331.1,346.3,332.0
12Z 06 Aug 1985,9,445.0,6762,-5.5,-12.5,58,3.31,NA,NA,337.3,349.2,338.0
12Z 06 Aug 1985,10,389.0,7809,-10.1,-15.1,67,3.06,NA,NA,344.5,355.8,345.1
12Z 06 Aug 1985,11,294.0,9913,-23.3,-35.3,32,0.65,NA,NA,354.5,357.2,354.6
12Z 06 Aug 1985,12,223.0,11873,-38.5,-46.5,43,0.26,NA,NA,360.3,361.4,360.3
12Z 06 Aug 1985,13,172.0,13597,-54.3,NA,NA,NA,NA,NA,361.9,NA,361.9
00Z 07 Aug 1985,0,1000.0,8
00Z 07 Aug 1985,1,999.0,16,25.4,22.4,83,17.41,135,10,298.6,349.5,301.7
00Z 07 Aug 1985,2,957.0,398,27.6,26.0,91,22.74,144,13,304.6,373.0,308.7
00Z 07 Aug 1985,3,869.0,1249,21.4,20.4,94,17.70,165,21,306.6,360.1,309.9
00Z 07 Aug 1985,4,850.0,1442,20.6,19.4,93,16.99,170,23,307.7,359.3,310.8
00Z 07 Aug 1985,5,700.0,3101,14.4,11.4,82,12.24,195,21,318.4,357.3,320.7
00Z 07 Aug 1985,6,641.0,3851,11.6,8.0,79,10.61,182,20,323.3,357.8,325.4
00Z 07 Aug 1985,7,600.0,4407,7.8,4.0,77,8.57,172,19,325.1,353.3,326.8
00Z 07 Aug 1985,8,500.0,5900,-2.3,-7.3,69,4.45,145,17,330.2,345.5,331.1
00Z 07 Aug 1985,9,469.0,6413,0.8,-0.2,93,8.11,144,16,340.1,368.4,341.8
00Z 07 Aug 1985,10,461.0,6552,0.0,-5.0,69,5.76,143,16,340.8,361.2,342.0
00Z 07 Aug 1985,11,418.0,7333,-4.5,-4.5,100,6.60,141,15,344.7,368.2,346.1
00Z 07 Aug 1985,12,400.0,7680,-5.7,-6.9,91,5.74,140,15,347.5,368.3,348.7
00Z 07 Aug 1985,13,340.0,8943,-10.1,-16.1,61,3.22,163,16,358.0,370.4,358.7
00Z 07 Aug 1985,14,300.0,9900,-14.3,-17.3,78,3.30,180,17,365.1,378.2,365.9
00Z 07 Aug 1985,15,295.0,10027,-14.9,-17.5,81,3.30,NA,NA,366.0,379.1,366.8
12Z 07 Aug 1985,0,1000.0,1
12Z 07 Aug 1985,1,998.0,16,26.8,24.2,86,19.49,180,8,300.1,357.5,303.6
12Z 07 Aug 1985,2,850.0,1422,19.4,15.2,77,12.94,200,17,306.4,345.6,308.8
12Z 07 Aug 1985,3,806.0,1880,17.4,12.4,72,11.35,197,18,309.0,343.8,311.1
12Z 07 Aug 1985,4,700.0,3080,12.2,6.2,67,8.57,190,21,316.0,343.2,317.6
12Z 07 Aug 1985,5,600.0,4360,6.2,0.2,65,6.51,137,19,323.2,344.7,324.5
12Z 07 Aug 1985,6,552.0,5041,3.2,-2.8,65,5.67,109,18,327.5,346.6,328.6
12Z 07 Aug 1985,7,500.0,5840,0.2,-9.8,47,3.65,75,17,333.2,346.1,333.9
12Z 07 Aug 1985,8,496.0,5905,0.0,-10.0,47,3.63,75,17,333.7,346.5,334.5
12Z 07 Aug 1985,9,419.0,7248,-5.5,-21.5,27,1.65,85,19,343.2,349.4,343.5
12Z 07 Aug 1985,10,336.0,8958,-14.7,-27.7,32,1.18,98,22,352.9,357.6,353.2
12Z 07 Aug 1985,11,300.0,9810,-20.5,-34.5,27,0.69,105,23,356.4,359.2,356.5
12Z 07 Aug 1985,12,265.0,10714,-27.5,-41.5,25,0.38,105,18,359.0,360.7,359.1
12Z 07 Aug 1985,13,250.0,11130,-30.3,NA,NA,NA,105,15,360.9,NA,360.9
12Z 07 Aug 1985,14,224.0,11908,-35.5,NA,NA,NA,95,16,364.4,NA,364.4
12Z 07 Aug 1985,15,200.0,12690,-42.5,NA,NA,NA,85,17,365.3,NA,365.3
12Z 07 Aug 1985,16,175.0,13577,-50.5,NA,NA,NA,80,19,366.4,NA,366.4
12Z 07 Aug 1985,17,150.0,14567,-57.9,NA,NA,NA,75,21,370.1,NA,370.1
12Z 07 Aug 1985,18,131.0,15407,-64.5,NA,NA,NA,NA,NA,372.9,NA,372.9
00Z 08 Aug 1985,0,1000.0,8
00Z 08 Aug 1985,1,999.0,16,24.4,23.5,95,18.64,180,10,297.6,351.9,300.9
00Z 08 Aug 1985,2,953.0,431,24.2,24.2,100,20.44,179,13,301.5,362.0,305.1
00Z 08 Aug 1985,3,850.0,1426,18.4,17.2,93,14.75,175,19,305.4,349.8,308.1
00Z 08 Aug 1985,4,700.0,3075,10.8,9.2,90,10.54,220,29,314.4,347.5,316.4
00Z 08 Aug 1985,5,686.0,3244,10.0,8.4,90,10.19,219,28,315.3,347.4,317.3
00Z 08 Aug 1985,6,600.0,4348,3.6,1.8,88,7.32,209,23,320.2,344.0,321.6
00Z 08 Aug 1985,7,548.0,5080,0.0,-3.7,76,5.34,202,19,324.4,342.2,325.4
00Z 08 Aug 1985,8,500.0,5810,-4.1,-11.1,58,3.29,195,15,328.0,339.4,328.6
00Z 08 Aug 1985,9,464.0,6396,-7.5,-17.5,45,2.10,168,16,330.8,338.3,331.2
00Z 08 Aug 1985,10,411.0,7333,-11.9,-21.9,43,1.62,125,19,336.8,342.8,337.1
00Z 08 Aug 1985,11,400.0,7540,-13.3,-23.3,43,1.47,115,19,337.6,343.1,337.9
00Z 08 Aug 1985,12,300.0,9670,-28.5,-37.5,42,0.51,NA,NA,345.1,347.2,345.2
00Z 08 Aug 1985,13,250.0,10950,-38.0,-48.8,31,0.18,NA,NA,349.4,350.2,349.5
00Z 08 Aug 1985,14,243.0,11145,-39.5,-50.5,30,0.15,NA,NA,350.0,350.7,350.1
00Z 08 Aug 1985,15,200.0,12447,-50.5,NA,NA,NA,NA,NA,352.6,NA,352.6
00Z 08 Aug 1985,16,191.0,12745,-53.1,NA,NA,NA,NA,NA,353.1,NA,353.1
00Z 08 Aug 1985,17,144.0,14497,-69.5,NA,NA,NA,NA,NA,354.3,NA,354.3
12Z 09 Aug 1985,0,1000.0,-1
12Z 09 Aug 1985,1,998.0,16,29.8,26.5,83,22.46,360,0,303.1,370.3,307.2
12Z 09 Aug 1985,2,944.0,515,27.2,26.4,95,23.64,313,3,305.3,376.8,309.6
12Z 09 Aug 1985,3,850.0,1444,22.8,20.8,88,18.57,225,8,310.0,367.0,313.4
12Z 09 Aug 1985,4,712.0,2977,16.4,13.8,85,14.13,212,15,319.1,364.0,321.8
12Z 09 Aug 1985,5,600.0,4419,9.4,2.4,62,7.64,200,21,326.9,352.4,328.5
12Z 09 Aug 1985,6,484.0,6174,0.0,-4.7,71,5.61,185,30,336.1,355.6,337.2
12Z 09 Aug 1985,7,447.0,6808,-3.1,-7.7,71,4.82,179,33,339.9,357.1,340.9
12Z 09 Aug 1985,8,276.0,10454,-27.5,-33.5,57,0.82,145,51,354.9,358.2,355.0
12Z 09 Aug 1985,9,218.0,12115,-37.7,-42.3,62,0.43,128,60,363.8,365.7,363.9
12Z 09 Aug 1985,10,137.0,15106,-62.9,NA,NA,NA,95,78,371.1,NA,371.1
12Z 09 Aug 1985,11,123.0,15800,-68.7,NA,NA,NA,NA,NA,372.1,NA,372.1
12Z 09 Aug 1985,12,97.0,17192,-77.1,NA,NA,NA,NA,NA,381.8,NA,381.8
00Z 10 Aug 1985,0,1001.0,16,26.0,25.4,97,20.93,360,0,299.1,360.4,302.8
00Z 10 Aug 1985,1,1000.0,22,25.8,25.2,97,20.69,360,0,298.9,359.6,302.6
00Z 10 Aug 1985,2,938.0,580,23.2,23.2,100,19.52,334,1,301.8,359.7,305.3
00Z 10 Aug 1985,3,850.0,1427,18.6,17.4,93,14.94,295,3,305.6,350.6,308.4
00Z 10 Aug 1985,4,807.0,1873,16.2,14.2,88,12.77,255,4,307.6,346.5,310.0
00Z 10 Aug 1985,5,700.0,3077,10.8,7.8,82,9.57,145,6,314.4,344.5,316.2
00Z 10 Aug 1985,6,600.0,4355,4.8,0.6,74,6.71,129,8,321.6,343.6,322.9
00Z 10 Aug 1985,7,582.0,4604,3.8,-0.5,74,6.38,126,8,323.3,344.3,324.5
00Z 10 Aug 1985,8,527.0,5409,0.0,-5.0,69,5.03,115,9,328.0,345.1,329.0
