Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 01 Sep 1985,0,1000.0,16,28.8,24.5,78,19.82,180,12,301.9,360.8,305.5
12Z 01 Sep 1985,1,850.0,1450,21.2,16.2,73,13.82,175,26,308.3,350.4,310.9
12Z 01 Sep 1985,2,700.0,3120,12.2,6.2,67,8.57,160,36,316.0,343.2,317.6
12Z 01 Sep 1985,3,500.0,5870,0.2,NA,NA,NA,140,30,333.2,NA,333.2
12Z 01 Sep 1985,4,400.0,7630,-10.3,NA,NA,NA,190,22,341.5,NA,341.5
12Z 01 Sep 1985,5,300.0,9780,-25.7,NA,NA,NA,55,38,349.0,NA,349.0
00Z 05 Sep 1985,0,1000.0,16,26.0,24.0,89,19.21,180,12,299.1,355.5,302.6
00Z 05 Sep 1985,1,951.0,460,25.4,19.4,69,15.15,177,14,302.9,348.0,305.6
00Z 05 Sep 1985,2,850.0,1445,21.2,19.0,87,16.56,170,18,308.3,358.8,311.4
00Z 05 Sep 1985,3,700.0,3109,13.8,11.0,83,11.92,185,18,317.7,355.5,320.0
00Z 05 Sep 1985,4,689.0,3243,13.4,10.6,83,11.79,186,18,318.7,356.3,321.0
00Z 05 Sep 1985,5,600.0,4397,8.2,2.2,66,7.53,196,18,325.6,350.5,327.0
00Z 05 Sep 1985,6,500.0,5880,0.6,-9.4,47,3.77,210,17,333.7,347.0,334.5
00Z 05 Sep 1985,7,300.0,9830,-21.1,NA,NA,NA,135,19,355.5,NA,355.5
00Z 05 Sep 1985,8,250.0,11150,-31.9,NA,NA,NA,115,18,358.5,NA,358.5
00Z 05 Sep 1985,9,200.0,12680,-45.9,NA,NA,NA,90,27,359.9,NA,359.9
12Z 05 Sep 1985,0,1000.0,-2
12Z 05 Sep 1985,1,998.0,16,29.4,26.0,82,21.78,200,4,302.7,367.7,306.6
12Z 05 Sep 1985,2,943.0,520,27.2,25.6,91,22.53,198,6,305.4,373.5,309.5
