Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 08 Jan 1985,0,1014.0,20,13.0,11.0,88,8.19,360,0,285.0,307.9,286.4
00Z 08 Jan 1985,1,1000.0,127,15.6,13.4,87,9.75,210,13,288.8,316.3,290.4
00Z 08 Jan 1985,2,850.0,1491,8.0,4.6,79,6.29,210,15,294.5,313.0,295.6
00Z 08 Jan 1985,3,700.0,3070,1.2,NA,NA,NA,330,20,303.8,NA,303.8
00Z 08 Jan 1985,4,500.0,5700,-13.1,NA,NA,NA,275,56,317.0,NA,317.0
00Z 08 Jan 1985,5,400.0,7360,-25.9,NA,NA,NA,270,57,321.2,NA,321.2
00Z 08 Jan 1985,6,300.0,9380,-41.3,NA,NA,NA,NA,NA,327.0,NA,327.0
00Z 09 Jan 1985,0,1014.0,20,15.0,14.0,94,10.00,NA,NA,287.0,315.0,288.7
00Z 09 Jan 1985,1,1000.0,138,20.0,18.5,91,13.59,290,8,293.1,331.9,295.5
00Z 09 Jan 1985,2,850.0,1512,13.0,NA,NA,NA,245,16,299.8,NA,299.8
00Z 09 Jan 1985,3,700.0,3115,7.0,NA,NA,NA,245,25,310.2,NA,310.2
00Z 09 Jan 1985,4,500.0,5790,-10.5,NA,NA,NA,260,30,320.2,NA,320.2
00Z 09 Jan 1985,5,400.0,7460,-23.5,NA,NA,NA,285,57,324.4,NA,324.4
00Z 09 Jan 1985,6,300.0,9510,-33.3,NA,NA,NA,260,63,338.3,NA,338.3
00Z 09 Jan 1985,7,250.0,10760,-41.9,NA,NA,NA,255,71,343.6,NA,343.6
00Z 09 Jan 1985,8,200.0,12230,-53.5,NA,NA,NA,300,48,347.9,NA,347.9
00Z 12 Jan 1985,0,1013.0,20,11.0,8.9,87,7.11,360,0,283.1,302.9,284.3
00Z 12 Jan 1985,1,1000.0,128,14.0,11.6,85,8.65,255,16,287.1,311.5,288.6
00Z 12 Jan 1985,2,900.0,1014,14.0,-10.0,18,2.00,258,16,295.9,302.2,296.3
00Z 12 Jan 1985,3,850.0,1491,11.0,-18.0,11,1.10,260,16,297.7,301.3,297.9
00Z 12 Jan 1985,4,700.0,3093,7.4,NA,NA,NA,262,16,310.6,NA,310.6
00Z 12 Jan 1985,5,500.0,5760,-11.1,NA,NA,NA,265,16,319.4,NA,319.4
00Z 14 Jan 1985,0,1015.0,20,10.6,9.0,90,7.14,360,0,282.6,302.4,283.8
00Z 14 Jan 1985,1,1000.0,144,17.6,11.6,68,8.65,280,14,290.8,315.5,292.3
00Z 14 Jan 1985,2,850.0,1512,9.0,4.7,74,6.34,305,15,295.6,314.3,296.7
00Z 14 Jan 1985,3,700.0,3087,-0.3,-15.3,31,1.67,300,26,302.1,307.6,302.4
00Z 14 Jan 1985,4,500.0,5730,-13.1,NA,NA,NA,270,47,317.0,NA,317.0
00Z 14 Jan 1985,5,400.0,7400,-25.3,NA,NA,NA,275,48,322.0,NA,322.0
00Z 14 Jan 1985,6,300.0,9420,-42.7,NA,NA,NA,NA,NA,325.1,NA,325.1
00Z 15 Jan 1985,0,1014.0,20,9.8,9.1,95,7.20,NA,NA,281.8,301.7,283.1
00Z 15 Jan 1985,1,1000.0,124,16.4,10.4,68,7.97,285,6,289.6,312.3,290.9
00Z 15 Jan 1985,2,850.0,1489,8.2,2.2,66,5.30,280,10,294.7,310.5,295.7
00Z 15 Jan 1985,3,700.0,3064,2.0,-9.0,44,2.78,285,20,304.7,313.6,305.2
00Z 15 Jan 1985,4,500.0,5700,-14.3,NA,NA,NA,285,45,315.5,NA,315.5
00Z 15 Jan 1985,5,400.0,7340,-21.3,NA,NA,NA,278,63,327.2,NA,327.2
00Z 15 Jan 1985,6,255.0,NA,NA,NA,NA,NA,265,98
00Z 16 Jan 1985,0,1013.0,20,13.0,11.0,88,8.20,360,0,285.1,308.0,286.5
00Z 16 Jan 1985,1,1000.0,126,16.0,11.6,75,8.65,260,6,289.1,313.7,290.7
00Z 16 Jan 1985,2,900.0,1013,13.2,11.2,88,9.36,260,6,295.1,322.3,296.8
00Z 16 Jan 1985,3,850.0,1488,8.4,5.7,83,6.80,260,6,294.9,314.9,296.1
00Z 16 Jan 1985,4,700.0,3063,-3.3,-13.3,46,1.97,280,14,298.8,305.1,299.2
00Z 16 Jan 1985,5,500.0,5650,-16.5,-18.6,84,1.77,280,58,312.9,318.9,313.2
00Z 23 Jan 1985,0,1014.0,20,12.4,8.4,77,6.86,360,2,284.4,303.7,285.6
00Z 23 Jan 1985,1,1000.0,134,-27.1,-27.7,95,0.40,270,106,246.1,247.1,246.1
00Z 23 Jan 1985,2,900.0,993,13.2,8.7,74,7.90,267,39,295.1,318.2,296.5
00Z 23 Jan 1985,3,850.0,1494,11.2,5.2,67,6.56,265,3,297.9,317.4,299.1
00Z 23 Jan 1985,4,700.0,3075,0.0,NA,NA,NA,280,13,302.4,NA,302.4
00Z 23 Jan 1985,5,500.0,5600,-16.1,NA,NA,NA,295,8,313.4,NA,313.4
00Z 23 Jan 1985,6,400.0,7250,-26.1,NA,NA,NA,280,17,321.0,NA,321.0
00Z 01 Jan 1986,0,1013.0,20,11.6,11.0,96,8.20,360,0,283.7,306.4,285.1
00Z 01 Jan 1986,1,1000.0,124,14.8,12.2,84,9.00,305,3,287.9,313.3,289.5
00Z 01 Jan 1986,2,900.0,1025,12.8,6.8,67,6.93,16,98,294.7,315.0,295.9
00Z 01 Jan 1986,3,850.0,1509,9.8,5.5,75,6.70,55,150,296.4,316.2,297.6
00Z 01 Jan 1986,4,700.0,3140,11.8,NA,NA,NA,295,28,315.5,NA,315.5
00Z 01 Jan 1986,5,500.0,5940,-2.9,NA,NA,NA,285,30,329.4,NA,329.4
00Z 01 Jan 1986,6,400.0,7690,-16.7,NA,NA,NA,280,31,333.2,NA,333.2
00Z 01 Jan 1986,7,300.0,9830,-32.9,NA,NA,NA,280,61,338.9,NA,338.9
00Z 01 Jan 1986,8,250.0,11086,-42.9,NA,NA,NA,280,72,342.1,NA,342.1
00Z 01 Jan 1986,9,238.0,11422,-45.2,NA,NA,NA,290,118,343.5,NA,343.5
00Z 01 Jan 1986,10,200.0,12610,-53.5,NA,NA,NA,NA,NA,347.9,NA,347.9
00Z 04 Jan 1986,0,1013.0,20,10.0,10.0,100,7.66,NA,NA,282.1,303.3,283.4
00Z 04 Jan 1986,1,1000.0,127,11.0,9.7,92,7.61,300,306,284.1,305.4,285.4
00Z 04 Jan 1986,2,979.3,304,11.1,NA,NA,NA,305,8,285.9,NA,285.9
00Z 04 Jan 1986,3,911.2,914,11.2,NA,NA,NA,15,8,292.0,NA,292.0
00Z 04 Jan 1986,4,850.0,1502,11.4,NA,NA,NA,100,18,298.1,NA,298.1
00Z 04 Jan 1986,5,700.0,3154,17.4,NA,NA,NA,260,12,321.7,NA,321.7
00Z 04 Jan 1986,6,556.0,5077,0.0,NA,NA,NA,250,17,323.0,NA,323.0
00Z 04 Jan 1986,7,500.0,5930,-3.9,NA,NA,NA,245,20,328.2,NA,328.2
00Z 04 Jan 1986,8,400.0,7680,-19.7,NA,NA,NA,250,25,329.3,NA,329.3
00Z 04 Jan 1986,9,300.0,9821,-34.1,NA,NA,NA,255,60,337.2,NA,337.2
00Z 04 Jan 1986,10,250.0,11070,-44.5,NA,NA,NA,250,30,339.8,NA,339.8
00Z 04 Jan 1986,11,200.0,12570,-52.9,NA,NA,NA,205,88,348.8,NA,348.8
00Z 04 Jan 1986,12,150.0,14390,-64.7,NA,NA,NA,255,132,358.4,NA,358.4
00Z 04 Jan 1986,13,132.0,15230,-42.5,NA,NA,NA,100,195,411.3,NA,411.3
00Z 04 Jan 1986,14,125.0,15587,-33.1,NA,NA,NA,NA,NA,434.8,NA,434.8
00Z 05 Jan 1986,0,1011.0,20,11.2,10.4,95,7.89,360,0,283.5,305.4,284.8
00Z 05 Jan 1986,1,1000.0,143,13.0,10.2,83,7.87,295,9,286.1,308.3,287.5
00Z 05 Jan 1986,2,900.0,1041,12.0,8.8,81,7.95,301,7,293.9,317.0,295.3
00Z 05 Jan 1986,3,850.0,1524,9.4,NA,NA,NA,305,6,296.0,NA,296.0
00Z 05 Jan 1986,4,700.0,3161,7.6,NA,NA,NA,285,14,310.9,NA,310.9
00Z 05 Jan 1986,5,500.0,5840,-8.1,NA,NA,NA,250,51,323.1,NA,323.1
00Z 05 Jan 1986,6,405.0,7530,-16.2,NA,NA,NA,240,88,332.6,NA,332.6
00Z 05 Jan 1986,7,400.0,7630,-16.7,NA,NA,NA,240,88,333.2,NA,333.2
00Z 06 Jan 1986,0,1013.0,20,11.2,10.0,92,7.66,360,0,283.3,304.6,284.6
00Z 06 Jan 1986,1,1000.0,122,13.0,12.8,99,9.37,325,4,286.1,312.3,287.8
00Z 06 Jan 1986,2,920.0,833,14.6,9.6,72,8.22,19,9,294.7,318.6,296.1
00Z 06 Jan 1986,3,850.0,1504,10.2,4.2,66,6.12,70,13,296.8,315.0,297.9
00Z 06 Jan 1986,4,700.0,3130,9.2,NA,NA,NA,285,27,312.6,NA,312.6
00Z 06 Jan 1986,5,500.0,5860,-9.9,NA,NA,NA,285,35,320.9,NA,320.9
00Z 06 Jan 1986,6,400.0,7560,-18.9,NA,NA,NA,280,50,330.3,NA,330.3
00Z 06 Jan 1986,7,300.0,9700,-28.9,NA,NA,NA,NA,NA,344.5,NA,344.5
00Z 11 Jan 1986,0,1013.0,20,14.4,13.0,91,9.37,360,0,286.5,312.7,288.1
00Z 11 Jan 1986,1,1000.0,129,17.4,12.5,73,9.18,40,2,290.6,316.7,292.2
00Z 11 Jan 1986,2,920.0,843,11.6,8.1,79,7.44,354,4,291.6,313.1,292.9
00Z 11 Jan 1986,3,850.0,1509,8.0,4.0,76,6.03,310,5,294.5,312.3,295.6
00Z 11 Jan 1986,4,700.0,3125,3.6,NA,NA,NA,290,15,306.4,NA,306.4
00Z 11 Jan 1986,5,500.0,5820,-11.5,NA,NA,NA,235,18,318.9,NA,318.9
00Z 20 Jan 1986,0,1014.0,20,11.4,8.9,85,7.10,360,0,283.4,303.2,284.6
00Z 20 Jan 1986,1,1000.0,137,16.6,13.6,82,9.88,225,4,289.8,317.7,291.5
00Z 20 Jan 1986,2,920.0,850,14.6,11.5,82,9.34,156,37,294.7,321.8,296.4
00Z 20 Jan 1986,3,850.0,1517,9.0,-8.0,29,2.47,90,68,295.6,303.2,296.0
00Z 20 Jan 1986,4,650.0,3699,0.0,NA,NA,NA,129,95,308.9,NA,308.9
00Z 20 Jan 1986,5,326.0,8882,-26.0,NA,NA,NA,230,164,340.4,NA,340.4
00Z 20 Jan 1986,6,270.0,10298,-33.1,NA,NA,NA,NA,NA,348.9,NA,348.9
00Z 23 Jan 1986,0,1013.0,20,12.8,10.0,83,7.66,360,0,284.9,306.3,286.2
00Z 23 Jan 1986,1,1000.0,128,17.4,11.4,68,8.53,245,4,290.6,314.9,292.0
00Z 23 Jan 1986,2,920.0,847,13.6,NA,NA,NA,245,6,293.7,NA,293.7
00Z 23 Jan 1986,3,850.0,1519,10.0,NA,NA,NA,245,8,296.6,NA,296.6
00Z 23 Jan 1986,4,700.0,3222,6.6,NA,NA,NA,325,24,309.8,NA,309.8
00Z 23 Jan 1986,5,500.0,5910,-7.7,NA,NA,NA,270,28,323.6,NA,323.6
00Z 23 Jan 1986,6,400.0,7640,-18.5,NA,NA,NA,265,35,330.9,NA,330.9
00Z 23 Jan 1986,7,300.0,9740,-38.5,NA,NA,NA,275,39,331.0,NA,331.0
00Z 23 Jan 1986,8,250.0,10980,-48.7,NA,NA,NA,NA,NA,333.5,NA,333.5
00Z 24 Jan 1986,0,1013.0,20,13.0,10.0,82,7.66,290,4,285.1,306.6,286.4
00Z 24 Jan 1986,1,1000.0,127,15.0,12.2,83,9.00,285,22,288.1,313.6,289.7
00Z 24 Jan 1986,2,920.0,844,11.0,NA,NA,NA,293,26,291.0,NA,291.0
00Z 24 Jan 1986,3,850.0,1481,-20.7,NA,NA,NA,300,29,264.4,NA,264.4
00Z 24 Jan 1986,4,700.0,3104,0.0,NA,NA,NA,285,63,302.4,NA,302.4
00Z 24 Jan 1986,5,505.0,5650,-12.1,NA,NA,NA,290,98,317.3,NA,317.3
00Z 24 Jan 1986,6,486.0,5949,-13.5,NA,NA,NA,NA,NA,319.1,NA,319.1
00Z 27 Jan 1986,0,1015.0,20,13.8,13.0,95,9.35,NA,NA,285.7,311.8,287.3
00Z 27 Jan 1986,1,1000.0,145,14.1,NA,NA,NA,NA,NA,287.2,NA,287.2
00Z 27 Jan 1986,2,981.3,304,14.5,NA,NA,NA,340,15,289.2,NA,289.2
00Z 27 Jan 1986,3,946.5,609,15.3,NA,NA,NA,295,5,293.1,NA,293.1
00Z 27 Jan 1986,4,920.0,848,16.0,NA,NA,NA,264,5,296.1,NA,296.1
00Z 27 Jan 1986,5,912.7,914,15.7,NA,NA,NA,255,5,296.4,NA,296.4
00Z 27 Jan 1986,6,640.0,3835,0.0,NA,NA,NA,NA,NA,310.3,NA,310.3
00Z 27 Jan 1986,7,190.0,12509,-58.3,NA,NA,NA,NA,NA,345.3,NA,345.3
00Z 29 Jan 1986,0,1014.0,20,13.0,11.0,88,8.19,NA,NA,285.0,307.9,286.4
00Z 29 Jan 1986,1,1000.0,135,18.0,14.5,80,10.48,360,5,291.1,321.0,293.0
00Z 29 Jan 1986,2,981.2,304,17.8,13.9,78,10.29,360,7,292.5,322.0,294.3
00Z 29 Jan 1986,3,948.2,609,17.4,12.9,75,9.95,360,8,295.0,323.8,296.7
00Z 29 Jan 1986,4,920.0,879,17.0,12.0,72,9.66,311,9,297.1,325.4,298.9
00Z 29 Jan 1986,5,916.3,914,16.7,11.9,73,9.62,305,9,297.1,325.3,298.9
00Z 29 Jan 1986,6,850.0,1575,10.2,9.5,95,8.84,260,17,296.8,322.7,298.4
