Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 03 Oct 1985,0,1009.0,20,NA,NA,NA,NA,330,4
00Z 03 Oct 1985,1,700.0,3150,9.6,3.6,66,7.13,295,9,313.1,335.6,314.4
00Z 03 Oct 1985,2,500.0,5830,-9.1,NA,NA,NA,45,9,321.9,NA,321.9
00Z 03 Oct 1985,3,400.0,7510,-18.3,NA,NA,NA,315,13,331.1,NA,331.1
00Z 03 Oct 1985,4,300.0,9700,-32.9,NA,NA,NA,295,47,338.9,NA,338.9
00Z 03 Oct 1985,5,250.0,10960,-42.5,NA,NA,NA,295,47,342.7,NA,342.7
00Z 05 Oct 1985,0,1007.0,20,26.0,25.0,94,20.29,90,3,298.6,357.9,302.2
00Z 05 Oct 1985,1,1000.0,-83,-22.6,-26.0,74,0.46,105,3,250.6,251.8,250.6
00Z 05 Oct 1985,2,961.0,304,-22.7,-27.9,62,0.40,115,6,253.3,254.5,253.4
00Z 05 Oct 1985,3,931.4,609,-22.7,-29.5,54,0.36,105,7,255.6,256.6,255.6
00Z 05 Oct 1985,4,902.6,914,-22.8,-31.0,47,0.32,95,6,257.8,258.8,257.9
00Z 05 Oct 1985,5,850.0,1499,-22.9,-33.9,36,0.26,95,6,262.1,262.9,262.2
00Z 05 Oct 1985,6,789.2,2133,-18.5,-31.8,30,0.34,130,10,272.4,273.5,272.5
00Z 05 Oct 1985,7,700.0,3158,-11.5,-28.5,23,0.52,120,11,289.7,291.5,289.8
00Z 06 Oct 1985,0,1010.0,20,26.4,23.9,86,18.90,360,0,298.7,354.0,302.1
00Z 06 Oct 1985,1,1000.0,10,27.0,26.0,94,21.73,195,5,300.1,364.3,304.0
00Z 06 Oct 1985,2,900.0,992,19.6,15.4,77,12.37,159,8,301.7,338.4,303.9
00Z 06 Oct 1985,3,850.0,1516,19.0,7.0,46,7.44,140,10,306.0,328.9,307.4
00Z 06 Oct 1985,4,700.0,3155,9.4,NA,NA,NA,100,16,312.9,NA,312.9
00Z 06 Oct 1985,5,500.0,5850,-5.5,NA,NA,NA,175,25,326.3,NA,326.3
00Z 07 Oct 1985,0,1007.0,20,25.4,23.9,91,18.96,360,0,298.0,353.2,301.3
00Z 07 Oct 1985,1,1000.0,79,26.8,24.4,87,19.69,245,4,299.9,357.9,303.5
00Z 07 Oct 1985,2,900.0,996,20.8,19.4,92,16.02,216,5,302.9,350.6,305.8
00Z 07 Oct 1985,3,850.0,1487,19.6,14.6,73,12.44,200,6,306.7,344.4,308.9
