Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 03 Oct 1985, 41883, 851003/0000, 24.85, 89.36, 20.0, 5733.30, 0.00
 00Z 05 Oct 1985, 41883, 851005/0000, 24.85, 89.36, 20.0, 0.00, 0.00, 0.00, 0.00, 247.63, 902.65, 254.99, 1.46, 1.86
 00Z 06 Oct 1985, 41883, 851006/0000, 24.85, 89.36, 20.0, 6.37, -4.05, -5.18, 129.01, 12.50, 24.50, 37.00, 392.84, 719.43, -0.35, 0.00, 928.71, 938.73, 295.78, 951.08, 300.07, 18.81, 5840.00, 24.51
 00Z 07 Oct 1985, 41883, 851007/0000, 24.85, 89.36, 20.0, -2.35, -6.44, -7.14, 206.20, 38.10, 22.10, 27.10, 49.20, 2938.70, 3157.37, -6.89, -4.32, 132.40, 131.18, 907.18, 917.35, 5110.81, 5491.11, 295.95, 948.73, 300.46, 18.84, 5731.00, 54.33
 00Z 09 Oct 1985, 41883, 851009/0000, 24.85, 89.36, 20.0, 1.29, -1.89, -2.42, 190.98, 31.10, 19.30, 23.10, 42.40, 773.15, 929.99, -35.70, -16.77, 800.52, 860.08, 128.83, 154.96, 294.01, 936.81, 299.57, 16.93, 5751.00, 50.12
 00Z 10 Oct 1985, 41883, 851010/0000, 24.85, 89.36, 20.0, 3.14, -1.85, -2.48, 181.40, 31.80, 16.70, 22.70, 39.40, 1312.54, 1522.99, -49.68, -25.51, 815.27, 858.04, 312.47, 362.57, 295.76, 954.10, 299.79, 18.58, 5774.00, 50.58
 00Z 11 Oct 1985, 41883, 851011/0000, 24.85, 89.36, 20.0, -0.91, -3.61, -4.12, 209.99, 37.30, 20.50, 25.50, 46.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 298.13, 1026.03, 296.02, 20.01, 5673.00, 54.62
 00Z 12 Oct 1985, 41883, 851012/0000, 24.85, 89.36, 20.0, -3.50, -4.99, -5.56, 395.58, 39.30, 23.40, 24.70, 48.10, 2447.80, 2640.96, -0.60, -0.05, 932.96, 944.12, 604.49, 652.19, 297.12, 968.17, 299.91, 19.87, 5760.00, 63.43
 00Z 13 Oct 1985, 41883, 851013/0000, 24.85, 89.36, 20.0, -1.93, 4.30, 3.73, 205.98, 32.80, 22.20, 24.30, 46.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 289.49, 926.42, 295.89, 12.85, 5781.00, 37.78
 00Z 16 Oct 1985, 41883, 851016/0000, 24.85, 89.36, 20.0, 1.63, -1.04, -1.28, 371.02, 34.30, 19.00, 21.30, 40.30, 317.80, 417.09, -14.05, -8.26, 865.88, 888.73, 11.92, 15.65, 294.90, 944.44, 299.77, 17.72, 5759.00, 60.78
 00Z 18 Oct 1985, 41883, 851018/0000, 24.85, 89.36, 20.0, -7.09, -8.23, 23.88, 3875.25, 4367.96, 0.00, 0.00, 123.83, 122.97, 986.02, 986.02, 588.73, 663.58, 297.08, 986.02, 298.31, 18.90, 5638.83, 0.58
 00Z 20 Oct 1985, 41883, 851020/0000, 24.85, 89.36, 20.0, 3.41, 55.19, 55.18, 210.42, 18.90, 19.10, 38.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 247.31, 856.73, 258.58, 0.76, 5939.00, 5.47
 00Z 02 Oct 1986, 41883, 861002/0000, 24.85, 89.36, 20.0, 2.24, 26.55, 26.89, 242.01, 30.80, 19.10, 22.30, 41.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 276.91, 959.31, 280.44, 18.74, 5997.00, 46.52
 00Z 04 Oct 1986, 41883, 861004/0000, 24.85, 89.36, 20.0, -0.08, -5.24, -5.66, 201.81, 16.00, 21.00, 25.10, 46.10, 1151.62, 1391.15, -6.32, -2.19, 289.17, 289.00, 901.10, 923.03, 155.05, 187.30, 295.20, 959.57, 298.73, 17.79, 5824.00, 44.46
 00Z 08 Oct 1986, 41883, 861008/0000, 24.85, 89.36, 20.0, -3.51, 31.03, 31.53, 272.20, 40.00, 24.70, 24.70, 49.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 273.09, 972.43, 275.49, 8.73, 5924.00, 51.71
 00Z 09 Oct 1986, 41883, 861009/0000, 24.85, 89.36, 20.0, -20.80, 14.31, 14.39, 1180.01, 47.60, 42.00, 42.60, 84.60, 0.00, 0.00, 0.00, 0.00, 272.18, 971.63, 274.65, 8.30, 5921.00, 36.36
