Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 05 Nov 1985,0,1011.0,20,20.6,20.0,96,14.78,90,3,292.8,334.9,295.4
00Z 05 Nov 1985,1,1000.0,113,21.6,18.0,80,13.16,90,10,294.8,332.6,297.1
00Z 05 Nov 1985,2,900.0,1039,-18.5,-24.5,59,0.59,340,6,262.4,264.1,262.5
00Z 05 Nov 1985,3,850.0,1509,-12.5,-20.5,51,0.89,280,4,273.0,275.7,273.2
00Z 05 Nov 1985,4,700.0,3104,-3.5,-12.5,50,2.10,360,7,298.6,305.2,299.0
00Z 05 Nov 1985,5,500.0,5770,-9.5,NA,NA,NA,280,44,321.4,NA,321.4
00Z 05 Nov 1985,6,400.0,7460,-19.7,NA,NA,NA,280,82,329.3,NA,329.3
00Z 05 Nov 1985,7,300.0,9530,-33.3,NA,NA,NA,275,101,338.3,NA,338.3
00Z 05 Nov 1985,8,298.0,9576,-33.6,NA,NA,NA,275,104,338.5,NA,338.5
00Z 05 Nov 1985,9,250.0,10790,-42.1,NA,NA,NA,255,81,343.3,NA,343.3
00Z 05 Nov 1985,10,200.0,12260,-53.3,NA,NA,NA,NA,NA,348.2,NA,348.2
00Z 08 Nov 1985,0,1010.0,20,18.8,18.0,95,13.03,NA,NA,291.1,328.0,293.4
00Z 08 Nov 1985,1,1000.0,109,21.0,21.0,100,15.93,320,11,294.1,339.8,296.9
00Z 08 Nov 1985,2,900.0,1013,15.4,10.4,72,8.87,275,12,297.4,323.4,299.0
00Z 08 Nov 1985,3,850.0,1494,10.6,4.6,66,6.29,250,13,297.2,316.0,298.4
00Z 08 Nov 1985,4,700.0,3089,4.4,NA,NA,NA,225,19,307.3,NA,307.3
00Z 08 Nov 1985,5,500.0,5750,-12.5,NA,NA,NA,285,30,317.7,NA,317.7
00Z 08 Nov 1985,6,400.0,7420,-23.5,NA,NA,NA,275,55,324.4,NA,324.4
