Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 04 Dec 1985,0,1012.0,20,15.0,13.0,88,9.38,315,21,287.2,313.5,288.8
00Z 04 Dec 1985,1,1000.0,121,19.4,19.4,100,14.39,310,5,292.6,333.5,295.1
00Z 04 Dec 1985,2,900.0,1021,13.6,13.2,97,10.70,326,6,295.5,326.5,297.4
00Z 04 Dec 1985,3,850.0,1501,10.2,8.9,92,8.49,335,6,296.8,321.7,298.3
00Z 04 Dec 1985,4,700.0,3091,4.0,NA,NA,NA,325,6,306.9,NA,306.9
00Z 04 Dec 1985,5,500.0,5770,-9.3,NA,NA,NA,315,45,321.6,NA,321.6
00Z 04 Dec 1985,6,400.0,7470,-18.3,NA,NA,NA,35,55,331.1,NA,331.1
00Z 04 Dec 1985,7,300.0,9560,-34.9,NA,NA,NA,305,80,336.1,NA,336.1
00Z 04 Dec 1985,8,250.0,10810,-46.1,NA,NA,NA,305,70,337.4,NA,337.4
00Z 04 Dec 1985,9,200.0,12260,-56.9,NA,NA,NA,NA,NA,342.5,NA,342.5
00Z 07 Dec 1985,0,1011.0,20,15.2,12.9,86,9.33,360,2,287.4,313.6,289.1
00Z 07 Dec 1985,1,1000.0,112,21.4,18.3,83,13.41,40,17,294.6,333.1,296.9
00Z 07 Dec 1985,2,900.0,900,15.6,12.5,82,10.21,40,14,297.6,327.5,299.4
00Z 07 Dec 1985,3,850.0,1320,13.4,-8.6,21,2.36,40,12,300.2,307.6,300.6
00Z 07 Dec 1985,4,500.0,5950,-3.5,NA,NA,NA,315,25,328.7,NA,328.7
00Z 07 Dec 1985,5,400.0,7710,-16.5,NA,NA,NA,330,27,333.5,NA,333.5
00Z 07 Dec 1985,6,300.0,9850,-34.5,NA,NA,NA,295,43,336.6,NA,336.6
00Z 07 Dec 1985,7,250.0,11120,-42.9,NA,NA,NA,NA,NA,342.1,NA,342.1
00Z 15 Dec 1985,0,1012.0,20,13.4,12.0,91,8.77,NA,NA,285.6,310.1,287.1
00Z 15 Dec 1985,1,900.0,1032,15.2,11.9,81,9.81,NA,NA,297.2,325.9,298.9
00Z 15 Dec 1985,2,850.0,1525,12.6,11.4,92,10.05,270,14,299.3,329.0,301.1
00Z 15 Dec 1985,3,700.0,3070,10.4,NA,NA,NA,290,4,314.0,NA,314.0
00Z 15 Dec 1985,4,500.0,5840,-7.7,NA,NA,NA,NA,NA,323.6,NA,323.6
00Z 15 Dec 1985,5,400.0,7590,-13.3,NA,NA,NA,NA,NA,337.6,NA,337.6
00Z 16 Dec 1985,0,1012.0,20,15.6,14.0,90,10.02,NA,NA,287.8,315.9,289.5
00Z 16 Dec 1985,1,1000.0,117,18.0,16.2,89,11.71,285,4,291.1,324.4,293.2
00Z 16 Dec 1985,2,997.0,143,-77.9,-126.9,0,0.00,286,4,195.4,195.4,195.4
00Z 16 Dec 1985,3,850.0,1496,13.6,9.3,75,8.72,330,3,300.4,326.4,302.0
00Z 16 Dec 1985,4,700.0,3133,10.0,NA,NA,NA,330,3,313.5,NA,313.5
00Z 16 Dec 1985,5,500.0,5900,-5.5,NA,NA,NA,280,18,326.3,NA,326.3
00Z 16 Dec 1985,6,400.0,7650,-16.9,NA,NA,NA,275,19,332.9,NA,332.9
