Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 04 Dec 1985, 41883, 851204/0000, 24.85, 89.36, 20.0, 6.23, 2.14, 1.64, 163.81, 18.20, 19.50, 37.70, 85.45, 186.16, -0.45, -0.41, 677.10, 687.58, 941.48, 941.54, 10.79, 23.50, 290.73, 979.12, 292.51, 13.18, 5649.00, 19.14
 00Z 07 Dec 1985, 41883, 851207/0000, 24.85, 89.36, 20.0, 20.35, 7.88, 7.37, 49.01, -5.10, 16.90, 11.80, 0.00, 1.14, 0.00, -22.34, 842.44, 856.19, 0.00, 0.08, 289.03, 935.87, 294.59, 12.34, 5838.00, 16.53
 00Z 15 Dec 1985, 41883, 851215/0000, 24.85, 89.36, 20.0, 4.11, 12.32, 12.08, 19.10, 20.30, 39.40, 0.00, 0.00, 0.00, 0.00, 284.70, 956.24, 288.41, 9.02, 5717.06, 15.68
 00Z 16 Dec 1985, 41883, 851216/0000, 24.85, 89.36, 20.0, 7.62, 80.79, 80.79, 135.59, 14.80, 19.10, 33.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 189.57, 525.86, 227.75, 2.54, 5783.00, 8.05
 00Z 19 Dec 1985, 41883, 851219/0000, 24.85, 89.36, 20.0, 6.09, 31.50, 31.48, 52.81, 13.10, 27.10, 40.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 263.68, 866.39, 274.86, 3.33, 5926.00, 4.21
 00Z 22 Dec 1985, 41883, 851222/0000, 24.85, 89.36, 20.0, 10.75, 10.43, 21.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.42, 929.15, 291.50, 9.65, 5838.00, 1.57
 00Z 25 Dec 1985, 41883, 851225/0000, 24.85, 89.36, 20.0, 7.77, 20.42, 20.32, 133.79, 15.50, 20.50, 36.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 273.95, 863.58, 285.70, 4.93, 5725.00, 9.63
 00Z 27 Dec 1985, 41883, 851227/0000, 24.85, 89.36, 20.0, 1.62, 3.27, 2.87, 202.60, 21.90, 23.10, 45.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 287.41, 940.28, 292.54, 10.99, 5749.00, 17.64
 00Z 04 Dec 1986, 41883, 861204/0000, 24.85, 89.36, 20.0, 3.01, 2.76, 25.30, 227.85, 241.29, -622.22, -472.37, 470.86, 469.52, 44.52, 47.14, 285.38, 967.61, 288.10, 9.12, 5672.00, 1.30
 00Z 05 Dec 1986, 41883, 861205/0000, 24.85, 89.36, 20.0, 7.65, 7.36, 23.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.96, 956.88, 289.62, 9.81, 5766.00, 9.11
 00Z 08 Dec 1986, 41883, 861208/0000, 24.85, 89.36, 20.0, 58.91, 58.91, 20.50, 0.00, 0.00, 0.00, 0.00, 236.31, 799.19, 251.67, 7.21, 5786.00, 4.12
 00Z 10 Dec 1986, 41883, 861210/0000, 24.85, 89.36, 20.0, 0.00, 0.00, 0.00, 0.00, 288.29, 939.08, 293.54, 11.66, ********, 11.17
 00Z 15 Dec 1986, 41883, 861215/0000, 24.85, 89.36, 20.0, 51.31, 56.40, 0.00, 0.00, 983.40, 983.40, 287.89, 983.40, 289.28, 10.85, 15.53
 00Z 20 Dec 1986, 41883, 861220/0000, 24.85, 89.36, 20.0, 0.00, 0.00, 0.00, 0.00, 283.02, 940.90, 288.00, 8.24, 11.56
 00Z 21 Dec 1986, 41883, 861221/0000, 24.85, 89.36, 20.0, -5.31, -6.11, -6.51, 390.00, 36.00, 28.50, 32.50, 61.00, 773.23, 875.51, -76.86, -65.49, 371.13, 372.58, 784.24, 795.75, 25.48, 28.85, 288.43, 965.04, 291.39, 11.44, 5675.00, 26.02
 00Z 23 Dec 1986, 41883, 861223/0000, 24.85, 89.36, 20.0, 3.10, 2.82, 31.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.57, 951.16, 289.70, 9.40, 5675.00, 1.34
 00Z 24 Dec 1986, 41883, 861224/0000, 24.85, 89.36, 20.0, 4.13, 3.92, 26.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 282.92, 938.59, 288.12, 8.17, 5609.00, 7.78
 00Z 25 Dec 1986, 41883, 861225/0000, 24.85, 89.36, 20.0, 5.48, 5.21, 25.40, 0.00, 0.00, 0.00, 0.00, 284.53, 931.53, 290.39, 9.17, 5807.00, 8.84
 00Z 27 Dec 1986, 41883, 861227/0000, 24.85, 89.36, 20.0, 7.38, 3.51, 3.25, 180.45, 13.30, 26.30, 39.60, 0.00, 0.00, 0.00, 0.00, 283.68, 919.99, 290.55, 8.81, 5676.00, 11.82
 00Z 28 Dec 1986, 41883, 861228/0000, 24.85, 89.36, 20.0, 7.52, 7.29, 22.30, 0.00, 0.00, 0.00, 0.00, 283.24, 931.95, 289.03, 8.27, 5667.00, 1.27
 00Z 08 Dec 1997, 41883, 971208/0000, 24.85, 89.36, 20.0, 6.78, 3.25, 3.05, 13.90, 15.70, 22.70, 38.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 287.20, 926.55, 293.55, 11.00, 5688.00, 31.23
 00Z 15 Dec 1997, 41883, 971215/0000, 24.85, 89.36, 20.0, 10.35, 7.84, 7.56, -22.20, 14.40, 18.50, 32.90, 23.13, 76.75, -65.52, -48.44, 672.54, 657.60, 798.65, 830.14, 71.03, 235.66, 285.94, 956.18, 289.65, 9.90, 5594.00, 18.42
 00Z 20 Dec 2007, 41883, 071220/0000, 24.85, 89.36, 20.0, 14.13, 14.21, 14.16, 87.00, -11.10, 1.70, 22.70, 24.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 280.75, 906.83, 288.74, 7.54, 5830.00, 16.79
 00Z 10 Dec 2008, 41883, 081210/0000, 24.85, 89.36, 20.0, 9.52, 7.87, 7.54, 114.59, 13.90, 12.10, 20.10, 32.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 286.45, 915.36, 293.80, 11.65, 5712.00, 46.81
 00Z 17 Dec 2008, 41883, 081217/0000, 24.85, 89.36, 20.0, 6.65, 5.73, 5.45, 126.21, 6.50, 15.90, 21.90, 37.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 288.73, 981.91, 290.27, 11.47, 5694.00, 32.99
 00Z 28 Dec 2009, 41883, 091228/0000, 24.85, 89.36, 20.0, 11.03, 7.83, 7.61, 61.18, -7.70, 11.70, 20.70, 32.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 284.14, 929.01, 290.20, 8.97, 5608.00, 17.68
 00Z 05 Dec 2010, 41883, 101205/0000, 24.85, 89.36, 20.0, 10.95, 7.41, 7.12, 66.01, 4.50, 6.30, 24.30, 30.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 287.04, 947.77, 291.51, 10.67, 5683.00, 22.22
 00Z 13 Dec 2010, 41883, 101213/0000, 24.85, 89.36, 20.0, 7.61, 9.69, 9.58, 146.19, 2.70, 16.90, 19.10, 36.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 283.34, 912.28, 290.90, 8.64, 5644.00, 23.79
 00Z 27 Dec 2010, 41883, 101227/0000, 24.85, 89.36, 20.0, 12.48, 9.05, 8.88, 49.01, -6.70, 9.30, 20.30, 29.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 284.22, 936.32, 289.64, 8.92, 5640.00, 19.57
 00Z 08 Dec 2013, 41883, 131208/0000, 24.85, 89.36, 20.0, 5.40, 3.49, 3.17, 174.19, 4.70, 18.70, 19.10, 37.80, 20.23, 27.20, -43.48, -37.73, 815.96, 809.46, 870.72, 874.83, 1.27, 1.70, 288.40, 923.89, 295.02, 11.97, 5696.00, 26.26
 00Z 06 Dec 2014, 41883, 141206/0000, 24.85, 89.36, 20.0, 6.73, 7.16, 7.06, 184.40, -7.50, 15.90, 18.30, 34.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 290.31, 974.63, 292.49, 12.80, 5743.00, 33.95
 00Z 08 Dec 2014, 41883, 141208/0000, 24.85, 89.36, 20.0, 8.94, 10.78, 10.79, 154.00, -1.90, 14.50, 18.10, 32.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 286.40, 957.80, 289.99, 10.09, 5664.00, 27.70
 00Z 12 Dec 2014, 41883, 141212/0000, 24.85, 89.36, 20.0, 14.73, 9.27, 9.26, 56.00, -21.70, -1.50, 23.50, 22.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.85, 968.31, 288.51, 9.63, 5675.00, 17.32
 00Z 14 Dec 2014, 41883, 141214/0000, 24.85, 89.36, 20.0, 9.44, 5.08, 5.13, 65.00, 16.70, 3.70, 28.70, 32.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 286.23, 918.76, 293.27, 10.49, 5684.00, 31.50
 00Z 18 Dec 2014, 41883, 141218/0000, 24.85, 89.36, 20.0, 5.73, 6.94, 6.74, 97.59, 12.10, 16.30, 25.30, 41.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.05, 970.11, 287.57, 9.10, 5601.00, 22.75
 00Z 20 Dec 2014, 41883, 141220/0000, 24.85, 89.36, 20.0, 17.80, 10.37, 10.07, 53.98, -20.30, -3.90, 20.10, 16.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 286.82, 947.66, 291.28, 10.50, 5689.00, 16.23
 00Z 22 Dec 2014, 41883, 141222/0000, 24.85, 89.36, 20.0, 14.31, 5.82, 5.62, 43.01, -22.70, 0.30, 23.30, 23.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 287.39, 964.76, 290.37, 10.72, 5675.00, 17.18
 00Z 14 Dec 2015, 41883, 151214/0000, 24.85, 89.36, 20.0, 8.90, 8.53, 8.26, 178.98, -16.70, 14.30, 20.30, 34.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.09, 935.32, 290.62, 9.59, 5636.00, 18.39
 00Z 01 Dec 2017, 41883, 171201/0000, 24.85, 89.36, 20.0, 14.41, 9.52, 9.21, 49.98, -8.10, 1.30, 22.30, 23.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 283.71, 883.03, 294.00, 9.19, 5686.00, 15.92
 00Z 03 Dec 2017, 41883, 171203/0000, 24.85, 89.36, 20.0, 19.90, 13.39, 13.08, 44.99, -2.10, 15.90, 13.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 282.81, 875.83, 293.75, 8.71, 5714.00, 12.43
 00Z 08 Dec 2017, 41883, 171208/0000, 24.85, 89.36, 20.0, 11.65, 10.86, 10.59, 67.80, 11.30, 8.90, 19.90, 28.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 284.61, 904.33, 292.93, 9.53, 5750.00, 29.61
 00Z 11 Dec 2017, 41883, 171211/0000, 24.85, 89.36, 20.0, 5.90, 6.75, 6.17, 201.18, 27.70, 16.30, 17.30, 33.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 291.16, 959.54, 294.64, 13.75, 5740.00, 42.90
 00Z 12 Dec 2017, 41883, 171212/0000, 24.85, 89.36, 20.0, 9.76, 5.12, 4.72, 97.81, 3.50, 11.10, 21.10, 32.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 287.50, 905.95, 295.75, 11.51, 5715.00, 25.13
