Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 14 Feb 1986,0,1011.0,20,16.4,15.4,94,11.00,360,NA,288.6,319.6,290.6
00Z 14 Feb 1986,1,1000.0,113,21.4,15.4,69,11.12,70,4,294.6,326.6,296.5
00Z 14 Feb 1986,2,920.0,889,17.0,12.5,75,9.99,119,10,297.1,326.4,298.9
00Z 14 Feb 1986,3,850.0,1613,12.0,9.4,84,8.78,165,16,298.7,324.6,300.3
00Z 14 Feb 1986,4,700.0,3137,4.2,1.9,85,6.31,235,21,307.1,326.6,308.3
00Z 14 Feb 1986,5,640.0,3875,0.0,-20.0,21,1.23,248,23,310.3,314.5,310.5
00Z 14 Feb 1986,6,500.0,5840,-13.0,NA,NA,NA,285,27,317.1,NA,317.1
00Z 01 Feb 1987,0,1016.0,20,-13.1,-51.1,3,0.03,45,4,258.9,259.0,258.9
00Z 01 Feb 1987,1,1000.0,151,20.6,14.6,68,10.55,20,15,293.8,324.1,295.6
00Z 01 Feb 1987,2,850.0,1558,11.4,5.4,67,6.66,340,7,298.1,317.9,299.3
00Z 01 Feb 1987,3,700.0,3189,2.4,NA,NA,NA,305,11,305.1,NA,305.1
00Z 01 Feb 1987,4,500.0,5908,-10.1,NA,NA,NA,265,47,320.7,NA,320.7
00Z 01 Feb 1987,5,400.0,7590,-22.1,NA,NA,NA,255,69,326.2,NA,326.2
00Z 01 Feb 1987,6,300.0,9700,-33.1,NA,NA,NA,310,80,338.6,NA,338.6
00Z 01 Feb 1987,7,250.0,10990,-40.7,NA,NA,NA,NA,NA,345.4,NA,345.4
00Z 05 Feb 1987,0,1014.0,20,12.0,11.0,94,8.19,360,5,284.0,306.8,285.4
00Z 05 Feb 1987,1,1000.0,137,10.0,9.2,95,7.35,360,8,283.1,303.6,284.4
00Z 05 Feb 1987,2,920.0,846,-11.5,-11.5,100,1.73,324,9,268.0,272.8,268.2
00Z 05 Feb 1987,3,850.0,1515,8.4,NA,NA,NA,290,10,294.9,NA,294.9
00Z 05 Feb 1987,4,720.0,2930,0.0,NA,NA,NA,264,15,300.0,NA,300.0
00Z 05 Feb 1987,5,700.0,3166,-1.7,NA,NA,NA,260,16,300.6,NA,300.6
00Z 05 Feb 1987,6,500.0,5750,-20.5,NA,NA,NA,300,19,308.0,NA,308.0
00Z 05 Feb 1987,7,400.0,7420,-25.9,NA,NA,NA,NA,NA,321.2,NA,321.2
00Z 17 Feb 1987,0,1011.0,20,18.2,16.0,87,11.43,360,0,290.4,322.8,292.4
00Z 17 Feb 1987,1,1000.0,117,21.4,17.4,78,12.66,255,2,294.6,331.0,296.8
00Z 17 Feb 1987,2,920.0,865,18.0,12.2,69,9.77,247,7,298.2,326.9,299.9
00Z 17 Feb 1987,3,850.0,1563,13.2,7.2,67,7.55,240,12,300.0,322.5,301.3
00Z 17 Feb 1987,4,700.0,3160,2.6,NA,NA,NA,245,8,305.3,NA,305.3
00Z 17 Feb 1987,5,672.0,3493,0.0,NA,NA,NA,249,11,306.0,NA,306.0
00Z 17 Feb 1987,6,500.0,5830,-14.5,NA,NA,NA,280,31,315.3,NA,315.3
00Z 17 Feb 1987,7,400.0,7520,-24.7,NA,NA,NA,245,54,322.8,NA,322.8
00Z 19 Feb 1987,0,1013.0,20,18.0,17.0,94,12.18,335,2,290.1,324.4,292.2
00Z 19 Feb 1987,1,1000.0,127,20.0,17.5,86,12.74,329,16,293.1,329.6,295.4
00Z 19 Feb 1987,2,947.3,609,18.0,15.3,84,11.70,305,75,295.7,329.6,297.8
00Z 19 Feb 1987,3,850.0,1574,14.0,11.0,82,9.79,235,12,300.8,329.9,302.6
00Z 19 Feb 1987,4,700.0,3167,2.6,NA,NA,NA,260,18,305.3,NA,305.3
00Z 19 Feb 1987,5,500.0,5820,-12.5,NA,NA,NA,NA,NA,317.7,NA,317.7
00Z 22 Feb 1987,0,1013.0,20,16.4,15.9,97,11.34,275,3,288.5,320.3,290.4
00Z 22 Feb 1987,1,1000.0,131,22.4,16.4,69,11.87,285,6,295.6,329.9,297.7
00Z 22 Feb 1987,2,920.0,864,19.0,12.0,64,9.66,288,13,299.2,327.7,300.9
00Z 22 Feb 1987,3,850.0,1549,14.4,8.4,67,8.20,290,20,301.2,325.8,302.7
00Z 22 Feb 1987,4,700.0,3193,3.2,NA,NA,NA,290,15,306.0,NA,306.0
00Z 22 Feb 1987,5,500.0,5900,-15.1,NA,NA,NA,270,31,314.6,NA,314.6
00Z 22 Feb 1987,6,400.0,7580,-25.3,NA,NA,NA,280,45,322.0,NA,322.0
00Z 22 Feb 1987,7,300.0,9670,-35.3,NA,NA,NA,220,NA,335.5,NA,335.5
00Z 23 Feb 1987,0,1012.0,20,17.0,16.0,94,11.42,225,3,289.2,321.3,291.1
00Z 23 Feb 1987,1,902.0,1026,18.6,14.8,79,11.87,284,8,300.5,335.5,302.6
00Z 23 Feb 1987,2,850.0,1541,13.0,11.0,88,9.79,315,11,299.8,328.7,301.5
00Z 23 Feb 1987,3,700.0,3174,2.4,NA,NA,NA,300,18,305.1,NA,305.1
00Z 23 Feb 1987,4,500.0,5890,-12.5,NA,NA,NA,300,30,317.7,NA,317.7
00Z 23 Feb 1987,5,400.0,7580,-24.3,NA,NA,NA,270,37,323.3,NA,323.3
00Z 23 Feb 1987,6,320.0,9217,-30.8,NA,NA,NA,270,56,335.6,NA,335.6
00Z 23 Feb 1987,7,300.0,9690,-32.7,NA,NA,NA,NA,NA,339.2,NA,339.2
00Z 25 Feb 1987,0,1012.0,20,17.2,14.0,81,10.02,360,0,289.4,317.7,291.1
00Z 25 Feb 1987,1,1000.0,121,20.8,11.8,56,8.76,235,4,293.9,319.4,295.5
00Z 25 Feb 1987,2,920.0,850,19.0,9.5,54,8.18,261,9,299.2,323.5,300.7
00Z 25 Feb 1987,3,850.0,1536,15.4,7.4,59,7.65,285,13,302.3,325.4,303.7
00Z 25 Feb 1987,4,700.0,3178,4.0,NA,NA,NA,280,17,306.9,NA,306.9
00Z 25 Feb 1987,5,625.0,4087,-2.5,NA,NA,NA,NA,NA,309.6,NA,309.6
00Z 11 Feb 1990,0,1015.0,20,17.8,16.9,94,12.07,270,4,289.7,323.7,291.8
00Z 11 Feb 1990,1,1000.0,137,21.6,20.9,96,15.83,325,6,294.8,340.2,297.5
00Z 11 Feb 1990,2,850.0,1519,17.2,12.4,73,10.75,285,10,304.1,336.5,306.1
00Z 11 Feb 1990,3,700.0,3064,2.4,2.4,100,6.54,255,19,305.1,325.2,306.3
00Z 11 Feb 1990,4,500.0,5650,-14.7,-15.2,96,2.36,250,43,315.1,323.0,315.5
00Z 11 Feb 1990,5,400.0,7310,-21.3,-25.1,71,1.25,NA,NA,327.2,331.8,327.5
00Z 22 Feb 1990,0,1008.0,20,17.2,17.2,100,12.40,315,2,289.7,324.6,291.9
00Z 22 Feb 1990,1,1000.0,79,15.6,15.0,96,10.83,345,6,288.8,319.2,290.6
00Z 22 Feb 1990,2,973.6,304,14.4,13.5,94,10.08,345,18,289.8,318.3,291.6
00Z 22 Feb 1990,3,938.9,609,12.9,11.4,91,9.12,345,7,291.2,317.3,292.8
00Z 22 Feb 1990,4,920.0,779,12.0,10.3,89,8.62,339,6,292.0,316.8,293.5
00Z 22 Feb 1990,5,905.1,914,11.1,9.4,89,8.25,335,6,292.4,316.2,293.9
00Z 22 Feb 1990,6,850.0,1434,7.6,6.0,90,6.94,270,14,294.1,314.4,295.3
00Z 22 Feb 1990,7,779.2,2133,2.5,0.0,84,4.95,260,20,296.0,310.8,296.9
00Z 22 Feb 1990,8,700.0,2994,-3.9,-7.3,77,3.17,235,26,298.1,307.9,298.7
00Z 22 Feb 1990,9,500.0,5580,-17.5,NA,NA,NA,270,32,311.6,NA,311.6
00Z 22 Feb 1990,10,466.1,6096,-21.0,NA,NA,NA,270,35,313.6,NA,313.6
00Z 22 Feb 1990,11,400.0,7220,-28.5,NA,NA,NA,280,41,317.9,NA,317.9
00Z 22 Feb 1990,12,365.0,7853,-36.1,NA,NA,NA,265,63,316.1,NA,316.1
00Z 22 Feb 1990,13,300.0,9210,-52.5,NA,NA,NA,265,27,311.2,NA,311.2
00Z 04 Feb 1997,0,1007.0,20,13.4,12.3,93,9.00,5,2,286.0,311.1,287.5
00Z 04 Feb 1997,1,1000.0,80,16.0,14.8,93,10.69,40,2,289.1,319.3,291.0
00Z 04 Feb 1997,2,850.0,1454,10.4,7.7,83,7.81,215,5,297.0,320.1,298.4
00Z 04 Feb 1997,3,700.0,3041,-1.1,-2.2,92,4.67,275,30,301.2,315.6,302.1
00Z 04 Feb 1997,4,500.0,5670,-10.9,-31.9,16,0.53,270,52,319.7,321.7,319.8
00Z 04 Feb 1997,5,400.0,7380,-13.9,-34.9,15,0.50,280,90,336.8,338.8,336.9
00Z 04 Feb 1997,6,300.0,9490,-29.9,-47.9,16,0.17,270,110,343.1,343.8,343.2
00Z 04 Feb 1997,7,250.0,10700,-39.5,-56.5,15,0.07,270,117,347.2,347.5,347.2
00Z 04 Feb 1997,8,217.0,11633,-47.5,-62.6,16,0.04,270,118,349.2,349.4,349.2
00Z 04 Feb 1997,9,200.0,12170,-52.1,-66.1,17,0.03,275,107,350.1,350.2,350.1
00Z 04 Feb 1997,10,150.0,14040,-66.3,-78.3,17,0.01,280,98,355.7,355.7,355.7
00Z 04 Feb 1997,11,100.0,16450,-77.3,-88.3,16,0.00,275,54,378.1,378.1,378.1
00Z 06 Feb 1997,0,1009.0,20,14.4,13.8,96,9.92,310,2,286.8,314.6,288.5
00Z 06 Feb 1997,1,1000.0,93,17.4,16.1,92,11.64,300,3,290.6,323.5,292.6
00Z 06 Feb 1997,2,925.0,757,14.4,7.4,63,7.03,285,14,294.0,314.6,295.3
00Z 06 Feb 1997,3,850.0,1466,3.6,-11.4,32,1.89,265,15,289.9,295.7,290.2
00Z 06 Feb 1997,4,700.0,3035,-4.3,-6.0,88,3.51,260,36,297.7,308.4,298.3
00Z 06 Feb 1997,5,500.0,5650,-7.1,-46.1,3,0.12,290,73,324.3,324.8,324.3
00Z 06 Feb 1997,6,400.0,7390,-11.5,-49.5,3,0.10,290,110,339.9,340.4,340.0
00Z 06 Feb 1997,7,300.0,9420,-28.7,-61.7,3,0.03,275,107,344.8,345.0,344.8
00Z 06 Feb 1997,8,287.0,9729,-31.4,-63.6,3,0.03,275,111,345.4,345.5,345.4
00Z 06 Feb 1997,9,250.0,10690,-39.7,-69.7,3,0.01,275,90,346.9,347.0,346.9
00Z 06 Feb 1997,10,200.0,12250,-53.3,-79.3,3,0.00,280,96,348.2,348.2,348.2
00Z 06 Feb 1997,11,150.0,14020,-64.9,-88.9,2,0.00,290,92,358.1,358.1,358.1
00Z 06 Feb 1997,12,100.0,16450,-80.3,-99.3,3,0.00,275,57,372.3,372.3,372.3
00Z 02 Feb 1998,0,1014.0,20,14.0,13.5,97,9.68,310,2,286.0,313.0,287.7
00Z 02 Feb 1998,1,1000.0,141,18.4,15.4,83,11.12,311,3,291.6,323.2,293.5
00Z 02 Feb 1998,2,850.0,1518,11.8,0.8,47,4.79,325,10,298.5,313.0,299.4
00Z 02 Feb 1998,3,700.0,3124,5.2,-18.8,16,1.24,290,7,308.2,312.4,308.4
00Z 02 Feb 1998,4,500.0,5790,-10.3,-23.3,34,1.18,NA,NA,320.4,324.6,320.6
00Z 02 Feb 1998,5,400.0,7460,-22.7,-36.7,27,0.41,NA,NA,325.4,327.0,325.5
