Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 07 Mar 1986,0,1011.0,20,16.4,14.9,91,10.64,45,2,288.6,318.6,290.5
00Z 07 Mar 1986,1,1000.0,110,-1.7,-5.8,74,2.49,85,11,271.4,278.4,271.9
00Z 07 Mar 1986,2,920.0,823,-27.5,-0.6,910,4.01,177,14,251.6,261.4,252.2
00Z 07 Mar 1986,3,850.0,1523,15.4,4.4,48,6.20,265,17,302.3,321.1,303.4
00Z 07 Mar 1986,4,700.0,3181,-70.1,NA,NA,NA,30,NA,224.8,NA,224.8
00Z 07 Mar 1986,5,620.0,4027,0.0,NA,NA,NA,12,NA,313.1,NA,313.1
00Z 07 Mar 1986,6,338.0,NA,NA,NA,NA,NA,280,98
00Z 14 Mar 1986,0,1004.0,20,21.4,16.4,73,11.82,315,2,294.2,328.2,296.3
00Z 14 Mar 1986,1,1000.0,-51,-25.0,-35.0,39,0.20,290,5,248.2,248.7,248.2
00Z 14 Mar 1986,2,997.0,-25,-77.9,-126.9,0,0.00,290,5,195.4,195.4,195.4
00Z 14 Mar 1986,3,920.0,677,-22.1,-57.4,3,0.02,277,8,257.1,257.2,257.1
00Z 14 Mar 1986,4,850.0,1525,21.0,11.0,53,9.79,265,10,308.1,338.1,309.9
00Z 14 Mar 1986,5,700.0,3168,11.2,NA,NA,NA,267,25,314.9,NA,314.9
00Z 14 Mar 1986,6,500.0,5960,-0.5,NA,NA,NA,270,52,332.4,NA,332.4
00Z 28 Mar 1986,0,1006.0,20,20.0,14.0,68,10.08,90,4,292.6,321.6,294.4
00Z 28 Mar 1986,1,1000.0,73,23.4,15.4,61,11.12,220,10,296.6,328.9,298.5
00Z 28 Mar 1986,2,974.3,304,24.5,NA,NA,NA,220,17,299.8,NA,299.8
00Z 28 Mar 1986,3,941.4,609,25.9,NA,NA,NA,265,13,304.2,NA,304.2
00Z 28 Mar 1986,4,920.0,812,26.8,NA,NA,NA,265,11,307.2,NA,307.2
00Z 28 Mar 1986,5,909.4,914,25.8,NA,NA,NA,265,10,307.2,NA,307.2
00Z 28 Mar 1986,6,850.0,1508,20.0,NA,NA,NA,205,6,307.1,NA,307.1
00Z 28 Mar 1986,7,790.4,2133,16.4,NA,NA,NA,235,6,309.7,NA,309.7
00Z 28 Mar 1986,8,700.0,3178,10.4,NA,NA,NA,125,24,314.0,NA,314.0
00Z 28 Mar 1986,9,546.0,5248,0.0,NA,NA,NA,188,42,324.7,NA,324.7
00Z 28 Mar 1986,10,500.0,5960,-5.3,NA,NA,NA,210,48,326.5,NA,326.5
00Z 28 Mar 1986,11,400.0,7700,-21.0,NA,NA,NA,200,48,327.6,NA,327.6
00Z 28 Mar 1986,12,300.0,9810,-33.5,NA,NA,NA,185,67,338.0,NA,338.0
00Z 28 Mar 1986,13,262.0,10761,-41.2,NA,NA,NA,195,115,340.1,NA,340.1
00Z 28 Mar 1986,14,250.0,11090,-43.9,NA,NA,NA,195,10,340.7,NA,340.7
00Z 29 Mar 1986,0,1003.0,20,21.0,17.0,78,12.30,210,40,293.9,329.2,296.1
00Z 29 Mar 1986,1,1000.0,49,28.0,21.0,66,15.93,270,7,301.1,348.2,304.0
00Z 29 Mar 1986,2,920.0,795,25.4,17.4,61,13.78,280,12,305.8,347.3,308.3
00Z 29 Mar 1986,3,850.0,1493,20.0,14.0,68,11.96,290,16,307.1,343.4,309.3
00Z 29 Mar 1986,4,700.0,3177,10.2,NA,NA,NA,305,46,313.8,NA,313.8
00Z 29 Mar 1986,5,560.0,5022,0.0,NA,NA,NA,292,50,322.4,NA,322.4
00Z 29 Mar 1986,6,500.0,5931,-6.1,NA,NA,NA,285,52,325.5,NA,325.5
00Z 29 Mar 1986,7,400.0,7630,-20.9,NA,NA,NA,295,65,327.7,NA,327.7
00Z 29 Mar 1986,8,300.0,9740,-33.5,NA,NA,NA,275,94,338.0,NA,338.0
00Z 29 Mar 1986,9,250.0,11010,-44.7,NA,NA,NA,270,10,339.5,NA,339.5
00Z 29 Mar 1986,10,228.0,11633,-46.6,NA,NA,NA,270,130,345.6,NA,345.6
00Z 29 Mar 1986,11,200.0,12520,-49.3,NA,NA,NA,275,99,354.5,NA,354.5
00Z 29 Mar 1986,12,175.0,13384,-54.9,NA,NA,NA,NA,NA,359.1,NA,359.1
00Z 30 Mar 1986,0,1000.0,31,25.0,8.0,34,6.77,250,22,298.1,318.3,299.4
00Z 30 Mar 1986,1,850.0,1489,25.0,8.0,34,7.98,295,14,312.3,337.4,313.8
00Z 30 Mar 1986,2,700.0,3178,12.0,4.0,58,7.33,300,35,315.7,339.1,317.1
00Z 30 Mar 1986,3,500.0,5920,-8.3,NA,NA,NA,295,46,322.9,NA,322.9
00Z 30 Mar 1986,4,400.0,7650,-28.7,NA,NA,NA,275,58,317.6,NA,317.6
00Z 30 Mar 1986,5,300.0,9770,-35.1,NA,NA,NA,270,55,335.8,NA,335.8
00Z 30 Mar 1986,6,250.0,11050,-40.3,NA,NA,NA,270,78,346.0,NA,346.0
