Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 03 Apr 1986,0,1006.0,20,24.8,23.0,90,17.94,360,5,297.4,349.6,300.6
00Z 03 Apr 1986,1,1000.0,-75,-40.1,-42.3,79,0.09,265,6,233.1,233.3,233.1
00Z 03 Apr 1986,2,961.9,304,-25.5,-30.0,66,0.33,30,16,250.4,251.4,250.5
00Z 03 Apr 1986,3,932.4,609,-13.7,-20.1,58,0.84,25,23,264.7,267.1,264.9
00Z 03 Apr 1986,4,903.7,914,-1.9,-10.2,53,1.96,200,222,279.2,284.9,279.6
00Z 03 Apr 1986,5,850.0,1512,21.2,9.2,46,8.66,300,13,308.3,335.0,309.9
00Z 03 Apr 1986,6,700.0,3197,8.0,1.0,61,5.91,200,40,311.3,330.0,312.4
00Z 03 Apr 1986,7,500.0,5920,-10.5,-29.5,19,0.67,265,32,320.2,322.6,320.3
00Z 03 Apr 1986,8,400.0,7590,-22.1,NA,NA,NA,270,50,326.2,NA,326.2
00Z 03 Apr 1986,9,300.0,9680,-37.3,NA,NA,NA,250,88,332.7,NA,332.7
00Z 03 Apr 1986,10,267.0,10513,-42.2,NA,NA,NA,245,5,336.9,NA,336.9
00Z 03 Apr 1986,11,250.0,10983,-44.9,NA,NA,NA,245,96,339.2,NA,339.2
00Z 03 Apr 1986,12,200.0,12440,-56.1,NA,NA,NA,250,93,343.8,NA,343.8
00Z 03 Apr 1986,13,150.0,14300,-62.1,NA,NA,NA,NA,NA,362.9,NA,362.9
00Z 05 Apr 1986,0,1008.0,20,23.2,19.0,77,13.91,345,8,295.7,335.9,298.1
00Z 05 Apr 1986,1,1000.0,-87,-22.8,-27.8,64,0.39,360,24,250.3,251.5,250.4
00Z 05 Apr 1986,2,850.0,1519,18.4,5.4,42,6.66,345,12,305.4,325.9,306.6
00Z 05 Apr 1986,3,700.0,3171,3.0,0.2,82,5.58,255,14,305.8,323.1,306.8
00Z 05 Apr 1986,4,500.0,5880,-10.5,-11.2,95,3.27,255,39,320.2,331.2,320.8
00Z 05 Apr 1986,5,400.0,7610,-16.3,-18.5,83,2.24,260,34,333.7,341.8,334.2
00Z 05 Apr 1986,6,300.0,9790,-31.7,-35.1,72,0.65,265,149,340.6,343.1,340.7
00Z 05 Apr 1986,7,275.0,10048,-28.6,-30.7,82,1.08,260,197,353.7,358.1,353.9
00Z 05 Apr 1986,8,250.0,10330,-25.1,-25.9,93,1.86,NA,NA,368.6,376.3,369.0
00Z 07 Apr 1986,0,1007.0,20,20.4,18.0,86,13.06,90,0,293.0,330.3,295.3
00Z 07 Apr 1986,1,1000.0,81,24.8,-7.2,11,2.24,105,4,297.9,305.0,298.4
00Z 07 Apr 1986,2,920.0,840,22.4,11.4,50,9.28,177,8,302.7,330.6,304.4
00Z 07 Apr 1986,3,850.0,1551,16.0,6.0,51,6.94,245,12,302.9,324.0,304.2
00Z 07 Apr 1986,4,700.0,3158,3.4,1.0,84,5.91,275,23,306.2,324.5,307.3
00Z 07 Apr 1986,5,630.0,4028,0.0,NA,NA,NA,NA,NA,311.7,NA,311.7
00Z 07 Apr 1986,6,500.0,5900,-5.7,NA,NA,NA,NA,NA,326.0,NA,326.0
00Z 10 Apr 1986,0,1006.0,20,21.4,19.9,91,14.77,90,3,294.1,336.3,296.6
