Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 04 May 1985,0,1000.0
00Z 04 May 1985,1,999.0,20,22.0,20.0,88,14.97,90,2,295.2,338.3,297.9
00Z 04 May 1985,2,850.0,1406,-10.9,-21.9,40,0.78,120,23,274.7,277.1,274.9
00Z 04 May 1985,3,700.0,3036,8.6,-3.4,43,4.27,200,26,312.0,325.7,312.8
00Z 04 May 1985,4,500.0,5710,-8.5,NA,NA,NA,275,25,322.6,NA,322.6
00Z 04 May 1985,5,400.0,7390,-22.3,NA,NA,NA,275,29,325.9,NA,325.9
00Z 04 May 1985,6,300.0,9450,-37.1,NA,NA,NA,265,35,333.0,NA,333.0
00Z 04 May 1985,7,250.0,10680,-45.5,NA,NA,NA,275,44,338.3,NA,338.3
00Z 04 May 1985,8,200.0,12140,-54.7,NA,NA,NA,275,38,346.0,NA,346.0
00Z 06 May 1985,0,1014.0,20,23.0,21.0,89,15.70,90,2,295.0,340.1,297.8
00Z 06 May 1985,1,1000.0,33,22.4,20.4,88,15.33,155,13,295.6,339.8,298.3
00Z 06 May 1985,2,850.0,1446,16.0,14.8,93,12.61,220,15,302.9,340.5,305.2
00Z 06 May 1985,3,700.0,3067,8.0,-7.0,34,3.25,270,23,311.3,321.9,311.9
00Z 06 May 1985,4,500.0,5740,-10.1,NA,NA,NA,305,27,320.7,NA,320.7
00Z 06 May 1985,5,400.0,7430,-20.1,NA,NA,NA,310,31,328.8,NA,328.8
00Z 06 May 1985,6,358.0,8220,-26.8,NA,NA,NA,255,67,330.4,NA,330.4
00Z 06 May 1985,7,300.0,9480,-37.5,NA,NA,NA,255,28,332.4,NA,332.4
00Z 06 May 1985,8,250.0,10700,-47.3,NA,NA,NA,NA,NA,335.6,NA,335.6
00Z 07 May 1985,0,1007.0,20,20.0,19.0,94,13.93,90,2,292.6,332.2,295.0
