Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 03 Jun 1986,0,1000.0
00Z 03 Jun 1986,1,999.0,20,24.4,23.0,92,18.07,NA,NA,297.6,350.2,300.9
00Z 03 Jun 1986,2,920.0,774,23.8,14.8,57,11.63,NA,NA,304.1,339.1,306.2
00Z 03 Jun 1986,3,850.0,1491,19.4,8.4,49,8.20,260,4,306.4,331.6,308.0
00Z 03 Jun 1986,4,700.0,3118,7.0,-3.0,49,4.40,210,28,310.2,324.2,311.0
00Z 03 Jun 1986,5,500.0,5880,-4.5,NA,NA,NA,280,41,327.5,NA,327.5
00Z 03 Jun 1986,6,435.0,6960,-12.1,NA,NA,NA,NA,NA,331.1,NA,331.1
00Z 12 Jun 1986,0,1000.0
00Z 12 Jun 1986,1,999.0,20,28.4,27.0,92,23.13,130,4,301.6,370.4,305.8
00Z 12 Jun 1986,2,967.8,304,34.2,33.1,94,34.57,125,12,310.2,419.5,316.5
00Z 12 Jun 1986,3,935.3,609,40.4,39.7,96,52.77,135,14,319.6,503.3,329.3
00Z 12 Jun 1986,4,920.0,756,43.4,42.9,97,64.62,142,13,324.2,563.9,336.1
00Z 12 Jun 1986,5,850.0,1456,22.2,22.2,100,20.29,175,10,309.4,371.6,313.1
00Z 12 Jun 1986,6,700.0,3148,16.4,14.1,86,14.67,255,24,320.6,367.6,323.4
00Z 12 Jun 1986,7,647.0,3816,12.4,11.3,93,13.18,NA,NA,323.4,366.0,325.9
00Z 13 Jun 1986,0,1000.0
00Z 13 Jun 1986,1,998.0,20,26.6,26.0,97,21.78,130,3,299.9,364.1,303.8
00Z 13 Jun 1986,2,966.8,304,25.4,24.3,93,20.24,135,14,301.5,361.4,305.1
00Z 13 Jun 1986,3,934.4,609,24.2,22.4,90,18.69,190,17,303.1,358.9,306.5
00Z 13 Jun 1986,4,920.0,748,23.6,21.6,89,18.01,190,15,303.9,357.8,307.2
00Z 13 Jun 1986,5,902.9,914,22.5,20.6,89,17.24,190,13,304.4,356.1,307.6
00Z 13 Jun 1986,6,850.0,1446,19.0,17.4,90,14.94,135,13,306.0,351.1,308.8
00Z 13 Jun 1986,7,784.6,2133,15.9,10.9,72,10.53,165,12,309.8,342.3,311.8
00Z 13 Jun 1986,8,700.0,3113,11.6,1.6,50,6.18,165,12,315.3,335.1,316.5
00Z 13 Jun 1986,9,500.0,5830,-5.1,-9.5,71,3.74,NA,NA,326.8,339.6,327.5
00Z 14 Jun 1986,0,1000.0
00Z 14 Jun 1986,1,998.0,20,27.4,25.9,92,21.64,130,4,300.7,364.7,304.6
00Z 14 Jun 1986,2,967.2,304,26.5,24.8,90,20.87,180,14,302.5,364.6,306.3
00Z 14 Jun 1986,3,935.1,609,25.5,23.6,89,20.05,235,15,304.4,364.6,308.1
00Z 14 Jun 1986,4,920.0,756,25.0,23.0,89,19.67,225,14,305.3,364.6,308.9
