Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 03 Jun 1986, 41883, 860603/0000, 24.85, 89.36, 20.0, 6.09, 0.14, -0.75, 149.81, 22.30, 12.90, 23.90, 36.80, 167.77, 360.65, -154.85, -104.06, 764.33, 793.88, 292.50, 918.07, 299.77, 15.81, 15879.00, 28.68
 00Z 12 Jun 1986, 41883, 860612/0000, 24.85, 89.36, 20.0, -16.60, -19.69, 537.87, 686.74, -161.03, -222.39, 872.88, 870.75, 305.23, 956.65, 309.17, 33.85, 97.37
 00Z 13 Jun 1986, 41883, 860613/0000, 24.85, 89.36, 20.0, -2.41, -5.88, -6.62, 31.50, 22.50, 24.10, 46.60, 484.23, 647.84, -7.68, -4.18, 895.50, 907.78, 297.39, 955.72, 301.28, 20.45, 15829.00, 53.38
 00Z 14 Jun 1986, 41883, 860614/0000, 24.85, 89.36, 20.0, -6.73, -7.56, 8.09, 16.13, -19.68, -16.02, 883.85, 893.24, 297.66, 947.82, 302.27, 20.97, 28.45
 00Z 17 Jun 1986, 41883, 860617/0000, 24.85, 89.36, 20.0, -1.05, -4.49, -4.91, 252.61, 39.00, 21.40, 22.50, 43.90, 1438.72, 1608.54, 0.00, 0.00, 142.76, 141.52, 946.93, 952.38, 468.32, 523.60, 297.42, 963.84, 300.60, 20.33, 15889.00, 66.20
 00Z 18 Jun 1986, 41883, 860618/0000, 24.85, 89.36, 20.0, -4.60, -5.03, 5.59, 14.04, -0.21, 0.00, 934.83, 943.60, 297.16, 954.59, 301.15, 20.20, 27.57
 00Z 19 Jun 1986, 41883, 860619/0000, 24.85, 89.36, 20.0, 1.08, -3.77, -4.39, 227.19, 33.50, 19.10, 21.30, 40.40, 962.51, 1170.10, -0.86, -0.31, 924.13, 931.76, 1440.71, 1751.45, 297.66, 954.42, 301.69, 20.83, 15889.00, 64.73
 00Z 22 Jun 1986, 41883, 860622/0000, 24.85, 89.36, 20.0, 241.68, 50.71
 00Z 25 Jun 1986, 41883, 860625/0000, 24.85, 89.36, 20.0, -1.81, -3.67, -4.23, 877.62, 39.00, 21.20, 23.50, 44.70, 1332.85, 1513.49, -23.56, -11.63, 824.79, 850.74, 5.35, 6.08, 297.12, 948.32, 301.69, 20.33, 15839.00, 65.88
 00Z 26 Jun 1986, 41883, 860626/0000, 24.85, 89.36, 20.0, -1.24, -1.45, -1.99, 272.80, 38.00, 21.10, 21.10, 42.20, 437.78, 552.82, 0.00, 0.00, 201.35, 201.44, 943.14, 945.56, 17.76, 22.43, 296.89, 960.46, 300.37, 19.72, 15849.00, 68.89
 00Z 27 Jun 1986, 41883, 860627/0000, 24.85, 89.36, 20.0, -2.72, -3.61, -4.12, 285.30, 42.30, 22.30, 22.30, 44.60, 1565.81, 1680.61, 0.00, 0.00, 962.04, 959.58, 170.51, 183.01, 298.06, 964.83, 301.16, 21.10, 15859.00, 78.65
 00Z 28 Jun 1986, 41883, 860628/0000, 24.85, 89.36, 20.0, 0.34, -2.26, -2.77, 257.41, 36.90, 20.00, 20.70, 40.70, 1230.16, 1393.93, 0.00, 0.00, 139.13, 138.16, 955.20, 957.07, 497.29, 563.50, 297.02, 960.20, 300.52, 19.96, 15829.00, 65.11
 00Z 29 Jun 1986, 41883, 860629/0000, 24.85, 89.36, 20.0, -0.81, -0.70, -1.06, 317.80, 39.00, 20.40, 20.50, 40.90, 772.23, 922.65, 0.00, 0.00, 177.29, 194.71, 968.26, 967.86, 25.53, 30.50, 297.62, 972.86, 299.99, 20.36, 5833.24, 70.21
 00Z 30 Jun 1986, 41883, 860630/0000, 24.85, 89.36, 20.0, -0.79, -1.16, 67.20, 78.27, -3.72, -4.39, 890.20, 889.56, 297.18, 958.87, 300.81, 20.11, 49.94
 00Z 03 Jun 1987, 41883, 870603/0000, 24.85, 89.36, 20.0, 1.48, -0.14, -1.29, 223.40, 27.50, 18.70, 20.30, 39.00, 342.91, 646.05, -14.70, -9.73, 255.76, 256.53, 842.33, 872.37, 5061.77, 9536.44, 295.57, 943.66, 300.54, 18.50, 5890.00, 42.13
 00Z 04 Jun 1987, 41883, 870604/0000, 24.85, 89.36, 20.0, -1.54, -5.32, -6.68, 226.20, 38.10, 21.10, 24.70, 45.80, 1971.86, 2338.96, -12.33, -4.44, 132.56, 130.89, 857.74, 897.66, 325.98, 386.66, 297.20, 949.66, 301.65, 20.38, 15979.00, 44.77
 00Z 08 Jun 1987, 41883, 870608/0000, 24.85, 89.36, 20.0, -4.84, -5.44, -6.19, 284.81, 38.00, 23.40, 25.10, 48.50, 1515.70, 1744.95, -31.79, -24.15, 810.90, 826.86, 295.59, 340.30, 298.81, 955.96, 302.72, 22.32, 5900.00, 70.53
 00Z 09 Jun 1987, 41883, 870609/0000, 24.85, 89.36, 20.0, 50.50, 8.38, 8.56, 27.00, -41.50, -18.60, -16.60, -35.20, 1453.16, 1554.00, 0.00, 0.00, 727.22, 727.07, 952.06, 952.06, 280.67, 300.15, 289.40, 952.06, 293.47, 13.10, 5847.00, 37.20
 00Z 23 Jun 1987, 41883, 870623/0000, 24.85, 89.36, 20.0, -1.11, -0.55, -0.93, 362.89, 40.20, 21.20, 23.10, 44.30, 126.81, 187.01, -70.15, -67.12, 357.11, 364.84, 733.89, 736.78, 2.38, 3.51, 295.08, 968.12, 297.84, 17.47, 5870.00, 62.34
 00Z 24 Jun 1987, 41883, 870624/0000, 24.85, 89.36, 20.0, 0.06, 0.72, 0.35, 452.36, 30.40, 19.00, 22.10, 41.10, 0.00, 4.39, 0.00, -163.57, 383.67, 418.06, 0.00, 0.08, 295.66, 947.28, 300.31, 18.53, 5928.00, 61.12
 00Z 27 Jun 1987, 41883, 870627/0000, 24.85, 89.36, 20.0, 24.30, 302.85, 5930.00, 0.00
 00Z 19 Jun 1988, 41883, 880619/0000, 24.85, 89.36, 20.0, -4.28, -5.97, -6.77, 288.19, 39.70, 23.30, 24.10, 47.40, 4454.13, 4722.37, -36.29, -43.37, 863.55, 865.59, 1326.50, 1406.39, 299.32, 964.44, 302.48, 22.84, 5728.00, 75.20
 00Z 20 Jun 1988, 41883, 880620/0000, 24.85, 89.36, 20.0, -3.31, -6.31, -7.94, 452.32, 22.90, 23.10, 46.00, 1273.72, 1743.67, -4.12, -2.45, 907.38, 913.65, 102.59, 140.44, 299.20, 961.78, 302.59, 22.72, 5780.00, 31.75
 00Z 22 Jun 1988, 41883, 880622/0000, 24.85, 89.36, 20.0, -3.84, -0.45, -0.50, 287.79, 43.10, 23.70, 23.70, 47.40, 54.02, 81.11, -272.37, -297.82, 369.17, 369.27, 535.20, 524.91, 19.40, 29.13, 293.76, 937.73, 299.24, 16.70, 5768.00, 69.46
 00Z 27 Jun 1988, 41883, 880627/0000, 24.85, 89.36, 20.0, 1.53, 0.29, 0.06, 289.80, 33.70, 17.70, 21.30, 39.00, 52.79, 86.15, -0.44, 0.00, 366.23, 368.43, 929.23, 938.95, 1.63, 2.66, 296.27, 949.23, 300.74, 19.26, 5767.00, 65.20
