Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 02 Jul 1986,0,1001.0,20,25.6,25.6,100,21.18,130,3,298.7,360.7,302.4
00Z 02 Jul 1986,1,1000.0,-2,-25.0,-25.0,100,0.51,145,8,248.2,249.5,248.2
00Z 02 Jul 1986,2,920.0,720,22.6,21.5,94,17.90,189,7,302.9,356.1,306.1
00Z 02 Jul 1986,3,850.0,1464,19.4,16.0,81,13.64,230,6,306.4,347.7,309.0
00Z 02 Jul 1986,4,700.0,3121,9.4,7.3,87,9.25,210,4,312.9,341.8,314.6
00Z 02 Jul 1986,5,552.0,5091,0.0,-3.1,80,5.55,199,8,323.7,342.1,324.8
00Z 02 Jul 1986,6,500.0,5890,-3.9,-8.5,70,4.05,195,10,328.2,342.1,329.0
00Z 02 Jul 1986,7,400.0,7670,-12.5,-19.5,56,2.05,170,8,338.6,346.2,339.1
00Z 02 Jul 1986,8,300.0,9840,-38.9,-42.7,67,0.30,130,13,330.4,331.6,330.5
00Z 02 Jul 1986,9,250.0,11140,-37.3,-43.3,54,0.33,115,317,350.5,351.9,350.5
00Z 02 Jul 1986,10,200.0,12680,-47.3,NA,NA,NA,115,27,357.7,NA,357.7
00Z 02 Jul 1986,11,188.0,13084,-75.7,NA,NA,NA,118,31,318.3,NA,318.3
00Z 02 Jul 1986,12,150.0,14507,-62.5,NA,NA,NA,130,47,362.2,NA,362.2
00Z 02 Jul 1986,13,100.0,17040,-57.5,NA,NA,NA,NA,NA,416.4,NA,416.4
00Z 07 Jul 1986,0,1000.0
00Z 07 Jul 1986,1,995.0,20,26.4,25.0,92,20.54,80,2,300.0,360.5,303.6
00Z 07 Jul 1986,2,920.0,716,-3.7,-4.9,91,2.90,78,7,275.9,284.1,276.4
00Z 07 Jul 1986,3,850.0,1407,18.0,17.2,95,14.75,75,12,305.0,349.2,307.7
00Z 07 Jul 1986,4,700.0,3084,11.4,10.4,94,11.44,65,32,315.1,351.0,317.2
00Z 07 Jul 1986,5,500.0,5860,-3.7,-5.7,86,5.03,NA,NA,328.5,345.6,329.5
00Z 08 Jul 1986,0,1001.0,20,26.4,25.9,97,21.58,90,3,299.5,362.9,303.3
00Z 08 Jul 1986,1,1000.0,-30,-26.0,-26.6,95,0.44,90,5,247.2,248.4,247.2
00Z 08 Jul 1986,2,964.5,304,-16.0,-16.9,93,1.06,130,14,259.8,262.7,259.9
00Z 08 Jul 1986,3,933.2,609,-6.9,-8.1,91,2.23,155,13,271.5,277.8,271.9
00Z 08 Jul 1986,4,902.9,914,2.2,0.7,90,4.47,185,14,283.5,296.2,284.2
00Z 08 Jul 1986,5,850.0,1472,18.8,16.8,88,14.37,185,15,305.8,349.1,308.5
00Z 08 Jul 1986,6,787.2,2133,15.9,13.4,85,12.46,110,14,309.5,347.6,311.8
00Z 08 Jul 1986,7,700.0,3144,11.4,8.3,81,9.91,165,14,315.1,346.3,317.0
00Z 08 Jul 1986,8,500.0,5920,-3.1,-6.2,79,4.84,155,12,329.2,345.7,330.2
00Z 08 Jul 1986,9,489.1,6096,-4.0,-7.5,77,4.47,155,12,330.1,345.5,331.0
00Z 08 Jul 1986,10,400.0,7700,-12.5,-19.5,56,2.05,140,14,338.6,346.2,339.1
00Z 08 Jul 1986,11,300.0,9880,-26.9,NA,NA,NA,140,13,347.4,NA,347.4
00Z 09 Jul 1986,0,1001.0,20,27.0,26.8,99,22.80,90,3,300.1,367.4,304.1
00Z 09 Jul 1986,1,1000.0,-28,-25.2,-25.2,100,0.50,150,10,247.9,249.3,248.0
00Z 09 Jul 1986,2,920.0,707,21.8,21.8,100,18.24,171,11,302.1,356.2,305.4
00Z 09 Jul 1986,3,850.0,1465,20.0,18.7,92,16.24,190,12,307.1,356.3,310.1
00Z 09 Jul 1986,4,700.0,3142,11.8,7.4,74,9.31,190,12,315.5,345.0,317.3
00Z 09 Jul 1986,5,500.0,5940,-1.5,-4.8,78,5.39,15,NA,331.1,349.6,332.2
00Z 13 Jul 1986,0,1000.0
00Z 13 Jul 1986,1,999.0,20,27.8,27.0,95,23.13,90,3,301.0,369.6,305.2
00Z 13 Jul 1986,2,920.0,757,24.2,21.8,86,18.24,116,10,304.5,359.2,307.8
00Z 13 Jul 1986,3,850.0,1452,18.6,15.5,82,13.20,140,16,305.6,345.4,308.0
00Z 13 Jul 1986,4,700.0,3129,12.8,9.9,83,11.06,105,16,316.6,351.6,318.7
00Z 13 Jul 1986,5,500.0,5930,-2.9,-4.1,91,5.68,110,22,329.4,348.7,330.6
00Z 13 Jul 1986,6,400.0,7762,-12.1,-21.1,47,1.79,120,21,339.2,345.8,339.5
00Z 13 Jul 1986,7,300.0,9900,-26.5,-33.5,52,0.76,123,53,347.9,351.0,348.1
00Z 13 Jul 1986,8,250.0,11220,-35.1,NA,NA,NA,125,73,353.7,NA,353.7
00Z 13 Jul 1986,9,200.0,12733,-48.5,NA,NA,NA,90,NA,355.8,NA,355.8
00Z 14 Jul 1986,0,1000.0
00Z 14 Jul 1986,1,998.0,20,26.6,26.0,97,21.78,90,3,299.9,364.1,303.8
00Z 14 Jul 1986,2,850.0,1436,18.4,18.2,99,15.73,170,22,305.4,352.7,308.3
00Z 14 Jul 1986,3,700.0,3111,-12.5,-15.1,81,1.70,150,27,288.6,293.8,288.9
00Z 14 Jul 1986,4,500.0,5910,-81.7,-91.7,17,0.00,130,20,233.4,233.4,233.4
00Z 14 Jul 1986,5,400.0,7680,-13.1,NA,NA,NA,105,15,337.9,NA,337.9
00Z 14 Jul 1986,6,300.0,9870,-26.5,NA,NA,NA,90,55,347.9,NA,347.9
00Z 15 Jul 1986,0,1000.0
00Z 15 Jul 1986,1,998.0,20,27.0,26.0,94,21.78,90,4,300.3,364.6,304.2
00Z 15 Jul 1986,2,920.0,744,23.0,22.0,94,18.47,113,6,303.3,358.4,306.6
