Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 02 Jul 1986, 41883, 860702/0000, 24.85, 89.36, 20.0, 0.00, 36.33, 36.96, 214.01, 37.20, 19.90, 23.30, 43.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 271.93, 965.89, 274.89, 9.67, 5892.00, 54.56
 00Z 07 Jul 1986, 41883, 860707/0000, 24.85, 89.36, 20.0, -0.37, 11.78, 12.23, 37.90, 20.90, 21.70, 42.60, 221.71, 241.29, 0.00, 0.00, 873.48, 873.94, 948.70, 948.70, 287.10, 948.70, 291.41, 12.90, 15859.00, 52.09
 00Z 08 Jul 1986, 41883, 860708/0000, 24.85, 89.36, 20.0, 0.28, 56.59, 57.38, 243.60, 35.60, 19.90, 21.90, 41.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 254.59, 958.19, 257.77, 1.18, 5950.00, 44.08
 00Z 09 Jul 1986, 41883, 860709/0000, 24.85, 89.36, 20.0, -0.57, 38.78, 39.63, 35.80, 20.20, 21.50, 41.70, 0.00, 0.00, 0.00, 0.00, 272.15, 970.74, 274.73, 9.98, 5968.00, 54.61
 00Z 13 Jul 1986, 41883, 860713/0000, 24.85, 89.36, 20.0, 1.86, -4.85, -5.40, 240.02, 34.10, 18.40, 21.50, 39.90, 1862.87, 2083.28, -5.48, -2.14, 908.44, 918.91, 145.60, 162.83, 298.06, 953.00, 302.22, 21.42, 15929.00, 68.62
 00Z 14 Jul 1986, 41883, 860714/0000, 24.85, 89.36, 20.0, -79.57, -82.48, -83.82, 3302.43, 115.70, 99.90, 100.10, 200.00, 11601.92, 12054.60, 0.00, 0.00, 947.38, 950.46, 398.46, 414.00, 297.64, 963.02, 300.90, 20.62, 15909.00, 43.37
 00Z 15 Jul 1986, 41883, 860715/0000, 24.85, 89.36, 20.0, 2.29, 0.06, -1.30, 253.21, 35.90, 17.60, 18.40, 36.00, 1130.13, 1480.81, -1.05, -0.29, 923.33, 933.74, 93.36, 122.33, 297.52, 956.65, 301.35, 20.61, 15919.00, 49.76
 00Z 18 Jul 1986, 41883, 860718/0000, 24.85, 89.36, 20.0, 2.07, -3.21, -4.12, 231.99, 33.60, 18.20, 20.30, 38.50, 1606.06, 1852.35, -10.04, -8.02, 196.15, 195.79, 897.87, 903.92, 223.18, 257.41, 297.78, 953.31, 301.91, 21.00, 15899.00, 63.77
 00Z 19 Jul 1986, 41883, 860719/0000, 24.85, 89.36, 20.0, -0.05, -4.71, -5.43, 254.02, 32.70, 19.70, 22.70, 42.40, 1290.30, 1541.29, -9.49, -8.70, 889.56, 897.18, 53.48, 63.88, 298.24, 956.90, 302.05, 21.51, 15879.00, 63.05
 00Z 20 Jul 1986, 41883, 860720/0000, 24.85, 89.36, 20.0, 0.18, -2.00, -2.42, 254.19, 31.90, 19.90, 21.30, 41.20, 561.50, 728.46, -0.27, 0.00, 149.04, 148.88, 935.80, 945.32, 41.55, 53.91, 296.32, 945.32, 301.14, 19.49, 15909.00, 61.18
 00Z 21 Jul 1986, 41883, 860721/0000, 24.85, 89.36, 20.0, -0.32, -3.09, -3.58, 406.59, 36.30, 19.80, 22.90, 42.70, 1326.32, 1514.17, -46.76, -29.63, 822.26, 858.37, 5.25, 5.99, 296.49, 934.42, 302.33, 19.87, 15929.00, 63.64
 00Z 01 Jul 1987, 41883, 870701/0000, 24.85, 89.36, 20.0, -4.33, 48.71, 49.43, 320.41, 42.90, 22.60, 25.30, 47.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 263.23, 960.05, 266.52, 4.13, 5904.00, 61.71
