Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 05 Aug 1985,0,1000.0
00Z 05 Aug 1985,1,998.0,20,28.0,27.0,94,23.15,90,2,301.3,370.1,305.5
00Z 05 Aug 1985,2,900.0,917,21.4,19.8,91,16.44,103,10,303.6,352.6,306.5
00Z 05 Aug 1985,3,850.0,1405,19.4,15.4,78,13.11,110,15,306.4,346.1,308.9
00Z 05 Aug 1985,4,700.0,3049,11.0,8.5,85,10.05,55,12,314.6,346.2,316.5
00Z 05 Aug 1985,5,500.0,5780,4.0,-5.0,52,5.31,95,20,337.9,356.5,338.9
00Z 05 Aug 1985,6,400.0,7490,-55.0,NA,NA,NA,NA,NA,283.4,NA,283.4
00Z 07 Aug 1985,0,1000.0
00Z 07 Aug 1985,1,997.0,20,25.8,25.0,95,20.50,90,5,299.2,359.4,302.9
00Z 07 Aug 1985,2,900.0,916,20.2,18.9,92,15.52,122,21,302.3,348.4,305.1
00Z 07 Aug 1985,3,850.0,1408,18.0,14.5,80,12.36,140,30,305.0,342.2,307.2
00Z 07 Aug 1985,4,700.0,3053,12.4,10.6,89,11.60,135,19,316.2,352.8,318.4
00Z 07 Aug 1985,5,500.0,5790,-2.1,-5.6,77,5.07,135,22,330.4,347.8,331.4
00Z 07 Aug 1985,6,400.0,7530,-11.1,NA,NA,NA,135,22,340.5,NA,340.5
00Z 07 Aug 1985,7,300.0,9670,-26.7,NA,NA,NA,115,12,347.6,NA,347.6
00Z 07 Aug 1985,8,250.0,10960,-35.9,NA,NA,NA,95,43,352.6,NA,352.6
00Z 07 Aug 1985,9,200.0,12470,-48.3,NA,NA,NA,100,39,356.1,NA,356.1
00Z 08 Aug 1985,0,1000.0
00Z 08 Aug 1985,1,997.0,20,26.2,24.9,93,20.37,130,4,299.6,359.5,303.2
00Z 08 Aug 1985,2,900.0,915,20.8,20.0,95,16.65,146,13,302.9,352.5,305.9
00Z 08 Aug 1985,3,850.0,1407,18.4,17.2,93,14.75,155,18,305.4,349.8,308.1
00Z 08 Aug 1985,4,700.0,3052,11.4,9.5,88,10.76,140,16,315.1,348.9,317.1
00Z 08 Aug 1985,5,500.0,5790,-3.9,-8.6,70,4.02,180,13,328.2,342.0,329.0
00Z 08 Aug 1985,6,400.0,7520,-12.9,-19.9,56,1.98,115,13,338.1,345.4,338.5
00Z 08 Aug 1985,7,300.0,9650,-27.5,-29.6,82,1.10,75,32,346.5,350.8,346.7
00Z 08 Aug 1985,8,250.0,10940,-36.7,NA,NA,NA,85,33,351.4,NA,351.4
00Z 08 Aug 1985,9,200.0,12450,-48.7,NA,NA,NA,105,53,355.5,NA,355.5
00Z 08 Aug 1985,10,150.0,14260,-66.3,NA,NA,NA,NA,NA,355.7,NA,355.7
00Z 12 Aug 1985,0,1000.0
00Z 12 Aug 1985,1,996.0,20,28.8,27.0,90,23.20,360,0,302.3,371.5,306.5
00Z 12 Aug 1985,2,900.0,913,26.0,24.5,91,22.09,341,6,308.3,375.8,312.3
00Z 12 Aug 1985,3,850.0,1410,21.6,19.0,85,16.56,330,9,308.8,359.3,311.8
00Z 12 Aug 1985,4,700.0,3102,12.4,9.5,82,10.76,235,6,316.2,350.2,318.2
00Z 12 Aug 1985,5,500.0,5790,-1.5,-9.5,54,3.74,135,16,331.1,344.2,331.9
00Z 12 Aug 1985,6,400.0,7460,-12.9,NA,NA,NA,75,39,338.1,NA,338.1
00Z 12 Aug 1985,7,250.0,10850,-35.3,NA,NA,NA,95,48,353.4,NA,353.4
00Z 12 Aug 1985,8,200.0,12570,-7.9,NA,NA,NA,NA,NA,420.1,NA,420.1
00Z 19 Aug 1985,0,1000.0
00Z 19 Aug 1985,1,997.0,20,26.2,25.0,93,20.50,NA,NA,299.6,359.9,303.3
00Z 19 Aug 1985,2,900.0,909,-19.5,-20.8,89,0.82,NA,NA,261.4,263.7,261.5
00Z 19 Aug 1985,3,850.0,1395,16.4,13.9,85,11.88,130,16,303.3,338.8,305.5
00Z 19 Aug 1985,4,700.0,3027,11.0,5.0,66,7.87,110,14,314.6,339.6,316.1
00Z 19 Aug 1985,5,500.0,5750,-2.5,-9.5,59,3.74,120,13,329.9,342.9,330.7
00Z 19 Aug 1985,6,400.0,7490,-12.7,-22.7,43,1.55,95,16,338.4,344.2,338.7
00Z 19 Aug 1985,7,300.0,9630,-26.3,NA,NA,NA,75,8,348.2,NA,348.2
00Z 19 Aug 1985,8,250.0,10920,-37.1,NA,NA,NA,35,35,350.8,NA,350.8
00Z 19 Aug 1985,9,200.0,12420,-50.3,NA,NA,NA,NA,NA,352.9,NA,352.9
00Z 20 Aug 1985,0,1000.0
00Z 20 Aug 1985,1,997.0,20,27.0,26.9,99,23.03,130,3,300.4,368.6,304.5
00Z 20 Aug 1985,2,900.0,934,21.4,21.2,99,17.97,140,12,303.6,357.2,306.8
00Z 20 Aug 1985,3,850.0,1402,-19.1,-19.7,95,0.95,145,17,266.1,268.9,266.3
00Z 20 Aug 1985,4,700.0,3038,11.4,11.0,97,11.92,170,21,315.1,352.4,317.3
00Z 20 Aug 1985,5,500.0,5780,-0.5,-4.6,74,5.47,155,12,332.4,351.2,333.5
00Z 20 Aug 1985,6,400.0,7510,-12.5,-19.5,56,2.05,110,8,338.6,346.2,339.1
00Z 20 Aug 1985,7,300.0,9670,-24.9,-28.7,71,1.20,110,27,350.2,354.9,350.4
00Z 20 Aug 1985,8,250.0,10980,-32.7,NA,NA,NA,100,47,357.3,NA,357.3
00Z 20 Aug 1985,9,200.0,12520,-42.3,NA,NA,NA,100,40,365.6,NA,365.6
00Z 20 Aug 1985,10,150.0,14380,-60.5,NA,NA,NA,60,84,365.6,NA,365.6
00Z 24 Aug 1985,0,1000.0
00Z 24 Aug 1985,1,998.0,20,27.4,26.0,92,21.78,NA,NA,300.7,365.1,304.6
00Z 24 Aug 1985,2,993.0,66,27.4,26.0,92,21.89,NA,NA,301.1,366.0,305.1
00Z 24 Aug 1985,3,900.0,896,-22.5,-39.5,20,0.14,NA,NA,258.3,258.7,258.3
00Z 24 Aug 1985,4,850.0,1372,20.4,20.0,98,17.65,205,10,307.5,361.1,310.7
00Z 24 Aug 1985,5,700.0,3020,13.2,12.4,95,13.10,260,8,317.1,358.4,319.6
00Z 24 Aug 1985,6,500.0,5620,-0.7,-4.1,78,5.68,270,9,332.1,351.6,333.3
00Z 24 Aug 1985,7,400.0,7360,-13.5,-15.2,87,2.95,185,16,337.4,348.0,338.0
00Z 24 Aug 1985,8,300.0,9510,-24.5,-30.5,58,1.01,185,8,350.7,354.8,350.9
00Z 24 Aug 1985,9,250.0,10810,-35.7,-37.1,87,0.64,105,8,352.9,355.5,353.0
00Z 24 Aug 1985,10,200.0,12320,-55.1,NA,NA,NA,45,12,345.4,NA,345.4
00Z 24 Aug 1985,11,150.0,14110,-68.1,NA,NA,NA,70,18,352.6,NA,352.6
00Z 24 Aug 1985,12,100.0,16350,-90.1,NA,NA,NA,NA,NA,353.4,NA,353.4
00Z 25 Aug 1985,0,1000.0
00Z 25 Aug 1985,1,999.0,20,27.0,26.0,94,21.76,270,23,300.2,364.4,304.1
00Z 25 Aug 1985,2,966.7,304,17.3,16.3,94,12.23,280,11,293.3,328.3,295.5
00Z 25 Aug 1985,3,933.1,609,6.9,5.9,93,6.30,280,8,285.7,303.5,286.8
00Z 25 Aug 1985,4,900.8,914,-3.4,-4.4,93,3.07,280,10,277.9,286.6,278.4
00Z 25 Aug 1985,5,850.0,1415,-20.5,-21.5,92,0.81,280,12,264.7,267.0,264.8
00Z 25 Aug 1985,6,788.2,2133,-8.1,-8.7,95,2.52,235,8,283.7,291.1,284.1
00Z 25 Aug 1985,7,700.0,3261,11.4,11.4,100,12.24,250,100,315.1,353.5,317.4
00Z 25 Aug 1985,8,500.0,5720,-2.5,-3.0,96,6.18,195,14,329.9,350.9,331.2
00Z 25 Aug 1985,9,476.6,6096,-2.8,-3.3,96,6.34,195,19,334.2,355.9,335.4
00Z 25 Aug 1985,10,392.5,7620,-3.8,-4.5,95,7.04,65,8,351.9,377.6,353.4
00Z 25 Aug 1985,11,148.7,15240,-8.9,-10.4,89,11.81,75,23,455.5,514.2,458.7
00Z 25 Aug 1985,12,110.0,17609,-10.5,-12.3,87,13.81,NA,NA,493.5,569.4,497.6
00Z 27 Aug 1985,0,1000.0
00Z 27 Aug 1985,1,997.0,20,26.6,26.0,97,21.80,130,5,300.0,364.3,303.9
00Z 27 Aug 1985,2,850.0,1398,-17.5,-17.5,100,1.14,100,19,267.8,271.1,268.0
00Z 27 Aug 1985,3,700.0,3026,-10.5,-13.5,79,1.94,125,30,290.8,296.8,291.2
00Z 27 Aug 1985,4,500.0,5740,-3.1,-6.9,75,4.59,125,24,329.2,344.9,330.1
00Z 27 Aug 1985,5,400.0,7486,-9.0,-10.6,88,4.29,5,NA,343.2,358.7,344.1
00Z 28 Aug 1985,0,1000.0
00Z 28 Aug 1985,1,997.0,20,-27.5,-28.0,95,0.39,180,5,245.9,246.9,245.9
00Z 28 Aug 1985,2,900.0,872,22.2,19.2,83,15.82,154,19,304.4,351.8,307.3
00Z 28 Aug 1985,3,850.0,1391,19.4,17.4,88,14.94,140,27,306.4,351.6,309.2
00Z 28 Aug 1985,4,700.0,3067,-12.3,-15.8,75,1.60,130,41,288.8,293.8,289.1
