Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 05 Aug 1985, 41883, 850805/0000, 24.85, 89.36, 20.0, 8.48, 2.39, 1.84, 234.80, 28.30, 11.40, 15.40, 26.80, 1850.37, 2035.96, 0.00, 0.00, 941.46, 947.73, 227.05, 249.82, 297.86, 953.69, 301.95, 21.17, 15779.00, 60.69
 00Z 07 Aug 1985, 41883, 850807/0000, 24.85, 89.36, 20.0, 3.91, -1.05, -1.39, 255.99, 32.80, 16.60, 20.10, 36.70, 266.10, 433.52, -0.12, 0.00, 235.01, 237.63, 935.69, 942.92, 12.39, 20.18, 296.22, 956.05, 300.08, 19.04, 15789.00, 60.25
 00Z 08 Aug 1985, 41883, 850808/0000, 24.85, 89.36, 20.0, -0.75, -3.30, -3.86, 255.41, 37.60, 21.10, 22.30, 43.40, 975.54, 1118.63, -0.94, -0.31, 924.08, 931.76, 130.33, 149.45, 296.40, 952.95, 300.54, 19.30, 15789.00, 65.53
 00Z 12 Aug 1985, 41883, 850812/0000, 24.85, 89.36, 20.0, -1.52, -5.34, -6.43, 261.99, 39.20, 20.50, 23.10, 43.60, 2175.41, 2500.16, -30.00, -28.17, 238.95, 238.97, 865.63, 872.70, 1924.90, 2212.25, 299.03, 944.67, 303.97, 22.89, 15789.00, 67.71
 00Z 19 Aug 1985, 41883, 850819/0000, 24.85, 89.36, 20.0, 4.88, 16.69, 17.04, 211.81, 26.80, 16.40, 18.90, 35.30, 486.54, 514.71, 0.00, 0.00, 862.12, 862.24, 951.35, 951.35, 284.99, 951.35, 289.01, 12.18, 15749.00, 43.43
 00Z 20 Aug 1985, 41883, 850820/0000, 24.85, 89.36, 20.0, 52.25, -2.26, -2.81, 46.00, -38.70, -19.20, -18.60, -37.80, 2748.52, 3056.22, 0.00, 0.00, 218.55, 219.87, 964.51, 964.80, 208.12, 231.42, 298.46, 968.05, 301.27, 21.59, 15779.00, 58.17
 00Z 24 Aug 1985, 41883, 850824/0000, 24.85, 89.36, 20.0, -1.27, 19.73, 20.43, 269.00, 40.30, 20.70, 21.10, 41.80, 0.00, 0.00, 0.00, 0.00, 281.64, 895.40, 290.61, 12.79, 15619.00, 65.61
 00Z 25 Aug 1985, 41883, 850825/0000, 24.85, 89.36, 20.0, 51.75, 7.91, 8.36, 38.01, -39.50, -19.00, -18.00, -37.00, 1630.95, 1742.47, 0.00, 0.00, 722.54, 723.25, 956.58, 956.58, 23.51, 25.11, 290.46, 956.58, 294.16, 14.00, 15719.00, 73.52
 00Z 27 Aug 1985, 41883, 850827/0000, 24.85, 89.36, 20.0, 47.86, 6.53, 6.69, 62.00, -34.90, -14.40, -14.40, -28.80, 2634.77, 2812.47, 0.00, 0.00, 549.18, 549.76, 961.92, 961.92, 99.58, 106.29, 291.14, 961.92, 294.37, 15.09, 15739.00, 30.73
 00Z 28 Aug 1985, 41883, 850828/0000, 24.85, 89.36, 20.0, 0.00, 0.00, 0.00, 0.00, 258.76, 948.83, 262.84, 2.19, 0.00, 28.51
 00Z 03 Aug 1986, 41883, 860803/0000, 24.85, 89.36, 20.0, 2.11, 36.38, 37.24, 218.60, 34.55, 19.20, 20.30, 39.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 272.11, 969.95, 274.73, 8.74, 5982.00, 54.03
 00Z 09 Aug 1986, 41883, 860809/0000, 24.85, 89.36, 20.0, -2.05, -7.39, -8.65, 481.79, 38.90, 21.50, 22.50, 44.00, 9488.61, 9914.79, -17.86, -19.69, 895.37, 897.29, 19.15, 20.01, 300.65, 963.34, 303.89, 24.76, 5920.00, 69.88
 00Z 15 Aug 1986, 41883, 860815/0000, 24.85, 89.36, 20.0, 2.12, 36.64, 37.13, 226.42, 33.10, 18.70, 20.90, 39.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 271.82, 962.54, 275.02, 9.05, 5924.00, 40.14
 00Z 16 Aug 1986, 41883, 860816/0000, 24.85, 89.36, 20.0, 2.55, -3.99, -4.89, 207.59, 9.20, 17.80, 20.90, 38.70, 2031.69, 2454.60, -0.36, 0.00, 936.99, 944.78, 481.62, 581.88, 297.87, 956.43, 301.72, 21.12, 5890.00, 43.53
 00Z 17 Aug 1986, 41883, 860817/0000, 24.85, 89.36, 20.0, -0.13, -3.24, -4.06, 231.40, 37.30, 19.70, 22.70, 42.40, 1052.81, 1255.44, -21.62, -11.84, 134.52, 131.92, 850.95, 880.12, 351.27, 418.88, 297.00, 945.58, 301.82, 20.21, 5920.00, 64.16
 00Z 18 Aug 1986, 41883, 860818/0000, 24.85, 89.36, 20.0, -0.45, -4.15, -4.80, 229.21, 36.90, 20.10, 22.50, 42.60, 1628.67, 1883.69, -9.23, -3.04, 888.62, 912.85, 2179.48, 2520.74, 297.77, 950.51, 302.15, 21.13, 15919.00, 63.89
 00Z 20 Aug 1986, 41883, 860820/0000, 24.85, 89.36, 20.0, 9.96, 133.39, 25.90, 8.30, 21.30, 29.60, 0.00, 0.00
 00Z 21 Aug 1986, 41883, 860821/0000, 24.85, 89.36, 20.0, 1.52, -0.94, -1.59, 250.01, 34.90, 18.30, 19.90, 38.20, 1051.71, 1265.07, -0.20, 0.00, 937.35, 946.93, 197.28, 237.30, 297.29, 955.63, 301.20, 20.40, 15929.00, 64.32
 00Z 23 Aug 1986, 41883, 860823/0000, 24.85, 89.36, 20.0, -4.17, -4.57, -5.16, 43.40, 23.60, 24.10, 47.70, 402.53, 471.09, -19.60, -14.59, 843.58, 849.33, 297.52, 957.92, 301.22, 20.57, 15919.00, 68.09
 00Z 24 Aug 1986, 41883, 860824/0000, 24.85, 89.36, 20.0, 1.95, 37.31, 37.28, 244.59, 31.80, 18.40, 21.50, 39.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 271.29, 956.60, 274.99, 9.36, 5954.00, 34.17
 00Z 26 Aug 1986, 41883, 860826/0000, 24.85, 89.36, 20.0, -1.22, -5.07, -5.70, 265.81, 40.10, 20.70, 23.70, 44.40, 1549.82, 1759.16, -27.70, -23.14, 865.77, 878.07, 54.73, 62.12, 297.93, 952.80, 302.12, 21.21, 15889.00, 69.15
 00Z 27 Aug 1986, 41883, 860827/0000, 24.85, 89.36, 20.0, -2.28, -5.23, -6.68, 254.01, 22.00, 23.30, 45.30, 788.34, 1149.73, -16.45, -14.74, 882.78, 889.38, 297.89, 952.47, 302.09, 21.16, 5860.00, 30.04
 00Z 28 Aug 1986, 41883, 860828/0000, 24.85, 89.36, 20.0, -4.25, -5.60, 187.83, 451.85, -5.11, -1.55, 881.83, 921.43, 297.32, 954.48, 301.34, 20.42, 26.63
 00Z 30 Aug 1986, 41883, 860830/0000, 24.85, 89.36, 20.0, 3.45, 58.54, 58.54, 196.99, 23.50, 15.50, 23.50, 39.00, 0.00, 0.00, 0.00, 0.00, 250.61, 919.35, 256.76, 0.93, 5995.00, 19.02
 00Z 03 Aug 1987, 41883, 870803/0000, 24.85, 89.36, 20.0, 0.42, -3.62, -4.12, 234.99, 37.00, 19.30, 23.10, 42.40, 691.95, 804.33, -23.09, -19.35, 855.95, 874.95, 217.23, 252.51, 297.27, 960.81, 300.72, 20.18, 5780.00
 00Z 04 Aug 1988, 41883, 880804/0000, 24.85, 89.36, 20.0, -1.92, -4.39, -4.90, 246.81, 40.60, 21.40, 23.90, 45.30, 1273.39, 1432.14, -12.64, -5.40, 174.88, 174.31, 842.86, 883.95, 1563.87, 1758.84, 297.41, 954.21, 301.45, 20.52, 5780.00, 71.02
