Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 15 Sep 1985, 41883, 850915/0000, 24.85, 89.36, 20.0, 44.51, 49.87, 50.63, 48.02, -31.20, -12.50, -10.80, -23.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 259.71, 964.07, 262.59, 2.03, 5791.00, 35.49
 00Z 18 Sep 1985, 41883, 850918/0000, 24.85, 89.36, 20.0, 2.93, 74.36, 74.88, 176.01, 23.50, 16.50, 23.50, 40.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 232.96, 931.64, 237.76, 0.73, 5945.00, 16.36
 00Z 22 Sep 1985, 41883, 850922/0000, 24.85, 89.36, 20.0, 28.04, 59.14, 63.08, 6.20, -7.00, -2.20, -9.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 270.72, 945.44, 275.27, 8.65, 5391.54, 138.00
 00Z 26 Sep 1985, 41883, 850926/0000, 24.85, 89.36, 20.0, 49.40, 58.44, 59.22, 48.00, -43.60, -18.10, -15.40, -33.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 250.44, 954.88, 253.78, 1.28, 5748.00, 20.63
 00Z 28 Sep 1985, 41883, 850928/0000, 24.85, 89.36, 20.0, -3.07, -4.28, 20.89, 2318.76, 2785.55, 0.00, 0.00, 143.77, 142.76, 956.71, 959.55, 43625.27, 52407.57, 296.86, 966.45, 299.80, 19.59, 5746.53, 19.85
 00Z 30 Sep 1985, 41883, 850930/0000, 24.85, 89.36, 20.0, 0.04, -2.72, -0.21, 233.21, 30.50, 20.50, 21.90, 42.40, 1011.82, 1056.31, -14.90, -9.90, 172.96, 171.95, 877.78, 887.54, 1726.24, 1802.13, 296.25, 959.14, 299.83, 18.99, 5758.00, 76.80
 00Z 01 Sep 1986, 41883, 860901/0000, 24.85, 89.36, 20.0, 0.36, 35.46, 36.18, 206.81, 29.40, 20.00, 22.50, 42.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 272.26, 962.82, 275.45, 9.33, 5947.00, 44.05
 00Z 02 Sep 1986, 41883, 860902/0000, 24.85, 89.36, 20.0, 2.83, 37.68, 38.38, 196.60, 29.10, 16.30, 23.30, 39.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 269.83, 927.51, 275.96, 9.61, 5988.00, 46.07
 00Z 04 Sep 1986, 41883, 860904/0000, 24.85, 89.36, 20.0, -1.07, -4.42, -4.87, 269.38, 38.00, 20.90, 23.30, 44.20, 790.45, 921.56, -4.58, -1.65, 897.00, 920.21, 9.55, 11.13, 297.33, 955.00, 301.28, 20.39, 5860.00, 65.72
 00Z 05 Sep 1986, 41883, 860905/0000, 24.85, 89.36, 20.0, 4.90, 3.58, 3.51, 231.00, 31.20, 15.00, 16.40, 31.40, 1085.96, 1237.31, -0.29, -0.04, 934.00, 940.49, 183.35, 208.90, 296.64, 959.42, 300.20, 19.45, 15899.00, 64.26
 00Z 06 Sep 1986, 41883, 860906/0000, 24.85, 89.36, 20.0, -0.47, -2.66, -4.02, 242.01, 35.70, 19.70, 22.70, 42.40, 757.54, 1084.30, -35.61, -17.81, 772.86, 832.93, 44.37, 63.51, 297.33, 950.82, 301.66, 20.48, 5920.00, 47.54
 00Z 10 Sep 1986, 41883, 860910/0000, 24.85, 89.36, 20.0, -0.19, -1.33, 74.64, 107.52, -3.99, -1.81, 900.71, 918.03, 295.89, 955.03, 299.83, 18.64, 43.75
 00Z 15 Sep 1986, 41883, 860915/0000, 24.85, 89.36, 20.0, 0.89, -4.30, -4.98, 207.59, 35.20, 20.60, 22.30, 42.90, 2007.46, 2213.59, 0.00, 0.00, 141.21, 140.30, 974.28, 974.60, 8244.71, 9091.30, 296.30, 974.86, 298.48, 18.78, 5827.00, 53.06
 00Z 16 Sep 1986, 41883, 860916/0000, 24.85, 89.36, 20.0, -3.83, -4.22, -4.74, 254.58, 42.70, 23.30, 24.90, 48.20, 1601.21, 1719.12, -48.90, -40.67, 125.44, 125.19, 779.62, 792.09, 465.00, 499.24, 296.55, 951.68, 300.81, 19.50, 5868.00, 71.31
 00Z 19 Sep 1986, 41883, 860919/0000, 24.85, 89.36, 20.0, -3.19, -4.40, 22.30, 1654.98, 2122.16, -21.96, -9.09, 137.52, 136.05, 877.45, 889.77, 21811.75, 27969.03, 296.22, 950.07, 300.62, 19.18, 5904.00, 15.77
 00Z 20 Sep 1986, 41883, 860920/0000, 24.85, 89.36, 20.0, 2.99, 39.43, 39.56, 267.01, 9.50, 17.50, 21.50, 39.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 266.55, 908.50, 274.21, 8.68, 5953.00, 30.33
 00Z 25 Sep 1987, 41883, 870925/0000, 24.85, 89.36, 20.0, -3.73, -4.84, -5.71, 324.00, 43.50, 21.50, 22.60, 44.10, 3643.85, 3932.90, -8.10, -2.29, 847.80, 925.28, 366.01, 395.04, 301.54, 958.25, 305.27, 26.33, 5871.00, 96.23
 00Z 26 Sep 1987, 41883, 870926/0000, 24.85, 89.36, 20.0, 5.25, 4.46, 19.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 290.48, 892.03, 300.16, 14.96, 5825.00, 0.46
 00Z 02 Sep 1988, 41883, 880902/0000, 24.85, 89.36, 20.0, -0.02, -3.45, -4.13, 222.99, 34.90, 19.50, 21.90, 41.40, 2156.42, 2391.82, -2.77, -0.70, 904.97, 924.14, 649.83, 720.76, 298.23, 957.97, 301.95, 21.52, 5790.00, 66.46
 00Z 04 Sep 1988, 41883, 880904/0000, 24.85, 89.36, 20.0, -1.25, -3.29, -3.68, 233.61, 40.30, 20.90, 23.10, 44.00, 1335.16, 1442.07, -11.44, -4.45, 196.52, 196.54, 841.99, 879.07, 148.50, 160.39, 297.22, 961.76, 300.58, 20.11, 5737.00, 74.33
 00Z 06 Sep 1988, 41883, 880906/0000, 24.85, 89.36, 20.0, 22.70, 300.18, 5753.00, 0.00
 00Z 07 Sep 1988, 41883, 880907/0000, 24.85, 89.36, 20.0, -0.79, -3.14, -3.43, 240.39, 31.10, 20.70, 22.90, 43.60, 1249.63, 1459.02, -16.92, -13.31, 854.18, 873.26, 142.25, 166.09, 296.84, 960.99, 300.27, 19.64, 5770.00, 58.94
 00Z 08 Sep 1988, 41883, 880908/0000, 24.85, 89.36, 20.0, -2.22, -5.02, -6.05, 251.79, 42.10, 21.70, 24.70, 46.40, 2610.47, 2803.89, -57.02, -9.89, 150.31, 143.69, 689.90, 872.14, 387.74, 416.47, 297.62, 963.27, 300.86, 20.59, 5730.00, 70.45
 00Z 09 Sep 1988, 41883, 880909/0000, 24.85, 89.36, 20.0, 6.51, 54.35, 55.73, 256.02, 30.40, 14.00, 14.00, 28.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 263.84, 966.42, 266.58, 3.69, 5616.00, 63.44
 00Z 10 Sep 1988, 41883, 880910/0000, 24.85, 89.36, 20.0, -59.08, -64.12, -65.37, 2459.61, 93.90, 80.10, 81.30, 161.40, 8098.55, 8413.42, 0.00, 0.00, 129.82, 127.59, 949.85, 956.01, 12433.97, 12917.39, 297.25, 969.22, 299.94, 19.99, 5775.00, 57.28
 00Z 13 Sep 1988, 41883, 880913/0000, 24.85, 89.36, 20.0, -3.18, -2.26, -2.56, 257.79, 41.90, 23.50, 23.50, 47.00, 594.02, 649.20, -54.93, -64.16, 787.26, 781.54, 413.89, 452.34, 295.67, 972.09, 298.12, 19.40, 5728.00, 71.08
 00Z 14 Sep 1988, 41883, 880914/0000, 24.85, 89.36, 20.0, -0.63, -7.04, -7.96, 197.31, 35.20, 20.30, 25.30, 45.60, 2845.91, 3153.94, -12.72, -7.50, 120.00, 117.30, 885.19, 902.22, 560.04, 620.66, 298.21, 964.89, 301.30, 21.31, 5780.00, 57.59
 00Z 15 Sep 1988, 41883, 880915/0000, 24.85, 89.36, 20.0, -3.43, -9.39, -10.34, 254.59, 39.27, 22.70, 27.70, 50.40, 4542.86, 4879.60, -4.33, -1.00, 90.86, 90.33, 897.16, 924.23, 714.86, 767.85, 298.85, 965.69, 301.88, 22.18, 5781.00, 60.51
 00Z 17 Sep 1988, 41883, 880917/0000, 24.85, 89.36, 20.0, -0.74, -3.08, -3.54, 275.21, 39.90, 20.30, 23.90, 44.20, 905.99, 1018.95, -35.08, -20.73, 288.16, 288.10, 810.93, 830.11, 19.52, 21.95, 296.41, 953.70, 300.49, 19.30, 5771.00, 66.64
 00Z 19 Sep 1988, 41883, 880919/0000, 24.85, 89.36, 20.0, -6.16, -3.76, -4.39, 316.18, 43.90, 25.10, 26.10, 51.20, 1800.52, 1991.30, -100.49, -103.73, 147.50, 147.39, 770.28, 774.60, 364.33, 402.94, 296.01, 944.86, 300.88, 18.98, 5804.00, 63.74
 00Z 22 Sep 1988, 41883, 880922/0000, 24.85, 89.36, 20.0, -0.73, -3.97, -4.54, 252.80, 38.30, 20.90, 22.30, 43.20, 3466.54, 3760.24, -3.75, -1.15, 140.28, 139.38, 907.59, 925.31, 113.30, 122.90, 297.21, 956.38, 301.05, 20.24, 5770.00, 53.28
 00Z 23 Sep 1988, 41883, 880923/0000, 24.85, 89.36, 20.0, 1.10, -3.40, -4.26, 242.40, 34.40, 18.20, 22.30, 40.50, 2850.43, 3021.47, -2.64, -0.37, 107.63, 106.73, 898.73, 935.42, 359.55, 381.12, 298.28, 960.25, 301.79, 21.54, 5789.00, 75.00
 00Z 27 Sep 1988, 41883, 880927/0000, 24.85, 89.36, 20.0, -1.85, -3.53, -3.96, 397.79, 37.90, 21.40, 22.90, 44.30, 1324.71, 1501.31, -5.91, -2.55, 141.89, 140.00, 864.08, 899.19, 23.03, 26.10, 297.57, 960.00, 301.08, 20.58, 5790.00, 87.10
 00Z 28 Sep 1988, 41883, 880928/0000, 24.85, 89.36, 20.0, -2.91, -3.53, -4.62, 309.38, 39.80, 21.80, 23.90, 45.70, 1308.79, 1552.30, -43.46, -32.82, 781.46, 802.28, 46.64, 55.32, 297.74, 953.50, 301.85, 20.94, 5805.00, 63.11
 00Z 30 Sep 1988, 41883, 880930/0000, 24.85, 89.36, 20.0, -0.97, -3.92, -4.45, 210.41, 33.50, 20.70, 24.30, 45.00, 1390.40, 1591.47, -44.88, -30.49, 146.95, 146.09, 819.55, 852.08, 143.45, 164.20, 296.29, 949.64, 300.73, 19.25, 5765.00, 57.16
 00Z 20 Sep 1989, 41883, 890920/0000, 24.85, 89.36, 20.0, -2.53, -3.75, -4.27, 256.60, 39.91, 22.60, 23.30, 45.90, 2007.14, 2148.65, -1.27, -0.54, 912.29, 924.46, 134.49, 143.97, 297.17, 973.69, 299.47, 19.78, 5758.00, 70.60
 00Z 30 Sep 1989, 41883, 890930/0000, 24.85, 89.36, 20.0, -1.00, -6.38, -7.06, 216.80, 38.20, 22.20, 23.90, 46.10, 3353.34, 3541.75, -0.16, 0.00, 945.05, 953.47, 358.00, 378.11, 296.78, 969.44, 299.44, 19.40, 5750.00, 61.63
 00Z 01 Sep 1997, 41883, 970901/0000, 24.85, 89.36, 20.0, -0.62, -4.25, -4.61, 236.59, 37.00, 20.80, 23.30, 44.10, 1644.91, 1787.99, 0.00, 0.00, 145.41, 144.94, 968.42, 969.22, 445.58, 484.34, 297.28, 971.33, 299.79, 20.02, 5792.00, 66.93
 00Z 08 Sep 1997, 41883, 970908/0000, 24.85, 89.36, 20.0, 6.88, -3.26, -3.97, 164.42, 24.82, 17.63, 18.79, 36.42, 1322.04, 1519.31, 0.00, 0.00, 292.96, 291.41, 970.49, 970.49, 71.54, 82.21, 294.00, 970.49, 296.54, 16.75, 5629.33, 39.25
 00Z 22 Sep 1997, 41883, 970922/0000, 24.85, 89.36, 20.0, -3.37, -7.14, -8.24, 264.00, 42.10, 23.60, 23.70, 47.30, 3389.29, 3647.11, 0.00, 0.00, 120.58, 118.79, 959.54, 963.20, 423.08, 455.27, 298.84, 973.93, 301.14, 21.94, 5807.00, 69.09
 00Z 03 Sep 2008, 41883, 080903/0000, 24.85, 89.36, 20.0, 0.28, -2.98, -4.13, 243.38, 27.60, 19.20, 21.90, 41.10, 2542.42, 2887.52, 0.00, 0.00, 116.40, 116.46, 973.09, 972.94, 87.83, 99.75, 298.50, 974.66, 300.72, 21.47, 5788.00, 49.77
 00Z 13 Sep 2008, 41883, 080913/0000, 24.85, 89.36, 20.0, -5.72, -7.44, -8.23, 289.00, 44.90, 25.30, 25.30, 50.60, 3093.14, 3298.10, -1.06, -1.29, 121.88, 120.88, 916.13, 915.86, 331.14, 353.09, 298.95, 975.12, 301.14, 22.04, 5779.00, 75.40
 00Z 24 Sep 2008, 41883, 080924/0000, 24.85, 89.36, 20.0, -3.35, -5.69, -6.20, 263.38, 41.30, 23.30, 23.30, 46.60, 2790.87, 2956.53, 0.00, 0.00, 150.00, 148.67, 957.39, 957.22, 4124.41, 4369.22, 298.56, 974.33, 300.81, 21.54, 5777.00, 91.96
 00Z 20 Sep 2010, 41883, 100920/0000, 24.85, 89.36, 20.0, -2.06, -4.23, -4.59, 252.39, 39.30, 22.30, 22.70, 45.00, 1721.44, 1835.57, 0.00, 0.00, 144.25, 143.80, 974.88, 974.38, 705.36, 752.12, 297.73, 977.34, 299.71, 20.42, 5767.00, 73.47
 00Z 27 Sep 2010, 41883, 100927/0000, 24.85, 89.36, 20.0, -1.19, -4.09, -4.93, 262.02, 36.90, 21.70, 21.70, 43.40, 2221.00, 2441.37, -12.41, -8.71, 137.85, 136.67, 897.20, 904.31, 187.69, 206.31, 297.55, 967.65, 300.39, 20.41, 5771.00, 63.08
 00Z 04 Sep 2013, 41883, 130904/0000, 24.85, 89.36, 20.0, -1.75, -3.31, -3.61, 278.42, 34.90, 21.70, 21.70, 43.40, 1233.02, 1347.06, 0.00, 0.00, 132.45, 132.36, 967.35, 967.35, 122.66, 134.00, 297.81, 967.35, 300.67, 20.73, 5802.00, 75.46
 00Z 06 Sep 2013, 41883, 130906/0000, 24.85, 89.36, 20.0, 0.12, -4.62, -6.00, 265.01, 21.40, 19.60, 20.90, 40.50, 3650.10, 4020.72, -6.72, -4.23, 104.37, 104.45, 908.89, 918.13, 346.75, 381.96, 299.54, 965.91, 302.56, 23.11, 5760.00, 59.71
 00Z 16 Sep 2013, 41883, 130916/0000, 24.85, 89.36, 20.0, -1.86, -6.01, -7.15, 240.98, 37.80, 21.90, 21.90, 43.80, 3554.70, 3847.60, 0.00, 0.00, 108.19, 108.15, 950.75, 956.63, 2145.60, 2322.39, 299.38, 969.30, 302.10, 22.80, 5770.00, 69.08
