Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 04 Jan 1986,0,1011.0,34,13.0,11.0,88,8.21,NA,NA,285.3,308.2,286.7
00Z 04 Jan 1986,1,1000.0,162,14.4,12.1,86,8.94,360,6,287.6,312.7,289.1
00Z 04 Jan 1986,2,963.0,479,17.0,13.0,77,9.86,355,8,293.3,321.7,295.0
00Z 04 Jan 1986,3,850.0,1530,16.0,3.0,42,5.62,340,14,302.9,320.1,303.9
00Z 04 Jan 1986,4,700.0,3166,10.4,-4.6,35,3.90,250,27,314.0,326.7,314.7
00Z 04 Jan 1986,5,500.0,5980,-1.7,-14.7,36,2.46,245,37,330.9,339.6,331.4
00Z 04 Jan 1986,6,400.0,7630,-15.1,-27.1,35,1.04,245,63,335.3,339.2,335.5
00Z 04 Jan 1986,7,300.0,9740,-29.7,-35.7,56,0.61,230,69,343.4,345.9,343.5
00Z 04 Jan 1986,8,250.0,11010,-40.1,NA,NA,NA,240,110,346.3,NA,346.3
00Z 04 Jan 1986,9,200.0,12490,-51.3,NA,NA,NA,240,108,351.4,NA,351.4
00Z 05 Jan 1986,0,1010.0,34,13.8,12.7,93,9.21,NA,NA,286.1,311.9,287.7
00Z 05 Jan 1986,1,1000.0,173,15.4,15.4,100,11.12,320,10,288.6,319.8,290.5
00Z 05 Jan 1986,2,984.5,304,15.5,14.0,91,10.32,320,14,289.9,319.1,291.7
00Z 05 Jan 1986,3,949.5,609,15.6,10.8,73,8.64,320,13,293.1,318.0,294.6
00Z 05 Jan 1986,4,915.7,914,15.7,7.6,58,7.20,320,13,296.2,317.4,297.5
00Z 05 Jan 1986,5,850.0,1540,16.0,1.0,36,4.86,280,12,302.9,317.9,303.8
00Z 05 Jan 1986,6,791.9,2133,14.2,-0.8,36,4.57,240,13,307.1,321.5,308.0
00Z 05 Jan 1986,7,700.0,3165,11.0,-4.0,35,4.08,210,19,314.6,327.9,315.4
00Z 05 Jan 1986,8,500.0,5900,-6.3,-14.3,53,2.54,240,67,325.3,334.1,325.8
00Z 05 Jan 1986,9,487.4,6096,-7.6,-15.3,54,2.39,240,68,326.1,334.5,326.6
00Z 05 Jan 1986,10,400.0,7610,-17.3,-23.3,60,1.47,230,152,332.4,337.8,332.7
00Z 05 Jan 1986,11,399.4,7620,-17.4,-23.4,60,1.46,195,112,332.4,337.8,332.7
00Z 05 Jan 1986,12,300.0,9700,-33.9,-39.9,55,0.40,250,114,337.5,339.1,337.6
00Z 05 Jan 1986,13,250.0,10960,-43.3,-44.4,89,0.30,235,158,341.6,342.8,341.6
00Z 05 Jan 1986,14,237.0,11312,-45.6,NA,NA,NA,235,174,343.3,NA,343.3
00Z 05 Jan 1986,15,200.0,12430,-53.1,NA,NA,NA,240,168,348.5,NA,348.5
00Z 08 Jan 1986,0,1012.0,34,14.0,14.0,100,10.02,360,0,286.2,314.1,287.9
00Z 08 Jan 1986,1,1000.0,141,15.0,14.5,97,10.48,80,6,288.1,317.6,290.0
00Z 08 Jan 1986,2,850.0,1531,9.4,4.9,73,6.43,280,12,296.0,315.0,297.1
00Z 08 Jan 1986,3,700.0,3142,10.2,-6.8,30,3.30,120,17,313.8,324.6,314.4
00Z 08 Jan 1986,4,500.0,5830,-9.1,-24.1,29,1.10,235,35,321.9,325.8,322.1
00Z 08 Jan 1986,5,400.0,7520,-21.5,-26.5,64,1.10,235,27,327.0,331.0,327.2
00Z 08 Jan 1986,6,300.0,9590,-32.7,-42.7,36,0.30,250,10,339.2,340.4,339.2
00Z 08 Jan 1986,7,250.0,10850,-42.7,NA,NA,NA,230,122,342.4,NA,342.4
00Z 08 Jan 1986,8,204.0,12180,-54.0,NA,NA,NA,230,133,345.1,NA,345.1
00Z 08 Jan 1986,9,200.0,12310,-55.1,NA,NA,NA,230,132,345.4,NA,345.4
00Z 08 Jan 1986,10,150.0,14020,-67.5,NA,NA,NA,230,98,353.6,NA,353.6
00Z 08 Jan 1986,11,100.0,16410,-79.5,NA,NA,NA,230,63,373.9,NA,373.9
00Z 09 Jan 1986,0,1013.0,34,17.8,16.6,93,11.86,NA,NA,289.9,323.4,291.9
00Z 09 Jan 1986,1,1000.0,155,20.4,13.4,64,9.75,230,4,293.6,321.7,295.3
00Z 09 Jan 1986,2,850.0,1546,10.6,6.5,76,7.19,325,4,297.2,318.5,298.5
00Z 09 Jan 1986,3,700.0,3151,11.8,NA,NA,NA,180,6,315.5,NA,315.5
00Z 09 Jan 1986,4,500.0,5850,-9.3,NA,NA,NA,245,42,321.6,NA,321.6
00Z 09 Jan 1986,5,400.0,7540,-19.5,NA,NA,NA,265,57,329.6,NA,329.6
00Z 09 Jan 1986,6,300.0,9620,-32.1,NA,NA,NA,290,76,340.0,NA,340.0
00Z 09 Jan 1986,7,250.0,10880,-42.1,NA,NA,NA,290,136,343.3,NA,343.3
00Z 09 Jan 1986,8,200.0,12330,-56.1,NA,NA,NA,60,116,343.8,NA,343.8
00Z 09 Jan 1986,9,150.0,14100,-69.1,NA,NA,NA,NA,NA,350.9,NA,350.9
00Z 09 Jan 1986,10,100.0,16447,-81.9,NA,NA,NA,NA,NA,369.2,NA,369.2
00Z 12 Jan 1986,0,1010.0,34,18.8,14.9,78,10.65,360,0,291.1,321.4,293.0
00Z 12 Jan 1986,1,1000.0,130,19.6,15.2,76,10.97,10,5,292.8,324.2,294.7
00Z 12 Jan 1986,2,963.0,454,22.4,17.7,75,13.41,341,6,298.8,338.0,301.1
00Z 12 Jan 1986,3,850.0,1514,13.6,9.2,75,8.66,245,8,300.4,326.2,301.9
00Z 12 Jan 1986,4,700.0,3133,9.4,-3.6,40,4.21,220,17,312.9,326.5,313.7
