Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 27 Oct 1985,0,1009.0,34,22.2,20.6,91,15.39,NA,NA,294.6,338.8,297.3
00Z 27 Oct 1985,1,1000.0,124,22.2,20.4,90,15.33,45,6,295.4,339.5,298.1
00Z 27 Oct 1985,2,979.4,304,21.3,19.7,91,14.97,360,7,296.2,339.4,298.8
00Z 27 Oct 1985,3,945.4,609,19.7,18.5,93,14.36,360,3,297.6,339.4,300.2
00Z 27 Oct 1985,4,912.7,914,18.1,17.2,94,13.76,340,2,299.0,339.3,301.5
00Z 27 Oct 1985,5,850.0,1529,15.0,14.8,99,12.61,15,3,301.9,339.2,304.1
00Z 27 Oct 1985,6,789.6,2133,10.8,10.2,96,10.02,330,33,303.8,333.9,305.6
00Z 27 Oct 1985,7,700.0,3119,4.0,2.8,92,6.73,230,10,306.9,327.7,308.1
00Z 27 Oct 1985,8,500.0,5760,-11.1,NA,NA,NA,300,14,319.4,NA,319.4
00Z 27 Oct 1985,9,400.0,7430,-23.7,NA,NA,NA,290,293,324.1,NA,324.1
00Z 28 Oct 1985,0,1009.0,34,23.2,20.9,87,15.68,NA,NA,295.6,340.8,298.4
00Z 28 Oct 1985,1,978.2,304,12.0,9.7,86,7.76,30,12,286.9,308.8,288.2
00Z 28 Oct 1985,2,944.6,609,-0.7,-3.0,84,3.25,340,315,276.9,286.0,277.4
00Z 28 Oct 1985,3,912.2,914,-13.4,-15.7,83,1.24,345,10,266.6,270.2,266.8
00Z 28 Oct 1985,4,900.0,1031,-18.3,-20.6,82,0.83,322,9,262.6,265.0,262.8
00Z 28 Oct 1985,5,850.0,1520,13.6,11.2,85,9.92,225,6,300.4,329.8,302.2
00Z 28 Oct 1985,6,789.8,2133,12.4,10.0,86,9.87,225,19,305.5,335.4,307.3
00Z 28 Oct 1985,7,700.0,3140,10.4,8.1,86,9.77,285,39,314.0,344.6,315.8
00Z 28 Oct 1985,8,500.0,5820,-5.9,NA,NA,NA,285,40,325.8,NA,325.8
00Z 23 Oct 1986,0,1007.0,34,22.8,20.6,87,15.42,NA,NA,295.4,339.8,298.1
00Z 23 Oct 1986,1,1000.0,12,22.8,20.6,87,15.53,20,2,295.9,340.8,298.7
00Z 23 Oct 1986,2,920.0,795,20.4,16.9,80,13.34,313,3,300.6,340.0,303.0
00Z 23 Oct 1986,3,850.0,1528,16.2,9.2,63,8.66,250,4,303.1,329.2,304.7
00Z 23 Oct 1986,4,700.0,3146,8.4,1.4,61,6.09,250,9,311.8,331.0,312.9
00Z 23 Oct 1986,5,500.0,5830,-4.7,-13.7,49,2.67,195,9,327.2,336.6,327.8
00Z 23 Oct 1986,6,400.0,7550,-13.5,NA,NA,NA,250,22,337.4,NA,337.4
00Z 24 Oct 1986,0,1006.0,34,22.8,21.1,90,15.93,360,0,295.4,341.3,298.3
00Z 24 Oct 1986,1,1000.0,111,22.8,21.1,90,16.03,330,2,295.9,342.2,298.8
00Z 24 Oct 1986,2,920.0,836,21.6,17.8,79,14.14,16,5,301.9,343.8,304.4
00Z 24 Oct 1986,3,850.0,1519,19.4,13.4,68,11.49,60,7,306.4,341.3,308.6
00Z 24 Oct 1986,4,700.0,3156,11.4,0.4,47,5.66,205,10,315.1,333.3,316.1
00Z 24 Oct 1986,5,500.0,5850,-6.3,-16.3,45,2.15,50,5,325.3,332.9,325.7
00Z 24 Oct 1986,6,400.0,7540,-14.7,-23.7,46,1.42,235,19,335.8,341.1,336.1
00Z 24 Oct 1986,7,300.0,9640,-31.3,-34.6,73,0.68,NA,NA,341.1,343.8,341.3
00Z 26 Oct 1986,0,1010.0,34,23.8,21.0,84,15.77,NA,NA,296.1,341.7,298.9
00Z 26 Oct 1986,1,1000.0,143,22.6,20.0,85,14.95,45,7,295.8,338.9,298.4
00Z 26 Oct 1986,2,850.0,1541,18.0,10.0,60,9.15,300,8,305.0,332.7,306.7
00Z 26 Oct 1986,3,700.0,3157,8.0,1.0,61,5.91,240,8,311.3,330.0,312.4
00Z 26 Oct 1986,4,500.0,5810,-5.5,-16.5,42,2.12,265,18,326.3,333.7,326.7
00Z 26 Oct 1986,5,400.0,7520,-16.9,NA,NA,NA,265,22,332.9,NA,332.9
00Z 26 Oct 1986,6,300.0,9620,-30.7,NA,NA,NA,260,28,342.0,NA,342.0
