Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 04 Nov 1985,0,1010.0,34,19.4,17.8,90,12.86,NA,NA,291.7,328.2,294.0
00Z 04 Nov 1985,1,1000.0,138,19.4,17.3,88,12.58,50,17,292.6,328.4,294.8
00Z 04 Nov 1985,2,980.8,304,20.2,17.2,83,12.77,50,14,294.9,331.7,297.2
00Z 04 Nov 1985,3,975.0,354,20.4,17.2,82,12.82,50,13,295.7,332.8,298.0
00Z 04 Nov 1985,4,946.4,609,20.3,16.7,80,12.81,50,7,298.1,335.5,300.4
00Z 04 Nov 1985,5,913.2,914,20.1,16.1,78,12.80,50,4,301.0,338.8,303.3
00Z 04 Nov 1985,6,850.0,1527,19.8,15.0,74,12.77,250,10,306.9,345.6,309.2
00Z 04 Nov 1985,7,789.2,2133,13.0,9.1,77,9.26,270,7,306.2,334.4,307.9
00Z 04 Nov 1985,8,700.0,3113,2.0,-0.5,84,5.30,255,27,304.7,321.0,305.6
00Z 04 Nov 1985,9,500.0,5750,-10.1,NA,NA,NA,285,27,320.7,NA,320.7
00Z 04 Nov 1985,10,477.7,6096,-12.4,NA,NA,NA,280,39,322.0,NA,322.0
00Z 04 Nov 1985,11,400.0,7440,-21.5,NA,NA,NA,275,45,327.0,NA,327.0
00Z 04 Nov 1985,12,390.1,7620,-22.7,NA,NA,NA,280,71,327.7,NA,327.7
00Z 04 Nov 1985,13,300.0,9500,-35.7,NA,NA,NA,290,70,334.9,NA,334.9
00Z 04 Nov 1985,14,250.0,10750,-41.9,NA,NA,NA,280,72,343.6,NA,343.6
00Z 04 Nov 1985,15,200.0,12220,-53.1,NA,NA,NA,275,99,348.5,NA,348.5
00Z 04 Nov 1985,16,150.0,14030,-63.9,NA,NA,NA,279,117,359.8,NA,359.8
00Z 04 Nov 1985,17,144.0,NA,NA,NA,NA,NA,280,119
00Z 05 Nov 1985,0,1011.0,34,20.0,17.2,84,12.36,25,5,292.2,327.4,294.4
00Z 05 Nov 1985,1,1010.9,35,20.0,17.2,84,12.36,25,5,292.2,327.4,294.4
00Z 05 Nov 1985,2,1000.0,128,20.0,16.7,81,12.10,25,10,293.1,327.8,295.3
00Z 05 Nov 1985,3,979.9,304,19.4,15.8,79,11.64,25,11,294.3,327.8,296.3
00Z 05 Nov 1985,4,913.4,914,17.4,12.6,73,10.15,350,8,298.2,328.0,300.0
00Z 05 Nov 1985,5,850.0,1538,15.4,9.4,67,8.78,280,11,302.3,328.6,303.9
00Z 05 Nov 1985,6,700.0,3127,2.6,-1.3,75,5.00,240,19,305.3,320.9,306.3
00Z 05 Nov 1985,7,500.0,5750,-10.3,NA,NA,NA,285,37,320.4,NA,320.4
00Z 05 Nov 1985,8,400.0,7440,-10.1,NA,NA,NA,290,47,341.8,NA,341.8
00Z 05 Nov 1985,9,300.0,9520,-33.5,NA,NA,NA,275,79,338.0,NA,338.0
00Z 05 Nov 1985,10,250.0,10780,-43.1,NA,NA,NA,270,35,341.9,NA,341.9
00Z 05 Nov 1985,11,227.0,11416,-47.6,NA,NA,NA,270,134,344.5,NA,344.5
00Z 05 Nov 1985,12,200.0,12250,-53.5,NA,NA,NA,260,90,347.9,NA,347.9
00Z 05 Nov 1985,13,150.0,14040,-65.3,NA,NA,NA,270,63,357.4,NA,357.4
00Z 05 Nov 1985,14,100.0,16470,-71.1,NA,NA,NA,NA,NA,390.1,NA,390.1
00Z 08 Nov 1985,0,1010.0,34,18.2,17.1,93,12.29,NA,NA,290.5,325.3,292.7
00Z 08 Nov 1985,1,1000.0,133,17.8,16.2,90,11.71,360,10,290.9,324.2,293.0
00Z 08 Nov 1985,2,911.4,914,0.5,-1.3,88,3.82,360,14,281.0,291.9,281.6
00Z 08 Nov 1985,3,850.0,1501,-12.5,-14.5,85,1.47,360,10,273.0,277.3,273.3
00Z 08 Nov 1985,4,700.0,3081,2.4,-3.6,65,4.21,305,17,305.1,318.3,305.9
00Z 08 Nov 1985,5,500.0,5720,-12.7,NA,NA,NA,275,NA,317.5,NA,317.5
00Z 08 Nov 1985,6,400.0,7380,-34.3,NA,NA,NA,275,NA,310.3,NA,310.3
00Z 08 Nov 1985,7,300.0,9450,-33.1,NA,NA,NA,275,88,338.6,NA,338.6
00Z 08 Nov 1985,8,250.0,10700,-43.1,NA,NA,NA,285,84,341.9,NA,341.9
00Z 08 Nov 1985,9,200.0,12160,-52.7,NA,NA,NA,220,24,349.1,NA,349.1
00Z 08 Nov 1985,10,177.0,12920,-59.0,NA,NA,NA,280,97,351.2,NA,351.2
00Z 08 Nov 1985,11,150.0,13950,-67.5,NA,NA,NA,275,71,353.6,NA,353.6
00Z 10 Nov 1985,0,1009.0,34,18.2,17.3,94,12.46,360,0,290.6,325.9,292.8
00Z 10 Nov 1985,1,1000.0,129,18.2,14.7,80,10.62,359,0,291.4,321.6,293.2
00Z 10 Nov 1985,2,973.0,364,20.4,18.3,88,13.79,357,2,295.9,335.7,298.3
00Z 10 Nov 1985,3,850.0,1519,16.0,10.0,68,9.15,345,9,302.9,330.4,304.6
00Z 10 Nov 1985,4,700.0,3136,6.0,NA,NA,NA,265,12,309.1,NA,309.1
00Z 10 Nov 1985,5,500.0,5820,-8.7,NA,NA,NA,295,23,322.4,NA,322.4
00Z 10 Nov 1985,6,400.0,7528,-15.1,NA,NA,NA,286,39,335.3,NA,335.3
00Z 10 Nov 1985,7,300.0,9630,-30.3,NA,NA,NA,275,59,342.6,NA,342.6
00Z 10 Nov 1985,8,263.0,10547,-37.5,NA,NA,NA,255,95,345.1,NA,345.1
00Z 10 Nov 1985,9,250.0,10900,-40.3,NA,NA,NA,265,61,346.0,NA,346.0
00Z 10 Nov 1985,10,200.0,12400,-47.7,NA,NA,NA,255,89,357.1,NA,357.1
00Z 10 Nov 1985,11,150.0,14240,-61.1,NA,NA,NA,270,69,364.6,NA,364.6
00Z 11 Nov 1985,0,1007.0,34,17.4,14.9,85,10.68,NA,NA,290.0,320.2,291.8
00Z 11 Nov 1985,1,1000.0,110,17.4,14.9,85,10.76,NA,NA,290.6,321.1,292.4
00Z 11 Nov 1985,2,977.8,304,18.8,16.6,87,12.31,30,3,293.8,329.1,295.9
00Z 11 Nov 1985,3,964.0,427,19.6,17.7,89,13.40,30,4,295.8,334.6,298.2
00Z 11 Nov 1985,4,943.9,609,19.5,16.4,82,12.62,30,6,297.6,334.3,299.8
00Z 11 Nov 1985,5,911.2,914,19.4,14.3,72,11.40,20,9,300.4,334.2,302.5
00Z 11 Nov 1985,6,850.0,1516,19.2,10.2,56,9.27,360,12,306.2,334.5,307.9
00Z 11 Nov 1985,7,789.6,2133,14.9,NA,NA,NA,335,7,308.1,NA,308.1
00Z 11 Nov 1985,8,700.0,3142,7.8,NA,NA,NA,260,16,311.1,NA,311.1
00Z 11 Nov 1985,9,479.0,6096,-8.8,NA,NA,NA,255,47,326.2,NA,326.2
00Z 11 Nov 1985,10,400.0,7500,-16.7,NA,NA,NA,255,45,333.2,NA,333.2
00Z 11 Nov 1985,11,393.5,7620,-17.5,NA,NA,NA,260,55,333.7,NA,333.7
00Z 11 Nov 1985,12,300.0,9600,-31.3,NA,NA,NA,255,59,341.1,NA,341.1
00Z 11 Nov 1985,13,250.0,10870,-40.9,NA,NA,NA,260,51,345.1,NA,345.1
00Z 11 Nov 1985,14,200.0,12340,-53.9,NA,NA,NA,264,39,347.2,NA,347.2
00Z 11 Nov 1985,15,150.0,14130,-66.5,NA,NA,NA,270,23,355.3,NA,355.3
00Z 11 Nov 1985,16,100.0,16500,-78.3,NA,NA,NA,245,19,376.2,NA,376.2
00Z 15 Nov 1985,0,1009.0,34,19.6,17.1,85,12.30,360,0,292.0,327.0,294.2
00Z 15 Nov 1985,1,1000.0,126,19.6,17.9,90,13.07,60,212,292.8,330.0,295.1
00Z 15 Nov 1985,2,981.0,291,21.0,19.4,91,14.67,62,187,295.8,338.1,298.4
00Z 15 Nov 1985,3,850.0,1514,14.0,12.8,92,11.04,80,2,300.8,333.5,302.8
00Z 15 Nov 1985,4,700.0,3110,4.6,-2.4,60,4.60,350,3,307.6,322.0,308.4
00Z 15 Nov 1985,5,500.0,5780,-10.1,NA,NA,NA,265,26,320.7,NA,320.7
00Z 15 Nov 1985,6,400.0,7470,-12.7,NA,NA,NA,260,45,338.4,NA,338.4
00Z 15 Nov 1985,7,300.0,9588,-30.3,NA,NA,NA,270,55,342.6,NA,342.6
00Z 15 Nov 1985,8,250.0,10840,-40.5,NA,NA,NA,280,56,345.7,NA,345.7
00Z 15 Nov 1985,9,200.0,12320,-52.5,NA,NA,NA,270,68,349.5,NA,349.5
00Z 15 Nov 1985,10,150.0,14120,-68.9,NA,NA,NA,290,47,351.2,NA,351.2
00Z 15 Nov 1985,11,100.0,16490,-81.1,NA,NA,NA,NA,NA,370.8,NA,370.8
00Z 16 Nov 1985,0,1009.0,34,23.2,20.5,85,15.29,NA,NA,295.6,339.7,298.3
00Z 16 Nov 1985,1,1000.0,127,23.2,23.2,100,18.28,300,3,296.4,349.2,299.6
00Z 16 Nov 1985,2,900.0,1063,21.0,18.3,85,14.93,44,5,303.1,347.6,305.9
00Z 16 Nov 1985,3,850.0,1534,-17.3,NA,NA,NA,100,6,268.0,NA,268.0
00Z 16 Nov 1985,4,700.0,3157,10.0,NA,NA,NA,220,6,313.5,NA,313.5
00Z 16 Nov 1985,5,500.0,5810,-9.5,NA,NA,NA,260,26,321.4,NA,321.4
00Z 16 Nov 1985,6,300.0,9620,-29.7,NA,NA,NA,290,53,343.4,NA,343.4
00Z 16 Nov 1985,7,250.0,10900,-39.0,NA,NA,NA,280,42,347.9,NA,347.9
00Z 16 Nov 1985,8,200.0,12380,-52.1,NA,NA,NA,280,48,350.1,NA,350.1
00Z 18 Nov 1985,0,1009.0,34,20.0,19.5,97,14.35,90,4,292.4,333.2,294.9
00Z 18 Nov 1985,1,1000.0,127,19.0,19.0,100,14.03,65,8,292.1,332.0,294.6
00Z 18 Nov 1985,2,850.0,1505,12.6,12.6,100,10.90,215,10,299.3,331.4,301.3
00Z 18 Nov 1985,3,700.0,3101,5.0,3.7,91,7.18,275,21,308.0,330.2,309.3
00Z 18 Nov 1985,4,500.0,5720,-9.5,-20.5,40,1.51,290,9,321.4,326.7,321.7
00Z 18 Nov 1985,5,250.0,10750,-43.3,NA,NA,NA,265,48,341.6,NA,341.6
00Z 18 Nov 1985,6,200.0,12330,-52.3,NA,NA,NA,260,37,349.8,NA,349.8
00Z 19 Nov 1985,0,1008.0,34,21.6,21.6,100,16.41,135,9,294.1,341.1,297.0
00Z 19 Nov 1985,1,1000.0,124,20.0,20.0,100,14.95,110,20,293.1,335.8,295.8
00Z 19 Nov 1985,2,850.0,1507,13.6,13.6,100,11.65,250,15,300.4,334.8,302.5
00Z 19 Nov 1985,3,700.0,3107,4.4,3.6,95,7.13,250,12,307.3,329.3,308.6
00Z 19 Nov 1985,4,500.0,5840,-9.7,-10.9,91,3.35,245,33,321.1,332.4,321.8
00Z 19 Nov 1985,5,400.0,7510,-14.7,NA,NA,NA,245,41,335.8,NA,335.8
00Z 19 Nov 1985,6,300.0,9600,-31.3,NA,NA,NA,255,51,341.1,NA,341.1
00Z 19 Nov 1985,7,250.0,10908,-25.0,NA,NA,NA,265,55,368.8,NA,368.8
00Z 19 Nov 1985,8,200.0,12350,-52.7,NA,NA,NA,250,61,349.1,NA,349.1
00Z 24 Nov 1985,0,1008.0,34,16.6,14.9,90,10.67,360,5,289.1,319.2,290.9
00Z 24 Nov 1985,1,1000.0,118,16.6,14.2,86,10.28,359,5,289.8,318.8,291.5
00Z 24 Nov 1985,2,900.0,1009,14.6,9.6,72,8.40,347,7,296.5,321.2,298.1
00Z 24 Nov 1985,3,850.0,1486,10.4,4.4,66,6.20,340,8,297.0,315.5,298.1
00Z 24 Nov 1985,4,700.0,3102,10.6,2.6,58,6.64,330,15,314.2,335.3,315.4
00Z 24 Nov 1985,5,500.0,5790,-8.7,NA,NA,NA,285,35,322.4,NA,322.4
00Z 24 Nov 1985,6,400.0,7490,-17.5,NA,NA,NA,265,41,332.2,NA,332.2
00Z 24 Nov 1985,7,300.0,9570,-32.3,NA,NA,NA,270,37,339.7,NA,339.7
00Z 24 Nov 1985,8,250.0,10830,-42.9,NA,NA,NA,270,41,342.1,NA,342.1
00Z 25 Nov 1985,0,1009.0,34,16.4,15.4,94,11.02,360,0,288.8,319.8,290.7
00Z 25 Nov 1985,1,1004.0,84,16.4,15.4,94,11.07,335,1,289.2,320.4,291.1
00Z 25 Nov 1985,2,1000.0,125,16.4,15.5,94,11.19,315,2,289.6,321.1,291.5
00Z 25 Nov 1985,3,900.0,1023,16.0,14.7,92,11.82,247,3,298.0,332.5,300.1
00Z 25 Nov 1985,4,850.0,1508,14.2,12.2,88,10.61,210,3,301.0,332.5,302.9
00Z 25 Nov 1985,5,700.0,3134,11.2,5.2,67,7.98,270,13,314.9,340.2,316.4
00Z 25 Nov 1985,6,500.0,5830,-6.3,NA,NA,NA,265,25,325.3,NA,325.3
00Z 25 Nov 1985,7,400.0,7530,-19.3,NA,NA,NA,260,30,329.8,NA,329.8
00Z 25 Nov 1985,8,300.0,9580,-38.9,NA,NA,NA,265,46,330.4,NA,330.4
00Z 25 Nov 1985,9,250.0,10800,-51.1,NA,NA,NA,235,56,330.0,NA,330.0
00Z 27 Nov 1985,0,1009.0,34,17.2,15.0,87,10.73,NA,NA,289.6,319.9,291.5
00Z 27 Nov 1985,1,1000.0,126,18.4,17.9,97,13.07,NA,NA,291.6,328.6,293.8
00Z 27 Nov 1985,2,979.3,304,18.3,17.1,93,12.70,20,6,293.2,329.5,295.5
00Z 27 Nov 1985,3,944.8,609,18.2,15.8,86,12.07,20,2,296.1,331.1,298.3
00Z 27 Nov 1985,4,933.0,716,18.2,15.3,83,11.85,20,2,297.2,331.7,299.3
00Z 27 Nov 1985,5,911.3,914,16.8,12.8,78,10.33,20,2,297.7,328.0,299.6
00Z 27 Nov 1985,6,850.0,1500,12.6,5.6,62,6.75,20,3,299.3,319.5,300.6
00Z 27 Nov 1985,7,788.0,2133,11.9,4.1,59,6.56,290,8,305.1,325.3,306.3
00Z 27 Nov 1985,8,700.0,3123,10.8,1.8,54,6.27,260,17,314.4,334.4,315.6
00Z 27 Nov 1985,9,500.0,5820,-7.5,NA,NA,NA,260,31,323.8,NA,323.8
00Z 27 Nov 1985,10,400.0,7510,-18.7,NA,NA,NA,260,31,330.6,NA,330.6
00Z 27 Nov 1985,11,300.0,9600,-33.3,NA,NA,NA,245,45,338.3,NA,338.3
00Z 27 Nov 1985,12,250.0,10850,-40.3,NA,NA,NA,205,66,346.0,NA,346.0
00Z 27 Nov 1985,13,220.0,11675,-47.5,NA,NA,NA,270,78,347.8,NA,347.8
00Z 27 Nov 1985,14,200.0,12290,-52.9,NA,NA,NA,250,76,348.8,NA,348.8
00Z 27 Nov 1985,15,150.0,14110,-62.9,NA,NA,NA,NA,NA,361.5,NA,361.5
00Z 28 Nov 1985,0,1010.0,34,16.0,15.0,94,10.72,NA,NA,288.3,318.4,290.2
00Z 28 Nov 1985,1,1000.0,145,16.0,14.5,91,10.48,35,10,289.1,318.7,291.0
00Z 28 Nov 1985,2,981.3,304,15.5,13.4,87,9.93,35,10,290.2,318.4,292.0
00Z 28 Nov 1985,3,946.3,609,14.6,11.3,80,8.94,15,13,292.4,318.1,293.9
00Z 28 Nov 1985,4,912.6,914,13.8,9.2,74,8.04,15,11,294.5,317.9,295.9
