Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Dec 1985,0,1013.0,34,16.0,14.8,93,10.55,310,3,288.1,317.7,289.9
00Z 01 Dec 1985,1,1000.0,152,17.2,15.2,88,10.97,360,11,290.4,321.4,292.3
00Z 01 Dec 1985,2,945.0,634,17.2,16.8,98,12.90,327,11,295.1,332.2,297.4
00Z 01 Dec 1985,3,850.0,1533,15.0,9.0,67,8.54,265,10,301.9,327.5,303.4
00Z 01 Dec 1985,4,700.0,3144,7.4,1.4,66,6.09,280,17,310.6,329.8,311.8
00Z 01 Dec 1985,5,500.0,5730,-8.7,NA,NA,NA,280,10,322.4,NA,322.4
00Z 02 Dec 1985,0,1013.0,34,17.4,14.6,84,10.41,NA,NA,289.5,318.9,291.3
00Z 02 Dec 1985,1,1000.0,153,17.4,15.5,89,11.19,15,4,290.6,322.3,292.5
00Z 02 Dec 1985,2,900.0,1052,16.4,13.4,82,10.85,310,7,298.4,330.2,300.3
00Z 02 Dec 1985,3,850.0,1537,15.4,6.4,55,7.14,275,9,302.3,323.9,303.6
00Z 02 Dec 1985,4,700.0,3170,12.2,3.2,54,6.93,265,19,316.0,338.1,317.3
00Z 02 Dec 1985,5,500.0,5860,-9.7,NA,NA,NA,275,45,321.1,NA,321.1
00Z 02 Dec 1985,6,400.0,7550,-19.1,NA,NA,NA,250,55,330.1,NA,330.1
00Z 02 Dec 1985,7,353.0,8462,-24.4,NA,NA,NA,250,93,334.9,NA,334.9
00Z 02 Dec 1985,8,300.0,9650,-31.3,NA,NA,NA,315,63,341.1,NA,341.1
00Z 02 Dec 1985,9,250.0,10910,-42.7,NA,NA,NA,245,53,342.4,NA,342.4
00Z 02 Dec 1985,10,200.0,12370,-57.3,NA,NA,NA,260,49,341.9,NA,341.9
00Z 06 Dec 1985,0,1010.0,34,15.6,14.4,93,10.31,NA,NA,287.9,316.9,289.7
00Z 06 Dec 1985,1,1000.0,135,15.6,14.6,94,10.55,15,6,288.8,318.4,290.6
00Z 06 Dec 1985,2,980.1,304,15.4,13.7,89,10.11,15,8,290.2,318.9,292.0
00Z 06 Dec 1985,3,945.3,609,15.1,11.9,82,9.36,45,8,292.9,319.8,294.5
00Z 06 Dec 1985,4,911.7,914,14.7,10.2,74,8.65,45,7,295.6,320.8,297.1
00Z 06 Dec 1985,5,900.0,1023,14.6,9.6,72,8.40,25,7,296.5,321.2,298.1
00Z 06 Dec 1985,6,850.0,1500,10.0,7.7,86,7.81,295,6,296.6,319.6,298.0
00Z 06 Dec 1985,7,783.9,2133,9.9,5.2,73,7.14,295,0,303.4,325.1,304.8
00Z 06 Dec 1985,8,700.0,3019,9.8,1.8,57,6.27,245,19,313.3,333.2,314.5
00Z 06 Dec 1985,9,500.0,5710,-2.9,NA,NA,NA,290,52,329.4,NA,329.4
00Z 06 Dec 1985,10,475.7,6096,-5.6,NA,NA,NA,290,53,330.8,NA,330.8
00Z 06 Dec 1985,11,400.0,7440,-15.1,NA,NA,NA,310,56,335.3,NA,335.3
00Z 06 Dec 1985,12,390.2,7620,-16.7,NA,NA,NA,300,66,335.6,NA,335.6
00Z 06 Dec 1985,13,342.0,8578,-25.0,NA,NA,NA,315,69,337.2,NA,337.2
00Z 06 Dec 1985,14,300.0,9530,-33.3,NA,NA,NA,315,65,338.3,NA,338.3
00Z 06 Dec 1985,15,250.0,10780,-42.1,NA,NA,NA,300,64,343.3,NA,343.3
00Z 06 Dec 1985,16,200.0,12260,-50.1,NA,NA,NA,285,39,353.3,NA,353.3
00Z 06 Dec 1985,17,150.0,14160,-68.9,NA,NA,NA,260,43,351.2,NA,351.2
00Z 11 Dec 1985,0,1008.0,34,16.8,14.6,87,10.47,180,5,289.3,318.8,291.1
00Z 11 Dec 1985,1,1000.0,112,16.0,13.2,83,9.62,25,13,289.1,316.4,290.8
00Z 11 Dec 1985,2,909.0,926,17.4,14.2,81,11.32,131,11,298.6,331.8,300.6
00Z 11 Dec 1985,3,850.0,1495,14.0,-28.0,4,0.45,205,10,300.8,302.4,300.9
00Z 11 Dec 1985,4,700.0,3112,9.2,2.2,62,6.45,280,23,312.6,333.1,313.9
00Z 11 Dec 1985,5,500.0,5790,3.2,-10.6,36,3.43,275,34,336.9,349.1,337.6
00Z 11 Dec 1985,6,400.0,7519,-14.3,-19.1,67,2.12,265,48,336.3,344.1,336.8
00Z 11 Dec 1985,7,300.0,9530,-30.3,-35.2,62,0.64,255,49,342.6,345.1,342.7
00Z 11 Dec 1985,8,250.0,10800,-39.9,NA,NA,NA,260,55,346.6,NA,346.6
00Z 11 Dec 1985,9,200.0,12290,-50.5,NA,NA,NA,250,63,352.6,NA,352.6
00Z 11 Dec 1985,10,150.0,14100,-63.5,NA,NA,NA,260,75,360.5,NA,360.5
00Z 12 Dec 1985,0,1011.0,34,17.0,14.0,83,10.03,90,0,289.2,317.6,291.0
00Z 12 Dec 1985,1,1010.9,35,17.0,14.0,83,10.05,90,0,289.2,317.7,291.0
00Z 12 Dec 1985,2,1000.0,133,17.0,17.0,100,12.34,325,6,290.1,325.0,292.3
00Z 12 Dec 1985,3,980.0,304,16.8,16.4,98,12.13,320,8,291.6,326.1,293.7
