Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Feb 1986,0,1008.0,34,18.2,16.6,90,11.92,360,0,290.7,324.4,292.8
00Z 01 Feb 1986,1,1000.0,113,21.4,17.0,76,12.34,65,2,294.6,330.1,296.7
00Z 01 Feb 1986,2,972.0,359,24.6,8.6,36,7.26,93,4,300.2,321.9,301.5
00Z 01 Feb 1986,3,850.0,1506,16.0,0.0,34,4.52,225,13,302.9,316.9,303.7
00Z 01 Feb 1986,4,700.0,3122,2.4,-3.6,65,4.21,265,21,305.1,318.3,305.9
00Z 01 Feb 1986,5,500.0,5790,-9.1,NA,NA,NA,255,52,321.9,NA,321.9
00Z 01 Feb 1986,6,400.0,7480,-19.9,NA,NA,NA,255,55,329.0,NA,329.0
00Z 01 Feb 1986,7,300.0,9650,-31.5,NA,NA,NA,250,25,340.9,NA,340.9
00Z 01 Feb 1986,8,250.0,10820,-43.3,NA,NA,NA,250,41,341.6,NA,341.6
00Z 01 Feb 1986,9,200.0,12280,-55.1,NA,NA,NA,250,106,345.4,NA,345.4
00Z 02 Feb 1986,0,1008.0,34,18.2,16.2,88,11.62,360,0,290.7,323.6,292.7
00Z 02 Feb 1986,1,1000.0,115,17.4,15.7,90,11.34,355,2,290.6,322.7,292.5
00Z 02 Feb 1986,2,920.0,875,15.0,10.5,74,8.73,327,8,295.1,320.5,296.6
00Z 02 Feb 1986,3,850.0,1591,12.0,7.5,74,7.71,300,13,298.7,321.6,300.1
00Z 02 Feb 1986,4,700.0,3179,0.4,-2.7,80,4.50,275,30,302.9,316.8,303.7
00Z 02 Feb 1986,5,693.0,3259,0.0,-3.0,80,4.45,275,31,303.3,317.1,304.1
00Z 02 Feb 1986,6,500.0,5800,-11.1,-25.1,31,1.00,275,78,319.4,323.0,319.6
00Z 02 Feb 1986,7,400.0,7490,-18.7,-20.3,87,1.92,270,186,330.6,337.5,331.0
00Z 02 Feb 1986,8,300.0,9570,-32.1,-44.1,29,0.26,260,218,340.0,341.1,340.1
00Z 02 Feb 1986,9,250.0,10030,-25.0,-58.0,3,0.06,250,83,368.8,369.1,368.8
00Z 02 Feb 1986,10,70.0,18590,-76.1,NA,NA,NA,30,100,421.3,NA,421.3
00Z 02 Feb 1986,11,50.0,20530,-74.5,NA,NA,NA,230,58,467.5,NA,467.5
00Z 02 Feb 1986,12,30.0,23350,-86.3,NA,NA,NA,NA,NA,508.9,NA,508.9
00Z 02 Feb 1986,13,20.0,26120,-55.3,NA,NA,NA,NA,NA,666.2,NA,666.2
00Z 02 Feb 1986,14,10.0,30610,-48.7,NA,NA,NA,NA,NA,836.7,NA,836.7
00Z 03 Feb 1986,0,1010.0,34,18.2,13.8,75,9.91,360,11,290.5,318.7,292.3
00Z 03 Feb 1986,1,1009.9,35,18.2,13.8,75,9.92,360,11,290.6,318.8,292.3
00Z 03 Feb 1986,2,1000.0,128,20.2,15.6,75,11.26,10,16,293.4,325.7,295.3
00Z 03 Feb 1986,3,979.8,304,21.7,8.9,44,7.36,10,20,296.5,318.3,297.8
00Z 03 Feb 1986,4,967.0,418,22.6,4.6,31,5.53,10,19,298.6,315.3,299.6
00Z 03 Feb 1986,5,945.6,609,21.0,4.9,35,5.76,10,16,298.9,316.2,299.9
00Z 03 Feb 1986,6,912.4,914,18.4,5.3,42,6.17,10,19,299.2,317.8,300.4
00Z 03 Feb 1986,7,850.0,1518,13.2,6.2,63,7.04,240,14,300.0,321.1,301.2
00Z 03 Feb 1986,8,789.0,2133,10.1,NA,NA,NA,305,18,303.0,NA,303.0
00Z 03 Feb 1986,9,700.0,3122,5.0,NA,NA,NA,305,27,308.0,NA,308.0
