Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Mar 1986,0,1009.0,34,16.6,15.7,94,11.24,NA,NA,289.0,320.6,291.0
00Z 01 Mar 1986,1,1000.0,126,16.6,14.2,86,10.28,30,4,289.8,318.8,291.5
00Z 01 Mar 1986,2,979.3,304,16.1,13.6,85,10.06,30,6,291.0,319.6,292.7
00Z 01 Mar 1986,3,944.9,609,15.2,12.5,84,9.70,30,12,293.1,320.9,294.8
00Z 01 Mar 1986,4,911.7,914,14.3,11.4,82,9.34,30,14,295.2,322.3,296.8
00Z 01 Mar 1986,5,850.0,1512,12.6,9.2,80,8.66,325,15,299.3,325.0,300.9
00Z 01 Mar 1986,6,700.0,3106,5.0,-1.0,65,5.11,310,23,308.0,324.0,308.9
00Z 01 Mar 1986,7,500.0,5720,-11.3,NA,NA,NA,285,47,319.2,NA,319.2
00Z 01 Mar 1986,8,400.0,7400,-19.1,NA,NA,NA,285,95,330.1,NA,330.1
00Z 01 Mar 1986,9,300.0,9490,-29.5,NA,NA,NA,290,73,343.7,NA,343.7
00Z 01 Mar 1986,10,250.0,10770,-36.7,NA,NA,NA,275,98,351.4,NA,351.4
00Z 01 Mar 1986,11,200.0,12280,-47.1,NA,NA,NA,275,86,358.0,NA,358.0
00Z 01 Mar 1986,12,150.0,14130,-59.5,NA,NA,NA,295,110,367.4,NA,367.4
00Z 01 Mar 1986,13,100.0,16600,-68.5,NA,NA,NA,280,95,395.1,NA,395.1
00Z 02 Mar 1986,0,1010.0,34,19.4,17.8,90,12.86,360,0,291.7,328.2,294.0
00Z 02 Mar 1986,1,1000.0,139,19.4,18.0,92,13.16,60,5,292.6,330.1,294.9
00Z 02 Mar 1986,2,920.0,852,16.0,11.6,75,9.41,340,6,296.1,323.6,297.8
00Z 02 Mar 1986,3,850.0,1523,15.0,8.0,63,7.98,265,6,301.9,325.8,303.3
00Z 02 Mar 1986,4,500.0,5700,-18.5,NA,NA,NA,285,60,310.4,NA,310.4
00Z 02 Mar 1986,5,410.0,7159,-23.8,NA,NA,NA,285,76,321.6,NA,321.6
00Z 02 Mar 1986,6,400.0,7340,-24.5,NA,NA,NA,300,72,323.1,NA,323.1
00Z 05 Mar 1986,0,1011.0,34,18.0,-16.0,9,1.09,360,10,290.2,293.7,290.4
00Z 05 Mar 1986,1,1010.9,35,18.0,-15.7,9,1.12,360,10,290.3,293.8,290.4
00Z 05 Mar 1986,2,1000.0,140,18.6,14.5,77,10.48,90,25,291.8,321.7,293.6
00Z 05 Mar 1986,3,982.0,304,19.1,13.8,71,10.19,90,27,293.8,323.1,295.6
00Z 05 Mar 1986,4,949.4,609,20.0,12.5,62,9.65,270,23,297.6,325.9,299.3
00Z 05 Mar 1986,5,943.0,670,20.2,12.2,60,9.55,270,21,298.3,326.4,300.0
00Z 05 Mar 1986,6,915.4,914,4.9,NA,NA,NA,270,11,285.1,NA,285.1
00Z 05 Mar 1986,7,850.0,1522,-33.3,NA,NA,NA,130,58,251.2,NA,251.2
00Z 05 Mar 1986,8,230.0,NA,NA,NA,NA,NA,320,132
00Z 06 Mar 1986,0,1011.0,34,18.8,17.1,90,12.28,360,0,291.0,325.8,293.2
00Z 06 Mar 1986,1,1000.0,139,19.4,18.9,97,13.94,350,8,292.6,332.2,295.0
00Z 06 Mar 1986,2,940.0,690,20.8,11.8,56,9.33,287,9,299.2,326.8,300.9
00Z 06 Mar 1986,3,850.0,1530,-14.5,-27.5,32,0.47,185,11,270.9,272.4,271.0
00Z 06 Mar 1986,4,700.0,3133,3.0,-9.0,41,2.78,60,18,305.8,314.7,306.3
00Z 06 Mar 1986,5,500.0,5790,-12.3,-24.3,36,1.08,130,57,318.0,321.8,318.2
00Z 06 Mar 1986,6,400.0,7470,-20.5,-34.5,27,0.52,130,97,328.3,330.2,328.4
00Z 06 Mar 1986,7,300.0,9540,-33.7,-46.7,26,0.19,145,125,337.8,338.6,337.8
00Z 06 Mar 1986,8,250.0,10790,-42.9,NA,NA,NA,130,80,342.1,NA,342.1
00Z 06 Mar 1986,9,200.0,12260,-52.9,NA,NA,NA,135,128,348.8,NA,348.8
00Z 06 Mar 1986,10,150.0,14060,-65.1,NA,NA,NA,130,69,357.7,NA,357.7
00Z 06 Mar 1986,11,100.0,16470,-74.1,NA,NA,NA,130,43,384.3,NA,384.3
00Z 07 Mar 1986,0,1009.0,34,18.0,15.6,86,11.16,360,0,290.4,322.0,292.4
00Z 07 Mar 1986,1,1000.0,182,18.0,16.5,91,11.94,115,4,291.1,325.0,293.2
00Z 07 Mar 1986,2,920.0,863,16.4,10.4,68,8.68,51,8,296.5,322.0,298.1
00Z 07 Mar 1986,3,850.0,1503,12.4,6.4,67,7.14,350,12,299.1,320.4,300.4
00Z 07 Mar 1986,4,700.0,2882,1.4,-4.6,64,3.90,310,13,304.0,316.2,304.7
00Z 07 Mar 1986,5,500.0,5710,-10.9,-31.9,16,0.53,325,27,319.7,321.7,319.8
00Z 08 Mar 1986,0,1011.0,34,18.2,17.0,93,12.20,360,0,290.4,324.9,292.6
00Z 08 Mar 1986,1,1000.0,138,18.4,16.0,86,11.56,360,8,291.6,324.4,293.6
00Z 08 Mar 1986,2,928.0,786,20.6,13.6,64,10.65,358,10,300.1,331.6,302.0
00Z 08 Mar 1986,3,850.0,1541,14.0,8.0,67,7.98,355,13,300.8,324.7,302.2
00Z 08 Mar 1986,4,700.0,3118,-0.7,-7.7,59,3.07,350,16,301.7,311.3,302.2
00Z 08 Mar 1986,5,500.0,5770,-10.5,NA,NA,NA,340,36,320.2,NA,320.2
00Z 08 Mar 1986,6,400.0,7440,-22.3,NA,NA,NA,325,70,325.9,NA,325.9
00Z 08 Mar 1986,7,300.0,9500,-33.5,NA,NA,NA,315,94,338.0,NA,338.0
00Z 08 Mar 1986,8,250.0,10760,-40.9,NA,NA,NA,325,96,345.1,NA,345.1
00Z 08 Mar 1986,9,212.0,11861,-48.1,NA,NA,NA,290,125,350.5,NA,350.5
00Z 08 Mar 1986,10,200.0,12250,-50.7,NA,NA,NA,150,NA,352.3,NA,352.3
00Z 09 Mar 1986,0,1010.0,34,20.6,18.9,90,13.80,360,0,292.9,332.3,295.3
00Z 09 Mar 1986,1,1000.0,140,20.6,19.3,92,14.30,30,3,293.8,334.7,296.3
00Z 09 Mar 1986,2,920.0,853,17.2,10.2,63,8.56,352,5,297.4,322.5,298.9
00Z 09 Mar 1986,3,850.0,1520,13.0,7.0,67,7.44,315,6,299.8,322.0,301.1
00Z 09 Mar 1986,4,700.0,3091,-0.5,-4.5,74,3.93,10,19,301.9,314.1,302.6
00Z 09 Mar 1986,5,500.0,5710,-13.1,NA,NA,NA,310,43,317.0,NA,317.0
00Z 09 Mar 1986,6,400.0,7380,-23.3,NA,NA,NA,310,57,324.6,NA,324.6
00Z 09 Mar 1986,7,300.0,9430,-35.7,NA,NA,NA,310,81,334.9,NA,334.9
00Z 09 Mar 1986,8,250.0,10680,-44.3,NA,NA,NA,305,114,340.1,NA,340.1
00Z 09 Mar 1986,9,167.0,13184,-59.6,NA,NA,NA,295,126,356.1,NA,356.1
00Z 09 Mar 1986,10,150.0,13850,-63.7,NA,NA,NA,305,55,360.1,NA,360.1
00Z 09 Mar 1986,11,100.0,16280,-73.5,NA,NA,NA,305,55,385.5,NA,385.5
00Z 10 Mar 1986,0,1009.0,34,19.0,17.8,93,12.87,360,0,291.4,327.9,293.6
00Z 10 Mar 1986,1,1000.0,129,19.0,18.7,98,13.76,40,14,292.1,331.3,294.6
00Z 10 Mar 1986,2,850.0,1512,13.0,9.7,80,8.96,355,14,299.8,326.3,301.4
00Z 10 Mar 1986,3,720.0,2863,17.2,15.2,88,15.33,351,21,318.9,367.6,321.9
00Z 10 Mar 1986,4,700.0,3087,0.0,-2.5,83,4.57,350,22,302.4,316.6,303.3
00Z 10 Mar 1986,5,500.0,5720,-10.7,NA,NA,NA,320,35,319.9,NA,319.9
00Z 10 Mar 1986,6,400.0,7390,-23.3,NA,NA,NA,320,47,324.6,NA,324.6
00Z 10 Mar 1986,7,300.0,9460,-33.1,NA,NA,NA,305,80,338.6,NA,338.6
00Z 10 Mar 1986,8,250.0,10710,-43.9,NA,NA,NA,305,84,340.7,NA,340.7
00Z 10 Mar 1986,9,200.0,12180,-53.7,NA,NA,NA,305,80,347.6,NA,347.6
00Z 10 Mar 1986,10,150.0,13970,-66.1,NA,NA,NA,315,71,356.0,NA,356.0
00Z 10 Mar 1986,11,100.0,16360,-75.5,NA,NA,NA,315,80,381.6,NA,381.6
00Z 12 Mar 1986,0,1009.0,34,22.2,19.4,84,14.26,360,0,294.6,335.6,297.1
00Z 12 Mar 1986,1,1000.0,117,23.4,21.2,87,16.13,315,15,296.6,343.2,299.4
00Z 12 Mar 1986,2,940.0,658,25.2,9.9,38,8.22,315,14,303.7,328.6,305.2
00Z 12 Mar 1986,3,850.0,1528,19.6,-8.4,14,2.40,315,12,306.7,314.5,307.1
00Z 12 Mar 1986,4,700.0,3166,6.4,-0.6,61,5.26,15,24,309.5,326.1,310.5
00Z 12 Mar 1986,5,500.0,5850,-8.5,NA,NA,NA,340,49,322.6,NA,322.6
00Z 12 Mar 1986,6,400.0,7550,-18.1,NA,NA,NA,320,39,331.4,NA,331.4
00Z 12 Mar 1986,7,300.0,9640,-31.3,NA,NA,NA,305,110,341.1,NA,341.1
00Z 12 Mar 1986,8,290.0,9876,-33.3,NA,NA,NA,305,143,341.6,NA,341.6
00Z 12 Mar 1986,9,250.0,10910,-42.1,NA,NA,NA,310,98,343.3,NA,343.3
00Z 12 Mar 1986,10,200.0,12390,-52.3,NA,NA,NA,320,108,349.8,NA,349.8
00Z 12 Mar 1986,11,150.0,14180,-65.5,NA,NA,NA,320,91,357.1,NA,357.1
00Z 12 Mar 1986,12,100.0,16560,-75.3,NA,NA,NA,320,76,382.0,NA,382.0
