Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 01 Mar 1986, 41977, 860301/0000, 22.35, 91.80, 34.0, 2.50, 5.34, 5.02, 187.40, 27.10, 20.50, 23.90, 44.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 286.30, 946.50, 290.85, 10.15, 5594.00, 26.01
 00Z 02 Mar 1986, 41977, 860302/0000, 22.35, 91.80, 34.0, -5.11, -6.27, -6.74, 388.01, 26.50, 33.50, 60.00, 586.24, 710.47, -139.03, -73.93, 727.12, 716.79, 6.26, 7.59, 289.19, 952.25, 293.28, 12.23, 5561.00, 16.73
 00Z 05 Mar 1986, 41977, 860305/0000, 22.35, 91.80, 34.0, 582.55, 623.25, -22.46, -20.68, 869.41, 869.41, 281.99, 869.41, 293.52, 9.24, ********, 6.47
 00Z 06 Mar 1986, 41977, 860306/0000, 22.35, 91.80, 34.0, 37.61, -0.77, -1.11, 78.98, -41.70, -15.20, -2.20, -17.40, 1280.46, 1452.68, -28.88, -23.73, 474.30, 469.89, 925.55, 927.55, 22.54, 25.57, 289.12, 940.19, 294.29, 12.39, 5651.00, 20.68
 00Z 07 Mar 1986, 41977, 860307/0000, 22.35, 91.80, 34.0, 5.34, 3.47, 3.16, 127.81, 23.70, 17.30, 23.30, 40.60, 6.83, 21.77, -125.90, -102.08, 660.45, 649.98, 728.12, 745.73, 287.68, 946.91, 292.23, 11.13, 5528.00, 28.08
 00Z 08 Mar 1986, 41977, 860308/0000, 22.35, 91.80, 34.0, 3.48, 2.71, 2.27, 157.99, 25.50, 18.50, 24.50, 43.00, 160.82, 231.50, -194.76, -179.27, 569.35, 574.04, 777.90, 786.07, 10.69, 15.39, 287.87, 934.58, 293.52, 11.40, 5632.00, 25.35
 00Z 09 Mar 1986, 41977, 860309/0000, 22.35, 91.80, 34.0, 2.29, -2.27, -2.81, 139.01, 29.10, 20.10, 26.10, 46.20, 609.04, 753.24, -42.63, -22.56, 380.99, 383.63, 835.60, 854.26, 23.19, 28.68, 289.74, 944.98, 294.49, 12.83, 5570.00, 25.17
 00Z 10 Mar 1986, 41977, 860310/0000, 22.35, 91.80, 34.0, 2.43, 0.57, 0.05, 179.41, 30.90, 20.40, 23.70, 44.10, 203.02, 297.52, -339.35, -355.18, 397.45, 397.71, 705.25, 705.29, 6.72, 9.85, 290.50, 970.51, 293.02, 13.03, 5591.00, 36.73
 00Z 12 Mar 1986, 41977, 860312/0000, 22.35, 91.80, 34.0, 11.14, -0.12, -0.77, 73.02, 12.70, 0.10, 28.10, 28.20, 23.84, 129.27, -335.31, -232.12, 491.25, 494.14, 700.23, 718.20, 1.09, 5.91, 289.06, 892.02, 298.69, 13.26, 5733.00, 19.57
 00Z 13 Mar 1986, 41977, 860313/0000, 22.35, 91.80, 34.0, -5.16, -8.73, -9.59, 408.19, 38.50, 23.90, 31.90, 55.80, 726.72, 867.90, -102.76, -69.90, 787.13, 805.28, 296.14, 963.08, 299.38, 18.82, 5730.00, 46.42
