Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 02 Apr 1986,0,1007.0,34,25.0,23.3,90,18.26,90,5,297.6,350.7,300.8
00Z 02 Apr 1986,1,1000.0,130,25.0,23.6,92,18.74,140,7,298.1,352.8,301.5
00Z 02 Apr 1986,2,850.0,1544,21.4,10.4,49,9.40,280,25,308.6,337.5,310.3
00Z 02 Apr 1986,3,700.0,3175,9.4,-0.6,50,5.26,270,29,312.9,329.7,313.9
00Z 02 Apr 1986,4,500.0,5850,-8.1,NA,NA,NA,275,64,323.1,NA,323.1
00Z 02 Apr 1986,5,400.0,7550,-16.5,NA,NA,NA,280,96,333.5,NA,333.5
00Z 02 Apr 1986,6,300.0,9650,-31.9,NA,NA,NA,265,143,340.3,NA,340.3
00Z 02 Apr 1986,7,285.0,10004,-34.7,NA,NA,NA,265,172,341.3,NA,341.3
00Z 02 Apr 1986,8,250.0,10910,-41.9,NA,NA,NA,265,150,343.6,NA,343.6
00Z 02 Apr 1986,9,200.0,12390,-50.9,NA,NA,NA,250,86,352.0,NA,352.0
00Z 02 Apr 1986,10,150.0,14220,-62.1,NA,NA,NA,240,101,362.9,NA,362.9
00Z 02 Apr 1986,11,100.0,16630,-74.5,NA,NA,NA,265,110,383.5,NA,383.5
00Z 03 Apr 1986,0,1006.0,34,25.0,21.6,81,16.44,135,6,297.6,345.5,300.6
00Z 03 Apr 1986,1,1005.9,35,25.0,21.6,81,16.41,135,6,297.6,345.4,300.6
00Z 03 Apr 1986,2,1000.0,116,25.6,19.6,69,14.57,130,14,298.8,341.4,301.4
00Z 03 Apr 1986,3,978.7,304,25.1,17.4,62,12.92,130,21,300.1,338.2,302.4
00Z 03 Apr 1986,4,945.1,609,24.3,13.8,52,10.57,210,35,302.3,333.8,304.2
00Z 03 Apr 1986,5,912.6,914,23.5,10.2,43,8.60,250,17,304.5,330.6,306.0
00Z 03 Apr 1986,6,850.0,1534,21.8,2.8,29,5.54,230,18,309.0,326.4,310.0
00Z 03 Apr 1986,7,791.2,2133,16.9,-1.0,30,4.53,230,20,310.1,324.6,311.0
00Z 03 Apr 1986,8,700.0,3157,8.6,-7.4,31,3.15,245,23,312.0,322.3,312.6
