Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 02 May 1986,0,1005.0,34,22.8,20.0,84,14.87,180,5,295.5,338.4,298.2
00Z 02 May 1986,1,1004.9,35,22.8,20.0,84,14.88,180,5,295.5,338.4,298.1
00Z 02 May 1986,2,1000.0,101,21.4,20.5,95,15.43,125,10,294.6,338.8,297.3
00Z 02 May 1986,3,976.7,304,21.0,19.8,93,15.11,125,12,296.1,339.8,298.8
00Z 02 May 1986,4,942.7,609,20.4,18.7,90,14.64,170,17,298.6,341.3,301.2
00Z 02 May 1986,5,920.0,819,20.0,18.0,88,14.32,232,17,300.2,342.4,302.8
00Z 02 May 1986,6,909.8,914,19.4,17.1,86,13.68,260,17,300.6,340.9,303.1
00Z 02 May 1986,7,850.0,1493,16.0,11.7,76,10.26,260,42,302.9,333.6,304.8
00Z 02 May 1986,8,787.1,2133,13.2,7.8,70,8.49,285,8,306.6,332.5,308.1
00Z 02 May 1986,9,700.0,3110,8.8,1.8,61,6.27,300,242,312.2,332.0,313.4
00Z 02 May 1986,10,553.0,4975,0.0,-0.1,99,6.92,311,113,323.5,346.3,324.9
00Z 02 May 1986,11,528.0,5352,21.2,20.0,93,28.88,313,88,353.3,460.1,359.3
00Z 02 May 1986,12,500.0,5790,-6.1,NA,NA,NA,315,58,325.5,NA,325.5
00Z 05 May 1986,0,1003.0,34,24.6,22.7,89,17.67,40,9,297.5,348.9,300.6
00Z 05 May 1986,1,1002.9,35,24.6,22.6,89,17.59,40,9,297.5,348.6,300.6
00Z 05 May 1986,2,1000.0,75,23.6,20.0,80,14.95,75,14,296.8,340.1,299.4
00Z 05 May 1986,3,973.8,304,22.9,19.8,83,15.18,75,22,298.3,342.6,301.0
00Z 05 May 1986,4,940.0,609,22.0,19.6,86,15.48,145,17,300.4,345.9,303.2
00Z 05 May 1986,5,920.0,794,21.4,19.4,88,15.67,172,16,301.6,348.0,304.5
00Z 05 May 1986,6,907.2,914,20.6,18.3,86,14.78,190,15,302.1,345.9,304.7
00Z 05 May 1986,7,850.0,1469,17.0,13.0,77,11.19,190,14,303.9,337.5,306.0
00Z 05 May 1986,8,785.4,2133,13.1,6.7,65,7.87,210,14,306.7,330.8,308.1
00Z 05 May 1986,9,700.0,3099,7.4,-2.6,49,4.54,225,17,310.6,325.1,311.5
00Z 05 May 1986,10,605.0,4310,0.0,-12.0,40,2.53,240,51,315.3,323.8,315.8
00Z 05 May 1986,11,500.0,5790,-27.9,-39.9,31,0.24,260,96,299.0,299.8,299.0
00Z 05 May 1986,12,480.4,6096,-26.0,-38.5,30,0.29,260,98,304.8,305.8,304.8
00Z 05 May 1986,13,410.0,7311,-18.3,-33.0,26,0.58,250,135,328.8,331.0,328.9
00Z 05 May 1986,14,400.0,7500,-17.1,-32.1,26,0.65,250,129,332.7,335.2,332.8
00Z 05 May 1986,15,393.5,7620,-17.9,-32.8,26,0.62,240,85,333.2,335.6,333.3
00Z 05 May 1986,16,300.0,9600,-31.1,-45.1,24,0.23,240,126,341.4,342.4,341.5
00Z 05 May 1986,17,250.0,10870,-28.3,-41.3,28,0.41,240,79,363.9,365.7,363.9
00Z 05 May 1986,18,200.0,12370,-51.1,NA,NA,NA,185,59,351.7,NA,351.7
00Z 05 May 1986,19,150.0,14190,-64.5,NA,NA,NA,285,55,358.8,NA,358.8
00Z 05 May 1986,20,125.6,15240,-69.5,NA,NA,NA,225,73,368.4,NA,368.4
00Z 05 May 1986,21,100.0,16590,-75.9,NA,NA,NA,270,88,380.8,NA,380.8
00Z 06 May 1986,0,1004.0,34,22.8,20.0,84,14.89,NA,NA,295.6,338.6,298.2
00Z 06 May 1986,1,1000.0,73,24.6,20.4,77,15.33,195,6,297.8,342.4,300.5
00Z 06 May 1986,2,978.0,266,25.8,21.0,75,16.29,137,11,300.9,348.9,303.8
00Z 06 May 1986,3,973.7,304,25.6,20.8,75,16.12,125,12,301.0,348.6,303.9
00Z 06 May 1986,4,939.7,609,23.6,18.9,75,14.82,220,15,302.1,346.0,304.7
00Z 06 May 1986,5,906.9,914,21.6,17.0,75,13.59,215,17,303.1,343.6,305.6
