Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 03 Jun 1987,0,1000.0
00Z 03 Jun 1987,1,999.0,34,27.0,23.4,81,18.53,70,8,300.2,354.8,303.6
00Z 03 Jun 1987,2,920.0,747,34.4,30.9,82,31.90,116,12,315.0,417.2,320.9
00Z 03 Jun 1987,3,850.0,1423,20.0,18.0,88,15.53,160,16,307.1,354.1,309.9
00Z 03 Jun 1987,4,700.0,3059,10.0,7.7,86,9.51,160,23,313.5,343.3,315.3
00Z 03 Jun 1987,5,333.0,NA,NA,NA,NA,NA,70,8
00Z 05 Jun 1987,0,1000.0
00Z 05 Jun 1987,1,994.0,34,23.0,20.9,88,15.92,135,10,296.7,342.8,299.5
00Z 05 Jun 1987,2,920.0,696,18.4,18.4,100,14.70,187,23,298.6,341.5,301.2
00Z 05 Jun 1987,3,850.0,1365,15.6,15.6,100,13.29,240,37,302.5,342.0,304.9
00Z 05 Jun 1987,4,700.0,2973,-13.5,-14.5,92,1.78,65,102,287.5,292.9,287.8
00Z 05 Jun 1987,5,415.0,NA,NA,NA,NA,NA,245,72
00Z 06 Jun 1987,0,1000.0
00Z 06 Jun 1987,1,999.0,34,25.2,23.3,89,18.41,210,7,298.4,352.2,301.7
00Z 06 Jun 1987,2,920.0,850,24.8,22.4,87,18.94,225,12,305.1,362.1,308.6
00Z 06 Jun 1987,3,850.0,1627,20.4,17.5,83,15.04,240,17,307.5,353.1,310.3
00Z 06 Jun 1987,4,700.0,3152,12.8,8.2,74,9.84,310,12,316.6,347.8,318.5
00Z 06 Jun 1987,5,500.0,5870,-0.9,-10.9,47,3.35,260,6,331.9,343.6,332.6
00Z 06 Jun 1987,6,400.0,7580,-11.3,-25.3,30,1.23,335,9,340.2,344.9,340.5
00Z 06 Jun 1987,7,300.0,9730,-24.3,NA,NA,NA,330,8,351.0,NA,351.0
00Z 06 Jun 1987,8,250.0,11030,-32.9,NA,NA,NA,205,3,357.0,NA,357.0
00Z 06 Jun 1987,9,200.0,12560,-44.5,NA,NA,NA,195,9,362.1,NA,362.1
00Z 06 Jun 1987,10,150.0,14430,-57.5,NA,NA,NA,165,28,370.8,NA,370.8
00Z 06 Jun 1987,11,100.0,16910,-70.5,NA,NA,NA,120,28,391.3,NA,391.3
00Z 07 Jun 1987,0,1000.0,34,25.0,22.2,84,17.17,180,7,298.1,348.2,301.2
00Z 07 Jun 1987,1,999.9,35,25.0,22.2,84,17.17,180,7,298.2,348.2,301.2
00Z 07 Jun 1987,2,968.8,304,24.1,21.1,83,16.50,125,10,299.9,348.4,302.9
