Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 03 Jun 1987, 41977, 870603/0000, 22.35, 91.80, 34.0, 241.69, 304.78, -129.18, -145.41, 864.26, 865.98, 298.31, 922.05, 305.37, 22.85, 0.00, 56.39
 00Z 05 Jun 1987, 41977, 870605/0000, 22.35, 91.80, 34.0, 643.17, 699.16, -0.41, -0.30, 927.20, 928.54, 292.79, 947.34, 297.39, 15.46, 0.00, 33.07
 00Z 06 Jun 1987, 41977, 870606/0000, 22.35, 91.80, 34.0, 1.08, 0.40, -0.20, 250.00, 34.20, 18.40, 21.30, 39.70, 4.88, 58.37, -212.54, -142.70, 375.64, 367.82, 449.09, 550.07, 0.75, 8.97, 295.68, 945.56, 300.48, 18.58, 15869.00, 61.99
 00Z 07 Jun 1987, 41977, 870607/0000, 22.35, 91.80, 34.0, -22.25, -21.84, -22.66, 1006.59, 56.00, 41.80, 45.70, 87.50, 1712.42, 1822.06, -234.58, -209.59, 404.99, 403.88, 677.85, 681.44, 11.54, 12.28, 293.57, 929.64, 299.78, 16.56, 5726.00, 53.64
 00Z 08 Jun 1987, 41977, 870608/0000, 22.35, 91.80, 34.0, -16.70, -20.52, -21.63, 760.60, 49.03, 36.56, 40.37, 76.93, 1971.52, 2230.63, -15.64, -6.78, 848.09, 883.61, 1472.33, 1665.84, 296.52, 952.43, 300.71, 19.48, 5726.00, 51.91
 00Z 12 Jun 1987, 41977, 870612/0000, 22.35, 91.80, 34.0, 4.42, 0.30, 0.13, 238.01, 29.10, 15.10, 21.10, 36.20, 9.89, 53.01, -86.36, -27.00, 367.60, 375.99, 463.85, 769.32, 0.41, 2.18, 295.77, 949.82, 300.19, 18.60, 15759.00, 63.03
 00Z 22 Jun 1987, 41977, 870622/0000, 22.35, 91.80, 34.0, 1.43, 0.36, -0.28, 334.62, 34.10, 17.80, 21.00, 38.80, 9.45, 42.85, -228.15, -147.99, 373.30, 371.39, 460.12, 532.53, 0.11, 0.49, 296.62, 954.82, 300.59, 19.50, 5802.00, 68.40
 00Z 27 Jun 1987, 41977, 870627/0000, 22.35, 91.80, 34.0, 7.23, 24.52, 24.39, 169.39, 11.70, 21.70, 33.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 278.09, 896.54, 286.82, 10.02, 5806.00, 11.23
 00Z 29 Jun 1987, 41977, 870629/0000, 22.35, 91.80, 34.0, 1.94, -2.11, -2.97, 243.40, 29.70, 17.50, 23.50, 41.00, 1225.49, 1400.67, -73.29, -37.44, 752.27, 813.88, 42.08, 48.10, 295.24, 931.72, 301.29, 18.39, 5770.00, 48.98
 00Z 14 Jun 1988, 41977, 880614/0000, 22.35, 91.80, 34.0, 1.71, 55.61, 56.22, 364.31, 38.00, 17.80, 22.70, 40.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 254.62, 934.90, 259.64, 1.24, 5793.00, 49.02
 00Z 20 Jun 1988, 41977, 880620/0000, 22.35, 91.80, 34.0, -5.33, -10.86, -11.98, 338.80, 39.10, 24.70, 30.70, 55.40, 1650.35, 1905.28, -41.20, -18.52, 166.34, 159.97, 803.72, 872.83, 2737.92, 3160.84, 296.00, 921.38, 303.03, 19.53, 5926.00, 55.55
 00Z 22 Jun 1988, 41977, 880622/0000, 22.35, 91.80, 34.0, 4.35, 2.69, 2.37, 253.00, 31.60, 14.70, 21.70, 36.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 292.04, 886.36, 302.31, 15.78, 5819.00, 56.90
 00Z 03 Jun 1991, 41977, 910603/0000, 22.35, 91.80, 34.0, 4.62, 4.17, 3.17, 400.09, 15.20, 18.60, 33.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 294.10, 935.17, 299.81, 17.02, 5806.00, 24.41
 00Z 05 Jun 1991, 41977, 910605/0000, 22.35, 91.80, 34.0, -2.05, -5.24, -5.98, 330.36, 38.50, 21.70, 23.70, 45.40, 2301.69, 2567.74, 0.00, 0.00, 952.19, 960.20, 83.07, 92.67, 298.53, 974.32, 300.78, 21.52, 5788.00, 64.53
 00Z 09 Jun 1991, 41977, 910609/0000, 22.35, 91.80, 34.0, -3.92, -5.20, -5.81, 278.00, 39.80, 23.50, 23.50, 47.00, 1783.65, 2032.60, 0.00, 0.00, 128.85, 126.17, 966.39, 964.20, 7.70, 8.78, 298.79, 978.86, 300.64, 21.75, 5796.00, 68.95
 00Z 20 Jun 1991, 41977, 910620/0000, 22.35, 91.80, 34.0, -3.27, 5.97, 5.93, 320.66, 44.00, 22.00, 22.00, 44.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 291.07, 903.52, 299.65, 14.54, 15907.00, 69.06
 00Z 23 Jun 1991, 41977, 910623/0000, 22.35, 91.80, 34.0, 2.54, -3.65, -4.12, 235.01, 28.00, 18.00, 20.50, 38.50, 436.19, 590.95, 0.00, 0.00, 961.96, 965.89, 298.16, 971.00, 300.71, 21.15, 5781.00, 56.63
 00Z 26 Jun 1991, 41977, 910626/0000, 22.35, 91.80, 34.0, -0.52, -1.75, -2.92, 227.36, 37.74, 20.13, 22.90, 43.02, 273.24, 399.57, -64.28, -46.38, 324.15, 358.29, 733.95, 768.29, 105.44, 154.18, 295.17, 927.32, 301.62, 18.39, 5851.66, 59.31
 00Z 04 Jun 1992, 41977, 920604/0000, 22.35, 91.80, 34.0, -0.53, -6.07, -7.17, 190.80, 30.30, 19.90, 25.90, 45.80, 1673.03, 1958.04, -32.69, -13.55, 836.65, 883.36, 1769.26, 2070.67, 296.65, 938.99, 302.05, 19.90, 5593.00, 48.81
 00Z 06 Jun 1992, 41977, 920606/0000, 22.35, 91.80, 34.0, 2.38, -3.05, -3.92, 176.59, 26.30, 17.90, 22.50, 40.40, 1126.33, 1381.07, -15.67, -6.95, 199.63, 199.61, 878.02, 906.11, 206.41, 253.10, 295.60, 939.15, 300.96, 18.64, 5752.00, 47.25
 00Z 11 Jun 1992, 41977, 920611/0000, 22.35, 91.80, 34.0, 2.48, -0.69, -1.12, 194.79, -4.40, 18.40, 21.70, 40.10, 213.90, 452.33, -32.37, -20.91, 308.26, 305.05, 823.63, 865.02, 89.69, 189.66, 293.05, 918.59, 300.27, 16.24, 5742.00, 38.87
 00Z 13 Jun 1992, 41977, 920613/0000, 22.35, 91.80, 34.0, 2.16, -3.13, -3.82, 198.99, 31.10, 19.00, 22.10, 41.10, 883.27, 1066.94, -11.72, -6.61, 288.83, 288.66, 896.85, 911.34, 32.92, 39.76, 294.66, 936.69, 300.24, 17.61, 5732.00, 49.71
 00Z 17 Jun 1992, 41977, 920617/0000, 22.35, 91.80, 34.0, 0.89, -1.12, -1.73, 269.00, 36.80, 19.20, 21.70, 40.90, 254.68, 360.26, -26.39, -16.23, 827.62, 849.45, 248.96, 352.18, 295.72, 951.49, 299.97, 18.51, 5751.00, 62.19
 00Z 24 Jun 1992, 41977, 920624/0000, 22.35, 91.80, 34.0, -0.41, -0.96, 147.68, 173.28, -0.02, 0.00, 941.48, 946.14, 295.50, 957.81, 299.18, 18.15, 42.38
 00Z 27 Jun 1992, 41977, 920627/0000, 22.35, 91.80, 34.0, 5.90, 4.00, 4.22, 247.01, 31.20, 15.40, 15.80, 31.20, 28.39, 37.74, -1.95, -1.02, 758.53, 754.51, 922.08, 931.84, 0.35, 0.46, 295.00, 963.16, 298.19, 17.47, 5784.00, 72.13
 00Z 01 Jun 1993, 41977, 930601/0000, 22.35, 91.80, 34.0, 0.31, 0.44, 0.48, 261.02, 37.60, 19.50, 23.10, 42.60, 104.30, 128.15, -95.55, -84.63, 524.71, 531.36, 759.94, 767.84, 2.11, 2.60, 294.74, 965.45, 297.75, 17.15, 5730.00, 65.36
 00Z 02 Jun 1993, 41977, 930602/0000, 22.35, 91.80, 34.0, 0.75, -0.88, -1.09, 238.40, 33.50, 19.70, 21.70, 41.40, 506.47, 640.91, -21.12, -12.77, 258.06, 257.84, 813.50, 851.01, 115.68, 146.38, 295.01, 950.28, 299.36, 17.73, 5786.00, 56.76
 00Z 04 Jun 1993, 41977, 930604/0000, 22.35, 91.80, 34.0, 1.02, -2.61, -3.48, 222.59, 28.26, 19.71, 21.81, 41.51, 1003.83, 1240.72, -6.30, -3.38, 202.03, 202.06, 903.37, 919.11, 21.02, 25.98, 295.67, 950.46, 300.00, 18.47, 5759.15, 48.65
 00Z 05 Jun 1993, 41977, 930605/0000, 22.35, 91.80, 34.0, -1.93, -5.63, -6.22, 216.18, 36.20, 21.80, 26.10, 47.90, 549.89, 680.97, -26.58, -10.88, 817.83, 868.27, 17.15, 21.24, 296.09, 952.86, 300.23, 18.94, 5850.00, 54.21
 00Z 06 Jun 1993, 41977, 930606/0000, 22.35, 91.80, 34.0, 0.00, -4.05, -4.51, 226.00, 32.00, 21.00, 23.50, 44.50, 2213.27, 2384.80, -2.67, -0.88, 158.89, 158.71, 916.15, 932.87, 173.51, 186.95, 295.40, 957.92, 299.06, 18.03, 5718.00, 53.09
