Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 02 Jul 1986,0,1003.0,34,27.2,25.0,88,20.37,360,0,300.1,360.1,303.7
00Z 02 Jul 1986,1,1000.0,75,27.0,25.0,89,20.44,170,6,300.1,360.4,303.8
00Z 02 Jul 1986,2,850.0,1489,20.2,15.4,74,13.11,225,10,307.3,347.1,309.7
00Z 02 Jul 1986,3,700.0,3136,10.4,-3.6,37,4.21,40,12,314.0,327.6,314.8
00Z 02 Jul 1986,4,500.0,5870,-3.1,-15.1,39,2.38,265,27,329.2,337.6,329.7
00Z 02 Jul 1986,5,400.0,7600,-13.7,-27.7,30,0.99,70,51,337.1,340.9,337.3
00Z 02 Jul 1986,6,340.0,8809,-20.8,NA,NA,NA,185,80,343.4,NA,343.4
00Z 02 Jul 1986,7,300.0,9740,-26.3,NA,NA,NA,135,39,348.2,NA,348.2
00Z 02 Jul 1986,8,250.0,11040,-36.7,NA,NA,NA,110,45,351.4,NA,351.4
00Z 02 Jul 1986,9,200.0,12540,-49.3,NA,NA,NA,110,29,354.5,NA,354.5
00Z 02 Jul 1986,10,150.0,14370,-63.9,NA,NA,NA,112,41,359.8,NA,359.8
00Z 02 Jul 1986,11,100.0,16750,-81.1,NA,NA,NA,115,59,370.8,NA,370.8
00Z 01 Jul 1987,0,1000.0
00Z 01 Jul 1987,1,999.0,34,27.8,24.8,84,20.21,180,4,301.0,360.8,304.7
00Z 01 Jul 1987,2,850.0,1420,20.8,18.6,87,16.14,170,22,307.9,357.0,310.9
00Z 01 Jul 1987,3,700.0,3071,13.6,7.6,67,9.44,280,22,317.5,347.6,319.3
00Z 01 Jul 1987,4,500.0,5800,0.4,-11.6,40,3.17,285,9,333.5,344.7,334.1
00Z 01 Jul 1987,5,400.0,7520,-10.1,-20.1,44,1.95,145,15,341.8,349.1,342.2
00Z 01 Jul 1987,6,300.0,9650,-23.1,-38.1,24,0.48,165,14,352.7,354.7,352.8
00Z 01 Jul 1987,7,250.0,10960,-32.5,NA,NA,NA,140,19,357.6,NA,357.6
00Z 01 Jul 1987,8,200.0,12500,-42.7,NA,NA,NA,115,26,365.0,NA,365.0
00Z 01 Jul 1987,9,150.0,14380,-58.1,NA,NA,NA,95,23,369.8,NA,369.8
00Z 02 Jul 1987,0,1000.0,34,27.8,23.9,79,19.09,180,12,300.9,357.4,304.4
00Z 02 Jul 1987,1,999.9,35,27.8,23.9,79,19.09,180,12,300.9,357.4,304.4
00Z 02 Jul 1987,2,970.4,304,26.5,22.0,76,17.48,160,10,302.2,354.1,305.4
00Z 02 Jul 1987,3,938.0,609,25.0,19.8,73,15.80,190,24,303.6,350.8,306.5
00Z 02 Jul 1987,4,906.7,914,23.5,17.7,70,14.25,220,17,305.0,347.9,307.6
00Z 02 Jul 1987,5,850.0,1494,20.6,13.6,64,11.65,195,25,307.7,343.2,309.9
00Z 02 Jul 1987,6,788.2,2133,17.5,10.5,63,10.21,320,6,311.1,342.7,313.0
00Z 02 Jul 1987,7,700.0,3138,12.6,5.6,62,8.21,215,9,316.4,342.6,318.0
00Z 02 Jul 1987,8,500.0,5850,-1.3,-15.3,34,2.34,180,8,331.4,339.8,331.9
