Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 02 Jul 1986, 41977, 860702/0000, 22.35, 91.80, 34.0, 1.02, -2.66, -3.50, 231.81, 24.70, 18.50, 23.30, 41.80, 978.90, 1252.51, -43.08, -22.22, 174.15, 172.82, 807.13, 844.95, 135.90, 173.89, 296.09, 941.70, 301.24, 19.18, 5795.00
 00Z 01 Jul 1987, 41977, 870701/0000, 22.35, 91.80, 34.0, 1.11, 0.17, -0.60, 276.21, 33.00, 18.20, 20.40, 38.60, 64.09, 179.74, -106.40, -47.48, 311.41, 303.12, 485.88, 723.78, 5.83, 16.34, 296.14, 931.10, 302.28, 19.44, 15799.00, 63.88
 00Z 02 Jul 1987, 41977, 870702/0000, 22.35, 91.80, 34.0, 4.30, 0.28, -0.46, 221.20, 28.50, 14.90, 21.90, 36.80, 0.00, 38.67, 0.00, -92.11, 448.04, 617.37, 0.00, 8.61, 294.24, 912.00, 302.10, 17.63, 5816.00, 51.37
 00Z 03 Jul 1987, 41977, 870703/0000, 22.35, 91.80, 34.0, 3.82, 1.59, 1.37, 257.79, 31.40, 16.00, 19.20, 35.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 294.67, 916.55, 302.13, 18.02, 15799.00, 67.08
 00Z 08 Jul 1987, 41977, 870708/0000, 22.35, 91.80, 34.0, 0.27, -0.09, -0.40, 273.79, 36.20, 19.20, 20.70, 39.90, 144.37, 212.64, -83.46, -49.83, 284.48, 283.78, 557.49, 600.24, 12.74, 18.77, 296.89, 959.67, 300.42, 19.73, 15859.00, 72.59
 00Z 02 Jul 1988, 41977, 880702/0000, 22.35, 91.80, 34.0, 1.09, -2.97, -3.23, 254.02, 36.90, 19.90, 19.90, 39.80, 778.69, 877.84, 0.00, 0.00, 968.65, 969.84, 30.94, 34.88, 297.54, 973.04, 299.89, 20.26, 5706.00, 67.66
 00Z 06 Jul 1988, 41977, 880706/0000, 22.35, 91.80, 34.0, 1.34, 1.44, 0.00, 0.00, 0.00, 0.00, 298.55, 1080.96, 291.96, 18.82, 0.77
 00Z 08 Jul 1988, 41977, 880708/0000, 22.35, 91.80, 34.0, -0.42, 0.55, 0.36, 351.48, 37.15, 20.05, 21.05, 41.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 296.00, 959.57, 299.54, 18.68, 5760.05, 73.44
 00Z 11 Jul 1988, 41977, 880711/0000, 22.35, 91.80, 34.0, 0.15, -1.83, -2.23, 240.41, 36.00, 19.50, 22.30, 41.80, 329.71, 429.02, -24.25, -8.48, 808.57, 835.68, 17.78, 23.13, 296.31, 948.39, 300.86, 19.30, 5744.00, 63.78
 00Z 12 Jul 1988, 41977, 880712/0000, 22.35, 91.80, 34.0, 0.96, -1.27, -1.64, 231.78, 35.30, 19.40, 20.90, 40.30, 83.83, 132.88, -12.51, -8.09, 407.49, 392.02, 878.24, 893.21, 5.36, 8.50, 295.77, 946.78, 300.45, 18.67, 5749.00, 92.43
 00Z 19 Jul 1988, 41977, 880719/0000, 22.35, 91.80, 34.0, -0.93, -1.26, 1159.68, 1216.58, -12.15, -12.41, 918.63, 918.69, 294.98, 931.40, 301.04, 18.05, 18.37
 00Z 20 Jul 1988, 41977, 880720/0000, 22.35, 91.80, 34.0, -1.64, -1.23, -1.52, 264.01, 36.50, 21.10, 22.50, 43.60, 190.55, 291.22, -104.69, -80.97, 285.31, 281.42, 655.43, 714.93, 55.36, 84.61, 295.32, 928.27, 301.69, 18.51, 5915.00, 67.05
 00Z 21 Jul 1988, 41977, 880721/0000, 22.35, 91.80, 34.0, -0.42, -1.70, -2.26, 258.02, 36.30, 19.40, 23.50, 42.90, 191.09, 284.60, -135.57, -83.21, 330.52, 331.54, 633.84, 665.38, 1122.25, 1671.41, 295.94, 933.27, 301.86, 19.24, 5804.00, 64.48
 00Z 22 Jul 1988, 41977, 880722/0000, 22.35, 91.80, 34.0, 1.24, 0.50, 0.44, 275.99, 32.40, 18.40, 21.90, 40.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 294.07, 921.49, 301.03, 17.24, 5813.00, 65.53
