Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 03 Aug 1988,0,1000.0
00Z 03 Aug 1988,1,998.0,34,28.0,24.9,83,20.35,135,7,301.3,361.6,305.0
00Z 03 Aug 1988,2,920.0,734,23.0,21.0,89,17.34,153,18,303.3,355.0,306.4
00Z 03 Aug 1988,3,850.0,1403,19.0,17.0,88,14.56,170,29,306.0,349.9,308.7
00Z 03 Aug 1988,4,500.0,5800,-0.9,-2.6,88,6.36,175,22,331.9,353.6,333.1
00Z 03 Aug 1988,5,300.0,9700,-24.9,-32.9,47,0.80,135,25,350.2,353.4,350.3
00Z 03 Aug 1988,6,250.0,11000,-33.5,-39.5,55,0.50,155,27,356.1,358.2,356.2
00Z 03 Aug 1988,7,200.0,12540,-46.7,NA,NA,NA,135,15,358.7,NA,358.7
00Z 04 Aug 1988,0,1001.0,34,NA,NA,NA,NA,130,2
00Z 04 Aug 1988,1,1000.0,85,25.8,23.4,87,18.51,120,42,298.9,353.1,302.2
00Z 04 Aug 1988,2,850.0,1490,21.4,17.5,78,15.04,180,25,308.6,354.4,311.3
00Z 04 Aug 1988,3,500.0,5900,1.0,-5.0,64,5.31,130,17,334.2,352.6,335.3
00Z 04 Aug 1988,4,300.0,9830,-23.7,NA,NA,NA,135,19,351.9,NA,351.9
00Z 04 Aug 1988,5,250.0,11200,-33.5,NA,NA,NA,135,12,356.1,NA,356.1
00Z 04 Aug 1988,6,100.0,17130,-92.5,NA,NA,NA,90,55,348.8,NA,348.8
00Z 06 Aug 1988,0,1001.0,34,27.0,25.0,89,20.42,0,0,300.1,360.2,303.7
00Z 06 Aug 1988,1,1000.0,86,23.8,21.5,87,16.44,140,15,296.9,344.6,299.9
00Z 06 Aug 1988,2,920.0,805,23.4,23.2,99,19.92,214,14,303.7,363.2,307.3
00Z 06 Aug 1988,3,850.0,1481,19.0,19.0,100,16.56,285,14,306.0,355.9,309.1
00Z 06 Aug 1988,4,700.0,3116,11.4,11.4,100,12.24,315,13,315.1,353.5,317.4
00Z 06 Aug 1988,5,500.0,5840,-2.5,-4.0,89,5.73,120,14,329.9,349.4,331.1
00Z 06 Aug 1988,6,400.0,7590,-10.5,-14.7,71,3.08,105,23,341.2,352.5,341.9
00Z 06 Aug 1988,7,300.0,9740,-23.5,-29.5,58,1.11,85,40,352.1,356.6,352.4
00Z 06 Aug 1988,8,250.0,11050,-31.5,-41.5,37,0.40,85,57,359.1,360.8,359.2
00Z 06 Aug 1988,9,200.0,12500,-43.7,NA,NA,NA,70,43,363.4,NA,363.4
00Z 10 Aug 1988,0,1001.0,34,27.0,-19.0,4,0.86,180,6,300.1,302.9,300.2
00Z 10 Aug 1988,1,1000.0,70,5.2,3.4,88,4.91,160,29,278.4,292.0,279.2
00Z 10 Aug 1988,2,992.0,135,5.9,NA,NA,NA,65,72,279.7,NA,279.7
00Z 10 Aug 1988,3,850.0,1391,20.0,NA,NA,NA,200,25,307.1,NA,307.1
00Z 10 Aug 1988,4,700.0,2941,12.6,NA,NA,NA,215,18,316.4,NA,316.4
00Z 10 Aug 1988,5,500.0,5700,-1.1,NA,NA,NA,235,7,331.6,NA,331.6
00Z 10 Aug 1988,6,400.0,7450,-11.1,NA,NA,NA,170,11,340.5,NA,340.5
00Z 10 Aug 1988,7,300.0,9600,-25.7,NA,NA,NA,165,15,349.0,NA,349.0
00Z 10 Aug 1988,8,250.0,10900,-34.1,NA,NA,NA,25,10,355.2,NA,355.2
00Z 10 Aug 1988,9,200.0,12420,-46.5,NA,NA,NA,60,23,359.0,NA,359.0
00Z 10 Aug 1988,10,150.0,14290,-57.7,NA,NA,NA,60,53,370.5,NA,370.5
00Z 10 Aug 1988,11,100.0,16790,-69.5,NA,NA,NA,NA,NA,393.2,NA,393.2
00Z 11 Aug 1988,0,1003.0,34,26.4,24.3,88,19.51,180,5,299.3,356.5,302.8
00Z 11 Aug 1988,1,1000.0,102,25.2,22.8,87,17.83,180,9,298.4,350.4,301.5
00Z 11 Aug 1988,2,920.0,817,17.6,15.5,87,12.18,90,21,297.8,333.3,299.9
00Z 11 Aug 1988,3,850.0,1482,15.2,12.2,82,10.61,5,33,302.1,333.7,304.0
00Z 11 Aug 1988,4,700.0,3097,8.4,6.0,85,8.45,240,30,311.8,338.1,313.3
00Z 11 Aug 1988,5,524.0,5432,-60.3,-65.2,52,0.01,150,15,256.0,256.1,256.0
00Z 11 Aug 1988,6,500.0,5800,-3.5,-6.4,80,4.77,135,13,328.7,345.0,329.6
00Z 11 Aug 1988,7,400.0,7540,-12.3,-17.3,66,2.48,100,29,338.9,348.0,339.4
00Z 11 Aug 1988,8,300.0,9600,-25.1,-52.0,6,0.10,55,11,349.9,350.4,349.9
00Z 11 Aug 1988,9,250.0,10330,-25.0,-74.0,0,0.01,57,21,368.8,368.8,368.8
00Z 11 Aug 1988,10,108.0,NA,NA,NA,NA,NA,65,69
00Z 14 Aug 1988,0,1003.0,34,20.2,17.9,87,13.03,215,5,293.1,330.3,295.4
00Z 14 Aug 1988,1,1000.0,97,28.0,24.5,81,19.82,216,5,301.1,359.8,304.7
00Z 14 Aug 1988,2,920.0,828,23.2,19.5,80,15.77,233,18,303.5,350.5,306.4
00Z 14 Aug 1988,3,850.0,1512,20.0,15.5,75,13.20,250,29,307.1,347.1,309.5
00Z 14 Aug 1988,4,700.0,3164,28.4,25.1,82,29.76,125,NA,333.9,436.4,339.8
00Z 14 Aug 1988,5,143.0,NA,NA,NA,NA,NA,80,80
00Z 06 Aug 1989,0,1000.0,34,26.4,25.4,94,20.95,135,7,299.6,361.1,303.3
00Z 06 Aug 1989,1,850.0,1410,18.1,18.1,100,15.63,140,21,305.1,352.0,307.9
00Z 06 Aug 1989,2,700.0,3045,10.1,8.2,88,9.84,160,6,313.6,344.5,315.5
00Z 06 Aug 1989,3,500.0,5760,-3.7,-5.3,89,5.19,115,19,328.5,346.1,329.5
00Z 06 Aug 1989,4,400.0,7490,-12.5,-17.0,69,2.54,95,19,338.6,347.9,339.2
00Z 06 Aug 1989,5,110.0,16127,-72.7,NA,NA,NA,30,65,376.7,NA,376.7
00Z 06 Aug 1989,6,100.0,16764,-77.1,NA,NA,NA,70,53,378.5,NA,378.5
00Z 17 Aug 1989,0,1003.0,34,26.4,24.3,88,19.51,0,0,299.3,356.5,302.8
00Z 17 Aug 1989,1,1000.0,102,25.0,22.5,86,17.50,80,7,298.1,349.2,301.3
00Z 17 Aug 1989,2,850.0,1502,18.6,15.0,80,12.77,125,26,305.6,344.1,308.0
00Z 17 Aug 1989,3,700.0,3142,10.0,6.7,80,8.87,110,36,313.5,341.4,315.2
00Z 17 Aug 1989,4,522.0,5541,0.0,-6.0,64,4.71,103,44,328.9,345.0,329.8
00Z 17 Aug 1989,5,112.0,NA,NA,NA,NA,NA,65,88
00Z 27 Aug 1989,0,1002.0,35,27.0,-13.3,6,1.37,180,2,300.0,304.4,300.2
00Z 27 Aug 1989,1,1002.0,34,27.0,-14.0,6,1.30,180,2,300.0,304.2,300.2
00Z 27 Aug 1989,2,1000.0,93,25.6,25.6,100,21.21,130,10,298.8,360.9,302.5
00Z 27 Aug 1989,3,975.8,304,24.1,23.9,99,19.59,180,13,299.4,356.9,302.9
00Z 27 Aug 1989,4,941.9,609,22.1,21.5,96,17.44,130,12,300.3,351.6,303.4
00Z 27 Aug 1989,5,909.1,914,20.0,19.0,94,15.49,150,13,301.2,347.0,304.0
00Z 27 Aug 1989,6,850.0,1493,16.0,14.4,90,12.28,157,11,302.9,339.5,305.1
00Z 27 Aug 1989,7,787.2,2133,13.2,11.8,91,11.13,165,8,306.6,340.3,308.6
00Z 27 Aug 1989,8,700.0,3113,8.8,7.7,93,9.51,170,8,312.2,341.8,314.0
00Z 27 Aug 1989,9,500.0,5820,-5.1,-11.1,63,3.29,140,3,326.8,338.1,327.4
00Z 27 Aug 1989,10,400.0,7530,-11.3,-14.6,77,3.10,135,57,340.2,351.5,340.9
00Z 18 Aug 1990,0,1000.0,34,27.0,26.7,98,22.68,0,0,300.1,367.1,304.2
00Z 18 Aug 1990,1,999.9,35,27.0,26.7,98,22.68,0,0,300.1,367.1,304.2
00Z 18 Aug 1990,2,970.0,304,25.5,25.3,99,21.42,150,15,301.3,364.8,305.1
00Z 18 Aug 1990,3,937.2,609,23.8,23.6,99,20.06,155,17,302.5,362.2,306.1
00Z 18 Aug 1990,4,905.5,914,22.1,22.0,99,18.77,160,16,303.8,359.9,307.2
00Z 18 Aug 1990,5,850.0,1474,19.0,19.0,100,16.56,195,15,306.0,355.9,309.1
00Z 18 Aug 1990,6,786.4,2133,16.1,15.8,98,14.57,150,13,309.8,354.4,312.5
00Z 18 Aug 1990,7,700.0,3119,11.8,11.0,95,11.92,165,14,315.5,353.0,317.8
00Z 18 Aug 1990,8,528.0,5418,0.0,-4.8,70,5.10,152,20,327.8,345.1,328.8
