Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 03 Aug 1988, 41977, 880803/0000, 22.35, 91.80, 34.0, 2.19, -0.86, -1.08, 284.01, 35.01, 17.90, 19.90, 37.80, 407.29, 510.82, -8.32, -4.42, 261.22, 261.09, 886.61, 904.56, 16.41, 20.58, 296.00, 932.22, 302.03, 19.26, 15799.00, 71.35
 00Z 04 Aug 1988, 41977, 880804/0000, 22.35, 91.80, 34.0, 2.56, 82.70, 83.58, 277.00, 33.23, 16.50, 20.40, 36.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 326.84, 5333.43, 200.68, 17.93, 5815.00, 61.96
 00Z 06 Aug 1988, 41977, 880806/0000, 22.35, 91.80, 34.0, -1.46, 0.53, 0.46, 270.02, 40.50, 21.50, 21.50, 43.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 294.80, 951.75, 299.03, 17.50, 5754.00, 75.40
 00Z 10 Aug 1988, 41977, 880810/0000, 22.35, 91.80, 34.0, 35.25, 35.20, 21.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 262.24, 762.97, 283.36, 2.88, 5630.00, 0.03
 00Z 11 Aug 1988, 41977, 880811/0000, 22.35, 91.80, 34.0, 6.12, 1.39, 1.30, 225.40, 28.50, 15.70, 18.70, 34.40, 3381.35, 3537.19, 0.00, 0.00, 500.57, 500.51, 944.33, 944.33, 265.26, 277.49, 293.36, 944.33, 298.22, 16.17, 5698.00, 48.73
 00Z 14 Aug 1988, 41977, 880814/0000, 22.35, 91.80, 34.0, 0.00, 0.00, 0.00, 0.00, 295.20, 928.21, 301.58, 18.44, ********, 58.22
 00Z 06 Aug 1989, 41977, 890806/0000, 22.35, 91.80, 34.0, -1.34, -3.70, -4.12, 278.19, 38.00, 21.80, 21.80, 43.60, 962.03, 1061.86, -0.12, 0.00, 238.77, 286.75, 935.90, 940.27, 605.11, 667.91, 297.02, 959.76, 300.56, 19.91, 5726.00, 66.72
 00Z 17 Aug 1989, 41977, 890817/0000, 22.35, 91.80, 34.0, 0.05, 9.23, -84.78, -59.13, 694.63, 655.91, 703.73, 741.31, 293.98, 939.79, 299.27, 16.81, ********, 52.60
 00Z 27 Aug 1989, 41977, 890827/0000, 22.35, 91.80, 34.0, 2.00, -3.48, -4.07, 197.12, 34.40, 19.50, 21.10, 40.60, 617.14, 740.63, -0.04, 0.00, 404.80, 401.91, 946.85, 950.07, 611.26, 733.58, 296.05, 961.41, 299.41, 19.24, 5727.00, 58.53
 00Z 18 Aug 1990, 41977, 900818/0000, 22.35, 91.80, 34.0, -1.06, -3.81, -4.52, 278.99, 39.30, 21.10, 21.10, 42.20, 927.14, 1124.24, 0.00, 0.00, 252.21, 252.94, 960.48, 963.26, 392.60, 476.06, 298.46, 969.05, 301.17, 21.54, 5816.00, 70.85
