Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 02 Sep 1988,0,1001.0,34,27.0,23.9,83,19.07,135,5,300.1,356.2,303.5
00Z 02 Sep 1988,1,1000.0,83,27.0,23.5,81,18.63,135,5,300.1,355.0,303.5
00Z 02 Sep 1988,2,920.0,811,22.4,20.0,86,16.28,163,7,302.7,351.1,305.6
00Z 02 Sep 1988,3,850.0,1493,19.6,16.4,82,14.00,190,9,306.7,349.0,309.2
00Z 02 Sep 1988,4,700.0,3148,14.0,9.0,72,10.40,210,9,318.0,351.1,319.9
00Z 02 Sep 1988,5,500.0,5890,-2.5,-8.5,63,4.05,170,4,329.9,343.9,330.7
00Z 02 Sep 1988,6,400.0,7580,-11.3,-18.3,56,2.27,180,6,340.2,348.6,340.7
00Z 02 Sep 1988,7,300.0,9700,-25.5,-26.8,89,1.43,115,8,349.3,354.9,349.6
00Z 02 Sep 1988,8,250.0,11000,-34.9,-44.9,35,0.28,95,9,354.0,355.3,354.1
00Z 02 Sep 1988,9,200.0,12530,-46.1,NA,NA,NA,100,13,359.6,NA,359.6
00Z 02 Sep 1988,10,150.0,14370,-63.1,NA,NA,NA,100,24,361.2,NA,361.2
00Z 02 Sep 1988,11,100.0,16820,-71.5,NA,NA,NA,120,28,389.3,NA,389.3
00Z 04 Sep 1988,0,1004.0,34,25.4,23.2,88,18.21,135,6,298.2,351.3,301.4
00Z 04 Sep 1988,1,1000.0,94,24.4,22.4,89,17.39,190,9,297.6,348.1,300.6
00Z 04 Sep 1988,2,850.0,1449,18.6,15.9,84,13.55,215,8,305.6,346.4,308.1
00Z 04 Sep 1988,3,700.0,3124,10.0,8.0,87,9.71,305,4,313.5,343.9,315.4
00Z 04 Sep 1988,4,500.0,5830,-3.5,-7.6,73,4.34,235,8,328.7,343.6,329.6
00Z 04 Sep 1988,5,400.0,7570,-12.3,-21.3,47,1.76,335,11,338.9,345.5,339.3
00Z 04 Sep 1988,6,300.0,9720,-26.5,-36.5,38,0.56,80,6,347.9,350.2,348.0
00Z 04 Sep 1988,7,250.0,11020,-35.3,-45.3,35,0.27,60,18,353.4,354.6,353.5
00Z 04 Sep 1988,8,200.0,12550,-46.7,NA,NA,NA,60,18,358.7,NA,358.7
00Z 06 Sep 1988,0,1004.0,34,26.0,23.9,88,19.02,130,5,298.8,354.5,302.2
00Z 06 Sep 1988,1,1000.0,115,25.2,24.5,96,19.82,210,8,298.4,356.2,301.9
00Z 06 Sep 1988,2,850.0,1515,17.4,16.4,94,14.00,270,9,304.4,346.3,306.9
00Z 06 Sep 1988,3,700.0,3151,9.0,8.0,93,9.71,350,7,312.4,342.7,314.2
