Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 02 Sep 1988, 41977, 880902/0000, 22.35, 91.80, 34.0, 0.92, -0.71, -1.15, 218.79, 33.50, 18.90, 22.10, 41.00, 26.77, 60.54, -221.61, -168.59, 426.54, 412.93, 547.00, 560.42, 8.98, 20.31, 294.83, 931.24, 300.92, 17.90, 5807.00, 64.18
 00Z 04 Sep 1988, 41977, 880904/0000, 22.35, 91.80, 34.0, 0.87, 0.35, 0.11, 214.81, 36.00, 19.40, 22.10, 41.50, 0.00, 9.21, 0.00, -73.45, 603.41, 709.39, 0.00, 2.38, 294.09, 946.46, 298.78, 16.81, 5736.00, 61.01
 00Z 06 Sep 1988, 41977, 880906/0000, 22.35, 91.80, 34.0, 2.32, -0.59, -0.74, 222.79, 34.90, 18.50, 19.50, 38.00, 387.36, 480.59, -0.51, -0.10, 269.47, 269.04, 937.16, 943.97, 98.00, 121.58, 296.32, 966.91, 299.20, 18.91, 5755.00, 66.17
 00Z 07 Sep 1988, 41977, 880907/0000, 22.35, 91.80, 34.0, -1.48, -0.66, -0.98, 289.00, 38.10, 21.30, 22.90, 44.20, 58.28, 106.77, -102.65, -93.42, 441.42, 433.48, 699.40, 723.42, 1.47, 2.69, 295.07, 952.38, 299.25, 17.76, 5781.00, 64.60
 00Z 09 Sep 1988, 41977, 880909/0000, 22.35, 91.80, 34.0, 2.68, -0.14, -0.52, 219.06, 32.41, 17.41, 20.41, 37.82, 0.00, 57.10, 0.00, -10.98, 566.50, 874.75, 0.00, 20.39, 296.02, 954.33, 300.02, 18.81, 5744.23, 65.63
 00Z 12 Sep 1988, 41977, 880912/0000, 22.35, 91.80, 34.0, -0.74, -3.72, -4.42, 371.00, 34.50, 20.30, 23.50, 43.80, 608.20, 788.04, -27.19, -14.77, 317.41, 316.14, 827.89, 872.44, 296.95, 950.00, 301.35, 20.03, 5813.00, 63.70
 00Z 13 Sep 1988, 41977, 880913/0000, 22.35, 91.80, 34.0, 5.23, -0.96, -1.55, 182.01, 31.70, 15.70, 19.70, 35.40, 710.46, 857.78, -34.40, -23.87, 303.25, 301.83, 877.04, 888.83, 18.45, 22.28, 294.63, 925.12, 301.28, 17.82, 5847.00, 58.85
 00Z 15 Sep 1988, 41977, 880915/0000, 22.35, 91.80, 34.0, 0.00, -1.80, -2.39, 246.02, 34.20, 20.00, 22.70, 42.70, 215.22, 337.87, -49.03, -33.50, 333.66, 350.16, 778.60, 820.45, 3031.00, 4758.36, 294.83, 929.86, 301.05, 17.94, 5751.00, 58.86
 00Z 17 Sep 1988, 41977, 880917/0000, 22.35, 91.80, 34.0, 3.72, -0.20, -0.51, 167.00, 30.10, 15.10, 24.10, 39.20, 11.25, 58.13, -200.95, -135.46, 466.48, 443.48, 620.87, 711.74, 1.02, 5.27, 293.53, 915.92, 301.02, 16.82, 5793.00, 51.50
 00Z 19 Sep 1988, 41977, 880919/0000, 22.35, 91.80, 34.0, -0.60, -4.01, -4.96, 196.19, 36.10, 19.50, 25.50, 45.00, 925.22, 1147.17, -96.11, -61.07, 197.75, 197.66, 766.09, 799.15, 317.14, 393.22, 295.76, 922.95, 302.63, 19.20, 5803.00, 56.40
 00Z 20 Sep 1988, 41977, 880920/0000, 22.35, 91.80, 34.0, 0.43, -1.33, -1.79, 206.98, 34.70, 18.70, 24.70, 43.40, 62.59, 109.29, -216.98, -158.35, 442.63, 434.83, 603.89, 622.14, 5.25, 9.17, 293.58, 908.37, 301.78, 17.02, 5784.00, 57.90
 00Z 22 Sep 1988, 41977, 880922/0000, 22.35, 91.80, 34.0, 1.21, -0.01, -0.48, 222.29, 33.00, 18.00, 22.50, 40.50, 13.07, 77.11, -239.16, -163.95, 349.69, 356.13, 498.45, 568.96, 3.15, 18.56, 294.45, 916.15, 301.94, 17.80, 5769.00, 58.50
 00Z 26 Sep 1988, 41977, 880926/0000, 22.35, 91.80, 34.0, 0.37, -2.18, -2.67, 259.61, 33.70, 18.90, 23.90, 42.80, 637.10, 809.81, -74.47, -39.36, 239.97, 240.76, 768.37, 797.92, 74.56, 94.77, 295.16, 924.98, 301.83, 18.50, 5756.00
 00Z 27 Sep 1989, 41977, 890927/0000, 22.35, 91.80, 34.0, 106.11, 18.71, 18.55, 4.01, -168.38, -81.01, -79.71, -160.72, 4913.86, 4998.55, 0.00, 0.00, 711.51, 712.25, 974.93, 974.93, 53.27, 54.19, 282.83, 974.93, 284.84, 10.03, 5136.42, 12.54
 00Z 01 Sep 1990, 41977, 900901/0000, 22.35, 91.80, 34.0, -1.26, -4.19, -5.00, 245.97, 37.28, 20.84, 24.44, 45.28, 1086.04, 1320.37, -38.11, -24.43, 224.30, 225.38, 823.93, 847.55, 14.87, 18.08, 295.57, 921.88, 302.54, 19.07, 5761.00, 55.48
 00Z 08 Sep 1990, 41977, 900908/0000, 22.35, 91.80, 34.0, -1.87, -2.96, -3.66, 249.00, 26.20, 21.00, 22.70, 43.70, 795.71, 1052.63, -38.85, -20.97, 231.76, 232.97, 698.98, 830.48, 48.37, 63.99, 297.85, 956.18, 301.71, 21.02, 5803.00, 61.27
 00Z 15 Sep 1990, 41977, 900915/0000, 22.35, 91.80, 34.0, 0.20, -0.80, -1.97, 231.76, 19.28, 22.28, 41.57, 68.10, 373.07, -130.45, -1456.65, 421.82, 654.71, 158.82, 8.22, 45.02, 296.78, 972.29, 299.21, 22.41, 5858.52, 31.35
 00Z 22 Sep 1990, 41977, 900922/0000, 22.35, 91.80, 34.0, 301.92, 0.00
 00Z 04 Sep 1991, 41977, 910904/0000, 22.35, 91.80, 34.0, -0.60, -3.36, -3.78, 837.21, 34.90, 21.30, 21.30, 42.60, 1110.92, 1288.89, 0.00, 0.00, 179.12, 177.99, 975.86, 974.43, 2.82, 3.27, 297.40, 976.52, 299.45, 20.02, 5767.00, 63.86
 00Z 08 Sep 1991, 41977, 910908/0000, 22.35, 91.80, 34.0, 1.52, 5.69, 5.34, 265.19, 35.60, 18.10, 22.50, 40.60, 0.00, 0.00, 0.00, 0.00, 285.81, 816.24, 302.88, 11.41, 15869.00, 27.20
 00Z 14 Sep 1991, 41977, 910914/0000, 22.35, 91.80, 34.0, -3.30, -5.76, -6.37, 252.82, 37.30, 24.10, 24.10, 48.20, 1451.59, 1663.48, 0.00, 0.00, 975.03, 973.51, 1848.42, 2118.24, 297.07, 977.90, 298.99, 19.58, 5747.00, 58.58
 00Z 21 Sep 1991, 41977, 910921/0000, 22.35, 91.80, 34.0, -2.59, -3.49, -3.85, 226.58, 40.50, 22.50, 24.10, 46.60, 894.10, 1013.19, -39.74, -32.48, 201.68, 201.82, 822.75, 834.39, 334.75, 379.33, 295.28, 933.29, 301.18, 18.36, 5800.54, 65.58
 00Z 25 Sep 1991, 41977, 910925/0000, 22.35, 91.80, 34.0, 7.22, -0.26, -0.46, 182.42, 30.50, 13.30, 20.30, 33.60, 267.79, 367.88, -14.72, -5.12, 289.73, 287.97, 878.66, 913.01, 5.00, 6.87, 294.52, 940.86, 299.71, 17.41, 5742.00, 57.65
 00Z 28 Sep 1991, 41977, 910928/0000, 22.35, 91.80, 34.0, -2.28, -3.21, -4.41, 250.18, 41.10, 22.50, 22.50, 45.00, 1320.29, 1601.79, 0.00, 0.00, 969.16, 968.70, 100.02, 121.35, 297.23, 978.02, 299.13, 19.76, 5756.00, 50.44
 00Z 02 Sep 1992, 41977, 920902/0000, 22.35, 91.80, 34.0, 2.42, 1.05, 1.04, 210.98, 34.10, 18.50, 19.70, 38.20, 12.60, 34.37, -18.76, -13.95, 371.55, 378.77, 856.43, 869.61, 10.72, 29.25, 294.18, 943.87, 299.10, 16.95, 5757.00, 64.64
 00Z 05 Sep 1992, 41977, 920905/0000, 22.35, 91.80, 34.0, 0.04, -4.57, -5.17, 208.01, 35.50, 20.50, 22.50, 43.00, 1522.05, 1701.03, -1.54, -0.40, 157.33, 155.81, 928.84, 940.83, 190.51, 212.91, 296.98, 957.18, 300.73, 19.90, 5753.00, 64.02
 00Z 07 Sep 1992, 41977, 920907/0000, 22.35, 91.80, 34.0, 1.18, -0.19, -0.57, 223.61, 34.50, 18.90, 22.10, 41.00, 8.83, 40.22, -163.43, -119.17, 422.66, 399.22, 536.48, 558.05, 0.81, 3.70, 294.67, 946.11, 299.38, 17.44, 5785.00, 61.31
 00Z 08 Sep 1992, 41977, 920908/0000, 22.35, 91.80, 34.0, -2.68, -3.63, -4.04, 268.40, 41.50, 22.30, 23.10, 45.40, 1391.57, 1503.49, -22.30, -17.88, 853.95, 863.47, 233.82, 252.63, 296.52, 936.30, 302.17, 19.78, 5836.00, 75.16
 00Z 09 Sep 1992, 41977, 920909/0000, 22.35, 91.80, 34.0, 0.55, -0.63, -1.17, 261.01, 36.90, 19.10, 21.10, 40.20, 522.65, 601.43, -278.50, -255.10, 148.51, 148.30, 530.89, 541.67, 141.76, 163.13, 296.07, 941.79, 301.22, 19.13, 5796.00, 73.66
 00Z 10 Sep 1992, 41977, 920910/0000, 22.35, 91.80, 34.0, 0.49, -0.81, -1.24, 226.01, 36.90, 19.60, 22.10, 41.70, 386.59, 452.55, -114.66, -89.97, 221.96, 222.14, 596.41, 599.72, 43.26, 50.64, 295.01, 944.70, 299.87, 17.85, 5720.00, 65.32
 00Z 11 Sep 1992, 41977, 920911/0000, 22.35, 91.80, 34.0, 1.45, -1.35, -1.71, 247.41, 35.60, 19.00, 20.50, 39.50, 456.01, 563.30, -4.36, -2.19, 196.55, 196.47, 907.20, 920.20, 18.51, 22.87, 296.34, 957.50, 300.06, 19.12, 5777.00, 68.53
 00Z 12 Sep 1992, 41977, 920912/0000, 22.35, 91.80, 34.0, 1.04, -0.40, -0.53, 248.99, 36.30, 19.50, 20.50, 40.00, 267.77, 326.44, -2.87, -1.39, 183.68, 182.60, 895.58, 912.11, 37.10, 45.23, 295.94, 966.86, 298.84, 18.47, 5770.00, 69.67
 00Z 13 Sep 1992, 41977, 920913/0000, 22.35, 91.80, 34.0, -0.25, -0.15, -0.29, 207.40, 36.14, 20.50, 23.90, 44.40, 3.79, 14.28, -185.45, -158.27, 480.02, 472.61, 558.38, 534.71, 0.36, 1.36, 293.10, 941.90, 298.17, 15.86, 5759.00, 57.35
 00Z 14 Sep 1992, 41977, 920914/0000, 22.35, 91.80, 34.0, 10.52, 13.59, 17.77, 385.67, 35.74, 5.17, 5.73, 10.89, 1277.83, 1327.86, -4968.27, -5855.62, 222.90, 220.42, 1.36, 1.41, 305.05, 955.59, 309.08, 32.56, 4036.38, 303.50
 00Z 15 Sep 1992, 41977, 920915/0000, 22.35, 91.80, 34.0, 0.09, 0.83, 0.40, 212.39, 32.00, 20.00, 22.30, 42.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 294.34, 957.87, 298.00, 16.87, 5756.00, 55.87
 00Z 16 Sep 1992, 41977, 920916/0000, 22.35, 91.80, 34.0, 0.85, -2.05, -2.29, 215.99, 37.00, 19.60, 21.30, 40.90, 1995.09, 2114.86, -5.55, -2.76, 143.09, 143.06, 902.81, 920.75, 178.03, 188.72, 296.24, 956.66, 300.03, 19.02, 5725.00, 66.14
 00Z 17 Sep 1992, 41977, 920917/0000, 22.35, 91.80, 34.0, -1.97, -3.37, -3.90, 236.41, 38.60, 22.40, 22.90, 45.30, 1311.85, 1446.66, -0.08, 0.00, 943.36, 953.50, 348.08, 383.85, 296.65, 973.02, 298.99, 19.16, 5754.00, 64.18
 00Z 18 Sep 1992, 41977, 920918/0000, 22.35, 91.80, 34.0, -0.36, -1.96, -2.59, 211.38, 35.80, 21.00, 23.10, 44.10, 438.86, 560.06, -19.08, -10.07, 182.94, 181.06, 806.79, 841.29, 33.28, 42.48, 294.99, 962.13, 298.28, 17.48, 5737.00, 56.05
 00Z 19 Sep 1992, 41977, 920919/0000, 22.35, 91.80, 34.0, 46.77, 295.97, 5573.44, 0.00
 00Z 20 Sep 1992, 41977, 920920/0000, 22.35, 91.80, 34.0, -2.08, -0.55, -0.80, 254.21, 39.40, 21.90, 23.90, 45.80, 21.89, 41.75, -214.89, -205.53, 437.42, 429.58, 562.28, 581.04, 1.00, 1.91, 294.71, 961.37, 298.06, 17.21, 5754.00, 65.52
 00Z 21 Sep 1992, 41977, 920921/0000, 22.35, 91.80, 34.0, -1.85, -6.08, -6.86, 227.40, 36.70, 22.30, 24.30, 46.60, 3090.70, 3296.19, -5.30, -2.43, 912.90, 927.42, 1021.34, 1089.25, 296.66, 950.01, 301.05, 19.67, 5754.00, 61.72
 00Z 22 Sep 1992, 41977, 920922/0000, 22.35, 91.80, 34.0, -2.27, -6.01, -6.77, 231.38, 36.70, 22.10, 24.50, 46.60, 2669.48, 2899.88, -0.35, 0.00, 935.79, 951.71, 220.35, 239.37, 298.04, 968.23, 300.81, 21.00, 5773.00, 63.14
 00Z 23 Sep 1992, 41977, 920923/0000, 22.35, 91.80, 34.0, -1.52, -5.18, -5.81, 273.42, 37.70, 21.70, 23.30, 45.00, 6512.53, 6726.88, -1.20, -0.26, 925.20, 937.58, 143.84, 148.57, 297.39, 957.41, 301.12, 20.41, 5816.00, 64.53
 00Z 24 Sep 1992, 41977, 920924/0000, 22.35, 91.80, 34.0, -2.44, -3.78, -4.34, 266.21, 40.30, 22.50, 22.90, 45.40, 1440.89, 1584.33, -0.13, 0.00, 151.97, 151.70, 940.80, 951.26, 160.98, 177.01, 297.37, 971.53, 299.84, 20.07, 5780.00, 69.81
 00Z 25 Sep 1992, 41977, 920925/0000, 22.35, 91.80, 34.0, -1.56, -3.01, -3.42, 260.00, 37.80, 22.00, 22.70, 44.70, 787.72, 890.04, -4.82, -3.00, 214.47, 215.19, 896.38, 910.54, 56.00, 63.27, 296.09, 960.21, 299.56, 18.76, 5768.00, 66.74
 00Z 26 Sep 1992, 41977, 920926/0000, 22.35, 91.80, 34.0, -1.83, -3.64, -4.12, 272.99, 37.70, 21.90, 22.90, 44.80, 1477.64, 1621.49, -10.88, -7.38, 884.34, 898.15, 216.90, 238.02, 296.59, 952.37, 300.78, 19.53, 5770.00, 67.81
 00Z 27 Sep 1992, 41977, 920927/0000, 22.35, 91.80, 34.0, -2.41, -3.35, -3.72, 339.12, 38.20, 22.50, 25.30, 47.80, 722.39, 837.17, -59.00, -46.54, 216.50, 216.83, 788.48, 805.99, 66.19, 76.71, 294.74, 948.53, 299.23, 17.46, 5745.00, 58.15
