Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Jan 1985,0,1014.0,9,13.2,11.6,90,8.53,NA,NA,285.2,309.0,286.7
00Z 01 Jan 1985,1,1000.0,126,17.8,17.1,96,12.42,175,307,290.9,326.1,293.1
00Z 01 Jan 1985,2,850.0,1521,15.0,8.0,63,7.98,310,13,301.9,325.8,303.3
00Z 01 Jan 1985,3,700.0,3134,10.4,3.4,62,7.03,300,27,314.0,336.3,315.3
00Z 01 Jan 1985,4,500.0,5810,-10.7,NA,NA,NA,290,23,319.9,NA,319.9
00Z 01 Jan 1985,5,400.0,7490,-22.1,NA,NA,NA,275,45,326.2,NA,326.2
00Z 01 Jan 1985,6,300.0,9550,-35.7,NA,NA,NA,285,55,334.9,NA,334.9
00Z 01 Jan 1985,7,252.0,10745,-43.2,NA,NA,NA,270,70,341.0,NA,341.0
00Z 01 Jan 1985,8,250.0,10800,-43.5,NA,NA,NA,270,60,341.3,NA,341.3
00Z 03 Jan 1985,0,1016.0,9,15.0,14.4,96,10.25,NA,NA,286.9,315.5,288.6
00Z 03 Jan 1985,1,1000.0,144,17.0,17.0,100,12.34,215,5,290.1,325.0,292.3
00Z 03 Jan 1985,2,960.0,494,17.4,10.4,63,8.31,235,7,294.0,318.1,295.4
00Z 03 Jan 1985,3,900.0,1044,13.4,8.7,73,7.90,267,10,295.3,318.4,296.7
00Z 03 Jan 1985,4,850.0,1525,10.2,8.3,88,8.14,295,12,296.8,320.8,298.3
00Z 03 Jan 1985,5,700.0,3111,1.0,-7.0,55,3.25,250,27,303.6,313.8,304.2
00Z 03 Jan 1985,6,500.0,5740,-15.5,NA,NA,NA,260,53,314.1,NA,314.1
00Z 03 Jan 1985,7,400.0,7400,-24.9,NA,NA,NA,235,27,322.5,NA,322.5
00Z 03 Jan 1985,8,300.0,9450,-34.1,NA,NA,NA,260,31,337.2,NA,337.2
