Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 04 Oct 1985,0,1009.0,9,26.4,25.2,93,20.50,10,3,298.8,358.8,302.4
00Z 04 Oct 1985,1,1000.0,89,26.2,24.8,92,20.19,360,3,299.4,358.6,302.9
00Z 04 Oct 1985,2,920.0,824,22.6,20.5,88,16.80,10,4,302.9,352.9,305.9
00Z 04 Oct 1985,3,850.0,1510,18.4,12.4,68,10.75,20,4,305.4,337.9,307.4
00Z 04 Oct 1985,4,700.0,3153,10.6,-4.4,35,3.96,60,7,314.2,327.1,314.9
00Z 04 Oct 1985,5,500.0,5860,-8.5,-10.1,88,3.57,60,6,322.6,334.7,323.3
00Z 04 Oct 1985,6,400.0,7570,-16.3,-39.3,12,0.32,40,13,333.7,335.0,333.8
00Z 04 Oct 1985,7,300.0,9650,-33.1,NA,NA,NA,5,11,338.6,NA,338.6
00Z 04 Oct 1985,8,200.0,12390,-53.7,NA,NA,NA,325,31,347.6,NA,347.6
00Z 04 Oct 1985,9,150.0,14190,-15.1,NA,NA,NA,325,19,443.7,NA,443.7
00Z 05 Oct 1985,0,1009.0,9,26.4,25.4,94,20.75,10,3,298.8,359.6,302.5
00Z 05 Oct 1985,1,1000.0,89,26.0,24.5,91,19.82,110,3,299.1,357.3,302.7
00Z 05 Oct 1985,2,920.0,823,22.6,18.6,78,14.89,110,5,302.9,347.2,305.6
00Z 05 Oct 1985,3,850.0,1511,19.4,16.6,84,14.18,110,6,306.4,349.3,309.1
00Z 05 Oct 1985,4,700.0,3148,9.6,0.6,53,5.74,85,16,313.1,331.4,314.2
00Z 05 Oct 1985,5,606.0,4325,0.0,-7.0,59,3.75,66,16,315.2,327.5,315.9
00Z 05 Oct 1985,6,500.0,5850,-5.9,-14.9,49,2.42,40,17,325.8,334.2,326.3
00Z 05 Oct 1985,7,400.0,7560,-17.9,-25.9,50,1.16,110,6,331.6,336.0,331.9
00Z 05 Oct 1985,8,300.0,9650,-32.5,-36.5,67,0.56,305,9,339.4,341.7,339.6
00Z 05 Oct 1985,9,250.0,10900,-43.9,NA,NA,NA,335,25,340.7,NA,340.7
00Z 05 Oct 1985,10,200.0,12400,-56.3,NA,NA,NA,335,22,343.4,NA,343.4
00Z 05 Oct 1985,11,172.0,13342,-63.3,NA,NA,NA,NA,NA,347.0,NA,347.0
00Z 06 Oct 1985,0,1011.0,9,26.0,24.9,94,20.08,360,0,298.2,356.9,301.8
00Z 06 Oct 1985,1,1004.0,71,26.2,24.4,90,19.61,354,2,299.0,356.5,302.5
00Z 06 Oct 1985,2,1000.0,107,25.6,23.9,90,19.09,350,3,298.8,354.6,302.1
00Z 06 Oct 1985,3,920.0,840,24.0,13.0,50,10.33,75,5,304.3,335.4,306.2
00Z 06 Oct 1985,4,850.0,1526,20.0,-6.0,17,2.89,155,6,307.1,316.4,307.6
00Z 06 Oct 1985,5,700.0,3152,9.8,NA,NA,NA,115,13,313.3,NA,313.3
00Z 06 Oct 1985,6,600.0,4395,0.0,NA,NA,NA,55,11,316.1,NA,316.1
00Z 06 Oct 1985,7,593.0,4488,-0.3,NA,NA,NA,51,11,316.8,NA,316.8
00Z 06 Oct 1985,8,575.0,4733,3.0,NA,NA,NA,39,10,323.4,NA,323.4
00Z 06 Oct 1985,9,500.0,5840,-3.1,NA,NA,NA,345,8,329.2,NA,329.2
00Z 06 Oct 1985,10,400.0,7540,-16.1,NA,NA,NA,345,12,334.0,NA,334.0
00Z 06 Oct 1985,11,300.0,9630,-32.5,NA,NA,NA,50,22,339.4,NA,339.4
00Z 06 Oct 1985,12,256.0,10722,-43.3,NA,NA,NA,NA,NA,339.2,NA,339.2
00Z 08 Oct 1985,0,1008.0,9,26.4,24.4,89,19.53,120,4,298.9,356.1,302.4
00Z 08 Oct 1985,1,1000.0,75,26.0,24.0,89,19.21,130,7,299.1,355.5,302.6
00Z 08 Oct 1985,2,973.9,304,-3.6,NA,NA,NA,130,10,271.6,NA,271.6
00Z 08 Oct 1985,3,940.3,609,-43.0,NA,NA,NA,170,10,234.2,NA,234.2
00Z 08 Oct 1985,4,907.8,914,-82.4,NA,NA,NA,205,7,196.1,NA,196.1
00Z 08 Oct 1985,5,899.0,998,-93.3,NA,NA,NA,205,7,185.4,NA,185.4
00Z 08 Oct 1985,6,850.0,1474,17.0,NA,NA,NA,205,6,303.9,NA,303.9
00Z 08 Oct 1985,7,785.9,2133,13.2,NA,NA,NA,280,6,306.8,NA,306.8
00Z 08 Oct 1985,8,700.0,3106,7.6,NA,NA,NA,280,4,310.9,NA,310.9
00Z 08 Oct 1985,9,500.0,5820,-5.3,NA,NA,NA,280,17,326.5,NA,326.5
00Z 08 Oct 1985,10,482.5,6096,-6.9,NA,NA,NA,280,20,327.9,NA,327.9
00Z 08 Oct 1985,11,400.0,7550,-15.3,NA,NA,NA,280,17,335.0,NA,335.0
00Z 08 Oct 1985,12,396.2,7620,-15.8,NA,NA,NA,295,20,335.3,NA,335.3
00Z 08 Oct 1985,13,300.0,9660,-30.7,NA,NA,NA,295,11,342.0,NA,342.0
00Z 08 Oct 1985,14,250.0,10930,-41.9,NA,NA,NA,295,22,343.6,NA,343.6
00Z 08 Oct 1985,15,200.0,12400,-55.1,NA,NA,NA,NA,NA,345.4,NA,345.4
00Z 09 Oct 1985,0,1009.0,9,26.0,24.4,91,19.51,NA,NA,298.4,355.4,301.9
00Z 09 Oct 1985,1,1000.0,84,26.6,24.9,90,20.31,130,5,299.8,359.5,303.4
00Z 09 Oct 1985,2,850.0,1510,19.4,12.4,64,10.75,15,5,306.4,339.1,308.4
00Z 09 Oct 1985,3,700.0,3148,7.4,2.4,71,6.54,315,5,310.6,331.2,311.9
00Z 09 Oct 1985,4,500.0,5860,-4.5,-13.5,49,2.71,315,7,327.5,337.0,328.0
00Z 09 Oct 1985,5,400.0,7580,-15.5,-25.5,42,1.21,275,6,334.8,339.3,335.0
00Z 09 Oct 1985,6,300.0,9690,-31.5,-41.5,37,0.34,275,12,340.9,342.2,340.9
00Z 09 Oct 1985,7,250.0,10960,-41.9,-50.9,37,0.14,330,16,343.6,344.3,343.7
00Z 09 Oct 1985,8,200.0,12430,-54.3,NA,NA,NA,NA,NA,346.6,NA,346.6
00Z 10 Oct 1985,0,1009.0,9,24.6,22.7,89,17.56,325,2,297.0,347.9,300.1
00Z 10 Oct 1985,1,1000.0,84,25.2,17.2,61,12.50,300,6,298.4,334.9,300.6
00Z 10 Oct 1985,2,990.0,173,27.2,22.5,76,17.68,295,6,301.2,353.5,304.4
00Z 10 Oct 1985,3,968.0,373,26.4,20.4,70,15.85,283,6,302.4,349.4,305.2
00Z 10 Oct 1985,4,943.0,605,27.4,15.4,48,11.80,269,5,305.6,341.3,307.8
00Z 10 Oct 1985,5,920.0,824,26.2,16.2,54,12.75,256,5,306.6,345.2,308.9
00Z 10 Oct 1985,6,850.0,1520,22.4,13.4,57,11.49,215,4,309.6,344.9,311.7
00Z 10 Oct 1985,7,700.0,3176,10.4,2.4,58,6.54,155,8,314.0,334.8,315.2
00Z 10 Oct 1985,8,540.0,5297,0.0,-9.0,51,3.60,109,5,325.7,338.1,326.4
00Z 10 Oct 1985,9,500.0,5910,-2.7,-12.7,46,2.90,95,4,329.7,339.9,330.3
00Z 10 Oct 1985,10,400.0,7640,-13.7,-27.7,30,0.99,180,10,337.1,340.9,337.3
00Z 10 Oct 1985,11,300.0,9810,-29.1,-46.1,18,0.20,200,6,344.2,345.1,344.3
00Z 10 Oct 1985,12,250.0,11080,-39.3,-50.3,30,0.15,220,9,347.5,348.2,347.5
00Z 10 Oct 1985,13,200.0,12570,-51.9,NA,NA,NA,255,8,350.4,NA,350.4
00Z 10 Oct 1985,14,150.0,14370,-67.1,NA,NA,NA,225,13,354.3,NA,354.3
00Z 10 Oct 1985,15,132.0,15135,-70.1,NA,NA,NA,NA,NA,362.1,NA,362.1
00Z 11 Oct 1985,0,1008.0,9,27.4,25.5,89,20.90,NA,NA,299.9,361.4,303.6
00Z 11 Oct 1985,1,1000.0,81,27.2,25.6,91,21.21,155,9,300.4,362.9,304.1
00Z 11 Oct 1985,2,920.0,818,23.4,18.4,74,14.70,142,9,303.7,347.6,306.4
00Z 11 Oct 1985,3,850.0,1507,19.6,15.9,79,13.55,130,9,306.7,347.7,309.2
00Z 11 Oct 1985,4,700.0,3157,11.0,6.0,71,8.45,150,8,314.6,341.3,316.2
00Z 11 Oct 1985,5,548.0,5161,0.0,-3.6,77,5.38,194,8,324.4,342.3,325.4
00Z 11 Oct 1985,6,500.0,5890,-3.9,-10.9,58,3.35,210,8,328.2,339.8,328.9
00Z 11 Oct 1985,7,400.0,7620,-13.5,-33.5,17,0.57,210,11,337.4,339.6,337.5
00Z 11 Oct 1985,8,300.0,9740,-28.3,NA,NA,NA,140,14,345.4,NA,345.4
00Z 11 Oct 1985,9,250.0,11020,-38.7,NA,NA,NA,35,12,348.4,NA,348.4
00Z 11 Oct 1985,10,107.0,16233,-87.9,NA,NA,NA,NA,NA,350.8,NA,350.8
00Z 12 Oct 1985,0,1009.0,9,27.2,24.8,87,20.00,180,5,299.6,358.4,303.1
00Z 12 Oct 1985,1,1000.0,78,27.0,24.5,86,19.82,195,6,300.1,358.5,303.7
00Z 12 Oct 1985,2,920.0,816,23.6,20.5,83,16.80,123,7,303.9,354.1,307.0
00Z 12 Oct 1985,3,850.0,1506,19.6,13.6,68,11.65,55,7,306.7,342.0,308.8
00Z 12 Oct 1985,4,700.0,3157,11.6,3.6,58,7.13,190,5,315.3,338.0,316.6
00Z 12 Oct 1985,5,500.0,5820,-4.5,-10.5,63,3.46,165,6,327.5,339.4,328.2
00Z 12 Oct 1985,6,400.0,7550,-13.7,NA,NA,NA,165,6,337.1,NA,337.1
00Z 12 Oct 1985,7,300.0,9670,-29.5,NA,NA,NA,110,12,343.7,NA,343.7
00Z 12 Oct 1985,8,250.0,10950,-53.1,NA,NA,NA,110,13,327.0,NA,327.0
