Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Nov 1985,0,1012.0,9,22.0,20.3,90,15.05,360,0,294.1,337.3,296.8
00Z 01 Nov 1985,1,1000.0,110,21.7,19.7,88,14.66,NA,NA,294.9,337.0,297.4
00Z 01 Nov 1985,2,920.0,831,20.4,15.4,73,12.10,NA,NA,300.6,336.4,302.8
00Z 01 Nov 1985,3,623.0,4111,5.4,-5.6,45,4.06,NA,NA,318.9,332.3,319.7
00Z 01 Nov 1985,4,607.0,4324,7.2,-4.8,42,4.43,NA,NA,323.3,338.2,324.2
00Z 01 Nov 1985,5,533.0,5380,0.0,-11.0,43,3.12,NA,NA,326.9,337.7,327.6
00Z 01 Nov 1985,6,145.0,14607,-62.5,NA,NA,NA,NA,NA,365.7,NA,365.7
00Z 03 Nov 1985,0,1014.0,9,21.4,20.1,92,14.83,NA,NA,293.4,335.8,296.0
00Z 03 Nov 1985,1,1000.0,124,22.2,19.7,86,14.67,295,4,295.4,337.6,297.9
00Z 03 Nov 1985,2,971.0,380,23.4,19.6,79,15.02,289,4,299.1,343.0,301.7
00Z 03 Nov 1985,3,920.0,847,19.0,15.8,82,12.42,277,4,299.2,335.7,301.4
00Z 03 Nov 1985,4,850.0,1520,15.0,11.0,77,9.79,260,4,301.9,331.1,303.6
00Z 03 Nov 1985,5,700.0,3136,3.6,-4.4,56,3.96,240,10,306.4,318.9,307.2
00Z 03 Nov 1985,6,500.0,5520,-8.3,-20.3,37,1.53,270,21,322.9,328.3,323.2
00Z 03 Nov 1985,7,400.0,7510,-21.5,-31.5,40,0.69,270,22,327.0,329.6,327.1
00Z 03 Nov 1985,8,300.0,9570,-34.7,-43.7,40,0.27,270,71,336.4,337.4,336.4
00Z 03 Nov 1985,9,250.0,10820,-40.3,NA,NA,NA,NA,NA,346.0,NA,346.0
00Z 04 Nov 1985,0,1014.0,9,22.0,21.0,94,15.70,360,0,294.0,338.9,296.7
00Z 04 Nov 1985,1,1000.0,128,23.4,23.2,99,18.28,360,3,296.6,349.5,299.8
00Z 04 Nov 1985,2,970.0,380,24.2,20.9,82,16.33,353,3,299.9,347.9,302.9
00Z 04 Nov 1985,3,920.0,815,19.4,16.4,83,12.92,342,4,299.6,337.6,301.9
00Z 04 Nov 1985,4,850.0,1453,15.0,12.5,85,10.82,325,4,301.9,334.1,303.8
