Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 02 Dec 1985,0,1014.0,9,16.4,14.6,89,10.40,335,3,288.4,317.7,290.2
00Z 02 Dec 1985,1,1000.0,127,17.6,16.0,90,11.56,345,8,290.8,323.5,292.8
00Z 02 Dec 1985,2,963.0,452,19.8,15.6,77,11.70,339,8,296.1,330.1,298.2
00Z 02 Dec 1985,3,850.0,1515,11.8,1.8,50,5.15,320,8,298.5,314.1,299.4
00Z 02 Dec 1985,4,700.0,3136,7.2,-2.8,49,4.47,275,25,310.4,324.7,311.3
00Z 02 Dec 1985,5,500.0,5830,-9.1,-19.1,44,1.70,275,35,321.9,327.8,322.2
00Z 02 Dec 1985,6,420.0,7156,16.0,13.0,82,23.04,271,61,370.5,459.9,375.6
00Z 02 Dec 1985,7,400.0,7520,-19.1,-29.1,41,0.87,270,68,330.1,333.3,330.2
00Z 02 Dec 1985,8,300.0,9600,-32.5,-41.5,40,0.34,270,58,339.4,340.8,339.5
00Z 02 Dec 1985,9,250.0,10860,-42.7,NA,NA,NA,270,90,342.4,NA,342.4
00Z 02 Dec 1985,10,200.0,12330,-54.7,NA,NA,NA,270,84,346.0,NA,346.0
00Z 02 Dec 1985,11,150.0,14130,-65.7,NA,NA,NA,270,72,356.7,NA,356.7
00Z 05 Dec 1985,0,1014.0,9,15.4,13.6,89,9.74,360,0,287.4,314.7,289.1
00Z 05 Dec 1985,1,1000.0,123,20.2,17.6,85,12.82,345,12,293.4,330.0,295.6
00Z 05 Dec 1985,2,850.0,1505,10.4,6.9,79,7.39,345,8,297.0,318.9,298.4
00Z 05 Dec 1985,3,700.0,3109,8.4,5.2,80,7.98,280,12,311.8,336.7,313.3
00Z 05 Dec 1985,4,500.0,5850,-7.7,-14.7,57,2.46,290,31,323.6,332.1,324.1
00Z 05 Dec 1985,5,400.0,7550,-21.3,-28.3,53,0.93,290,41,327.2,330.7,327.4
00Z 05 Dec 1985,6,304.0,9518,30.3,-60.7,0,0.04,300,57,426.4,426.6,426.4
00Z 05 Dec 1985,7,300.0,9610,-36.9,-43.9,48,0.26,300,58,333.2,334.3,333.3
00Z 05 Dec 1985,8,250.0,10840,-46.9,NA,NA,NA,285,51,336.2,NA,336.2
00Z 05 Dec 1985,9,216.0,11751,-51.2,NA,NA,NA,285,82,343.9,NA,343.9
00Z 05 Dec 1985,10,200.0,12230,-53.5,NA,NA,NA,285,70,347.9,NA,347.9
00Z 05 Dec 1985,11,150.0,14100,-66.1,NA,NA,NA,NA,NA,356.0,NA,356.0
00Z 07 Dec 1985,0,1013.0,9,15.4,14.3,93,10.21,360,0,287.5,316.1,289.2
00Z 07 Dec 1985,1,1000.0,115,19.4,18.3,93,13.41,360,4,292.6,330.8,294.9
00Z 07 Dec 1985,2,974.0,347,20.0,17.5,86,13.09,11,4,295.4,333.1,297.7
00Z 07 Dec 1985,3,920.0,846,16.4,14.2,87,11.18,36,6,296.5,329.1,298.5
00Z 07 Dec 1985,4,850.0,1529,12.0,9.5,85,8.84,70,7,298.7,324.8,300.3
00Z 07 Dec 1985,5,700.0,3190,13.4,5.4,58,8.10,315,73,317.3,343.2,318.8
00Z 07 Dec 1985,6,500.0,5930,-4.9,-11.9,58,3.09,330,23,327.0,337.7,327.6
00Z 07 Dec 1985,7,400.0,7640,-17.7,-25.7,50,1.19,290,32,331.9,336.3,332.1
