Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 18 Feb 1985,0,1010.0,9,15.0,12.5,85,9.09,360,0,287.3,312.9,288.9
00Z 18 Feb 1985,1,1000.0,90,18.8,14.5,76,10.48,360,4,291.9,321.9,293.8
00Z 18 Feb 1985,2,985.0,220,21.0,14.0,64,10.30,353,4,295.4,325.3,297.2
00Z 18 Feb 1985,3,850.0,1477,12.6,8.6,77,8.31,290,6,299.3,324.0,300.8
00Z 18 Feb 1985,4,810.0,1879,7.6,NA,NA,NA,290,9,298.2,NA,298.2
00Z 18 Feb 1985,5,747.0,2544,5.6,NA,NA,NA,290,13,303.0,NA,303.0
00Z 18 Feb 1985,6,736.0,2665,5.6,NA,NA,NA,290,14,304.3,NA,304.3
00Z 18 Feb 1985,7,727.0,2766,6.4,NA,NA,NA,290,15,306.2,NA,306.2
00Z 18 Feb 1985,8,700.0,3076,5.6,NA,NA,NA,290,17,308.6,NA,308.6
00Z 18 Feb 1985,9,682.0,3289,5.4,NA,NA,NA,290,19,310.7,NA,310.7
00Z 18 Feb 1985,10,620.0,4070,8.0,NA,NA,NA,292,26,322.3,NA,322.3
00Z 18 Feb 1985,11,610.0,4203,8.0,NA,NA,NA,292,28,323.8,NA,323.8
00Z 18 Feb 1985,12,524.0,5437,0.0,NA,NA,NA,294,39,328.5,NA,328.5
00Z 18 Feb 1985,13,500.0,5810,-2.5,NA,NA,NA,295,43,329.9,NA,329.9
00Z 18 Feb 1985,14,400.0,7540,-14.9,NA,NA,NA,305,43,335.5,NA,335.5
00Z 18 Feb 1985,15,250.0,10920,-37.1,NA,NA,NA,290,39,350.8,NA,350.8
00Z 18 Feb 1985,16,200.0,12430,-50.7,NA,NA,NA,290,41,352.3,NA,352.3
00Z 18 Feb 1985,17,150.0,14240,-65.5,NA,NA,NA,285,47,357.1,NA,357.1
00Z 18 Feb 1985,18,105.0,16361,-74.5,NA,NA,NA,NA,NA,378.2,NA,378.2
00Z 19 Feb 1985,0,1008.0,9,15.2,12.9,86,9.35,NA,NA,287.7,314.0,289.3
00Z 19 Feb 1985,1,1000.0,76,14.9,-5.1,25,2.63,210,12,288.1,295.9,288.5
00Z 19 Feb 1985,2,990.0,162,-24.5,-27.8,74,0.40,214,12,249.4,250.5,249.4
00Z 19 Feb 1985,3,850.0,1456,10.4,3.4,62,5.78,270,8,297.0,314.3,298.1
00Z 19 Feb 1985,4,700.0,3050,5.6,-8.4,36,2.91,250,23,308.6,318.1,309.2
00Z 19 Feb 1985,5,500.0,5780,-1.1,-14.1,37,2.58,195,37,331.6,340.8,332.1
00Z 27 Feb 1985,0,1008.0,9,22.0,20.4,91,15.21,170,8,294.5,338.1,297.2
00Z 27 Feb 1985,1,1000.0,77,21.6,20.8,95,15.73,205,10,294.8,339.9,297.5
00Z 27 Feb 1985,2,880.0,1174,14.4,5.4,55,6.43,213,19,298.2,317.4,299.4
00Z 27 Feb 1985,3,865.0,1320,16.6,-5.4,22,2.97,214,20,302.0,311.4,302.6
00Z 27 Feb 1985,4,850.0,1468,15.4,-21.6,6,0.80,215,21,302.3,305.0,302.4
00Z 27 Feb 1985,5,700.0,3077,5.4,NA,NA,NA,270,27,308.4,NA,308.4
00Z 27 Feb 1985,6,500.0,5780,-4.7,NA,NA,NA,300,74,327.2,NA,327.2
00Z 27 Feb 1985,7,400.0,7500,-17.5,NA,NA,NA,295,49,332.2,NA,332.2
00Z 27 Feb 1985,8,300.0,9490,-34.1,NA,NA,NA,315,195,337.2,NA,337.2
00Z 27 Feb 1985,9,250.0,10730,-44.1,NA,NA,NA,NA,NA,340.4,NA,340.4
00Z 02 Feb 1986,0,1012.0,9,16.8,11.8,72,8.66,10,3,289.0,313.5,290.5
00Z 02 Feb 1986,1,1000.0,113,17.0,12.0,72,8.88,360,8,290.1,315.4,291.7
00Z 02 Feb 1986,2,985.0,242,19.4,10.4,56,8.10,353,9,293.8,317.3,295.2
00Z 02 Feb 1986,3,920.0,822,15.4,12.3,82,9.86,319,12,295.5,324.1,297.3
00Z 02 Feb 1986,4,850.0,1484,10.2,9.0,92,8.54,280,15,296.8,321.9,298.4
00Z 02 Feb 1986,5,289.0,NA,NA,NA,NA,NA,280,121
00Z 03 Feb 1986,0,1013.0,9,15.4,11.9,80,8.71,10,3,287.5,312.0,289.0
00Z 03 Feb 1986,1,1000.0,116,17.2,11.3,68,8.50,NA,NA,290.4,314.6,291.8
00Z 03 Feb 1986,2,974.0,342,21.2,10.2,49,8.08,NA,NA,296.6,320.3,298.0
00Z 03 Feb 1986,3,920.0,832,17.0,10.0,63,8.44,NA,NA,297.1,322.0,298.7
00Z 03 Feb 1986,4,800.0,2004,7.0,4.2,82,6.50,NA,NA,298.6,318.0,299.8
00Z 03 Feb 1986,5,770.0,2320,9.4,-18.6,12,1.15,NA,NA,304.5,308.3,304.7
00Z 03 Feb 1986,6,620.0,4084,0.0,-14.0,34,2.10,NA,NA,313.1,320.2,313.5
00Z 03 Feb 1986,7,170.0,13275,-61.3,NA,NA,NA,NA,NA,351.5,NA,351.5
00Z 04 Feb 1986,0,1013.0,9,13.4,10.9,85,8.14,NA,NA,285.5,308.3,286.9
00Z 04 Feb 1986,1,1000.0,123,18.0,7.0,49,6.32,360,8,291.1,309.5,292.3
00Z 04 Feb 1986,2,983.0,270,21.0,14.0,64,10.32,0,8,295.6,325.6,297.4
00Z 04 Feb 1986,3,979.1,304,20.8,13.8,64,10.19,360,8,295.7,325.3,297.5
00Z 04 Feb 1986,4,944.9,609,18.5,11.5,64,9.09,290,8,296.4,323.0,298.0
00Z 04 Feb 1986,5,920.0,837,16.8,9.8,63,8.33,290,10,296.9,321.4,298.4
00Z 04 Feb 1986,6,911.7,914,16.2,9.1,63,8.03,290,10,297.1,320.8,298.6
00Z 04 Feb 1986,7,850.0,1504,12.0,4.0,58,6.03,290,14,298.7,316.8,299.8
00Z 04 Feb 1986,8,787.2,2133,9.1,1.6,59,5.48,290,19,302.2,319.0,303.2
00Z 04 Feb 1986,9,618.0,4116,0.0,-6.0,64,3.97,NA,NA,313.4,326.3,314.2
00Z 05 Feb 1986,0,1013.0,9,15.0,13.7,92,9.81,360,0,287.1,314.6,288.8
00Z 05 Feb 1986,1,1000.0,119,19.0,15.3,79,11.05,70,8,292.1,323.7,294.1
00Z 05 Feb 1986,2,973.0,351,21.0,16.0,73,11.89,46,10,296.5,331.0,298.6
00Z 05 Feb 1986,3,920.0,825,16.4,11.4,72,9.28,358,13,296.5,323.7,298.2
00Z 05 Feb 1986,4,850.0,1506,29.0,27.3,91,27.85,290,17,316.5,405.5,321.7
00Z 05 Feb 1986,5,700.0,3114,5.6,-1.4,61,4.96,295,35,308.6,324.3,309.6
00Z 05 Feb 1986,6,609.0,4242,0.0,-7.0,59,3.73,289,38,314.7,326.9,315.4
00Z 05 Feb 1986,7,500.0,5790,-11.3,-18.3,56,1.82,280,43,319.2,325.5,319.6
00Z 05 Feb 1986,8,400.0,7470,-18.5,-25.5,54,1.21,280,68,330.9,335.3,331.1
00Z 05 Feb 1986,9,300.0,9550,-34.1,-40.1,55,0.39,265,103,337.2,338.8,337.3
00Z 05 Feb 1986,10,250.0,10800,-43.5,NA,NA,NA,265,97,341.3,NA,341.3
00Z 05 Feb 1986,11,200.0,12260,-55.3,NA,NA,NA,265,91,345.0,NA,345.0
00Z 05 Feb 1986,12,172.0,13216,-63.5,NA,NA,NA,269,87,346.7,NA,346.7
00Z 05 Feb 1986,13,166.0,13437,-63.5,NA,NA,NA,270,86,350.2,NA,350.2
00Z 05 Feb 1986,14,162.0,13589,-61.9,NA,NA,NA,270,87,355.3,NA,355.3
00Z 05 Feb 1986,15,150.0,14070,-63.3,NA,NA,NA,270,90,360.8,NA,360.8
00Z 05 Feb 1986,16,132.0,14851,-65.5,NA,NA,NA,NA,NA,370.3,NA,370.3
00Z 06 Feb 1986,0,1013.0,9,17.8,15.7,88,11.19,310,5,289.9,321.5,291.8
00Z 06 Feb 1986,1,1000.0,115,19.0,16.7,87,12.10,290,12,292.1,326.6,294.3
00Z 06 Feb 1986,2,850.0,1514,14.0,9.0,72,8.54,280,13,300.8,326.3,302.4
00Z 06 Feb 1986,3,700.0,3126,4.0,-2.0,65,4.74,290,29,306.9,321.8,307.8
00Z 06 Feb 1986,4,500.0,5790,-9.7,-16.7,57,2.08,275,43,321.1,328.4,321.6
00Z 06 Feb 1986,5,400.0,7480,-22.1,-29.1,53,0.87,265,70,326.2,329.4,326.4
00Z 06 Feb 1986,6,300.0,9560,-35.5,-43.5,44,0.27,265,84,335.2,336.3,335.3
00Z 06 Feb 1986,7,250.0,10780,-43.1,-50.1,46,0.16,260,86,341.9,342.5,341.9
00Z 06 Feb 1986,8,214.0,11797,-52.3,NA,NA,NA,260,117,343.1,NA,343.1
00Z 06 Feb 1986,9,200.0,12240,-56.3,NA,NA,NA,260,107,343.4,NA,343.4
00Z 06 Feb 1986,10,150.0,14030,-63.5,NA,NA,NA,260,68,360.5,NA,360.5
00Z 06 Feb 1986,11,134.0,14721,-64.1,NA,NA,NA,260,76,371.2,NA,371.2
00Z 07 Feb 1986,0,1013.0,9,17.0,15.0,88,10.69,10,3,289.1,319.2,290.9
00Z 07 Feb 1986,1,1000.0,121,22.0,16.0,69,11.56,360,8,295.1,328.6,297.2
00Z 07 Feb 1986,2,968.0,404,22.6,9.6,44,7.81,358,9,298.5,321.7,299.9
00Z 07 Feb 1986,3,920.0,845,18.8,8.8,52,7.78,356,12,299.0,322.1,300.4
00Z 07 Feb 1986,4,850.0,1521,15.4,5.4,51,6.66,352,15,302.3,322.5,303.5
00Z 07 Feb 1986,5,653.0,3694,-0.5,-5.5,69,3.91,339,27,308.0,320.4,308.7
00Z 07 Feb 1986,6,634.0,3930,0.0,NA,NA,NA,338,28,311.1,NA,311.1
00Z 07 Feb 1986,7,625.0,4044,1.2,NA,NA,NA,337,29,313.8,NA,313.8
00Z 07 Feb 1986,8,144.0,14404,-65.3,NA,NA,NA,265,93,361.6,NA,361.6
00Z 07 Feb 1986,9,134.0,14842,-65.1,NA,NA,NA,NA,NA,369.5,NA,369.5
00Z 09 Feb 1986,0,1015.0,9,18.0,13.9,77,9.92,360,0,289.9,318.1,291.6
00Z 09 Feb 1986,1,1000.0,139,22.4,15.4,65,11.12,20,13,295.6,327.8,297.5
00Z 09 Feb 1986,2,995.0,183,22.8,15.8,65,11.47,17,13,296.4,329.7,298.4
00Z 09 Feb 1986,3,920.0,861,19.0,12.0,64,9.66,336,8,299.2,327.7,300.9
00Z 09 Feb 1986,4,850.0,1535,14.8,2.8,44,5.54,295,4,301.6,318.5,302.6
00Z 09 Feb 1986,5,700.0,3184,5.2,-7.8,39,3.05,275,20,308.2,318.1,308.8
00Z 09 Feb 1986,6,500.0,5840,-11.5,-26.5,28,0.88,270,27,318.9,322.1,319.1
00Z 09 Feb 1986,7,400.0,7510,-23.9,-33.9,39,0.55,275,41,323.8,325.9,323.9
00Z 09 Feb 1986,8,300.0,9550,-39.3,-42.6,71,0.30,268,72,329.9,331.1,329.9
00Z 09 Feb 1986,9,214.0,NA,NA,NA,NA,NA,260,109
00Z 12 Feb 1986,0,1013.0,9,19.0,15.9,82,11.34,310,4,291.1,323.3,293.1
00Z 12 Feb 1986,1,1000.0,123,20.4,15.6,74,11.26,310,10,293.6,325.9,295.5
00Z 12 Feb 1986,2,970.0,387,21.4,10.4,49,8.22,309,12,297.1,321.4,298.6
00Z 12 Feb 1986,3,920.0,842,17.4,9.4,59,8.11,307,14,297.6,321.5,299.0
00Z 12 Feb 1986,4,895.0,1078,17.4,11.4,68,9.54,305,16,299.9,328.2,301.6
00Z 12 Feb 1986,5,635.0,3921,0.0,-4.4,72,4.37,291,34,311.0,325.0,311.8
00Z 12 Feb 1986,6,303.0,9411,-38.5,-52.1,22,0.10,260,74,330.0,330.4,330.0
00Z 12 Feb 1986,7,294.0,9634,-40.1,-54.1,21,0.08,NA,NA,330.6,331.0,330.6
00Z 12 Feb 1986,8,277.0,10043,-37.3,-53.3,17,0.10,NA,NA,340.4,340.8,340.4
00Z 12 Feb 1986,9,231.0,11282,-42.9,-58.9,16,0.06,NA,NA,350.0,350.2,350.0
00Z 13 Feb 1986,0,1013.0,9,17.0,15.2,89,10.83,360,0,289.1,319.6,291.0
00Z 13 Feb 1986,1,1008.0,51,15.6,13.6,88,9.80,350,2,288.1,315.7,289.8
00Z 13 Feb 1986,2,1000.0,120,18.8,17.4,92,12.66,335,6,291.9,327.9,294.2
00Z 13 Feb 1986,3,990.0,207,19.8,17.4,86,12.79,333,7,293.8,330.5,296.1
00Z 13 Feb 1986,4,920.0,836,15.6,12.4,81,9.92,320,10,295.7,324.6,297.5
00Z 13 Feb 1986,5,850.0,1505,12.8,3.8,54,5.95,305,14,299.5,317.5,300.6
00Z 13 Feb 1986,6,700.0,3148,3.0,-4.0,60,4.08,305,27,305.8,318.6,306.5
00Z 13 Feb 1986,7,500.0,5790,-16.5,-21.5,65,1.38,285,32,312.9,317.6,313.1
00Z 13 Feb 1986,8,400.0,7430,-25.5,-28.0,80,0.96,280,51,321.8,325.2,321.9
00Z 13 Feb 1986,9,300.0,9490,-32.5,-40.5,45,0.37,275,86,339.4,341.0,339.5
00Z 13 Feb 1986,10,280.0,9967,-35.5,-43.1,46,0.30,270,95,341.9,343.1,341.9
00Z 13 Feb 1986,11,250.0,10750,-40.5,-47.5,47,0.21,270,76,345.7,346.6,345.8
00Z 13 Feb 1986,12,200.0,12250,-49.1,NA,NA,NA,265,83,354.9,NA,354.9
00Z 13 Feb 1986,13,150.0,14070,-64.1,NA,NA,NA,265,78,359.5,NA,359.5
00Z 14 Feb 1986,0,1013.0,9,18.8,16.3,85,11.64,NA,NA,290.9,323.9,292.9
