Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 03 Mar 1985,0,1006.0,9,23.0,21.5,91,16.34,200,7,295.6,342.8,298.5
00Z 03 Mar 1985,1,1000.0,58,22.6,22.2,98,17.17,210,10,295.8,345.3,298.8
00Z 03 Mar 1985,2,850.0,1461,17.4,-10.6,14,2.02,225,10,304.4,310.9,304.7
00Z 03 Mar 1985,3,700.0,3072,5.2,NA,NA,NA,270,13,308.2,NA,308.2
00Z 03 Mar 1985,4,500.0,5790,-4.3,NA,NA,NA,290,43,327.7,NA,327.7
00Z 03 Mar 1985,5,400.0,7500,-18.7,NA,NA,NA,285,35,330.6,NA,330.6
00Z 03 Mar 1985,6,300.0,9570,-35.9,NA,NA,NA,290,53,334.7,NA,334.7
00Z 03 Mar 1985,7,250.0,10820,-41.3,NA,NA,NA,270,72,344.5,NA,344.5
00Z 04 Mar 1985,0,1008.0,9,23.2,21.8,92,16.61,210,9,295.7,343.6,298.6
00Z 04 Mar 1985,1,1000.0,78,22.2,21.0,93,15.93,190,12,295.4,341.2,298.2
00Z 04 Mar 1985,2,850.0,1485,18.0,NA,NA,NA,240,13,305.0,NA,305.0
00Z 04 Mar 1985,3,700.0,3105,6.6,NA,NA,NA,275,21,309.8,NA,309.8
00Z 04 Mar 1985,4,500.0,5820,-4.9,NA,NA,NA,310,55,327.0,NA,327.0
00Z 04 Mar 1985,5,400.0,7530,-17.9,NA,NA,NA,310,56,331.6,NA,331.6
00Z 04 Mar 1985,6,300.0,9600,-37.9,NA,NA,NA,310,53,331.8,NA,331.8
00Z 04 Mar 1985,7,250.0,10630,-45.5,NA,NA,NA,315,62,338.3,NA,338.3
00Z 04 Mar 1985,8,202.0,12226,-51.4,NA,NA,NA,280,70,350.2,NA,350.2
00Z 04 Mar 1985,9,200.0,12300,-51.7,NA,NA,NA,280,66,350.7,NA,350.7
00Z 04 Mar 1985,10,150.0,14110,-64.5,NA,NA,NA,NA,NA,358.8,NA,358.8
00Z 06 Mar 1985,0,1009.0,9,23.4,22.4,94,17.23,160,7,295.8,345.5,298.8
00Z 06 Mar 1985,1,1000.0,-385,-23.0,-24.0,91,0.55,150,7,250.2,251.7,250.2
00Z 06 Mar 1985,2,958.0,81,20.6,20.1,97,15.72,163,10,297.4,343.0,300.2
00Z 06 Mar 1985,3,940.0,306,25.0,20.0,74,15.92,169,12,303.5,351.0,306.4
00Z 06 Mar 1985,4,900.0,824,23.0,17.0,69,13.73,182,15,305.2,346.5,307.7
00Z 06 Mar 1985,5,850.0,1497,19.0,15.0,78,12.77,200,19,306.0,344.6,308.4
