Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Apr 1985,0,1010.0,9,25.4,23.4,89,18.32,170,7,297.7,351.0,301.0
00Z 01 Apr 1985,1,1000.0,93,25.2,24.4,95,19.69,190,10,298.4,355.9,301.9
00Z 01 Apr 1985,2,976.0,308,28.6,22.6,70,18.05,196,10,303.9,357.8,307.1
00Z 01 Apr 1985,3,900.0,1024,23.0,17.0,69,13.73,216,12,305.2,346.5,307.7
00Z 01 Apr 1985,4,850.0,1519,19.4,10.4,56,9.40,230,13,306.4,335.1,308.2
00Z 01 Apr 1985,5,700.0,3156,7.2,0.2,61,5.58,255,15,310.4,328.0,311.5
00Z 01 Apr 1985,6,500.0,5840,-1.5,-9.5,54,3.74,250,19,331.1,344.2,331.9
00Z 01 Apr 1985,7,400.0,7540,-18.7,-26.7,49,1.08,250,25,330.6,334.6,330.8
00Z 01 Apr 1985,8,300.0,9610,-34.5,-41.5,49,0.34,250,43,336.6,338.0,336.7
00Z 01 Apr 1985,9,250.0,10860,-44.1,-52.1,41,0.12,250,55,340.4,340.9,340.4
00Z 01 Apr 1985,10,200.0,12320,-54.5,NA,NA,NA,250,90,346.3,NA,346.3
00Z 01 Apr 1985,11,182.0,12913,-56.7,NA,NA,NA,240,97,352.1,NA,352.1
00Z 01 Apr 1985,12,150.0,14130,-61.3,NA,NA,NA,240,82,364.3,NA,364.3
00Z 02 Apr 1985,0,1010.0,9,26.0,23.7,87,18.67,210,5,298.3,352.8,301.6
00Z 02 Apr 1985,1,1000.0,92,25.4,24.6,95,19.94,215,10,298.6,356.9,302.1
00Z 02 Apr 1985,2,976.1,304,24.8,22.5,87,17.96,215,12,300.1,352.9,303.3
00Z 02 Apr 1985,3,942.8,609,24.0,19.5,76,15.40,260,12,302.2,347.9,305.0
00Z 02 Apr 1985,4,910.6,914,23.2,16.5,66,13.16,260,17,304.4,343.9,306.8
00Z 02 Apr 1985,5,850.0,1518,21.6,10.6,50,9.53,260,10,308.8,338.1,310.5
00Z 02 Apr 1985,6,700.0,3175,8.2,4.1,75,7.39,280,21,311.5,334.7,312.9
00Z 02 Apr 1985,7,500.0,5870,-6.9,-13.9,57,2.63,260,31,324.6,333.6,325.1
00Z 02 Apr 1985,8,400.0,7570,-18.1,-26.1,50,1.14,260,43,331.4,335.6,331.6
00Z 02 Apr 1985,9,397.2,7620,-18.5,-26.4,50,1.12,255,62,331.6,335.7,331.8
00Z 02 Apr 1985,10,300.0,9650,-33.1,-40.1,49,0.39,255,59,338.6,340.2,338.7
00Z 02 Apr 1985,11,250.0,10910,-42.3,NA,NA,NA,255,66,343.0,NA,343.0
00Z 02 Apr 1985,12,214.0,11937,-49.7,NA,NA,NA,255,74,347.1,NA,347.1
00Z 02 Apr 1985,13,200.0,12384,-52.9,NA,NA,NA,265,70,348.8,NA,348.8
00Z 02 Apr 1985,14,189.0,12746,-55.9,NA,NA,NA,NA,NA,349.7,NA,349.7
00Z 03 Apr 1985,0,1007.0,9,25.6,24.6,94,19.80,150,7,298.2,355.9,301.7
00Z 03 Apr 1985,1,1000.0,72,25.2,24.2,94,19.45,145,6,298.4,355.2,301.8
00Z 03 Apr 1985,2,974.0,304,23.6,22.9,96,18.43,163,7,299.0,352.9,302.3
00Z 03 Apr 1985,3,953.0,497,25.6,23.7,89,19.81,178,8,302.9,361.9,306.5
00Z 03 Apr 1985,4,900.0,1000,23.4,12.4,50,10.15,216,10,305.6,336.4,307.5
00Z 03 Apr 1985,5,850.0,1497,21.0,4.0,33,6.03,255,12,308.1,327.0,309.2
00Z 03 Apr 1985,6,700.0,3137,8.0,3.3,72,6.98,280,21,311.3,333.2,312.6
00Z 03 Apr 1985,7,628.0,4025,1.0,-9.0,47,3.10,274,23,313.1,323.3,313.7
00Z 03 Apr 1985,8,573.0,4762,0.0,NA,NA,NA,268,24,320.3,NA,320.3
00Z 03 Apr 1985,9,500.0,5840,-7.5,NA,NA,NA,260,26,323.8,NA,323.8
00Z 03 Apr 1985,10,400.0,7540,-13.3,NA,NA,NA,254,41,337.6,NA,337.6
00Z 03 Apr 1985,11,240.0,11135,-43.0,NA,NA,NA,240,75,346.0,NA,346.0
00Z 03 Apr 1985,12,204.0,12279,-52.5,NA,NA,NA,NA,NA,347.5,NA,347.5
00Z 03 Apr 1985,13,200.0,12407,-52.5,NA,NA,NA,NA,NA,349.5,NA,349.5
00Z 03 Apr 1985,14,193.0,12636,-54.7,NA,NA,NA,NA,NA,349.5,NA,349.5
00Z 04 Apr 1985,0,1007.0,9,24.0,22.5,91,17.37,200,5,296.6,346.9,299.6
00Z 04 Apr 1985,1,1000.0,65,23.0,22.2,95,17.17,215,12,296.1,345.8,299.2
00Z 04 Apr 1985,2,990.0,154,23.0,21.9,94,17.03,220,12,297.0,346.4,300.0
00Z 04 Apr 1985,3,970.0,335,23.0,20.0,83,15.42,229,12,298.7,343.8,301.5
00Z 04 Apr 1985,4,850.0,1498,21.2,15.2,69,12.94,290,13,308.3,347.8,310.7
00Z 04 Apr 1985,5,700.0,3145,9.4,-5.6,34,3.62,290,27,312.9,324.6,313.6
00Z 04 Apr 1985,6,500.0,5850,-7.3,-28.3,17,0.75,235,22,324.1,326.9,324.2
00Z 04 Apr 1985,7,400.0,7550,-20.5,-32.5,33,0.63,235,26,328.3,330.6,328.4
00Z 04 Apr 1985,8,300.0,9620,-34.3,-45.3,32,0.22,240,62,336.9,337.8,337.0
00Z 04 Apr 1985,9,250.0,10880,-40.1,-53.1,24,0.11,240,76,346.3,346.8,346.3
00Z 04 Apr 1985,10,206.0,12173,-48.4,NA,NA,NA,240,80,352.9,NA,352.9
00Z 04 Apr 1985,11,200.0,12370,-49.7,NA,NA,NA,NA,NA,353.9,NA,353.9
00Z 06 Apr 1985,0,1008.0,9,25.0,22.4,86,17.25,270,3,297.5,347.6,300.5
00Z 06 Apr 1985,1,1000.0,76,25.4,20.4,74,15.33,265,12,298.6,343.4,301.3
00Z 06 Apr 1985,2,972.0,326,25.4,24.4,94,20.28,265,13,301.0,360.9,304.6
00Z 06 Apr 1985,3,900.0,1001,24.2,7.2,34,7.12,265,14,306.4,328.4,307.8
00Z 06 Apr 1985,4,850.0,1495,20.4,-5.6,17,2.98,265,15,307.5,317.1,308.1
00Z 06 Apr 1985,5,700.0,3134,7.0,-4.0,45,4.08,265,12,310.2,323.3,311.0
00Z 06 Apr 1985,6,500.0,5810,-9.1,-27.8,20,0.79,260,29,321.9,324.8,322.0
