Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 01 Apr 1985, VGTJ, 41923, 850401/0000, 23.76, 90.37, 9.0, 7.48, -0.44, -0.99, 169.79, 24.30, 11.90, 20.90, 32.80, 2386.02, 2613.79, -65.81, -42.74, 172.70, 172.52, 836.88, 868.83, 187.80, 205.73, 295.08, 925.52, 301.71, 18.32, 5747.00, 49.03
 00Z 02 Apr 1985, VGTJ, 41923, 850402/0000, 23.76, 90.37, 9.0, 0.80, -4.96, -5.63, 178.21, 35.00, 17.50, 28.50, 46.00, 1917.50, 2090.46, -129.48, -79.46, 771.27, 794.63, 85.10, 92.77, 295.48, 951.33, 299.74, 18.27, 5778.00, 49.80
 00Z 03 Apr 1985, VGTJ, 41923, 850403/0000, 23.76, 90.37, 9.0, 5.31, -6.36, -7.53, 98.00, 27.80, 11.50, 28.50, 40.00, 1776.36, 2071.99, -98.34, -42.77, 796.06, 842.89, 42.25, 49.28, 296.45, 964.13, 299.58, 19.11, 5768.00, 36.39
 00Z 04 Apr 1985, VGTJ, 41923, 850404/0000, 23.76, 90.37, 9.0, -3.45, -2.40, -3.14, 270.40, 28.70, 22.50, 28.50, 51.00, 761.85, 913.16, -259.11, -210.34, 267.66, 267.57, 678.02, 721.04, 38.32, 45.93, 293.51, 948.64, 297.99, 16.17, 5785.00, 41.97
 00Z 06 Apr 1985, VGTJ, 41923, 850406/0000, 23.76, 90.37, 9.0, 9.00, -6.59, -7.51, 58.99, 12.90, 3.50, 29.50, 33.00, 2157.72, 2424.26, -135.26, -60.77, 214.45, 214.60, 790.17, 844.05, 723.50, 812.87, 294.53, 935.48, 300.21, 17.61, 5734.00, 30.21
 00Z 10 Apr 1985, VGTJ, 41923, 850410/0000, 23.76, 90.37, 9.0, 1.27, -3.46, -4.60, 335.19, 33.70, 16.30, 28.30, 44.60, 1586.95, 1868.38, -164.01, -4.04, 747.31, 913.83, 24.94, 29.37, 295.49, 942.85, 300.53, 18.43, 5773.00, 37.06
 00Z 11 Apr 1985, VGTJ, 41923, 850411/0000, 23.76, 90.37, 9.0, 0.13, -3.33, -4.59, 267.00, 19.50, 23.50, 43.00, 1889.20, 2321.47, -28.11, -13.44, 824.86, 864.70, 3.33, 4.09, 296.31, 942.98, 301.36, 19.43, 5821.00, 26.35
 00Z 24 Apr 1985, VGTJ, 41923, 850424/0000, 23.76, 90.37, 9.0, 2.77, -6.28, -7.38, 240.78, 13.90, 11.70, 32.70, 44.40, 2356.33, 2648.00, -311.23, -177.73, 141.94, 141.03, 730.82, 764.94, 42.67, 47.95, 296.03, 936.16, 301.68, 19.20, 5811.00, 27.50
 00Z 25 Apr 1985, VGTJ, 41923, 850425/0000, 23.76, 90.37, 9.0, -6.93, -9.20, -9.97, 449.40, 40.90, 23.70, 35.70, 59.40, 2052.96, 2252.70, -269.32, -204.19, 151.38, 151.13, 711.52, 732.24, 30.65, 33.64, 296.21, 942.66, 301.27, 19.30, 5804.00, 51.64
 00Z 26 Apr 1985, VGTJ, 41923, 850426/0000, 23.76, 90.37, 9.0, -3.73, -7.35, -8.24, 438.55, 34.70, 21.30, 33.30, 54.60, 1265.15, 1458.69, -265.21, -206.56, 225.12, 226.39, 701.70, 727.27, 40.49, 46.69, 295.36, 958.53, 299.00, 19.97, 5570.00, 45.89
