Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 02 May 1985,0,1002.0,9,24.0,22.8,93,17.79,150,6,297.0,348.6,300.1
00Z 02 May 1985,1,1000.0,23,21.4,20.7,96,15.63,130,8,294.6,339.4,297.3
00Z 02 May 1985,2,980.0,199,22.6,22.1,97,17.42,139,9,297.5,348.1,300.6
00Z 02 May 1985,3,915.0,800,23.8,21.5,87,18.00,168,10,304.6,358.6,307.9
00Z 02 May 1985,4,850.0,1439,17.2,15.6,90,13.29,200,12,304.1,343.9,306.6
00Z 02 May 1985,5,700.0,3078,10.4,2.4,58,6.54,295,29,314.0,334.8,315.2
00Z 02 May 1985,6,500.0,5800,-7.3,-21.3,32,1.40,295,39,324.1,329.1,324.4
00Z 02 May 1985,7,400.0,7500,-18.9,-31.9,31,0.66,295,35,330.3,332.9,330.5
00Z 02 May 1985,8,150.0,NA,NA,NA,NA,NA,265,70
00Z 03 May 1985,0,1003.0,9,22.4,19.7,85,14.62,150,5,295.3,337.4,297.9
00Z 03 May 1985,1,1000.0,33,22.2,20.0,87,14.95,120,8,295.4,338.4,298.0
00Z 03 May 1985,2,997.0,59,21.8,18.7,83,13.80,121,8,295.2,335.0,297.6
00Z 03 May 1985,3,983.0,183,24.4,20.8,80,16.00,128,8,299.0,345.9,301.9
00Z 03 May 1985,4,850.0,1453,19.6,12.6,64,10.90,195,8,306.7,339.8,308.7
00Z 03 May 1985,5,700.0,3097,10.4,4.4,66,7.55,230,19,314.0,337.8,315.4
00Z 03 May 1985,6,605.0,4292,0.0,-4.0,74,4.73,252,29,315.3,330.6,316.2
00Z 03 May 1985,7,500.0,5780,-14.9,-25.9,39,0.93,280,43,314.8,318.1,315.0
00Z 03 May 1985,8,468.0,6276,-13.3,-25.3,36,1.05,280,41,322.8,326.6,323.0
00Z 03 May 1985,9,400.0,7440,-20.7,-31.7,37,0.68,280,37,328.0,330.6,328.1
00Z 03 May 1985,10,300.0,9510,-36.1,-46.1,35,0.20,260,33,334.4,335.2,334.4
00Z 03 May 1985,11,250.0,10750,-44.5,NA,NA,NA,NA,NA,339.8,NA,339.8
00Z 03 May 1985,12,245.0,10886,-43.5,NA,NA,NA,NA,NA,343.2,NA,343.2
00Z 04 May 1985,0,1002.0,9,24.6,23.4,93,18.47,90,5,297.6,351.3,300.9
00Z 04 May 1985,1,1000.0,2,24.4,23.4,94,18.51,100,4,297.6,351.4,300.8
00Z 04 May 1985,2,996.0,38,23.8,23.2,96,18.36,100,4,297.3,350.6,300.6
00Z 04 May 1985,3,986.0,128,24.4,23.3,94,18.66,100,5,298.8,353.3,302.1
00Z 04 May 1985,4,966.7,304,23.1,21.6,91,17.15,100,6,299.1,349.4,302.2
00Z 04 May 1985,5,934.1,609,20.9,18.7,88,14.78,195,4,299.8,343.2,302.4
00Z 04 May 1985,6,925.0,696,20.2,17.9,87,14.15,195,4,300.0,341.6,302.5
00Z 04 May 1985,7,910.0,841,24.0,16.0,61,12.72,195,4,305.3,343.6,307.6
00Z 04 May 1985,8,902.6,914,23.7,15.6,60,12.47,195,4,305.7,343.3,307.9
00Z 04 May 1985,9,850.0,1447,21.4,12.4,56,10.75,255,12,308.6,341.5,310.5
00Z 05 May 1985,0,1006.0,9,21.6,20.7,95,15.53,360,12,294.2,338.8,297.0
00Z 05 May 1985,1,1000.0,58,21.0,19.5,91,14.48,350,15,294.1,335.7,296.7
00Z 05 May 1985,2,978.0,252,21.6,19.2,86,14.53,352,16,296.6,338.8,299.2
00Z 05 May 1985,3,920.0,784,19.0,16.2,84,12.75,358,19,299.2,336.6,301.5
00Z 05 May 1985,4,850.0,1463,13.8,13.4,97,11.49,5,23,300.6,334.6,302.7
00Z 05 May 1985,5,700.0,3068,4.0,4.0,100,7.33,305,27,306.9,329.4,308.2
00Z 06 May 1985,0,1006.0,9,22.8,21.7,94,16.54,150,8,295.4,343.1,298.4
00Z 06 May 1985,1,1000.0,61,22.4,21.5,95,16.44,150,8,295.6,342.9,298.4
00Z 06 May 1985,2,997.0,89,21.8,21.2,96,16.18,151,8,295.2,341.8,298.1
00Z 06 May 1985,3,970.0,346,24.0,24.0,100,19.82,160,10,299.8,358.0,303.3
00Z 06 May 1985,4,920.0,803,-22.3,-25.6,74,0.52,178,13,256.9,258.4,257.0
00Z 06 May 1985,5,850.0,1479,20.6,9.6,49,8.90,205,17,307.7,335.0,309.4
00Z 06 May 1985,6,700.0,3130,9.4,-0.6,50,5.26,280,23,312.9,329.7,313.9
00Z 06 May 1985,7,500.0,5810,-8.5,-17.5,48,1.95,280,29,322.6,329.4,323.0
00Z 06 May 1985,8,400.0,7500,-21.1,-36.1,25,0.44,265,29,327.5,329.2,327.6
00Z 06 May 1985,9,300.0,9550,-36.9,-49.9,25,0.13,265,47,333.2,333.8,333.3
00Z 06 May 1985,10,250.0,10790,-46.1,NA,NA,NA,250,51,337.4,NA,337.4
00Z 06 May 1985,11,212.0,11876,-50.1,NA,NA,NA,245,64,347.4,NA,347.4
00Z 06 May 1985,12,200.0,12260,-51.5,NA,NA,NA,NA,NA,351.1,NA,351.1
00Z 07 May 1985,0,1009.0,9,21.4,19.2,87,14.08,350,3,293.8,334.1,296.3
00Z 07 May 1985,1,1000.0,86,21.2,18.8,86,13.85,5,4,294.4,334.1,296.8
00Z 07 May 1985,2,975.4,304,21.1,18.7,86,14.14,5,8,296.4,337.3,298.9
00Z 07 May 1985,3,941.9,609,21.0,18.6,86,14.56,240,12,299.2,341.9,301.9
00Z 07 May 1985,4,932.0,702,21.0,18.6,86,14.69,251,12,300.1,343.3,302.8
00Z 07 May 1985,5,909.6,914,20.7,16.3,76,12.96,275,12,301.9,340.4,304.2
00Z 07 May 1985,6,850.0,1504,19.8,9.8,52,9.02,225,17,306.9,334.5,308.5
00Z 07 May 1985,7,789.1,2133,16.1,7.3,56,8.18,275,18,309.5,334.9,311.1
00Z 07 May 1985,8,700.0,3148,10.2,3.2,62,6.93,295,21,313.8,335.7,315.1
00Z 07 May 1985,9,500.0,5840,-8.7,-13.6,68,2.69,295,3,322.4,331.6,322.9
00Z 07 May 1985,10,483.5,6096,-10.1,-15.6,64,2.37,295,29,323.8,332.0,324.3
00Z 07 May 1985,11,400.0,7540,-17.7,-26.7,45,1.08,250,39,331.9,335.9,332.1
00Z 07 May 1985,12,300.0,9630,-32.3,-40.3,45,0.38,250,41,339.7,341.3,339.8
00Z 07 May 1985,13,237.0,11229,-41.0,NA,NA,NA,220,64,350.2,NA,350.2
00Z 07 May 1985,14,200.0,12380,-47.3,NA,NA,NA,NA,NA,357.7,NA,357.7
00Z 08 May 1985,0,1008.0,9,24.0,20.8,82,15.60,90,6,296.5,341.6,299.2
00Z 08 May 1985,1,1000.0,81,23.8,19.2,75,14.21,80,12,296.9,338.2,299.5
00Z 08 May 1985,2,975.0,304,23.4,18.1,72,13.57,80,15,298.7,338.4,301.1
00Z 08 May 1985,3,941.7,609,22.8,16.5,68,12.73,115,15,301.0,338.7,303.3
00Z 08 May 1985,4,909.6,914,22.2,15.0,64,11.93,130,15,303.4,339.1,305.6
00Z 08 May 1985,5,850.0,1510,21.0,12.0,56,10.47,130,13,308.1,340.2,310.1
00Z 08 May 1985,6,789.9,2133,16.4,8.5,60,8.91,130,12,309.7,337.3,311.4
00Z 08 May 1985,7,700.0,3158,8.8,2.8,66,6.73,160,10,312.2,333.4,313.5
00Z 08 May 1985,8,500.0,5840,-9.3,-20.3,40,1.53,235,8,321.6,327.0,321.9
00Z 08 May 1985,9,483.4,6096,-11.1,-21.2,43,1.47,235,8,322.6,327.8,322.9
00Z 08 May 1985,10,400.0,7530,-21.1,-26.1,64,1.14,260,8,327.5,331.7,327.7
00Z 08 May 1985,11,300.0,9580,-35.7,-44.7,39,0.24,275,6,334.9,335.9,335.0
00Z 09 May 1985,0,1008.0,9,25.4,23.4,89,18.36,NA,NA,297.9,351.4,301.1
00Z 09 May 1985,1,1000.0,76,25.4,23.4,89,18.48,NA,NA,298.6,352.5,301.8
00Z 09 May 1985,2,980.0,254,25.4,23.3,88,18.78,NA,NA,300.3,355.6,303.6
00Z 09 May 1985,3,974.4,304,25.2,22.9,87,18.44,180,12,300.6,354.9,303.9
00Z 09 May 1985,4,941.1,609,23.9,20.6,82,16.49,195,12,302.2,351.2,305.2
00Z 09 May 1985,5,908.9,914,22.6,18.2,76,14.71,195,8,303.9,347.9,306.6
00Z 09 May 1985,6,890.0,1098,21.8,16.8,73,13.71,NA,NA,304.9,346.1,307.4
00Z 14 May 1985,0,1004.0,9,26.2,25.4,95,20.86,NA,NA,299.0,360.2,302.7
00Z 14 May 1985,1,1000.0,41,26.2,25.4,95,20.95,150,8,299.4,360.9,303.1
00Z 14 May 1985,2,970.5,304,24.8,22.8,89,18.41,150,13,300.5,354.7,303.8
00Z 14 May 1985,3,905.3,914,21.4,16.8,75,13.50,195,15,303.1,343.3,305.5
00Z 14 May 1985,4,850.0,1467,18.4,11.4,64,10.05,195,10,305.4,335.9,307.2
00Z 14 May 1985,5,785.9,2133,15.8,8.0,60,8.64,250,8,309.6,336.3,311.2
00Z 14 May 1985,6,700.0,3116,12.0,3.0,54,6.83,305,25,315.7,337.6,317.0
00Z 14 May 1985,7,500.0,5840,-5.3,-26.3,17,0.90,305,29,326.5,329.8,326.7
00Z 14 May 1985,8,483.6,6096,-6.9,-26.9,19,0.88,305,29,327.6,330.9,327.8
00Z 14 May 1985,9,400.0,7550,-16.1,-30.1,29,0.79,305,28,334.0,337.0,334.1
00Z 14 May 1985,10,396.2,7620,-16.5,NA,NA,NA,270,27,334.4,NA,334.4
