Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 02 May 1985, VGTJ, 41923, 850502/0000, 23.76, 90.37, 9.0, -1.98, -3.48, -4.20, 250.21, 32.10, 22.90, 24.50, 47.40, 432.93, 559.89, -91.52, -76.90, 675.43, 852.13, 5.63, 7.29, 294.69, 962.09, 297.99, 17.17, 5777.00, 50.14
 00Z 03 May 1985, VGTJ, 41923, 850503/0000, 23.76, 90.37, 9.0, -7.91, -9.15, -9.82, 470.21, 41.10, 27.50, 34.50, 62.00, 1143.66, 1239.22, -284.56, -243.80, 247.47, 247.38, 657.31, 665.89, 22.58, 24.46, 292.00, 923.28, 298.76, 15.11, 5747.00, 45.72
 00Z 04 May 1985, VGTJ, 41923, 850504/0000, 23.76, 90.37, 9.0, -11.74, -12.59, 0.12, 2.39, -0.36, 0.00, 923.74, 922.00, 936.24, 945.10, 294.83, 954.59, 298.78, 17.47, 22.43
 00Z 05 May 1985, VGTJ, 41923, 850505/0000, 23.76, 90.37, 9.0, -7.03, -7.57, 100.15, 113.30, -28.41, -24.49, 869.18, 873.78, 291.63, 947.26, 296.20, 14.35, 35.29
 00Z 06 May 1985, VGTJ, 41923, 850506/0000, 23.76, 90.37, 9.0, 0.51, -1.26, -1.66, 323.94, 28.70, 18.10, 29.10, 47.20, 1185.01, 1314.34, 0.00, 0.00, 246.88, 246.86, 965.08, 964.53, 24.69, 27.39, 292.95, 971.73, 295.37, 16.09, 5749.00, 34.70
 00Z 07 May 1985, VGTJ, 41923, 850507/0000, 23.76, 90.37, 9.0, 0.57, -0.41, -0.64, 154.59, 31.30, 18.50, 28.50, 47.00, 5.44, 13.33, -540.30, -488.89, 475.87, 468.39, 522.57, 526.84, 0.34, 0.83, 291.36, 946.92, 295.95, 14.11, 5754.00, 45.66
 00Z 08 May 1985, VGTJ, 41923, 850508/0000, 23.76, 90.37, 9.0, -2.48, -1.80, -2.26, 229.99, 36.30, 21.30, 30.30, 51.60, 339.26, 399.23, -413.97, -367.59, 608.92, 618.05, 20.73, 24.39, 290.36, 909.87, 298.32, 13.79, 5759.00, 43.66
 00Z 09 May 1985, VGTJ, 41923, 850509/0000, 23.76, 90.37, 9.0, -7.50, -8.36, 0.00, 0.00, 0.00, 0.00, 295.43, 947.57, 300.03, 18.25, 20.16
 00Z 14 May 1985, VGTJ, 41923, 850514/0000, 23.76, 90.37, 9.0, 3.35, -4.18, -5.20, 185.81, 26.10, 16.70, 23.70, 40.40, 1330.60, 1614.40, -8.89, -1.90, 151.89, 151.61, 885.91, 924.82, 21.32, 25.87, 296.01, 951.50, 300.26, 18.90, 5799.00, 45.65
 00Z 17 May 1985, VGTJ, 41923, 850517/0000, 23.76, 90.37, 9.0, -4.79, -5.87, 153.65, 244.60, -219.52, -136.03, 735.68, 771.33, 295.68, 931.95, 301.72, 18.86, 37.19
 00Z 19 May 1985, VGTJ, 41923, 850519/0000, 23.76, 90.37, 9.0, 11.91, -3.34, -4.48, 26.98, -2.50, 28.50, 26.00, 799.93, 1076.40, -305.38, -131.05, 185.26, 184.16, 687.58, 685.69, 188.60, 253.78, 294.39, 912.18, 302.25, 17.94, 5776.00, 19.84
 00Z 21 May 1985, VGTJ, 41923, 850521/0000, 23.76, 90.37, 9.0, 3.92, -2.54, -3.68, 200.80, 16.80, 21.30, 38.10, 1170.49, 1581.18, -7.35, -2.69, 902.59, 918.75, 168.86, 228.11, 295.47, 941.11, 300.67, 18.53, 5772.00, 24.04
 00Z 23 May 1985, VGTJ, 41923, 850523/0000, 23.76, 90.37, 9.0, 1.41, -5.04, -5.51, 174.60, 30.90, 18.10, 25.10, 43.20, 1726.47, 1934.67, -26.09, -8.86, 148.74, 148.59, 837.89, 888.75, 414.33, 464.29, 296.35, 945.60, 301.14, 19.40, 5788.00, 55.37
