Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Jun 1985,0,1001.0,9,28.0,25.5,86,21.05,170,6,301.1,363.4,304.8
00Z 01 Jun 1985,1,1000.0,18,28.0,25.5,86,21.08,175,10,301.1,363.6,304.9
00Z 01 Jun 1985,2,920.0,756,22.8,21.1,90,17.45,185,13,303.1,355.1,306.2
00Z 01 Jun 1985,3,850.0,1443,18.8,14.4,76,12.28,195,15,305.8,342.9,308.1
00Z 01 Jun 1985,4,813.0,1826,19.0,10.0,56,9.57,211,15,309.9,339.5,311.7
00Z 01 Jun 1985,5,700.0,3098,11.8,7.5,75,9.38,265,15,315.5,345.2,317.3
00Z 01 Jun 1985,6,558.0,4957,0.0,-3.0,80,5.53,265,20,322.7,341.0,323.8
00Z 01 Jun 1985,7,500.0,5830,-3.5,-11.5,54,3.19,265,22,328.7,339.8,329.3
00Z 01 Jun 1985,8,400.0,7560,-12.5,-36.5,12,0.42,267,22,338.6,340.4,338.7
00Z 01 Jun 1985,9,300.0,9670,-28.3,-48.3,13,0.16,270,23,345.4,346.1,345.4
00Z 01 Jun 1985,10,250.0,10970,-37.5,-47.5,34,0.21,270,10,350.2,351.1,350.2
00Z 01 Jun 1985,11,200.0,12460,-52.3,NA,NA,NA,270,8,349.8,NA,349.8
00Z 01 Jun 1985,12,150.0,14260,-65.5,NA,NA,NA,270,10,357.1,NA,357.1
00Z 01 Jun 1985,13,103.0,16462,-80.5,NA,NA,NA,NA,NA,368.8,NA,368.8
00Z 02 Jun 1985,0,1001.0,9,27.0,24.4,86,19.67,180,6,300.1,358.0,303.6
00Z 02 Jun 1985,1,1000.0,9,27.0,24.4,86,19.69,180,6,300.1,358.1,303.7
00Z 02 Jun 1985,2,920.0,746,22.6,21.3,92,17.68,180,7,302.9,355.5,306.1
00Z 02 Jun 1985,3,850.0,1435,19.6,17.5,88,15.04,180,7,306.7,352.1,309.4
00Z 02 Jun 1985,4,700.0,3087,10.4,8.6,89,10.12,180,27,314.0,345.7,315.9
00Z 02 Jun 1985,5,500.0,5820,-2.1,-10.1,54,3.57,265,28,330.4,342.8,331.1
00Z 02 Jun 1985,6,400.0,7550,-13.7,-24.7,39,1.30,270,27,337.1,342.0,337.4
00Z 02 Jun 1985,7,300.0,9670,-28.3,-43.3,22,0.28,270,15,345.4,346.6,345.4
00Z 02 Jun 1985,8,250.0,10960,-36.9,-43.9,48,0.31,250,22,351.1,352.4,351.1
00Z 02 Jun 1985,9,200.0,12470,-49.7,NA,NA,NA,250,25,353.9,NA,353.9
00Z 03 Jun 1985,0,1000.0,-5
00Z 03 Jun 1985,1,998.0,9,27.8,25.8,89,21.51,180,8,301.1,364.9,305.0
00Z 03 Jun 1985,2,850.0,1425,21.8,17.3,76,14.84,210,13,309.0,354.3,311.7
00Z 03 Jun 1985,3,700.0,3093,10.4,8.1,86,9.77,250,18,314.0,344.6,315.8
00Z 03 Jun 1985,4,500.0,5850,-1.7,-13.7,39,2.67,275,20,330.9,340.4,331.4
00Z 03 Jun 1985,5,400.0,7600,-10.7,-28.7,21,0.90,275,13,341.0,344.5,341.2
00Z 03 Jun 1985,6,300.0,9740,-28.1,-44.1,20,0.26,255,17,345.7,346.7,345.7
00Z 03 Jun 1985,7,250.0,11020,-37.7,-44.7,48,0.29,255,15,349.9,351.1,349.9
00Z 03 Jun 1985,8,200.0,12520,-49.5,NA,NA,NA,270,13,354.2,NA,354.2
00Z 03 Jun 1985,9,150.0,14330,-66.1,NA,NA,NA,270,8,356.0,NA,356.0
00Z 03 Jun 1985,10,100.0,16680,-83.7,NA,NA,NA,NA,NA,365.8,NA,365.8
00Z 05 Jun 1985,0,1001.0,9,28.0,26.5,92,22.39,140,20,301.1,367.4,305.1
00Z 05 Jun 1985,1,1000.0,12,28.2,26.7,92,22.68,140,22,301.4,368.7,305.4
00Z 05 Jun 1985,2,920.0,751,24.4,22.7,90,19.30,150,17,304.7,362.7,308.2
00Z 05 Jun 1985,3,850.0,1442,20.0,17.4,85,14.94,160,12,307.1,352.3,309.8
00Z 05 Jun 1985,4,700.0,3086,12.2,5.2,62,7.98,95,20,316.0,341.4,317.5
00Z 05 Jun 1985,5,500.0,5820,-4.5,-8.6,73,4.02,158,25,327.5,341.2,328.3
00Z 05 Jun 1985,6,400.0,7550,-12.5,-21.5,47,1.73,200,28,338.6,345.1,339.0
00Z 06 Jun 1985,0,1002.0,9,28.0,26.7,93,22.64,NA,NA,301.0,368.1,305.0
00Z 06 Jun 1985,1,1000.0,23,28.0,26.7,93,22.68,90,2,301.1,368.4,305.2
00Z 06 Jun 1985,2,850.0,1452,19.8,18.5,92,16.04,90,3,306.9,355.4,309.8
00Z 06 Jun 1985,3,700.0,3108,11.2,10.3,94,11.37,160,5,314.9,350.5,317.0
00Z 06 Jun 1985,4,540.0,5236,0.0,-2.1,86,6.10,214,3,325.7,346.1,326.9
00Z 06 Jun 1985,5,500.0,5850,-3.1,-5.8,82,4.99,230,3,329.2,346.2,330.2
00Z 06 Jun 1985,6,400.0,7590,-10.9,-16.9,61,2.56,210,3,340.7,350.1,341.3
00Z 06 Jun 1985,7,300.0,9780,-25.7,-33.7,47,0.74,190,23,349.0,352.1,349.2
00Z 06 Jun 1985,8,250.0,11073,-36.3,-45.3,39,0.27,185,26,352.0,353.1,352.0
00Z 06 Jun 1985,9,200.0,12580,-49.9,NA,NA,NA,185,25,353.6,NA,353.6
00Z 06 Jun 1985,10,169.0,13657,-59.3,NA,NA,NA,NA,NA,355.4,NA,355.4
00Z 10 Jun 1985,0,1000.0,-3
00Z 10 Jun 1985,1,999.0,9,24.0,23.5,97,18.64,350,8,297.2,351.4,300.5
00Z 10 Jun 1985,2,965.7,304,22.9,21.9,94,17.50,350,13,299.0,350.2,302.1
00Z 10 Jun 1985,3,932.4,609,21.7,20.3,92,16.36,350,15,300.8,349.0,303.7
00Z 10 Jun 1985,4,900.3,914,20.5,18.7,89,15.29,335,17,302.6,348.1,305.4
00Z 10 Jun 1985,5,850.0,1414,18.6,16.0,85,13.64,335,22,305.6,346.7,308.1
00Z 10 Jun 1985,6,780.7,2133,14.6,12.3,86,11.66,320,15,308.8,344.5,311.0
00Z 10 Jun 1985,7,700.0,3056,9.4,7.6,89,9.44,285,6,312.9,342.4,314.6
00Z 10 Jun 1985,8,500.0,5790,-3.5,-3.7,99,5.86,245,13,328.7,348.5,329.9
00Z 10 Jun 1985,9,480.8,6096,-5.0,-5.7,95,5.22,200,12,330.6,348.4,331.6
00Z 10 Jun 1985,10,400.0,7530,-12.1,-15.2,78,2.95,220,10,339.2,349.9,339.8
00Z 10 Jun 1985,11,395.2,7620,-12.7,-15.8,77,2.84,210,23,339.6,349.9,340.2
00Z 10 Jun 1985,12,300.0,9680,-25.7,-30.1,67,1.05,185,19,349.0,353.2,349.3
00Z 10 Jun 1985,13,250.0,10970,-36.3,-41.3,60,0.41,200,21,352.0,353.7,352.1
00Z 10 Jun 1985,14,200.0,12480,-49.5,NA,NA,NA,210,26,354.2,NA,354.2
00Z 14 Jun 1985,0,1000.0,2
00Z 14 Jun 1985,1,999.0,9,27.4,24.5,84,19.84,140,5,300.6,359.2,304.2
00Z 14 Jun 1985,2,920.0,739,22.8,21.0,90,17.34,135,10,303.1,354.7,306.2
00Z 14 Jun 1985,3,850.0,1430,19.6,17.4,87,14.94,130,15,306.7,351.8,309.4
00Z 14 Jun 1985,4,700.0,3083,12.4,8.7,78,10.19,95,16,316.2,348.4,318.1
00Z 14 Jun 1985,5,525.0,5449,0.0,-4.3,73,5.33,104,13,328.4,346.4,329.4
00Z 14 Jun 1985,6,500.0,5840,-1.5,-5.6,74,5.07,105,12,331.1,348.6,332.2
00Z 14 Jun 1985,7,400.0,7590,-11.5,-30.5,19,0.76,105,13,339.9,342.9,340.1
00Z 14 Jun 1985,8,300.0,9730,-25.5,-38.5,29,0.46,125,18,349.3,351.2,349.4
00Z 14 Jun 1985,9,250.0,11020,-36.3,-48.3,28,0.19,125,13,352.0,352.8,352.0
00Z 14 Jun 1985,10,200.0,12530,-48.3,NA,NA,NA,125,25,356.1,NA,356.1
00Z 14 Jun 1985,11,150.0,14350,-65.1,NA,NA,NA,95,18,357.7,NA,357.7
00Z 14 Jun 1985,12,114.0,15961,-80.1,NA,NA,NA,NA,NA,359.0,NA,359.0
00Z 15 Jun 1985,0,1000.0,-49
00Z 15 Jun 1985,1,995.0,9,26.4,25.3,94,20.93,110,6,300.0,361.6,303.7
00Z 15 Jun 1985,2,920.0,694,22.0,20.6,92,16.91,122,9,302.3,352.4,305.3
00Z 15 Jun 1985,3,850.0,1377,19.2,18.0,93,15.53,135,13,306.2,353.1,309.1
00Z 15 Jun 1985,4,700.0,3032,12.0,9.4,84,10.69,135,9,315.7,349.4,317.8
00Z 15 Jun 1985,5,515.0,5553,0.0,-4.2,73,5.47,130,14,330.2,348.8,331.3
00Z 15 Jun 1985,6,500.0,5790,-1.3,-5.6,73,5.07,130,15,331.4,348.8,332.4
00Z 15 Jun 1985,7,400.0,7550,-10.5,-19.5,48,2.05,130,14,341.2,348.9,341.7
00Z 15 Jun 1985,8,300.0,9690,-32.5,-45.5,26,0.22,155,15,339.4,340.4,339.5
00Z 15 Jun 1985,9,250.0,10980,-39.9,NA,NA,NA,175,15,346.6,NA,346.6
00Z 15 Jun 1985,10,200.0,12500,-48.7,NA,NA,NA,175,19,355.5,NA,355.5
00Z 15 Jun 1985,11,150.0,14320,-65.1,NA,NA,NA,175,15,357.7,NA,357.7
00Z 15 Jun 1985,12,131.0,15132,-71.7,NA,NA,NA,NA,NA,360.1,NA,360.1
00Z 17 Jun 1985,0,1000.0,-41
00Z 17 Jun 1985,1,994.0,9,26.0,25.8,99,21.60,160,3,299.7,363.2,303.5
00Z 17 Jun 1985,2,940.0,507,26.4,25.4,94,22.33,178,NA,304.9,372.2,308.9
00Z 17 Jun 1985,3,920.0,698,24.4,23.1,92,19.79,185,NA,304.7,364.2,308.3
00Z 17 Jun 1985,4,850.0,1393,21.0,17.7,81,15.23,210,NA,308.1,354.5,310.9
00Z 17 Jun 1985,5,700.0,3061,13.4,12.2,92,12.92,325,21,317.3,358.1,319.8
00Z 17 Jun 1985,6,520.0,5507,0.0,-5.2,68,5.02,338,8,329.3,346.4,330.3
00Z 17 Jun 1985,7,500.0,5820,-1.5,-7.5,64,4.38,340,6,331.1,346.3,332.0
00Z 17 Jun 1985,8,400.0,7560,-11.5,-16.3,68,2.69,295,23,339.9,349.8,340.5
00Z 17 Jun 1985,9,300.0,9700,-25.7,-27.8,83,1.30,295,41,349.0,354.2,349.3
00Z 17 Jun 1985,10,250.0,11000,-35.3,-39.3,67,0.51,270,39,353.4,355.6,353.6
00Z 17 Jun 1985,11,200.0,12510,-49.5,-53.5,63,0.13,200,24,354.2,354.8,354.2
00Z 17 Jun 1985,12,150.0,14320,-65.1,NA,NA,NA,130,29,357.7,NA,357.7
00Z 17 Jun 1985,13,112.0,16044,-78.1,NA,NA,NA,NA,NA,364.6,NA,364.6
00Z 18 Jun 1985,0,1000.0,-45
00Z 18 Jun 1985,1,993.0,9,28.4,27.0,92,23.27,180,9,302.2,371.6,306.3
00Z 18 Jun 1985,2,960.9,304,28.0,24.8,83,21.03,190,18,304.6,367.9,308.4
00Z 18 Jun 1985,3,928.8,609,27.6,22.5,74,18.91,200,17,307.2,364.6,310.7
00Z 18 Jun 1985,4,897.7,914,27.2,20.2,66,16.96,265,15,309.8,361.8,312.9
00Z 18 Jun 1985,5,850.0,1404,26.6,16.6,54,14.18,235,17,314.0,358.2,316.7
00Z 19 Jun 1985,0,1000.0,-19
00Z 19 Jun 1985,1,997.0,9,23.4,22.5,95,17.55,100,7,296.8,347.7,299.9
00Z 19 Jun 1985,2,972.0,232,24.6,20.3,77,15.69,110,8,300.2,346.3,303.0
00Z 19 Jun 1985,3,929.0,630,25.8,22.9,84,19.35,129,10,305.3,363.6,308.8
00Z 19 Jun 1985,4,920.0,715,23.4,20.9,86,17.24,133,10,303.7,355.2,306.8
00Z 19 Jun 1985,5,850.0,1405,21.2,18.5,85,16.04,165,13,308.3,357.2,311.3
00Z 19 Jun 1985,6,700.0,3069,12.8,6.8,67,8.93,240,24,316.6,345.0,318.3
00Z 19 Jun 1985,7,500.0,5790,-5.1,-8.1,79,4.18,310,7,326.8,341.0,327.6
00Z 19 Jun 1985,8,400.0,7510,-13.7,-15.9,83,2.78,170,9,337.1,347.1,337.7
00Z 19 Jun 1985,9,300.0,9650,-24.9,-32.9,47,0.80,145,18,350.2,353.4,350.3
00Z 19 Jun 1985,10,250.0,10940,-35.5,-43.5,44,0.33,145,13,353.1,354.6,353.2
00Z 19 Jun 1985,11,200.0,12460,-49.1,NA,NA,NA,125,15,354.9,NA,354.9
00Z 19 Jun 1985,12,150.0,14280,-64.5,NA,NA,NA,90,16,358.8,NA,358.8
00Z 20 Jun 1985,0,1000.0,-9
00Z 20 Jun 1985,1,998.0,9,26.0,25.0,94,20.48,110,3,299.3,359.4,303.0
00Z 20 Jun 1985,2,920.0,726,23.6,22.6,94,19.18,24,5,303.9,361.3,307.4
00Z 20 Jun 1985,3,850.0,1415,20.4,14.4,68,12.28,300,7,307.5,344.9,309.8
00Z 20 Jun 1985,4,700.0,3065,10.6,5.6,71,8.21,300,11,314.2,340.1,315.8
00Z 20 Jun 1985,5,530.0,5336,0.0,-4.3,73,5.28,300,7,327.5,345.3,328.5
00Z 20 Jun 1985,6,500.0,5800,-2.1,-7.1,69,4.52,300,6,330.4,346.0,331.3
00Z 20 Jun 1985,7,400.0,7540,-11.1,-19.1,52,2.12,150,9,340.5,348.4,340.9
00Z 20 Jun 1985,8,300.0,9670,-26.5,-42.5,21,0.30,120,12,347.9,349.2,348.0
00Z 20 Jun 1985,9,250.0,10970,-36.3,-39.6,71,0.49,355,NA,352.0,354.0,352.1
