Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Jul 1985,0,1000.0,-16
00Z 01 Jul 1985,1,998.0,9,27.0,25.8,93,21.51,160,7,300.3,363.8,304.2
00Z 01 Jul 1985,2,920.0,726,23.4,22.4,94,18.94,168,13,303.7,360.3,307.1
00Z 01 Jul 1985,3,850.0,1413,19.6,17.4,87,14.94,175,18,306.7,351.8,309.4
00Z 01 Jul 1985,4,700.0,3054,10.2,8.3,88,9.91,175,13,313.8,344.8,315.6
00Z 01 Jul 1985,5,500.0,5790,-2.9,-5.6,82,5.07,150,16,329.4,346.7,330.4
00Z 01 Jul 1985,6,400.0,7530,-11.1,-19.1,52,2.12,140,16,340.5,348.4,340.9
00Z 01 Jul 1985,7,300.0,9680,-25.3,-35.3,39,0.64,115,22,349.6,352.2,349.7
00Z 01 Jul 1985,8,250.0,10980,-34.7,-44.7,35,0.29,115,26,354.3,355.6,354.4
00Z 01 Jul 1985,9,200.0,12490,-49.7,NA,NA,NA,95,37,353.9,NA,353.9
00Z 01 Jul 1985,10,150.0,14300,-68.1,NA,NA,NA,95,43,352.6,NA,352.6
00Z 02 Jul 1985,0,1000.0,-23
00Z 02 Jul 1985,1,996.0,9,26.4,25.9,97,21.69,140,5,299.9,363.8,303.8
00Z 02 Jul 1985,2,920.0,711,24.8,24.5,98,21.59,150,10,305.1,370.2,309.1
00Z 02 Jul 1985,3,850.0,1402,19.4,18.1,92,15.63,160,14,306.4,353.6,309.3
00Z 02 Jul 1985,4,700.0,3059,12.4,10.3,87,11.37,160,12,316.2,352.0,318.3
00Z 02 Jul 1985,5,500.0,5820,0.6,-4.4,69,5.56,130,16,333.7,352.9,334.8
00Z 02 Jul 1985,6,499.0,5836,0.0,-6.0,64,4.93,NA,NA,333.2,350.2,334.2
00Z 04 Jul 1985,0,1000.0,9,-26.1,NA,NA,NA,130,12,247.1,NA,247.1
00Z 04 Jul 1985,1,920.0,707,22.0,21.3,96,17.68,145,22,302.3,354.7,305.5
00Z 04 Jul 1985,2,850.0,1426,18.4,17.7,96,15.23,160,31,305.4,351.2,308.2
00Z 04 Jul 1985,3,700.0,3076,11.4,10.1,92,11.21,190,17,315.1,350.3,317.2
00Z 04 Jul 1985,4,500.0,5820,-1.9,-12.9,43,2.85,120,23,330.7,340.7,331.2
00Z 04 Jul 1985,5,400.0,7560,-11.1,-23.1,36,1.50,190,19,340.5,346.1,340.8
00Z 04 Jul 1985,6,300.0,9700,-26.5,-37.5,35,0.51,100,21,347.9,350.0,348.0
00Z 04 Jul 1985,7,250.0,10990,-36.3,-51.3,20,0.14,80,39,352.0,352.6,352.0
00Z 04 Jul 1985,8,200.0,12500,-48.9,NA,NA,NA,95,43,355.2,NA,355.2
00Z 06 Jul 1985,0,1000.0,-2
