Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Aug 1985,0,1000.0,3
00Z 01 Aug 1985,1,999.0,9,26.2,25.0,93,20.46,100,5,299.4,359.5,303.1
00Z 01 Aug 1985,2,850.0,1425,19.0,17.5,91,15.04,120,19,306.0,351.4,308.8
00Z 01 Aug 1985,3,700.0,3069,10.4,7.9,84,9.64,95,19,314.0,344.2,315.8
00Z 01 Aug 1985,4,500.0,5800,-3.5,-3.8,98,5.81,110,21,328.7,348.4,329.9
00Z 01 Aug 1985,5,400.0,7530,-14.3,-22.3,51,1.61,125,20,336.3,342.3,336.6
00Z 01 Aug 1985,6,300.0,9650,-29.7,-33.5,69,0.76,130,20,343.4,346.4,343.6
00Z 01 Aug 1985,7,250.0,10930,-39.1,-45.1,53,0.27,80,10,347.8,349.0,347.9
00Z 01 Aug 1985,8,200.0,12410,-52.5,NA,NA,NA,135,7,349.5,NA,349.5
00Z 01 Aug 1985,9,150.0,14200,-68.7,NA,NA,NA,10,12,351.6,NA,351.6
00Z 01 Aug 1985,10,100.0,16550,-82.1,NA,NA,NA,50,27,368.9,NA,368.9
00Z 01 Aug 1985,11,90.0,17139,-82.1,NA,NA,NA,NA,NA,380.1,NA,380.1
00Z 03 Aug 1985,0,1005.0,9,27.0,25.5,92,20.97,360,0,299.7,361.4,303.5
00Z 03 Aug 1985,1,1003.0,21,27.0,25.5,92,21.01,48,3,299.9,361.8,303.6
00Z 03 Aug 1985,2,1000.0,38,26.4,24.9,91,20.31,120,8,299.6,359.2,303.2
00Z 03 Aug 1985,3,920.0,773,21.8,21.4,98,17.79,146,11,302.1,354.8,305.3
00Z 03 Aug 1985,4,850.0,1454,14.4,11.8,84,10.33,170,13,301.2,331.9,303.1
00Z 03 Aug 1985,5,700.0,3098,10.8,8.5,86,10.05,200,9,314.4,346.0,316.3
00Z 03 Aug 1985,6,546.0,5123,0.0,-2.3,84,5.96,278,8,324.7,344.5,325.9
00Z 03 Aug 1985,7,500.0,5820,-4.1,-7.8,75,4.28,305,8,328.0,342.6,328.8
00Z 03 Aug 1985,8,400.0,7550,-13.5,-18.5,66,2.24,315,8,337.4,345.5,337.8
00Z 03 Aug 1985,9,300.0,9670,-29.1,-35.1,56,0.65,320,4,344.2,346.9,344.4
00Z 03 Aug 1985,10,267.0,10495,-33.3,NA,NA,NA,NA,NA,349.8,NA,349.8
00Z 04 Aug 1985,0,1003.0,9,27.2,25.8,92,21.40,150,3,300.1,363.2,303.9
00Z 04 Aug 1985,1,1000.0,39,26.2,24.4,90,19.69,140,7,299.4,357.1,302.9
00Z 04 Aug 1985,2,970.2,304,24.6,23.0,91,18.63,140,10,300.4,355.2,303.7
00Z 04 Aug 1985,3,937.0,609,22.8,21.4,92,17.45,140,8,301.5,353.2,304.7
00Z 04 Aug 1985,4,850.0,1463,17.8,16.9,94,14.46,125,2,304.8,348.2,307.4
00Z 04 Aug 1985,5,700.0,3066,10.6,8.1,85,9.77,95,4,314.2,344.9,316.0
00Z 04 Aug 1985,6,500.0,5790,-5.3,-7.1,87,4.52,60,11,326.5,341.8,327.4
00Z 04 Aug 1985,7,400.0,7510,-14.5,-21.5,55,1.73,75,12,336.1,342.4,336.4
00Z 04 Aug 1985,8,300.0,9630,-28.5,-37.5,42,0.51,65,8,345.1,347.2,345.2
00Z 04 Aug 1985,9,250.0,10910,-38.5,-46.5,43,0.24,60,4,348.7,349.7,348.7
00Z 06 Aug 1985,0,1000.0,9,26.4,23.4,84,18.51,140,9,299.6,353.9,302.9
00Z 06 Aug 1985,1,850.0,1426,19.0,16.2,84,13.82,150,23,306.0,347.7,308.6
00Z 06 Aug 1985,2,700.0,3080,11.0,7.8,81,9.57,150,21,314.6,344.8,316.4
00Z 06 Aug 1985,3,500.0,5840,-2.7,-7.7,68,4.31,135,19,329.7,344.5,330.5
00Z 06 Aug 1985,4,400.0,7570,-12.7,-19.7,56,2.02,105,23,338.4,345.8,338.8
00Z 06 Aug 1985,5,300.0,9690,-28.3,-34.3,56,0.70,145,17,345.4,348.2,345.5
00Z 06 Aug 1985,6,250.0,10980,-37.3,-45.3,43,0.27,80,NA,350.5,351.6,350.5
00Z 06 Aug 1985,7,200.0,12480,-50.7,NA,NA,NA,90,22,352.3,NA,352.3
00Z 06 Aug 1985,8,150.0,14290,-64.7,NA,NA,NA,95,35,358.4,NA,358.4
00Z 07 Aug 1985,0,1000.0,9,25.4,25.0,98,20.44,100,10,298.6,358.3,302.2
00Z 07 Aug 1985,1,920.0,740,21.0,20.7,98,17.02,123,12,301.2,351.5,304.3
00Z 07 Aug 1985,2,850.0,1424,17.6,17.3,98,14.84,145,14,304.6,349.0,307.3
00Z 07 Aug 1985,3,700.0,3054,9.4,7.2,86,9.18,155,20,312.9,341.6,314.6
00Z 07 Aug 1985,4,500.0,5780,-2.3,-5.9,76,4.95,160,15,330.2,347.1,331.2
00Z 07 Aug 1985,5,400.0,7520,-13.1,-20.1,56,1.95,120,20,337.9,345.1,338.3
00Z 07 Aug 1985,6,300.0,9650,-27.7,-38.7,34,0.45,115,23,346.2,348.1,346.3
00Z 07 Aug 1985,7,250.0,10940,-38.1,-46.1,43,0.25,120,25,349.3,350.3,349.3
00Z 07 Aug 1985,8,200.0,12440,-51.5,NA,NA,NA,100,35,351.1,NA,351.1
00Z 07 Aug 1985,9,150.0,14260,-68.5,NA,NA,NA,105,49,351.9,NA,351.9
00Z 08 Aug 1985,0,1000.0,3
00Z 08 Aug 1985,1,999.0,9,26.4,25.1,93,20.58,160,7,299.6,360.2,303.3
00Z 08 Aug 1985,2,920.0,736,22.0,20.8,93,17.13,163,41,302.3,353.1,305.4
00Z 08 Aug 1985,3,850.0,1423,18.6,16.1,85,13.73,165,73,305.6,347.0,308.1
00Z 08 Aug 1985,4,700.0,3059,11.0,NA,NA,NA,205,15,314.6,NA,314.6
00Z 08 Aug 1985,5,540.0,5177,0.0,NA,NA,NA,159,13,325.7,NA,325.7
00Z 08 Aug 1985,6,500.0,5790,-2.5,NA,NA,NA,145,12,329.9,NA,329.9
00Z 08 Aug 1985,7,400.0,7510,-12.7,NA,NA,NA,120,12,338.4,NA,338.4
00Z 08 Aug 1985,8,300.0,9650,-28.1,NA,NA,NA,110,13,345.7,NA,345.7
00Z 08 Aug 1985,9,250.0,10930,-37.7,NA,NA,NA,130,20,349.9,NA,349.9
00Z 08 Aug 1985,10,200.0,12430,-49.3,NA,NA,NA,110,34,354.5,NA,354.5
00Z 08 Aug 1985,11,180.0,13109,-56.5,NA,NA,NA,NA,NA,353.6,NA,353.6
00Z 10 Aug 1985,0,1001.0,9,28.4,26.4,89,22.25,240,3,301.5,367.5,305.4
00Z 10 Aug 1985,1,1000.0,13,28.4,26.4,89,22.27,270,3,301.6,367.7,305.5
00Z 10 Aug 1985,2,920.0,752,23.6,21.6,89,18.01,350,4,303.9,357.8,307.2
00Z 10 Aug 1985,3,850.0,1443,20.4,17.7,84,15.23,65,4,307.5,353.7,310.3
00Z 10 Aug 1985,4,700.0,3095,13.0,9.6,80,10.84,140,5,316.9,351.1,318.9
00Z 10 Aug 1985,5,526.0,5453,0.0,-2.8,81,5.96,98,12,328.2,348.3,329.4
00Z 10 Aug 1985,6,500.0,5860,-1.7,-6.5,70,4.73,90,13,330.9,347.2,331.9
00Z 10 Aug 1985,7,400.0,7600,-12.1,-18.1,61,2.31,90,13,339.2,347.7,339.6
00Z 10 Aug 1985,8,300.0,9730,-33.3,NA,NA,NA,275,256,338.3,NA,338.3
00Z 10 Aug 1985,9,108.0,16137,-84.5,NA,NA,NA,NA,NA,356.3,NA,356.3
00Z 11 Aug 1985,0,1000.0,4
00Z 11 Aug 1985,1,999.0,9,28.6,25.0,81,20.46,210,2,301.8,362.6,305.5
00Z 11 Aug 1985,2,920.0,743,24.8,22.4,87,18.94,133,3,305.1,362.1,308.6
00Z 11 Aug 1985,3,850.0,1436,19.0,16.2,84,13.82,60,3,306.0,347.7,308.6
00Z 11 Aug 1985,4,700.0,3087,12.0,8.4,79,9.98,125,4,315.7,347.2,317.6
00Z 11 Aug 1985,5,500.0,5830,-4.3,-6.6,84,4.69,125,5,327.7,343.7,328.7
00Z 11 Aug 1985,6,400.0,7550,-13.5,-17.9,69,2.35,125,12,337.4,345.9,337.8
00Z 11 Aug 1985,7,300.0,9600,-27.7,-34.7,51,0.67,95,39,346.2,348.9,346.4
00Z 11 Aug 1985,8,250.0,10890,-37.3,-44.3,48,0.30,95,35,350.5,351.8,350.5
00Z 11 Aug 1985,9,200.0,12390,-49.5,NA,NA,NA,95,38,354.2,NA,354.2
00Z 11 Aug 1985,10,150.0,14210,-66.5,NA,NA,NA,95,58,355.3,NA,355.3
00Z 12 Aug 1985,0,1000.0,-6
00Z 12 Aug 1985,1,999.0,9,NA,51.8,NA,98.19,240,2
00Z 12 Aug 1985,2,920.0,734,25.0,23.4,91,20.17,296,2,305.3,366.1,309.0
00Z 12 Aug 1985,3,850.0,1430,21.6,21.1,97,18.93,350,2,308.8,366.5,312.2
00Z 12 Aug 1985,4,756.0,2427,14.2,12.5,90,12.19,8,2,311.3,348.9,313.5
00Z 12 Aug 1985,5,735.0,2663,14.8,11.9,83,12.05,12,2,314.4,352.1,316.7
