Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 01 Aug 1985, VGTJ, 41923, 850801/0000, 23.76, 90.37, 9.0, -0.91, -3.05, -3.34, 268.99, 37.50, 21.00, 22.50, 43.50, 1930.33, 2066.02, -5.97, -3.10, 130.17, 128.66, 885.36, 902.76, 152.98, 163.73, 296.52, 953.66, 300.60, 19.43, 5797.00, 66.85
 00Z 03 Aug 1985, VGTJ, 41923, 850803/0000, 23.76, 90.37, 9.0, 6.33, -3.71, -4.25, 175.59, 28.00, 15.90, 18.50, 34.40, 1237.33, 1409.15, -0.43, -0.12, 936.77, 942.07, 168.44, 191.84, 296.78, 959.78, 300.31, 19.60, 5782.00, 61.98
 00Z 04 Aug 1985, VGTJ, 41923, 850804/0000, 23.76, 90.37, 9.0, -1.57, -4.17, -4.60, 217.80, 37.50, 22.20, 23.10, 45.30, 1057.28, 1189.80, -4.26, -2.31, 909.29, 920.73, 212.38, 239.00, 296.02, 952.11, 300.22, 18.86, 5751.00, 64.34
 00Z 06 Aug 1985, VGTJ, 41923, 850806/0000, 23.76, 90.37, 9.0, 1.19, -0.52, -0.89, 259.40, 34.70, 18.90, 21.70, 40.60, 200.01, 289.80, -55.56, -35.39, 257.72, 257.34, 726.51, 781.04, 24.34, 35.27, 294.57, 930.82, 300.70, 17.62, 5831.00, 61.63
 00Z 07 Aug 1985, VGTJ, 41923, 850807/0000, 23.76, 90.37, 9.0, 1.11, -1.21, -1.57, 250.61, 35.00, 19.60, 19.90, 39.50, 1122.22, 1259.49, 0.00, 0.00, 956.99, 959.56, 91.00, 102.13, 296.59, 967.09, 299.47, 19.24, 5771.00, 64.36
 00Z 08 Aug 1985, VGTJ, 41923, 850808/0000, 23.76, 90.37, 9.0, 1.67, -1.96, -3.18, 351.20, 18.60, 21.10, 39.70, 1043.71, 1473.49, -1.28, -0.39, 923.92, 933.66, 69.28, 97.80, 296.46, 953.64, 300.54, 19.37, 5787.00, 26.20
 00Z 10 Aug 1985, VGTJ, 41923, 850810/0000, 23.76, 90.37, 9.0, 0.08, -3.19, -3.83, 233.40, 36.40, 19.40, 22.10, 41.50, 3588.15, 3798.69, -4.86, -1.76, 895.35, 926.50, 589.83, 624.44, 297.48, 945.33, 302.33, 20.83, 5847.00, 68.37
 00Z 11 Aug 1985, VGTJ, 41923, 850811/0000, 23.76, 90.37, 9.0, -0.41, -5.26, -5.86, 205.38, 35.90, 20.50, 23.30, 43.80, 2119.00, 2308.10, -22.93, -18.60, 880.23, 889.27, 2008.75, 2188.01, 296.49, 927.59, 302.96, 19.94, 5826.00, 66.11
 00Z 12 Aug 1985, VGTJ, 41923, 850812/0000, 23.76, 90.37, 9.0, 0.82, 267.21, 39.00, 18.10, 18.60, 36.70, 65.89, 5836.00, 108.70
 00Z 14 Aug 1985, VGTJ, 41923, 850814/0000, 23.76, 90.37, 9.0, 0.20, -1.45, -2.14, 270.38, 38.40, 19.70, 20.90, 40.60, 940.78, 1097.11, -11.13, -4.67, 871.17, 899.91, 66.86, 77.97, 296.05, 933.63, 301.94, 19.30, 5827.00, 66.91
 00Z 15 Aug 1985, VGTJ, 41923, 850815/0000, 23.76, 90.37, 9.0, -0.25, -2.66, -3.96, 38.56, 20.28, 21.37, 41.65, 1408.20, 1358.75, -0.36, -0.01, 156.57, 237.88, 935.31, 942.77, 1350.15, 1302.74, 296.95, 950.92, 301.27, 20.02, 65.23
 00Z 16 Aug 1985, VGTJ, 41923, 850816/0000, 23.76, 90.37, 9.0, 1.97, -2.13, -2.64, 216.39, 32.10, 18.20, 21.30, 39.50, 1075.38, 1245.95, -15.09, -8.06, 876.76, 896.83, 1508.98, 1748.31, 295.73, 930.56, 301.89, 18.96, 5800.00, 60.92
 00Z 18 Aug 1985, VGTJ, 41923, 850818/0000, 23.76, 90.37, 9.0, -0.07, 50.39, 51.46, 273.58, 35.10, 19.80, 21.30, 41.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 261.39, 948.54, 265.54, 3.50, 5842.00, 64.05
 00Z 19 Aug 1985, VGTJ, 41923, 850819/0000, 23.76, 90.37, 9.0, 3.69, 0.66, 0.11, 241.78, 30.40, 16.40, 18.00, 34.40, 854.97, 1043.53, -5.88, -3.31, 901.03, 915.14, 546.22, 666.68, 296.79, 947.08, 301.47, 19.90, 5861.00, 64.10
 00Z 20 Aug 1985, VGTJ, 41923, 850820/0000, 23.76, 90.37, 9.0, -0.20, -3.15, -3.78, 268.40, 36.50, 20.10, 21.30, 41.40, 1961.96, 2161.46, -0.15, 0.00, 939.87, 945.05, 1695.92, 1868.36, 297.61, 953.42, 301.73, 20.81, 5817.00, 68.75
 00Z 21 Aug 1985, VGTJ, 41923, 850821/0000, 23.76, 90.37, 9.0, 0.16, -4.62, -5.11, 240.20, 35.60, 20.20, 21.50, 41.70, 1994.62, 2185.87, 0.00, 0.00, 961.27, 963.45, 3775.81, 4137.85, 298.34, 969.25, 301.05, 21.40, 5801.00, 70.33
 00Z 22 Aug 1985, VGTJ, 41923, 850822/0000, 23.76, 90.37, 9.0, -1.95, -2.69, -3.26, 276.00, 38.60, 21.40, 22.30, 43.70, 669.74, 830.20, -15.40, -12.17, 831.92, 850.27, 189.62, 235.05, 297.33, 954.09, 301.39, 20.41, 5835.00, 71.62
