Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 07 Sep 1985,0,1000.0,9,28.0,26.9,94,22.96,190,3,301.1,369.3,305.3
00Z 07 Sep 1985,1,920.0,748,24.0,23.0,94,19.67,202,3,304.3,363.3,307.9
00Z 07 Sep 1985,2,850.0,1438,19.8,18.4,92,15.93,213,3,306.9,355.1,309.8
00Z 07 Sep 1985,3,700.0,3093,11.4,8.4,82,9.98,240,4,315.1,346.5,317.0
00Z 07 Sep 1985,4,536.0,5277,0.0,-6.0,64,4.58,157,6,326.4,342.0,327.3
00Z 07 Sep 1985,5,500.0,5830,-3.3,-9.3,63,3.80,135,6,328.9,342.1,329.7
00Z 07 Sep 1985,6,400.0,7560,-13.3,-28.3,27,0.93,130,9,337.6,341.2,337.8
00Z 07 Sep 1985,7,300.0,9686,-27.9,-39.9,31,0.40,105,14,345.9,347.6,346.0
00Z 07 Sep 1985,8,250.0,10970,-37.7,-43.7,53,0.32,105,22,349.9,351.2,349.9
00Z 07 Sep 1985,9,200.0,12460,-52.1,NA,NA,NA,90,29,350.1,NA,350.1
00Z 07 Sep 1985,10,150.0,14250,-70.5,NA,NA,NA,NA,NA,348.5,NA,348.5
00Z 07 Sep 1985,11,145.0,14450,-72.1,NA,NA,NA,NA,NA,349.1,NA,349.1
00Z 08 Sep 1985,0,1001.0,9,27.0,25.3,90,20.80,160,3,300.1,361.4,303.8
00Z 08 Sep 1985,1,1000.0,15,26.8,25.8,94,21.47,165,4,299.9,363.2,303.8
00Z 08 Sep 1985,2,920.0,768,24.0,21.3,85,17.68,183,116,304.3,357.2,307.5
00Z 08 Sep 1985,3,850.0,1444,-2.3,-5.6,78,2.98,200,222,283.7,292.4,284.2
00Z 08 Sep 1985,4,700.0,3061,11.4,6.4,71,8.69,170,5,315.1,342.6,316.7
00Z 08 Sep 1985,5,500.0,5820,-2.5,-9.5,59,3.74,155,6,329.9,342.9,330.7
00Z 08 Sep 1985,6,400.0,7550,-13.7,-15.7,85,2.83,330,NA,337.1,347.3,337.7
00Z 09 Sep 1985,0,1001.0,9,27.4,25.4,89,20.93,110,3,300.5,362.2,304.2
00Z 09 Sep 1985,1,1000.0,21,27.2,25.2,89,20.69,105,6,300.4,361.4,304.1
00Z 09 Sep 1985,2,920.0,758,22.6,21.5,94,17.90,110,9,302.9,356.1,306.1
00Z 09 Sep 1985,3,850.0,1447,19.6,16.1,80,13.73,115,12,306.7,348.2,309.2
00Z 09 Sep 1985,4,700.0,3102,12.4,8.4,77,9.98,115,9,316.2,347.8,318.1
00Z 09 Sep 1985,5,500.0,5850,-3.1,-5.7,82,5.03,20,6,329.2,346.3,330.2
00Z 09 Sep 1985,6,400.0,7580,-13.1,-18.1,66,2.31,85,8,337.9,346.3,338.4
00Z 09 Sep 1985,7,300.0,9660,-28.3,-34.3,56,0.70,115,11,345.4,348.2,345.5
00Z 09 Sep 1985,8,250.0,10930,-39.3,-45.3,53,0.27,90,21,347.5,348.6,347.6
00Z 09 Sep 1985,9,200.0,12410,-53.3,NA,NA,NA,70,22,348.2,NA,348.2
00Z 11 Sep 1985,0,1004.0,9,25.4,24.6,95,19.86,80,6,298.2,356.2,301.7
00Z 11 Sep 1985,1,1000.0,48,25.2,24.4,95,19.69,80,10,298.4,355.9,301.9
00Z 11 Sep 1985,2,920.0,782,22.0,20.5,91,16.80,93,15,302.3,352.1,305.3
00Z 11 Sep 1985,3,850.0,1469,18.2,17.2,94,14.75,105,19,305.2,349.5,307.9
00Z 11 Sep 1985,4,700.0,3115,10.8,8.0,83,9.71,120,19,314.4,344.9,316.2
00Z 11 Sep 1985,5,500.0,5850,-3.1,-5.8,82,4.99,135,19,329.2,346.2,330.2
00Z 11 Sep 1985,6,400.0,7570,-14.5,-18.2,73,2.29,NA,NA,336.1,344.4,336.5
00Z 12 Sep 1985,0,1003.0,9,27.0,25.2,90,20.63,110,4,299.9,360.6,303.6
00Z 12 Sep 1985,1,1000.0,34,26.8,24.7,88,20.06,105,8,299.9,359.0,303.5
00Z 12 Sep 1985,2,920.0,769,22.0,17.4,75,13.78,128,11,302.3,343.2,304.8
00Z 12 Sep 1985,3,850.0,1454,18.2,14.4,78,12.28,150,13,305.2,342.2,307.4
00Z 12 Sep 1985,4,700.0,3097,9.4,5.6,77,8.21,115,12,312.9,338.6,314.4
00Z 12 Sep 1985,5,500.0,5820,-4.5,-11.5,58,3.19,90,10,327.5,338.5,328.1
00Z 12 Sep 1985,6,400.0,7550,-14.3,-24.3,42,1.35,90,6,336.3,341.4,336.6
00Z 12 Sep 1985,7,300.0,9661,-30.5,-38.5,45,0.46,120,13,342.3,344.1,342.4
00Z 12 Sep 1985,8,250.0,10930,-40.3,NA,NA,NA,140,17,346.0,NA,346.0
00Z 12 Sep 1985,9,200.0,12410,-53.1,NA,NA,NA,NA,NA,348.5,NA,348.5
00Z 13 Sep 1985,0,1003.0,9,27.4,25.7,90,21.27,160,5,300.3,363.1,304.1
00Z 13 Sep 1985,1,1000.0,35,26.4,24.7,90,20.06,155,8,299.6,358.5,303.1
00Z 13 Sep 1985,2,920.0,769,23.4,20.4,83,16.70,155,6,303.7,353.6,306.7
00Z 13 Sep 1985,3,850.0,1454,18.0,16.0,88,13.64,155,5,305.0,346.0,307.5
00Z 13 Sep 1985,4,700.0,3099,10.6,8.0,84,9.71,100,5,314.2,344.7,316.0
00Z 13 Sep 1985,5,545.0,5153,0.0,-2.5,83,5.88,89,4,324.9,344.5,326.0
00Z 13 Sep 1985,6,500.0,5840,-4.3,-5.1,94,5.27,85,4,327.7,345.6,328.8
00Z 13 Sep 1985,7,400.0,7590,-13.3,-16.0,80,2.76,90,6,337.6,347.6,338.2
00Z 13 Sep 1985,8,300.0,9690,-27.5,-32.5,62,0.84,90,12,346.5,349.8,346.7
00Z 13 Sep 1985,9,250.0,10960,-39.3,-45.3,53,0.27,90,15,347.5,348.6,347.6
00Z 13 Sep 1985,10,200.0,12450,-51.7,NA,NA,NA,85,13,350.7,NA,350.7
00Z 13 Sep 1985,11,174.0,13332,-61.7,NA,NA,NA,NA,NA,348.5,NA,348.5
00Z 15 Sep 1985,0,1003.0,9,26.0,26.0,100,21.67,170,10,298.9,362.4,302.8
00Z 15 Sep 1985,1,1000.0,38,25.4,24.7,96,20.06,150,10,298.6,357.2,302.1
00Z 15 Sep 1985,2,969.9,304,23.9,23.2,96,18.86,150,19,299.6,355.0,303.0
