Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 01 Aug 1985, VECC, 42809, 850801/0000, 22.64, 88.44, 6.0, -1.52, -2.87, -3.52, 285.40, 37.70, 21.50, 22.50, 44.00, 1846.27, 2009.61, -6.23, -5.36, 125.77, 125.62, 876.25, 880.43, 88.16, 95.96, 296.52, 953.45, 300.62, 19.42, 5825.00, 64.17
 12Z 01 Aug 1985, VECC, 42809, 850801/1200, 22.64, 88.44, 6.0, 0.39, -3.57, -4.37, 288.98, 35.50, 19.70, 21.70, 41.40, 713.30, 882.57, -5.66, -2.04, 896.85, 909.24, 32.33, 40.00, 296.21, 921.62, 303.22, 19.73, 5799.00, 60.72
 00Z 02 Aug 1985, VECC, 42809, 850802/0000, 22.64, 88.44, 6.0, -1.96, -4.19, -5.02, 287.59, 37.30, 22.40, 23.30, 45.70, 3080.55, 3294.70, 0.00, 0.00, 124.54, 123.71, 965.59, 965.59, 62.10, 66.41, 296.65, 965.59, 299.65, 19.37, 5783.00, 56.25
 12Z 02 Aug 1985, VECC, 42809, 850802/1200, 22.64, 88.44, 6.0, -3.82, -8.60, -9.81, 274.00, 35.90, 23.10, 27.90, 51.00, 1694.80, 1976.58, -15.13, -5.67, 843.80, 899.34, 438.11, 510.95, 297.51, 946.12, 302.29, 20.87, 5804.00, 52.68
 00Z 03 Aug 1985, VECC, 42809, 850803/0000, 22.64, 88.44, 6.0, 1.03, -3.93, -4.83, 221.21, 32.90, 19.70, 21.70, 41.40, 1763.89, 2015.20, 0.00, 0.00, 949.50, 954.51, 987.99, 1128.75, 297.03, 962.82, 300.29, 19.90, 5792.00, 54.86
 12Z 03 Aug 1985, VECC, 42809, 850803/1200, 22.64, 88.44, 6.0, -2.47, -6.49, -7.80, 238.20, 38.00, 21.70, 25.10, 46.80, 5237.04, 5562.78, -8.99, -3.70, 115.05, 114.83, 876.92, 905.60, 2063.75, 2192.11, 297.79, 937.32, 303.37, 21.38, 5824.00, 58.75
 00Z 04 Aug 1985, VECC, 42809, 850804/0000, 22.64, 88.44, 6.0, -4.23, -7.26, -8.13, 253.00, 42.70, 24.10, 24.50, 48.60, 3783.57, 4030.98, -0.07, -0.08, 109.94, 109.66, 941.44, 941.36, 280.39, 298.73, 298.77, 969.43, 301.46, 21.93, 5791.00, 69.58
 12Z 04 Aug 1985, VECC, 42809, 850804/1200, 22.64, 88.44, 6.0, 1.18, -7.11, -8.09, 175.78, 29.90, 17.50, 26.50, 44.00, 1879.57, 2181.84, -42.30, -32.43, 839.59, 865.27, 416.90, 483.94, 297.17, 927.01, 303.70, 20.84, 5820.00, 54.85
 00Z 05 Aug 1985, VECC, 42809, 850805/0000, 22.64, 88.44, 6.0, -0.86, -3.90, -4.52, 258.21, 38.10, 20.60, 23.30, 43.90, 1274.76, 1483.72, 0.00, 0.00, 154.03, 153.42, 963.96, 963.96, 30.30, 35.27, 297.43, 963.96, 300.58, 20.34, 5804.00, 63.10
 12Z 05 Aug 1985, VECC, 42809, 850805/1200, 22.64, 88.44, 6.0, -8.55, -6.76, -7.63, 436.19, 47.20, 26.90, 27.30, 54.20, 2940.14, 3136.50, -77.45, -80.27, 770.14, 778.80, 202.22, 215.73, 297.19, 919.39, 304.45, 21.02, 5825.00, 75.71
