Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
12Z 02 Jan 1987,0,1009.0,60,19.0,10.0,56,7.69,270,4,291.4,313.6,292.8
12Z 02 Jan 1987,1,1000.0,129,-10.3,-20.3,44,0.77,NA,NA,262.9,265.1,263.0
12Z 02 Jan 1987,2,850.0,1495,9.2,-7.8,29,2.51,NA,NA,295.8,303.6,296.2
12Z 02 Jan 1987,3,700.0,3075,-0.1,NA,NA,NA,NA,NA,302.3,NA,302.3
12Z 02 Jan 1987,4,500.0,5710,-12.9,NA,NA,NA,NA,NA,317.2,NA,317.2
12Z 02 Jan 1987,5,400.0,7370,-25.1,NA,NA,NA,NA,NA,322.3,NA,322.3
00Z 03 Jan 1987,0,1011.0,60,7.0,7.0,100,6.25,270,2,279.3,296.5,280.3
00Z 03 Jan 1987,1,1000.0,143,11.2,7.4,77,6.50,270,3,284.4,302.6,285.5
00Z 03 Jan 1987,2,992.0,211,14.4,7.4,63,6.55,271,4,288.2,306.9,289.4
00Z 03 Jan 1987,3,883.0,1186,9.4,-7.6,29,2.46,293,13,292.8,300.3,293.2
00Z 03 Jan 1987,4,862.0,1385,8.4,-15.6,17,1.32,297,15,293.8,298.0,294.0
00Z 03 Jan 1987,5,850.0,1501,8.0,NA,NA,NA,300,16,294.5,NA,294.5
00Z 03 Jan 1987,6,786.0,2144,6.2,NA,NA,NA,302,24,299.2,NA,299.2
00Z 03 Jan 1987,7,742.0,2613,3.4,NA,NA,NA,304,31,301.2,NA,301.2
00Z 03 Jan 1987,8,712.0,2947,3.8,NA,NA,NA,305,35,305.2,NA,305.2
00Z 03 Jan 1987,9,700.0,3085,3.4,NA,NA,NA,305,37,306.2,NA,306.2
00Z 03 Jan 1987,10,655.0,3622,1.6,NA,NA,NA,306,44,310.1,NA,310.1
00Z 03 Jan 1987,11,631.0,3921,0.0,NA,NA,NA,307,48,311.6,NA,311.6
00Z 03 Jan 1987,12,600.0,4322,-3.3,NA,NA,NA,307,53,312.2,NA,312.2
00Z 03 Jan 1987,13,571.0,4713,-3.9,NA,NA,NA,308,58,316.0,NA,316.0
00Z 03 Jan 1987,14,510.0,5597,-8.3,NA,NA,NA,310,70,321.0,NA,321.0
00Z 03 Jan 1987,15,500.0,5750,-9.1,NA,NA,NA,310,72,321.9,NA,321.9
00Z 03 Jan 1987,16,444.0,6657,-13.7,NA,NA,NA,270,115,327.2,NA,327.2
00Z 03 Jan 1987,17,426.0,6973,-15.3,NA,NA,NA,NA,NA,329.0,NA,329.0
00Z 03 Jan 1987,18,316.0,9172,-28.1,NA,NA,NA,NA,NA,340.6,NA,340.6
12Z 03 Jan 1987,0,1011.0,60,19.2,7.2,46,6.34,315,2,291.4,309.9,292.6
12Z 03 Jan 1987,1,1000.0,146,18.6,5.6,42,5.73,315,3,291.8,308.5,292.8
12Z 03 Jan 1987,2,850.0,1510,9.2,-8.8,27,2.32,320,15,295.8,303.0,296.2
12Z 03 Jan 1987,3,700.0,3106,4.0,NA,NA,NA,315,32,306.9,NA,306.9
12Z 03 Jan 1987,4,500.0,5770,-10.9,NA,NA,NA,300,50,319.7,NA,319.7
12Z 03 Jan 1987,5,354.0,8066,-23.2,NA,NA,NA,300,100,336.3,NA,336.3
12Z 03 Jan 1987,6,82.0,17793,-75.1,NA,NA,NA,NA,NA,404.7,NA,404.7
12Z 03 Jan 1987,7,70.0,18710,-70.1,NA,NA,NA,NA,NA,434.1,NA,434.1
00Z 04 Jan 1987,0,1012.0,60,8.0,7.1,94,6.29,360,0,280.2,297.6,281.3
00Z 04 Jan 1987,1,1000.0,152,10.4,6.2,75,5.98,359,1,283.6,300.4,284.6
00Z 04 Jan 1987,2,977.0,345,15.4,5.4,51,5.79,357,3,290.5,307.3,291.5
00Z 04 Jan 1987,3,930.0,757,12.4,0.4,44,4.25,353,8,291.5,304.1,292.3
00Z 04 Jan 1987,4,905.0,982,11.4,-4.6,32,3.02,351,10,292.8,301.9,293.3
00Z 04 Jan 1987,5,850.0,1496,8.0,-7.2,33,2.64,347,16,294.5,302.6,295.0
00Z 04 Jan 1987,6,837.0,1623,7.2,-7.8,34,2.55,345,17,295.0,302.9,295.4
00Z 04 Jan 1987,7,816.0,1833,9.2,-10.8,23,2.07,343,19,299.2,305.8,299.6
00Z 04 Jan 1987,8,745.0,2585,8.4,NA,NA,NA,336,27,306.2,NA,306.2
00Z 04 Jan 1987,9,641.0,3810,0.8,NA,NA,NA,325,41,311.1,NA,311.1
00Z 04 Jan 1987,10,629.0,3961,0.0,NA,NA,NA,323,42,311.8,NA,311.8
00Z 04 Jan 1987,11,600.0,4337,-2.7,NA,NA,NA,320,47,312.9,NA,312.9
00Z 04 Jan 1987,12,549.0,5036,-7.1,NA,NA,NA,313,54,315.8,NA,315.8
00Z 04 Jan 1987,13,494.0,5852,-12.3,NA,NA,NA,304,64,319.1,NA,319.1
00Z 04 Jan 1987,14,451.0,6543,-16.5,NA,NA,NA,297,72,322.2,NA,322.2
00Z 04 Jan 1987,15,405.0,7343,-22.3,NA,NA,NA,289,82,324.8,NA,324.8
00Z 04 Jan 1987,16,360.0,8197,-28.9,NA,NA,NA,280,92,327.0,NA,327.0
00Z 04 Jan 1987,17,347.0,8461,-29.1,NA,NA,NA,NA,NA,330.2,NA,330.2
00Z 04 Jan 1987,18,260.0,10489,-37.5,NA,NA,NA,NA,NA,346.3,NA,346.3
00Z 04 Jan 1987,19,170.0,13304,-56.7,NA,NA,NA,NA,NA,359.1,NA,359.1
00Z 04 Jan 1987,20,109.0,16012,-73.7,NA,NA,NA,NA,NA,375.7,NA,375.7
00Z 04 Jan 1987,21,96.0,16754,-73.7,NA,NA,NA,NA,NA,389.6,NA,389.6
00Z 04 Jan 1987,22,85.0,17458,-77.7,NA,NA,NA,NA,NA,395.3,NA,395.3
00Z 04 Jan 1987,23,70.0,18580,-74.3,NA,NA,NA,NA,NA,425.1,NA,425.1
00Z 04 Jan 1987,24,67.0,18837,-73.7,NA,NA,NA,NA,NA,431.8,NA,431.8
00Z 04 Jan 1987,25,50.0,20610,-60.7,NA,NA,NA,NA,NA,500.0,NA,500.0
00Z 04 Jan 1987,26,47.0,20995,-58.5,NA,NA,NA,NA,NA,514.2,NA,514.2
00Z 04 Jan 1987,27,30.0,23830,-53.9,NA,NA,NA,NA,NA,597.1,NA,597.1
00Z 04 Jan 1987,28,20.0,26450,-51.3,NA,NA,NA,NA,NA,678.4,NA,678.4
12Z 04 Jan 1987,0,1011.0,60,17.0,12.5,75,9.08,360,0,289.2,315.0,290.8
12Z 04 Jan 1987,1,1000.0,146,17.4,8.4,55,6.96,353,1,290.6,310.6,291.8
12Z 04 Jan 1987,2,915.0,897,10.8,4.8,66,5.93,294,7,291.2,308.5,292.3
12Z 04 Jan 1987,3,857.0,1439,7.2,-3.8,45,3.38,250,11,293.0,303.2,293.6
12Z 04 Jan 1987,4,850.0,1507,7.4,-5.6,39,2.98,245,12,293.9,303.0,294.4
12Z 04 Jan 1987,5,826.0,1743,8.6,-12.4,21,1.80,255,15,297.6,303.3,297.9
12Z 04 Jan 1987,6,750.0,2541,8.6,-12.4,21,1.98,287,24,305.9,312.4,306.2
12Z 04 Jan 1987,7,700.0,3107,4.4,-12.6,28,2.08,310,31,307.3,314.2,307.7
12Z 04 Jan 1987,8,648.0,3731,0.0,-18.0,24,1.44,304,36,309.2,314.1,309.5
12Z 04 Jan 1987,9,597.0,4383,-4.5,-22.5,23,1.06,298,41,311.3,315.0,311.5
12Z 04 Jan 1987,10,500.0,5760,-12.5,NA,NA,NA,285,53,317.7,NA,317.7
12Z 04 Jan 1987,11,492.0,5882,-13.3,NA,NA,NA,285,57,318.2,NA,318.2
12Z 04 Jan 1987,12,463.0,6334,-16.4,NA,NA,NA,285,71,320.0,NA,320.0
12Z 04 Jan 1987,13,400.0,7420,-23.7,NA,NA,NA,NA,NA,324.1,NA,324.1
12Z 04 Jan 1987,14,391.0,7586,-24.9,NA,NA,NA,NA,NA,324.6,NA,324.6
12Z 04 Jan 1987,15,355.0,8280,-31.1,NA,NA,NA,NA,NA,325.4,NA,325.4
12Z 04 Jan 1987,16,320.0,9011,-35.3,NA,NA,NA,NA,NA,329.4,NA,329.4
12Z 04 Jan 1987,17,300.0,9460,-36.1,NA,NA,NA,NA,NA,334.4,NA,334.4
12Z 04 Jan 1987,18,261.0,10424,-37.5,NA,NA,NA,NA,NA,345.9,NA,345.9
12Z 04 Jan 1987,19,250.0,10720,-39.5,NA,NA,NA,NA,NA,347.2,NA,347.2
