Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Oct 1985,0,1004.0,60,25.8,25.1,96,20.48,115,4,298.6,358.6,302.2
00Z 01 Oct 1985,1,1000.0,88,25.8,25.1,96,20.56,115,4,298.9,359.2,302.6
00Z 01 Oct 1985,2,950.0,544,27.4,24.5,84,20.89,140,5,305.0,367.9,308.8
00Z 01 Oct 1985,3,868.0,1338,21.6,17.4,77,14.62,185,7,306.9,351.2,309.6
00Z 01 Oct 1985,4,850.0,1520,20.0,16.4,80,14.00,195,7,307.1,349.5,309.7
00Z 01 Oct 1985,5,781.0,2245,14.0,12.5,91,11.80,193,7,308.2,344.1,310.4
00Z 01 Oct 1985,6,765.0,2420,15.0,4.0,48,6.71,192,7,311.1,332.1,312.3
00Z 01 Oct 1985,7,727.0,2850,13.0,-4.0,30,3.93,191,7,313.4,326.2,314.2
00Z 01 Oct 1985,8,700.0,3166,9.8,-3.2,40,4.34,190,7,313.3,327.3,314.1
00Z 01 Oct 1985,9,672.0,3505,6.0,-2.0,56,4.94,197,10,312.7,328.6,313.7
00Z 01 Oct 1985,10,500.0,5890,-4.9,NA,NA,NA,250,29,327.0,NA,327.0
00Z 01 Oct 1985,11,400.0,7600,-17.3,NA,NA,NA,165,31,332.4,NA,332.4
00Z 01 Oct 1985,12,300.0,9700,-30.7,NA,NA,NA,NA,NA,342.0,NA,342.0
00Z 01 Oct 1985,13,250.0,10980,-38.7,NA,NA,NA,NA,NA,348.4,NA,348.4
00Z 01 Oct 1985,14,200.0,12480,-50.1,NA,NA,NA,NA,NA,353.3,NA,353.3
00Z 01 Oct 1985,15,150.0,14300,-64.1,NA,NA,NA,NA,NA,359.5,NA,359.5
00Z 01 Oct 1985,16,106.0,16345,-74.9,NA,NA,NA,NA,NA,376.4,NA,376.4
00Z 01 Oct 1985,17,100.0,16680,-74.1,NA,NA,NA,NA,NA,384.3,NA,384.3
00Z 01 Oct 1985,18,88.0,17423,-72.1,NA,NA,NA,NA,NA,402.6,NA,402.6
00Z 01 Oct 1985,19,73.0,18553,-58.1,NA,NA,NA,NA,NA,454.3,NA,454.3
00Z 01 Oct 1985,20,70.0,18830,-33.3,NA,NA,NA,NA,NA,512.8,NA,512.8
