Date,Reading,PRES(hPa),HGHT(m),TEMP(C),DWPT(C),RELH(%),MIXR(g/kg),DRCT(deg),SKNT(knot),THTA(K),THTE(K),THTV(K)
00Z 01 Nov 1985,0,1008.0,60,20.0,18.4,91,13.39,360,0,292.5,330.6,294.8
00Z 01 Nov 1985,1,1000.0,121,20.0,18.4,91,13.50,280,3,293.1,331.7,295.5
00Z 01 Nov 1985,2,975.0,343,25.6,18.6,65,14.03,306,4,300.9,342.4,303.4
00Z 01 Nov 1985,3,935.0,711,23.0,16.0,65,12.38,348,5,301.9,338.7,304.1
00Z 01 Nov 1985,4,895.0,1092,20.4,8.4,46,7.78,33,6,303.0,326.6,304.4
00Z 01 Nov 1985,5,850.0,1535,16.8,5.8,48,6.85,85,7,303.7,324.6,305.0
00Z 01 Nov 1985,6,832.0,1717,15.8,4.8,48,6.52,89,7,304.5,324.5,305.7
00Z 01 Nov 1985,7,715.0,2983,7.0,-6.0,39,3.43,116,7,308.3,319.3,309.0
00Z 01 Nov 1985,8,700.0,3157,6.6,-10.4,29,2.49,120,7,309.8,317.9,310.2
00Z 01 Nov 1985,9,690.0,3275,6.6,-14.4,21,1.83,127,8,311.0,317.2,311.4
00Z 01 Nov 1985,10,664.0,3587,3.4,NA,NA,NA,144,11,310.9,NA,310.9
00Z 01 Nov 1985,11,620.0,4140,3.0,NA,NA,NA,176,16,316.6,NA,316.6
00Z 01 Nov 1985,12,600.0,4404,1.0,NA,NA,NA,191,18,317.2,NA,317.2
00Z 01 Nov 1985,13,587.0,4579,0.0,NA,NA,NA,201,20,318.1,NA,318.1
00Z 01 Nov 1985,14,500.0,5840,-7.9,NA,NA,NA,275,32,323.3,NA,323.3
00Z 01 Nov 1985,15,473.0,6271,-10.1,NA,NA,NA,277,29,325.8,NA,325.8
00Z 01 Nov 1985,16,400.0,7540,-21.1,NA,NA,NA,285,20,327.5,NA,327.5
00Z 01 Nov 1985,17,382.0,7880,-23.5,NA,NA,NA,287,25,328.7,NA,328.7
00Z 01 Nov 1985,18,374.0,8035,-23.5,NA,NA,NA,287,27,330.6,NA,330.6
00Z 01 Nov 1985,19,300.0,9610,-37.1,NA,NA,NA,295,49,333.0,NA,333.0
00Z 01 Nov 1985,20,298.0,9656,-38.1,NA,NA,NA,295,49,332.2,NA,332.2
00Z 01 Nov 1985,21,262.0,10535,-43.9,NA,NA,NA,288,50,336.1,NA,336.1
00Z 01 Nov 1985,22,250.0,10850,-45.1,NA,NA,NA,285,50,338.9,NA,338.9
00Z 01 Nov 1985,23,200.0,12320,-53.1,NA,NA,NA,275,55,348.5,NA,348.5
00Z 01 Nov 1985,24,162.0,13656,-61.3,NA,NA,NA,NA,NA,356.4,NA,356.4
00Z 01 Nov 1985,25,150.0,14130,-65.7,NA,NA,NA,NA,NA,356.7,NA,356.7
00Z 01 Nov 1985,26,111.0,15951,-73.5,NA,NA,NA,NA,NA,374.1,NA,374.1
00Z 01 Nov 1985,27,100.0,16570,-73.9,NA,NA,NA,NA,NA,384.7,NA,384.7
00Z 01 Nov 1985,28,87.0,17392,-74.5,NA,NA,NA,NA,NA,399.1,NA,399.1
00Z 01 Nov 1985,29,70.0,18720,-60.1,NA,NA,NA,NA,NA,455.5,NA,455.5
00Z 01 Nov 1985,30,68.0,18900,-57.1,NA,NA,NA,NA,NA,465.7,NA,465.7
00Z 01 Nov 1985,31,63.0,19378,-57.1,NA,NA,NA,NA,NA,476.0,NA,476.0
00Z 01 Nov 1985,32,50.0,20850,-49.7,NA,NA,NA,NA,NA,525.9,NA,525.9
